score	en	fr	en_ipa	chunk_recipe
0.95	rooting	routine	ɹuːtɪŋ	ɹut+ɪŋ
0.95	rede	rider	ɹɪdɛ	ɹɪ+dɛ
0.95	piecing	piscine	piːsɪŋ	pis+ɪŋ
0.95	olive	olive	ɒlɪv	ɒl+ɪv
0.95	litre	lutter	liːtɐ	li+tɐ
0.95	lewis	louise	luːiz	lu+iz
0.95	leeks	luxe	liːks	li+ks
0.95	freest	triste	fɹiːst	fɹ+ist
0.95	feta	futé	fiːtɐ	fi+tɐ
0.95	epoch	époque	ɛpɒk	ɛp+ɒk
0.95	dele	dealer	dɪlɛ	dɪ+lɛ
0.95	corny	connu	kɔːni	kɔ+ni
0.95	corky	cocu	kɔːki	kɔ+ki
0.95	calling	colline	kɔːlɪŋ	kɔl+ɪŋ
0.95	audit	audit	ɔːdɪt	ɔd+ɪt
0.946	rusty	rester	ɹʌsti	ɹʌ+sti
0.946	lording	loden	lɔːdɪŋ	lɔ+dɪŋ
0.946	lauding	loden	lɔːdɪŋ	lɔ+dɪŋ
0.946	greeter	greta	ɡɹiːtɐ	ɡɹi+tɐ
0.945	zippy	zipper	zɪpi	zɪ+pi
0.945	titter	titi	tɪtɐ	tɪ+tɐ
0.945	titre	titi	tɪtɐ	tɪ+tɐ
0.945	tiki	tiquer	tɪki	tɪ+ki
0.945	ticked	dicte	tɪkt	tɪ+kt
0.945	telly	télé	tɛli	tɛ+li
0.945	teddy	dédie	tɛdi	tɛ+di
0.945	tedder	téter	tɛdɐ	tɛ+dɐ
0.945	sortie	sauter	sɔːti	sɔ+ti
0.945	shinny	chiner	ʃɪni	ʃɪ+ni
0.945	seesaw	ciseaux	siːsɔː	si+sɔ
0.945	schiller	chili	ʃɪlɐ	ʃɪ+lɐ
0.945	prick	briques	pɹɪk	pɹ+ɪk
0.945	picky	piquer	pɪki	pɪ+ki
0.945	otic	attique	ɒtɪk	ɒt+ɪk
0.945	ostler	osselets	ɒslɐ	ɒs+lɐ
0.945	mys	maïs	maɪz	ma+ɪz
0.945	loppy	lobby	lɒpi	lɒ+pi
0.945	lippy	libye	lɪpi	lɪ+pi
0.945	limy	limer	lɪmi	lɪ+mi
0.945	krill	grill	kɹɪl	kɹ+ɪl
0.945	kite	caïd	kaɪt	ka+ɪt
0.945	emmet	émettent	ɛmɪt	ɛm+ɪt
0.945	eases	isis	iːzɪz	iz+ɪz
0.945	drip	trip	dɹɪp	dɹ+ɪp
0.945	ditty	titi	dɪti	dɪ+ti
0.945	dilly	dealer	dɪli	dɪ+li
0.945	deader	dédie	dɛdɐ	dɛ+dɐ
0.945	cedi	céder	sɛdi	sɛ+di
0.945	brawn	prône	bɹɔːn	bɹ+ɔn
0.945	attic	éthique	ætɪk	æt+ɪk
0.945	anise	anis	ænɪs	æn+ɪs
0.945	anis	anise	ænɪz	æn+ɪz
0.945	alleys	élise	ælɪz	æl+ɪz
0.944	vending	vin digne	vɛndɪŋ	vɛ+ndɪŋ
0.944	treading	training	tɹɛdɪŋ	tɹɛ+dɪŋ
0.944	tending	tain digne	tɛndɪŋ	tɛ+ndɪŋ
0.944	sensing	sain signe	sɛnsɪŋ	sɛns+ɪŋ
0.944	scending	sain digne	sɛndɪŋ	sɛ+ndɪŋ
0.944	rending	rhin digne	ɹɛndɪŋ	ɹɛ+ndɪŋ
0.944	mending	main digne	mɛndɪŋ	mɛ+ndɪŋ
0.944	desist	dis est	dɪsɪst	dɪs+ɪst
0.94	wrecks	rixe	ɹɛks	ɹɛ+ks
0.94	wreaked	rixe	ɹiːkt	ɹi+kt
0.94	wracks	rixe	ɹæks	ɹæ+ks
0.94	velour	voler	vɛlɐ	vɛ+lɐ
0.94	veldt	volts	vɛlt	vɛ+lt
0.94	vela	voler	vɛlɐ	vɛ+lɐ
0.94	treen	traîne	tɹiːn	tɹ+in
0.94	tori	doré	tɔːɹi	tɔ+ɹi
0.94	tiller	télé	tɪlɐ	tɪ+lɐ
0.94	techs	sexe	tɛks	tɛ+ks
0.94	swede	souhaite	swiːd	sw+id
0.94	suppress	sofres	səpɹɛs	sə+pɹɛs
0.94	spree	spray	spɹiː	sp+ɹi
0.94	sped	speed	spɛd	sp+ɛd
0.94	sky	skaï	skaɪ	sk+aɪ
0.94	skid	skate	skɪd	sk+ɪd
0.94	skep	skip	skɛp	sk+ɛp
0.94	skeet	skate	skiːt	sk+it
0.94	skat	skate	skæt	sk+æt
0.94	shelly	chili	ʃɛli	ʃɛ+li
0.94	settee	synthé	sɛtiː	sɛ+ti
0.94	setae	synthé	sɛtiː	sɛ+ti
0.94	seedy	cité	siːdi	si+di
0.94	seamy	chimie	siːmi	si+mi
0.94	scat	skate	skæt	sk+æt
0.94	rusk	risque	ɹʌsk	ɹʌ+sk
0.94	rushy	régie	ɹʌʃi	ɹʌ+ʃi
0.94	rusher	rocher	ɹʌʃɐ	ɹʌ+ʃɐ
0.94	ruder	rôder	ɹuːdɐ	ɹu+dɐ
0.94	rucks	rixe	ɹʌks	ɹʌ+ks
0.94	rooter	roter	ɹuːtɐ	ɹu+tɐ
0.94	rishi	régie	ɹiːʃi	ɹi+ʃi
0.94	reeked	rixe	ɹiːkt	ɹi+kt
0.94	reddest	raies est	ɹɛdəst	ɹɛd+əst
0.94	redder	redis	ɹɛdɐ	ɹɛ+dɐ
0.94	reaped	rift	ɹiːpt	ɹi+pt
0.94	ratty	raté	ɹæti	ɹæ+ti
0.94	rasher	rager	ɹæʃɐ	ɹæ+ʃɐ
0.94	rapport	répond	ɹæpɔː	ɹæ+pɔ
0.94	raki	raquer	ɹæki	ɹæ+ki
0.94	racks	rixe	ɹæks	ɹæ+ks
0.94	pressers	princesse	pɹɛsəz	pɹɛs+əz
0.94	preen	prennent	pɹiːn	pɹ+in
0.94	precede	président	pɹɪsiːd	pɹɪ+sid
0.94	prat	prête	pɹæt	pɹ+æt
0.94	pleat	plisse	pliːt	pl+it
0.94	plead	plaide	pliːd	pl+id
0.94	pinny	penny	pɪni	pɪ+ni
0.94	peeks	fixe	piːks	pi+ks
0.94	pecked	picte	pɛkt	pɛ+kt
0.94	pawpaw	pompon	pɔːpɔː	pɔ+pɔ
0.94	pander	pan des	pændɐ	pæ+ndɐ
0.94	panda	pan des	pændɐ	pæ+ndɐ
0.94	pallor	palais	pælɐ	pæ+lɐ
0.94	paddy	pédé	pædi	pæ+di
0.94	orcas	occase	ɔːkəz	ɔk+əz
0.94	missy	messie	mɪsi	mɪ+si
0.94	mise	messie	mɪsiː	mɪ+si
0.94	miller	mêler	mɪlɐ	mɪ+lɐ
0.94	miffy	méfie	mɪfi	mɪ+fi
0.94	mealy	mêler	miːli	mi+li
0.94	mealie	mêler	miːli	mi+li
0.94	mashie	magie	mæʃi	mæ+ʃi
0.94	loony	luné	luːni	lu+ni
0.94	looney	luné	luːni	lu+ni
0.94	litter	laiteux	lɪtɐ	lɪ+tɐ
0.94	lieder	lisez	liːdɐ	li+dɐ
0.94	licks	lynx	lɪks	lɪ+ks
0.94	levee	lever	lɛviː	lɛ+vi
0.94	leaped	lift	liːpt	li+pt
0.94	leaky	ligués	liːki	li+ki
0.94	lauder	ledit	lɔːdɐ	lɔ+dɐ
0.94	ladder	lesdits	lædɐ	læ+dɐ
0.94	lackey	laqué	læki	læ+ki
0.94	joss	jazz	dʒɒs	dʒ+ɒs
0.94	jess	jet	dʒɛs	dʒ+ɛs
0.94	jefe	jeep	dʒiːf	dʒ+if
0.94	honoured	anode	ɒnəd	ɒn+əd
0.94	honored	anode	ɒnəd	ɒn+əd
0.94	grit	crête	ɡɹɪt	ɡɹ+ɪt
0.94	gran	crâne	ɡɹæn	ɡɹ+æn
0.94	geed	gin	dʒiːd	dʒ+id
0.94	freeboard	friponne	fɹiːbɔːd	fɹi+bɔd
0.94	frat	frites	fɹæt	fɹ+æt
0.94	forty	voter	fɔːti	fɔ+ti
0.94	forked	fox	fɔːkt	fɔ+kt
0.94	foresee	foncé	fɔːsiː	fɔ+si
0.94	foresaw	fonçons	fɔːsɔː	fɔ+sɔ
0.94	fleece	plisse	fliːs	fl+is
0.94	fleck	flics	flɛk	fl+ɛk
0.94	fleam	flemme	fliːm	fl+im
0.94	fenny	fini	fɛni	fɛ+ni
0.94	dross	traces	dɹɒs	dɹ+ɒs
0.94	drool	drôle	dɹuːl	dɹ+ul
0.94	dreg	drogue	dɹɛɡ	dɹ+ɛɡ
0.94	dread	traite	dɹɛd	dɹ+ɛd
0.94	dorky	toquer	dɔːki	dɔ+ki
0.94	dorks	docte	dɔːks	dɔ+ks
0.94	dissed	test	dɪst	dɪ+st
0.94	dippy	dépit	dɪpi	dɪ+pi
0.94	derry	terrer	dɛɹi	dɛ+ɹi
0.94	decked	dicte	dɛkt	dɛ+kt
0.94	debtor	doté	dɛtɐ	dɛ+tɐ
0.94	cyst	zeste	sɪst	sɪ+st
0.94	cutty	côté	kʌti	kʌ+ti
0.94	cully	colis	kʌli	kʌ+li
0.94	cubby	képi	kʌbi	kʌ+bi
0.94	clued	claude	kluːd	kl+ud
0.94	clot	claude	klɒt	kl+ɒt
0.94	cist	zeste	sɪst	sɪ+st
0.94	cheep	jeep	tʃiːp	tʃ+ip
0.94	catty	caddie	kæti	kæ+ti
0.94	caressed	choristes	kəɹɛst	kə+ɹɛst
0.94	canny	canée	kæni	kæ+ni
0.94	candour	khan des	kændɐ	kæ+ndɐ
0.94	cabby	képi	kæbi	kæ+bi
0.94	cabbie	képi	kæbi	kæ+bi
0.94	bucked	pacte	bʌkt	bʌ+kt
0.94	brit	prête	bɹɪt	bɹ+ɪt
0.94	bris	presse	bɹɪs	bɹ+ɪs
0.94	brill	prêle	bɹɪl	bɹ+ɪl
0.94	blued	blues	bluːd	bl+ud
0.94	bleat	blettes	bliːt	bl+it
0.94	becks	box	bɛks	bɛ+ks
0.94	beamy	mimi	biːmi	bi+mi
0.94	beady	midi	biːdi	bi+di
0.94	baulked	box	bɔːkt	bɔ+kt
0.94	aural	oral	ɔːɹəl	ɔɹ+əl
0.94	atoll	étale	ætɒl	æt+ɒl
0.94	artiste	assiste	ɑːtiːst	ɑt+ist
0.94	acne	acné	ækni	æk+ni
0.94	acme	acmé	ækmi	æk+mi
0.938	testing	destine	tɛstɪŋ	tɛst+ɪŋ
0.938	teeny	fini	tiːni	ti+ni
0.938	sorest	soft	sɔːst	sɔ+st
0.938	sorely	folie	sɔːli	sɔ+li
0.938	sauced	soft	sɔːst	sɔ+st
0.938	quiz	cuisent	kwɪz	kw+ɪz
0.938	pleading	plient in	pliːdɪŋ	pli+dɪŋ
0.938	phoebe	cb	fiːbiː	fi+bi
0.938	cling	clean	klɪŋ	kl+ɪŋ
0.936	weaken	lichens	wiːkən	wi+kən
0.936	screed	scrute	skɹiːd	sk+ɹid
0.936	pennies	pénis	pɛnɪz	pɛn+ɪz
0.936	beetle	but elle	biːtəl	bit+əl
0.935	tali	talus	tɑːli	tɑ+li
0.933	tinny	tenez	tɪni	tɪ+ni
0.933	rete	retint	ɹɪtɛ	ɹɪ+tɛ
0.933	bussed	peste	bʌst	bʌ+st
0.932	ridgy	rient chie	ɹɪdʒi	ɹɪ+dʒi
0.932	redraw	rétro	ɹiːdɹɔː	ɹid+ɹɔ
0.932	readied	redites	ɹɛdɪd	ɹɛd+ɪd
0.932	ported	petite	pɔːtɪd	pɔt+ɪd
0.932	porgy	pot chie	pɔːdʒi	pɔ+dʒi
0.932	exon	exode	ɛɡzɒn	ɛɡz+ɒn
0.932	endive	haines ive	ɛndɪv	ɛnd+ɪv
0.932	doorbell	nobel	dɔːbɛl	dɔ+bɛl
0.932	disses	dis aise	dɪsɪz	dɪs+ɪz
0.932	belling	mailing	bɛlɪŋ	bɛl+ɪŋ
0.932	bellied	bolide	bɛlɪd	bɛl+ɪd
0.932	beating	meeting	biːtɪŋ	bit+ɪŋ
0.93	arsing	assigne	ɑːsɪŋ	ɑs+ɪŋ
0.929	wedgie	ouais chie	wɛdʒi	wɛ+dʒi
0.929	veggie	fidji	vɛdʒi	vɛ+dʒi
0.929	treaty	traité	tɹiːti	tɹi+ti
0.929	supers	suppose	suːpəz	sup+əz
0.929	straws	stress	stɹɔːz	stɹ+ɔz
0.929	stelae	stylé	stɛliː	stɛ+li
0.929	speller	spolie	spɛlɐ	spɛ+lɐ
0.929	specs	sphinx	spɛks	sp+ɛks
0.929	specks	sphinx	spɛks	sp+ɛks
0.929	reseed	réside	ɹɪsiːd	ɹɪ+sid
0.929	reckon	ricaine	ɹɛkən	ɹɛ+kən
0.929	recede	réside	ɹɪsiːd	ɹɪ+sid
0.929	racon	ricaine	ɹækən	ɹæ+kən
0.929	preppy	brebis	pɹɛpi	pɹɛ+pi
0.929	preach	bridge	pɹiːtʃ	pɹi+tʃ
0.929	meted	mitaine	miːtɪd	mit+ɪd
0.929	meatus	mitose	miːtəs	mit+əs
0.929	lessen	lettone	lɛsən	lɛs+ən
0.929	greeny	grainé	ɡɹiːni	ɡɹi+ni
0.929	foresees	fonceuse	fɔːsiːz	fɔ+siz
0.929	entomb	aident hume	ɛntuːm	ɛnt+um
0.929	deceit	décide	dɪsiːt	dɪ+sit
0.929	canoes	con use	kənuːz	kən+uz
0.929	canoed	con août	kənuːd	kən+ud
0.929	boredom	bonhomme	bɔːdəm	bɔd+əm
0.929	bordered	bond aide	bɔːdəd	bɔd+əd
0.929	boarders	bond aise	bɔːdəz	bɔd+əz
0.929	balder	voleter	bɔːldɐ	bɔl+dɐ
0.929	access	axis	æksɛs	æk+sɛs
0.926	sparse	spath	spɑːs	sp+ɑs
0.926	seizing	saisine	siːzɪŋ	siz+ɪŋ
0.926	seeding	scient in	siːdɪŋ	si+dɪŋ
0.926	ruche	ranch	ɹʌtʃ	ɹʌ+tʃ
0.926	porting	bottines	pɔːtɪŋ	pɔt+ɪŋ
0.926	parky	paquet	pɑːki	pɑ+ki
0.926	needy	midi	niːdi	ni+di
0.926	neater	mité	niːtɐ	ni+tɐ
0.926	marge	match	mɑːdʒ	mɑ+dʒ
0.926	madding	médine	mædɪŋ	mæ+dɪŋ
0.926	foremen	semaine	fɔːmɛn	fɔ+mɛn
0.926	emcee	ensi	ɛmsiː	ɛm+si
0.926	ceding	scient in	siːdɪŋ	si+dɪŋ
0.926	budding	badine	bʌdɪŋ	bʌ+dɪŋ
0.926	boarding	bottines	bɔːdɪŋ	bɔ+dɪŋ
0.926	aster	acheter	ɑːstɐ	ɑs+tɐ
0.925	suing	swing	suːɪŋ	su+ɪŋ
0.925	quip	clip	kwɪp	kw+ɪp
0.925	inly	inouï	ɪnli	ɪn+li
0.925	bevy	bévue	bɛvi	bɛ+vi
0.925	bevvy	bévue	bɛvi	bɛ+vi
0.924	fending	vin digne	fɛndɪŋ	fɛ+ndɪŋ
0.922	forlorn	pologne	fɔːlɔːn	fɔl+ɔn
0.922	bedding	bedaine	bɛdɪŋ	bɛ+dɪŋ
0.922	bawling	pollen	bɔːlɪŋ	bɔl+ɪŋ
0.922	balling	pollen	bɔːlɪŋ	bɔl+ɪŋ
0.92	tiered	tiède	tiəd	ti+əd
0.92	remit	rhinite	ɹiːmɪt	ɹim+ɪt
0.92	peewee	pilé	piːwiː	pi+wi
0.92	ochrey	accru	ɒkɹi	ɒk+ɹi
0.92	nixed	mixte	nɪkst	nɪ+kst
0.92	nears	niaise	niəz	ni+əz
0.92	cleat	quid	kliːt	kl+it
0.919	forelegs	solex	fɔːlɛɡz	fɔl+ɛɡz
0.917	larboard	lapone	lɑːbɔːd	lɑ+bɔd
0.915	spin	speed	spɪn	sp+ɪn
0.915	shipped	chips	ʃɪpt	ʃɪ+pt
0.915	shade	chiites	ʃeɪd	ʃe+ɪd
0.915	ripped	rift	ɹɪpt	ɹɪ+pt
0.915	rigs	rixe	ɹɪɡz	ɹɪ+ɡz
0.915	ricked	rixe	ɹɪkt	ɹɪ+kt
0.915	pix	fixe	pɪks	pɪ+ks
0.915	pics	fixe	pɪks	pɪ+ks
0.915	picks	fixe	pɪks	pɪ+ks
0.915	papaw	pipeau	pæpɔː	pæ+pɔ
0.915	ockers	occase	ɒkəz	ɒk+əz
0.915	nicked	dicte	nɪkt	nɪ+kt
0.915	nelly	délit	nɛli	nɛ+li
0.915	macaw	mégots	mækɔː	mæ+kɔ
0.915	lopped	loft	lɒpt	lɒ+pt
0.915	lipped	lift	lɪpt	lɪ+pt
0.915	escheat	égide	ɛʃiːt	ɛʃ+it
0.915	eddies	indice	ɛdɪz	ɛd+ɪz
0.915	dicky	tiquer	dɪki	dɪ+ki
0.915	dicks	dicte	dɪks	dɪ+ks
0.915	dickie	tiquer	dɪki	dɪ+ki
0.915	dickey	tiquer	dɪki	dɪ+ki
0.915	chip	jeep	tʃɪp	tʃ+ɪp
0.915	chin	gin	tʃɪn	tʃ+ɪn
0.915	amice	émises	æmɪs	æm+ɪs
0.914	larding	latine	lɑːdɪŋ	lɑ+dɪŋ
0.912	techies	déguise	tɛkɪz	tɛk+ɪz
0.912	penning	bénigne	pɛnɪŋ	pɛn+ɪŋ
0.911	treed	traite	tɹiːd	tɹ+id
0.911	tics	sexe	tɪks	tɪ+ks
0.911	ticks	sexe	tɪks	tɪ+ks
0.911	techy	toquer	tɛki	tɛ+ki
0.911	techie	toquer	tɛki	tɛ+ki
0.911	swam	souabe	swæm	sw+æm
0.911	sheered	géode	ʃiəd	ʃi+əd
0.911	sheared	géode	ʃiəd	ʃi+əd
0.911	rani	radis	ɹæni	ɹæ+ni
0.911	pecs	box	pɛks	pɛ+ks
0.911	pecks	box	pɛks	pɛ+ks
0.911	otters	hôtesse	ɒtəz	ɒt+əz
0.911	netty	noter	nɛti	nɛ+ti
0.911	mags	max	mæɡz	mæ+ɡz
0.911	lemme	limer	lɛmi	lɛ+mi
0.911	legs	lynx	lɛɡz	lɛ+ɡz
0.911	lasso	lasso	læsuː	læ+su
0.911	lapped	laps	læpt	læ+pt
0.911	jot	chat	dʒɒt	dʒ+ɒt
0.911	jawed	jet	dʒɔːd	dʒ+ɔd
0.911	honours	ânesse	ɒnəz	ɒn+əz
0.911	honors	ânesse	ɒnəz	ɒn+əz
0.911	flume	plume	fluːm	fl+um
0.911	floss	place	flɒs	fl+ɒs
0.911	flees	plisse	fliːz	fl+iz
0.911	fleas	plisse	fliːz	fl+iz
0.911	evil	eiffel	iːvəl	iv+əl
0.911	enter	ensi	ɛntɐ	ɛn+tɐ
0.911	eating	éteignent	iːtɪŋ	it+ɪŋ
0.911	draws	treize	dɹɔːz	dɹ+ɔz
0.911	drat	traite	dɹæt	dɹ+æt
0.911	detour	tétons	diːtɔː	di+tɔ
0.911	clem	club	klɛm	kl+ɛm
0.911	chon	tchad	tʃɒn	tʃ+ɒn
0.911	chock	jack	tʃɒk	tʃ+ɒk
0.911	choc	jack	tʃɒk	tʃ+ɒk
0.911	chit	jet	tʃɪt	tʃ+ɪt
0.911	chevy	cheveux	ʃɛvi	ʃɛ+vi
0.911	cadge	catch	kædʒ	kæ+dʒ
0.911	brawl	prêle	bɹɔːl	bɹ+ɔl
0.911	bran	prennent	bɹæn	bɹ+æn
0.911	booby	poupée	buːbi	bu+bi
0.911	bloop	plouf	bluːp	bl+up
0.911	blip	plèbe	blɪp	bl+ɪp
0.911	auras	horace	ɔːɹəz	ɔɹ+əz
0.911	atom	atomes	ætəm	æt+əm
0.911	anti	hindi	ænti	æn+ti
0.911	ante	hindi	æntiː	æn+ti
0.911	annas	ânesse	ænəz	æn+əz
0.911	annal	anal	ænəl	æn+əl
0.911	actor	axé	æktɐ	æk+tɐ
0.91	wending	vin digne	wɛndɪŋ	wɛ+ndɪŋ
0.91	reaming	rumine	ɹiːmɪŋ	ɹim+ɪŋ
0.909	shekel	séquelles	ʃɛkəl	ʃɛk+əl
0.909	peckers	pégase	pɛkəz	pɛk+əz
0.909	mission	mycènes	mɪʃən	mɪ+ʃən
0.909	boarded	bottines	bɔːdɪd	bɔd+ɪd
0.909	beading	meeting	biːdɪŋ	bi+dɪŋ
0.908	oozing	usine	uːzɪŋ	uz+ɪŋ
0.908	leafy	lisser	liːfi	li+fi
0.906	ridding	rient in	ɹɪdɪŋ	ɹɪ+dɪŋ
0.905	talkers	toquade	tɔːkəz	tɔk+əz
0.905	seaboard	chipote	siːbɔːd	si+bɔd
0.905	scram	scribe	skɹæm	skɹ+æm
0.905	passion	bichonne	pæʃən	pæ+ʃən
0.905	minas	minage	miːnəz	min+əz
0.905	jeers	djihad	dʒiəz	dʒi+əz
0.905	exam	exhibe	ɛɡzæm	ɛɡz+æm
0.905	betas	vitesse	biːtəz	bit+əz
0.905	beaters	vitesse	biːtəz	bit+əz
0.905	acted	accède	æktɪd	ækt+ɪd
0.903	bring	prennent	bɹɪŋ	bɹ+ɪŋ
0.903	anil	agnelle	ænɪl	æn+ɪl
0.902	sticks	sphinx	stɪks	stɪ+ks
0.902	sicken	cigogne	sɪkən	sɪ+kən
0.902	shedding	jet in	ʃɛdɪŋ	ʃɛ+dɪŋ
0.902	reeding	rétine	ɹiːdɪŋ	ɹi+dɪŋ
0.902	padding	patine	pædɪŋ	pæ+dɪŋ
0.902	dissing	dizaines	dɪsɪŋ	dɪs+ɪŋ
0.902	cording	comptine	kɔːdɪŋ	kɔ+dɪŋ
0.902	carding	cantine	kɑːdɪŋ	kɑ+dɪŋ
0.901	ninny	mini	nɪni	nɪ+ni
0.9	weeks	luxe	wiːks	wi+ks
0.899	wracking	ricaine	ɹækɪŋ	ɹæk+ɪŋ
0.899	racking	ricaine	ɹækɪŋ	ɹæk+ɪŋ
0.899	fording	fontaine	fɔːdɪŋ	fɔ+dɪŋ
0.899	dinky	tain qui	dɪŋki	dɪŋ+ki
0.897	kneading	meeting	niːdɪŋ	ni+dɪŋ
0.896	kneader	midi	niːdɐ	ni+dɐ
0.892	weeding	leasing	wiːdɪŋ	wi+dɪŋ
0.891	lection	lexème	lɛkʃən	lɛk+ʃən
0.89	dishy	déchu	dɪʃi	dɪ+ʃi
0.887	easing	usine	iːzɪŋ	iz+ɪŋ
0.887	cooing	couine	kuːɪŋ	ku+ɪŋ
0.886	tissue	tissu	tɪʃuː	tɪ+ʃu
0.886	nisi	niché	nɪsi	nɪ+si
0.886	eggers	écosse	ɛɡəz	ɛɡ+əz
0.886	amyl	habile	æmɪl	æm+ɪl
0.882	pecking	béguines	pɛkɪŋ	pɛk+ɪŋ
0.881	zigs	sexe	zɪɡz	zɪ+ɡz
0.881	wrecked	rixe	ɹɛkt	ɹɛ+kt
0.881	wracked	rixe	ɹækt	ɹæ+kt
0.881	titian	déchaîne	tɪʃən	tɪ+ʃən
0.881	span	speed	spæn	sp+æn
0.881	rucked	rixe	ɹʌkt	ɹʌ+kt
0.881	rags	rixe	ɹæɡz	ɹæ+ɡz
0.881	racked	rixe	ɹækt	ɹæ+kt
0.881	nippy	dépit	nɪpi	nɪ+pi
0.881	niffy	défi	nɪfi	nɪ+fi
0.881	lept	loft	lɛpt	lɛ+pt
0.881	leapt	loft	lɛpt	lɛ+pt
0.881	chough	ciao	tʃəʊ	tʃ+əʊ
0.881	chid	jet	tʃɪd	tʃ+ɪd
0.881	chess	jet	tʃɛs	tʃ+ɛs
0.881	bugs	box	bʌɡz	bʌ+ɡz
