sound	en	best_fr	good_candidates	total_candidates
0.868	someday	samedi	1	1
0.868	sexist	sexiste	2	2
0.868	sandwiches	sandwich	4	4
0.868	quiz	quinze	2	3
0.868	proceeding	près éden	2	2
0.868	prairies	prairie	3	3
0.868	powered	pat	1	1
0.868	powder	pat	1	3
0.868	manuel	manuel	3	3
0.868	literally	lient relie	1	2
0.868	internet	aident honnête	2	2
0.868	export	exporte	7	7
0.868	excels	excelle	2	2
0.868	desire	des a	1	4
0.867	will	il	2	2
0.867	wasted	ouest	1	1
0.867	vocal	vocale	3	4
0.867	tastes	test	1	1
0.867	suspected	spectre	3	3
0.867	soldier	solde	2	2
0.867	segment	segment	2	2
0.867	posts	poste	4	5
0.867	posted	poste	2	2
0.867	porter	potes	4	8
0.867	planes	plaise	1	1
0.867	plains	plaise	3	3
0.867	movement	mouvements	3	4
0.867	local	local	4	4
0.867	formal	formel	6	6
0.867	forge	forge	3	3
0.867	flames	flemme	3	3
0.867	failing	féline	1	1
0.867	coping	copine	1	1
0.867	controversy	cognent revêtit	1	5
0.867	bacon	bécane	1	1
0.866	tight	tente	1	3
0.866	stretch	stretch	2	3
0.866	streaked	strict	1	1
0.866	reflex	réflexe	2	3
0.866	precept	précepte	1	1
0.866	noted	notes	3	4
0.866	nevertheless	s laisse	1	2
0.866	naval	nivelles	3	3
0.866	mouths	masse	1	1
0.866	lines	lasse	2	3
0.866	leaking	ligue	1	1
0.866	execute	excuse	2	4
0.866	disprove	dis prouve	2	2
0.866	declares	clair	5	5
0.866	daisy	des et	2	2
0.866	bound	battent	1	1
0.866	bounce	base	1	1
0.866	bind	battent	1	1
0.865	sustain	cessent haine	1	1
0.865	supportive	sabot ive	1	1
0.865	suited	sourde	1	1
0.865	subject	abject	2	5
0.865	smart	smart	1	1
0.865	semi	semis	2	2
0.865	remix	x	2	2
0.865	platforms	plateforme	5	6
0.865	perspectives	spectre	2	2
0.865	munich	munich	1	1
0.865	metric	maître	4	4
0.865	jamie	gémit	1	1
0.865	floor	flottes	4	5
0.865	existing	existent	4	4
0.865	egypt	égypte	3	3
0.865	discovering	dis caverne	1	4
0.865	bounty	bâtie	4	5
0.865	believes	blé	1	1
0.865	believers	blé	2	2
0.865	believed	blé	1	1
0.865	based	peste	2	5
0.865	annoyed	un ode	1	1
0.864	touche	toucher	3	3
0.864	store	stores	5	5
0.864	short	short	4	4
0.864	score	scores	1	2
0.864	renee	renée	1	1
0.864	poupée	poupées	1	1
0.864	poli	polis	4	4
0.864	newborn	nié bonnes	1	1
0.864	moisture	bossent chez	2	2
0.864	lewis	louise	1	1
0.864	index	index	1	3
0.864	former	forme	3	3
0.864	exotic	exact hic	5	5
0.864	exception	excepte	3	3
0.864	emile	émile	2	2
0.864	drone	drones	3	3
0.864	drogue	drogues	1	1
0.864	dorée	doré	2	2
0.864	doré	dorée	2	2
0.864	district	district	2	2
0.864	coupé	couper	3	4
0.864	corner	corne	4	4
0.864	connection	connexes	4	4
0.864	claire	clair	2	2
0.864	chérie	chéri	2	2
0.864	chéri	chérie	2	2
0.864	canon	cane	3	4
0.864	cannon	cane	3	4
0.864	blair	blair	1	1
0.863	terribly	faiblit	4	4
0.863	suppose	opposent	5	5
0.863	relaxed	textes	1	1
0.863	policy	pâlit	1	3
0.863	perfect	affectent	6	6
0.863	parcel	pas elle	4	5
0.863	nazi	nazis	3	3
0.863	memoir	mémoire	2	2
0.863	matches	mat chaise	2	2
0.863	marshy	magie	2	2
0.863	lardy	lattis	2	2
0.863	jenny	déni	1	1
0.863	interest	aident reste	2	4
0.863	expects	espèce	1	1
0.863	exon	exempt	2	2
0.863	elders	aile dises	2	3
0.863	dubai	nouba	2	2
0.863	domain	domaine	3	4
0.863	detail	dit elle	1	3
0.863	desires	des as	1	4
0.863	cuban	cubaine	5	5
0.863	carny	canée	2	2
0.863	carnie	canée	2	2
0.863	carney	canée	2	2
0.863	basics	but x	1	5
0.862	was	osent	2	2
0.862	very	vais rient	5	5
0.862	terry	tait rient	5	5
0.862	suitable	suent belle	2	3
0.862	scares	caire	1	1
0.862	ready	raies dits	5	10
0.862	position	paix chaîne	1	1
0.862	petition	paient chaîne	1	3
0.862	merry	mets rient	4	4
0.862	insect	insecte	5	5
0.862	enzyme	s âme	2	2
0.862	closet	classe	1	1
0.862	bury	bey rient	4	5
0.862	berry	bey rient	6	6
0.861	trestle	trais elle	1	1
0.861	tressel	trais elle	1	1
0.861	stayed	stade	3	6
0.861	slice	slaves	1	1
0.861	slave	slaves	3	5
0.861	skleros	sklèros	1	1
0.861	skate	skate	2	3
0.861	shapes	gypse	2	2
0.861	plate	plate	4	5
0.861	place	place	2	3
0.861	petrol	paient rôle	1	1
0.861	mvp	on pipi	1	1
0.861	monkeys	mon guise	1	3
0.861	makes	max	1	1
0.861	lakes	lynx	3	3
0.861	forged	forge	4	4
0.861	expressions	express	1	1
0.861	excluded	exclu	8	8
0.861	combine	cabane	1	3
0.861	coach	catch	1	1
0.861	clown	clones	2	2
0.861	cloud	claude	1	1
0.861	charlotte	charlotte	1	1
0.861	carpet	carpette	1	1
0.861	broadly	but lie	3	3
0.861	bolt	baltes	1	3
0.861	blows	blouse	2	2
0.861	arson	assène	1	1
0.860	withdrawal	ouais drôle	1	1
0.860	transform	transforme	6	7
0.860	switching	souhait chine	1	1
0.860	spotted	sparte	1	1
0.860	spinal	panel	1	2
0.860	shades	chaise	1	1
0.860	saint	cette	3	4
0.860	restive	rincent ive	2	2
0.860	productive	productive	5	5
0.860	postal	postale	3	3
0.860	orgasm	hoquets homme	3	3
0.860	guard	garde	9	9
0.860	goats	gosse	1	1
0.860	gentlemen	jet allemagne	2	2
0.860	faint	faites	1	1
0.860	expanding	expédie	3	3
0.860	electron	liguent rhône	3	3
0.860	eldest	elles est	1	2
0.860	donors	dose	3	5
0.860	corresponding	corps pan digne	1	5
0.860	corny	connu	2	2
0.860	complex	complexe	4	4
0.860	catarrh	quotas	2	2
0.860	carder	carde	2	2
0.860	card	carde	1	1
0.860	cakes	caisse	1	1
0.860	boats	boss	1	2
0.860	bases	baise	1	3
0.860	barred	barde	2	4
0.860	apex	apex	2	2
0.859	suspend	semaines	2	6
0.859	strings	strings	3	3
0.859	stark	stocks	2	2
0.859	sensitive	sain sait ive	1	3
0.859	refers	rose	1	1
0.859	referred	raid	1	1
0.859	poverty	pari	2	2
0.859	parallel	parallèle	6	6
0.859	necessary	s ri	5	6
0.859	moscow	masquer	2	2
0.859	machinery	machinerie	3	3
0.859	lording	loden	2	2
0.859	hobby	habit	1	1
0.859	frequently	fricotent lis	1	6
0.859	fortunate	faut chaînette	2	2
0.859	familiar	femelle	3	5
0.859	extreme	extrême	5	5
0.859	expressing	expresse	9	9
0.859	dragon	dragonne	2	2
0.859	distract	dis tracts	4	4
0.859	cardinal	cardinal	1	1
0.859	amended	amènent aide	1	1
0.859	adopt	et apte	2	5
0.858	superman	souper	1	1
0.858	sentry	sain tri	2	5
0.858	portrait	pot rite	3	3
0.858	newly	nié lies	3	4
0.858	misty	midi	2	2
0.858	melted	merde	2	2
0.858	explorers	explorer	3	3
0.858	drive	drap ive	2	2
0.858	conte	carte	2	2
0.858	collection	collecte	4	4
0.858	boycott	boycott	3	3
0.858	aspects	apex	1	1
0.857	yoga	yoga	1	1
0.857	tricky	tri qui	1	1
0.857	snapped	apte	1	1
0.857	scripture	sketch	2	4
0.857	sank	cinq	1	1
0.857	pharmacy	pharmacie	4	4
0.857	passport	pas pote	3	3
0.857	nova	nova	1	1
0.857	foremen	semaine	2	3
0.857	edges	haie jazz	2	2
0.857	deceased	dite	2	7
0.857	complexity	complexe	2	2
0.857	cartoon	cartonne	2	2
0.857	army	amie	2	4
0.856	voltage	voltige	1	1
0.856	veins	vise	2	2
0.856	trusted	trust	3	3
0.856	tournament	tonne menottes	1	3
0.856	teammates	timide	1	1
0.856	sunlight	son light	1	3
0.856	steve	savent	1	1
0.856	speeches	speech	1	1
0.856	sophie	sauver	1	1
0.856	pupil	poubelle	1	2
0.856	preferred	profonde	4	11
0.856	moist	monte	3	7
0.856	larger	large	2	2
0.856	large	large	1	1
0.856	groupie	groupies	1	1
0.856	grave	gré ive	3	3
0.856	gained	guide	1	1
0.856	dynasty	dynastie	3	3
0.856	density	d ri	2	4
0.856	catty	caddie	2	2
0.856	bailey	bali	1	1
0.856	architect	architecte	4	4
0.856	acceptance	accepte	4	4
0.855	weaken	icône	2	2
0.855	tourney	tonner	2	2
0.855	stress	stressé	5	6
0.855	sparks	saxe	1	1
0.855	region	rient gin	2	4
0.855	rapidly	répit lis	2	2
0.855	proposes	propos aise	3	3
0.855	practiced	péquiste	2	5
0.855	poorly	poli	4	4
0.855	oval	ovale	2	2
0.855	foresaw	fonçons	2	2
0.855	expense	experts	1	3
0.855	excited	exact aide	4	4
0.855	dorky	toquer	2	2
0.855	discovery	dis cabri	4	8
0.855	climate	clamait	2	2
0.855	bristol	bristol	1	1
0.855	aggressive	agressive	9	9
0.854	would	aide	2	2
0.854	torture	torche	4	6
0.854	torch	torche	3	3
0.854	streaks	strict	2	2
0.854	sorely	folie	1	1
0.854	secondary	déconnent ri	1	3
0.854	risky	rient skis	5	5
0.854	request	reste	2	2
0.854	repairs	pair	1	5
0.854	quebec	québec	3	3
0.854	porch	porche	2	2
0.854	performer	paume	2	2
0.854	orcas	occase	2	2
0.854	obese	obèse	3	3
0.854	nizhny	nijni	1	1
0.854	maternal	matin elle	4	4
0.854	lords	lord	1	1
0.854	kentucky	kentucky	1	1
0.854	grain	gré haines	4	4
0.854	freed	rides	4	5
0.854	fraud	rode	7	8
0.854	factories	factrice	1	1
0.854	expelled	experte	5	5
0.854	dress	dresse	4	4
0.854	creed	ride	7	7
0.854	cream	rimes	5	5
0.854	civil	cible	4	4
0.854	blades	blesse	1	1
0.854	attorney	et honni	1	1
0.854	agenda	et gêne	1	1
0.853	vague	vague	1	1
0.853	trust	trust	3	3
0.853	toys	thèse	2	2
0.853	successor	accès	4	4
0.853	star	star	2	2
0.853	speech	speech	2	2
0.853	shared	chers	4	4
0.853	shape	chape	2	2
0.853	shame	chaume	1	1
0.853	shade	chaude	2	2
0.853	scholarship	scalp	1	1
0.853	recover	rêve	1	2
0.853	receives	rives	1	2
0.853	received	rives	1	9
0.853	produced	prêt oust	3	3
0.853	poker	pac	1	1
0.853	pleading	pline	3	3
0.853	phase	phase	1	1
0.853	pays	pause	3	5
0.853	part	partent	4	6
0.853	parlour	parles	2	2
0.853	parlor	parles	2	2
0.853	parker	parcs	1	1
0.853	park	parc	3	3
0.853	north	nord	4	4
0.853	nope	nappe	1	1
0.853	ninja	in je	1	2
0.853	metered	mirent	2	2
0.853	meted	mirent	2	2
0.853	memo	même	2	2
0.853	marsh	marche	3	5
0.853	mark	marque	5	5
0.853	marc	marque	1	1
0.853	lunch	lunch	1	1
0.853	letter	lèvre	4	4
0.853	lawyers	lors	1	1
0.853	larding	latine	1	1
0.853	labour	limbes	1	1
0.853	labor	limbes	1	1
0.853	kane	cane	1	1
0.853	goat	goutte	1	1
0.853	game	gamme	1	1
0.853	forth	for	3	3
0.853	foam	femme	1	2
0.853	finishing	finish	1	5
0.853	fame	femme	1	1
0.853	examination	examen échine	2	2
0.853	dictator	piquent été	2	2
0.853	cope	cap	1	1
0.853	connections	connexes	2	2
0.853	cave	cave	2	4
0.853	cart	carte	3	6
0.853	cared	caire	1	1
0.853	cape	cap	2	4
0.853	cane	cane	2	2
0.853	came	came	1	1
0.853	cake	cac	1	1
0.853	bark	barque	1	1
0.853	anatomy	hennit omis	3	3
0.853	abstract	as tracts	5	5
0.852	vicinity	vis hindi	1	1
0.852	unlike	en lac	1	1
0.852	terroir	terroirs	1	1
0.852	swept	cette	1	1
0.852	starts	star	1	2
0.852	sardine	sardines	1	1
0.852	reasonably	ries anobli	3	4
0.852	polite	plate	1	6
0.852	mobile	mobile	1	3
0.852	milan	moine	1	2
0.852	kennedy	conneries	1	1
0.852	http	et dit hippie	1	1
0.852	grieve	grive	1	1
0.852	grief	griffe	3	5
0.852	greek	crique	5	5
0.852	greave	grive	1	1
0.852	funded	fanent aide	1	5
0.852	experimental	exterminent elle	4	4
0.852	depressing	pressing	1	2
0.852	completed	con plient aide	2	2
0.852	cold	cause	1	2
0.852	cliffs	classe	2	2
0.852	chemistry	commis tri	2	3
0.852	cartel	cartels	1	1
0.852	busted	baissent aide	1	3
0.852	bulb	barbe	2	2
0.852	bored	borde	2	3
0.852	boarder	borde	2	2
0.852	board	borde	1	1
0.852	acquired	quad	1	1
0.851	works	axe	1	2
0.851	worked	actes	1	1
0.851	wizard	ouais aide	1	1
0.851	unexpected	on experts	2	2
0.851	tutor	tour	3	3
0.851	tooter	tours	2	2
0.851	teeter	tir	2	2
0.851	tauter	tore	2	2
0.851	suitor	sourd	3	3
0.851	stretches	stretch	1	2
0.851	stretched	stretch	1	1
0.851	stressed	stress	8	8
0.851	setter	serre	2	2
0.851	sentence	certaines	1	6
0.851	secular	cycle	1	2
0.851	russet	recettes	1	1
0.851	rumen	roumaine	1	1
0.851	rennet	rainette	2	2
0.851	readies	redisent	1	1
0.851	pressies	précise	2	2
0.851	petter	pair	2	2
0.851	peter	pire	4	5
0.851	orbit	orbite	3	3
0.851	offshore	offshore	1	1
0.851	metre	mirent	3	4
0.851	meter	mire	3	5
0.851	mainstream	mines trime	1	1
0.851	looter	lourd	2	2
0.851	litre	lire	3	3
0.851	ladies	les use	1	1
0.851	java	jazz	1	1
0.851	infinite	in êtes	2	2
0.851	george	georges	2	2
0.851	forelegs	solex	2	2
0.851	fetter	faire	2	2
0.851	discourse	d corse	1	1
0.851	debtor	der	3	3
0.851	daughter	dors	3	3
0.851	customer	cassent aimé	1	2
0.851	corky	gorki	2	2
0.851	brazilian	brésilienne	5	5
0.850	terror	ter	5	5
0.850	successes	secs incise	4	4
0.850	subjects	abject	1	2
0.850	subjected	abject	1	1
0.850	strict	strict	5	5
0.850	sprint	sprint	1	1
0.850	share	chers	4	6
0.850	semesters	semestres	1	1
0.850	script	script	1	1
0.850	rico	dico	1	1
0.850	protective	productive	5	5
0.850	pour	pores	1	1
0.850	parky	paquet	2	2
0.850	nor	nord	1	1
0.850	nobody	normandie	1	1
0.850	happy	épi	1	1
0.850	gently	d lie	1	2
0.850	for	fort	3	4
0.850	fluids	flûte	3	3
0.850	fare	faire	5	5
0.850	fair	faire	4	6
0.850	expenses	expose	2	2
0.850	executed	excuse	1	4
0.850	entries	aident ride	2	3
0.850	eat	hit	1	1
0.850	direct	directe	7	7
0.850	differently	d renie	1	2
0.850	der	der	1	1
0.850	dare	der	2	2
0.850	correct	correcte	10	13
0.850	corps	corps	4	6
0.850	care	caire	1	1
0.850	assessment	s monte	1	1
0.849	strand	stade	1	1
0.849	stamp	stop	1	1
0.849	spider	stade	1	1
0.849	sneferu	snéfrou	1	1
0.849	septic	septique	1	1
0.849	salaries	élise	3	5
0.849	recipes	raies pise	2	7
0.849	mystique	mystic	1	1
0.849	morbid	morbide	1	1
0.849	menaced	main est	1	1
0.849	dmitri	dimitri	1	1
0.849	diskette	disquette	4	4
0.849	cricket	cricket	3	3
0.849	blank	bloc	5	5
0.849	bishkek	bichkek	1	1
0.849	balloons	blouse	1	6
0.849	arsing	assigne	1	1
0.848	vests	vestes	1	1
0.848	tutu	toutou	3	3
0.848	troops	troupes	4	4
0.848	titi	titi	2	2
0.848	steppes	steppe	1	1
0.848	shorts	short	2	2
0.848	sects	sectes	1	1
0.848	purchase	patch	1	1
0.848	provision	brevets haine	2	2
0.848	preset	précède	2	5
0.848	preppy	pipi	2	2
0.848	premises	brèmes aise	2	2
0.848	plague	plaque	1	4
0.848	petits	petit	3	3
0.848	pests	pest	2	4
0.848	peaty	pythie	2	2
0.848	nests	nest	1	3
0.848	mortgages	moquent chaise	1	1
0.848	ministry	mines tri	3	3
0.848	intent	on tête	1	1
0.848	groups	groupes	4	4
0.848	forts	forte	2	2
0.848	flèche	flèches	1	1
0.848	ethics	est x	1	1
0.848	dory	doris	2	2
0.848	crest	crête	4	4
0.848	creeks	criques	1	2
0.848	credit	créent êtes	3	3
0.848	cootie	coutil	2	2
0.848	contractor	contact	3	5
0.848	contest	conteste	2	4
0.848	boredom	bonhomme	1	2
0.848	booty	boutis	4	5
0.848	bootie	boutis	4	4
0.848	bootee	boutis	2	2
0.848	boarding	bottines	1	2
0.848	blown	bleu	1	1
0.847	veteran	fait reine	2	3
0.847	utterly	allie	1	1
0.847	trustees	tracent hisse	2	4
0.847	towel	tales	1	1
0.847	suspended	ces peinent aide	1	9
0.847	stephan	stephen	3	5
0.847	stefan	stephen	3	5
0.847	saudi	senti	2	2
0.847	required	quad	1	3
0.847	provided	brevet aide	1	1
0.847	powell	pale	1	1
0.847	poet	potes	3	3
0.847	platine	platines	2	2
0.847	philip	flippe	2	2
0.847	patrick	patrick	1	1
0.847	pastel	pastels	1	1
0.847	partisan	bat scène	3	3
0.847	particle	bat quel	3	3
0.847	orgy	orgie	1	1
0.847	oppose	pause	1	2
0.847	mrs	mise	1	2
0.847	misses	mise	1	1
0.847	inspector	on secte	4	5
0.847	grist	christ	2	2
0.847	formel	formelle	2	2
0.847	finished	finish	1	4
0.847	fabric	fabrique	1	1
0.847	double	double	2	5
0.847	disciplinary	disciplinaire	3	3
0.847	diet	date	2	3
0.847	dial	dalle	1	1
0.847	desperately	des petit	2	3
0.847	denied	tain aède	1	2
0.847	commander	commande	1	3
0.847	command	commande	2	5
0.847	coma	côme	1	1
0.847	cohort	cohortes	2	2
0.847	cohen	cône	1	1
0.847	centuries	saignent cerise	1	1
0.847	cameroon	cameroun	1	1
0.847	builders	belles aise	1	2
0.847	bias	basse	1	3
0.847	belge	belges	1	1
0.847	attacks	et axe	1	2
0.847	attacked	et actes	1	1
0.847	ashley	allie	1	1
0.847	allowed	lad	1	1
0.847	alike	lac	1	1
0.847	adult	et halte	3	3
0.847	adapt	et apte	1	2
0.846	smells	semelle	1	2
0.846	shoots	shoots	3	4
0.846	ruble	rouble	1	1
0.846	rings	rings	1	1
0.846	effects	secte	1	3
0.846	dressed	reste	3	3
0.846	company	compagnies	2	2
0.846	cerise	cerises	3	4
0.846	ceremonies	sermon aise	3	3
0.846	carding	cantine	1	1
0.845	suvorov	souvorov	1	1
0.845	sports	sport	6	6
0.845	spear	spire	1	1
0.845	shoulders	gèlent aise	1	1
0.845	shedding	chaîne	2	2
0.845	sensory	saines séries	3	7
0.845	peterson	personne	2	2
0.845	normal	normal	5	5
0.845	multiple	multiples	2	2
0.845	marked	marque	5	7
0.845	latrine	latrines	1	1
0.845	include	un clou	1	4
0.845	file	face	1	2
0.845	feeding	fine	3	3
0.845	explains	explosent	5	5
0.845	exhibits	exhibe	1	3
0.845	exceptions	excepté	2	3
0.845	eighteen	épines	2	2
0.845	diploma	diplôme	2	2
0.845	course	corse	4	4
0.845	control	con troll	6	6
0.845	closest	clous est	2	2
0.845	cleared	clair	1	1
0.845	cbs	subissent	1	1
0.844	sexes	sexe	1	1
0.844	several	ces rôle	1	1
0.844	scepter	sceptre	1	2
0.844	rupees	roupies	1	1
0.844	rocket	raquette	3	3
0.844	proves	prouve	5	5
0.844	protector	petite	5	5
0.844	prospect	prospects	4	4
0.844	pressie	précis	1	1
0.844	outbreak	et break	1	2
0.844	norms	normes	2	2
0.844	monitored	manient aide	2	7
0.844	investing	nouées teigne	5	5
0.844	forwards	force	1	1
0.844	forms	formes	2	2
0.844	fellows	philo	1	1
0.844	especially	et pêcheries	1	2
0.844	directly	d lie	5	5
0.844	designs	design	1	2
0.844	designing	design	1	1
0.844	designers	design	2	3
0.844	designed	design	1	1
0.844	denis	dennis	1	1
0.844	czechs	tchèques	2	2
0.844	crêpe	crêpes	1	1
0.844	chinese	venise	1	2
0.844	chased	geste	1	1
0.844	britain	bretonne	1	1
0.844	arrest	reste	5	5
0.844	aesthetic	hissent éthique	3	3
0.843	tortured	torches	5	5
0.843	style	stable	3	3
0.843	retail	rituels	2	2
0.843	reinforce	rien fausse	3	4
0.843	pussy	psy	1	1
0.843	propose	proposes	4	4
0.843	practice	braquent hisse	5	6
0.843	pension	personne	1	2
0.843	hebrew	hibou	1	4
0.843	guarantee	garantie	6	6
0.843	enclosed	un claude	2	2
0.843	drop	drape	1	1
0.843	democrat	démocrate	3	5
0.843	delight	light	1	3
0.843	declared	clair	5	5
0.843	cavalry	cavalerie	2	2
0.843	branches	brunchs	2	2
0.843	anil	agnelle	1	1
0.842	worry	oies rient	2	2
0.842	thesis	six	1	2
0.842	surveys	savez	1	3
0.842	succeeded	secs édite	1	3
0.842	regard	garde	1	1
0.842	procedures	précise	2	3
0.842	pressing	pressing	5	5
0.842	outdoor	out or	1	6
0.842	linked	links	1	4
0.842	jesus	disait	1	1
0.842	informal	informel	6	6
0.842	freaky	friqués	2	2
0.842	ended	haines aide	1	1
0.842	dressing	dressing	1	1
0.842	decreased	décrite	4	8
0.842	decorative	décret ive	4	6
0.842	creepy	crépi	1	1
0.842	creamy	crimée	3	3
0.842	briefing	briefing	1	1
0.842	axis	axe	3	3
0.842	arsenal	arsenal	1	1
0.842	apply	plat	1	3
0.842	acquire	quoi	1	1
0.841	vita	vider	2	2
0.841	treats	fritz	2	5
0.841	tesla	tels	2	2
0.841	strategic	stressées chic	4	4
0.841	stated	stade	1	1
0.841	stage	stage	3	5
0.841	sphere	sphère	3	3
0.841	slaves	slave	2	2
0.841	revival	rivas elle	1	1
0.841	remedies	remet hisse	2	3
0.841	pure	pioche	5	5
0.841	porn	bornes	4	4
0.841	plates	place	2	2
0.841	placed	plate	5	5
0.841	pardon	pas haine	4	4
0.841	meatus	mitose	2	2
0.841	design	design	1	3
0.841	colonial	colonel	3	4
0.841	coaches	catch	3	4
0.841	clearer	clair	1	1
0.841	clear	clair	5	5
0.841	bronze	base	1	1
0.841	breeds	bridge	3	3
0.841	blamed	blâme	2	2
0.841	asset	set	4	4
0.841	accord	codes	4	4
0.840	wrest	reste	1	1
0.840	wreaks	rixe	1	1
0.840	vanity	vannerie	1	6
0.840	truce	trousse	2	2
0.840	troupe	troupes	1	1
0.840	trevor	trêve	1	1
0.840	tret	traite	1	1
0.840	tress	tresses	1	1
0.840	trek	trek	4	4
0.840	tested	cessent aide	5	5
0.840	surely	joli	3	3
0.840	roost	rouste	1	1
0.840	rest	reste	3	5
0.840	relied	lad	1	1
0.840	reeks	rixe	1	1
0.840	rapid	rapides	3	5
0.840	pressure	prêche	5	5
0.840	phoenix	fixe	2	2
0.840	needed	nid aide	2	5
0.840	murderer	maire	1	4
0.840	monkey	mon qui	1	2
0.840	misery	mais ri	1	4
0.840	grot	gratte	2	2
0.840	frieze	frise	1	1
0.840	freezer	frise	1	1
0.840	freeze	frise	1	1
0.840	frees	frise	1	1
0.840	freak	fric	1	1
0.840	fraught	frotte	1	1
0.840	finishes	finish	1	3
0.840	fairly	folie	2	2
0.840	divine	vannes	1	3
0.840	detention	d un chaîne	1	2
0.840	denies	naze	1	1
0.840	define	fan	1	9
0.840	cruet	croûte	1	1
0.840	croup	croupe	1	1
0.840	crosse	cross	2	2
0.840	cross	crosse	8	9
0.840	creme	crime	1	1
0.840	crees	crise	1	1
0.840	crease	crisse	1	1
0.840	creak	crique	1	1
0.840	brute	broute	3	4
0.840	bruit	broute	1	1
0.840	bruce	brousse	1	1
0.840	broader	brode	2	2
0.840	broad	brode	2	2
0.840	breeder	bride	2	2
0.840	breed	bride	3	3
0.840	brede	bride	1	1
0.840	bream	brime	1	1
0.840	braes	brise	1	1
0.840	bastard	passent aide	1	3
0.839	tiered	tiède	1	1
0.839	streak	stricte	4	4
0.839	sled	sledge	1	1
0.839	revenue	revenues	1	6
0.839	restrict	strict	2	2
0.839	readied	redites	2	2
0.839	pressed	reste	8	8
0.839	pony	puni	3	3
0.839	noisy	nazis	1	1
0.839	nears	niaise	1	1
0.839	maybe	méfie	2	2
0.839	marcus	max	1	1
0.839	kukri	cokerie	2	2
0.839	holy	colis	1	1
0.839	gallery	galerie	5	5
0.839	folder	solde	1	1
0.839	fold	solde	1	1
0.839	declare	clair	6	6
0.839	couture	couteau	3	3
0.839	casey	quasi	1	1
0.839	bred	raid	4	4
0.839	bread	raid	4	4
0.839	biden	banane	1	1
0.839	applies	place	1	2
0.839	applied	plate	1	4
0.838	wrestle	recèle	3	3
0.838	voices	vol	2	4
0.838	triply	triplé	2	2
0.838	toast	tests	2	4
0.838	stole	styles	2	2
0.838	squeeze	ski	2	3
0.838	solo	solo	2	2
0.838	smoke	smic	1	1
0.838	slope	slip	1	1
0.838	sailed	soldes	1	1
0.838	risen	raisonnent	1	3
0.838	respectable	spectacle	2	2
0.838	redden	redonne	2	2
0.838	rectal	rectale	2	2
0.838	reason	résonne	3	3
0.838	racket	raquette	3	3
0.838	quote	couette	4	6
0.838	psycho	sacco	1	3
0.838	pre	prairies	4	4
0.838	potter	par	1	1
0.838	polo	polo	1	1
0.838	mostly	but lie	1	1
0.838	morgan	morgane	3	3
0.838	logo	logo	2	2
0.838	lion	line	3	3
0.838	kuchma	koutchma	1	1
0.838	filed	face	1	1
0.838	expressive	expressif	1	1
0.838	expression	expresse haines	1	1
0.838	elbow	elbe	1	1
0.838	dresses	dresse	3	3
0.838	dolores	delores	1	1
0.838	destination	destin échine	2	2
0.838	cotter	car	2	2
0.838	cottar	car	2	2
0.838	choke	tchèque	2	2
0.838	baked	pacte	1	3
0.837	tryst	triste	1	1
0.837	triste	triste	1	1
0.837	strip	strip	3	3
0.837	starter	star	2	3
0.837	sentences	certaines	1	2
0.837	sentenced	certaines	1	1
0.837	puzzle	puzzle	1	1
0.837	par	par	1	1
0.837	orthodox	hochet axe	4	4
0.837	nebraska	nebraska	1	1
0.837	matrix	met rixe	2	2
0.837	living	living	1	2
0.837	intriguing	aident ricaine	2	2
0.837	herself	et elfes	1	1
0.837	fruits	route	3	3
0.837	finish	finish	1	6
0.837	far	far	1	1
0.837	extra	extrait	3	3
0.837	essence	et s	1	1
0.837	edited	et aides	2	2
0.837	drowned	round	1	1
0.837	crisp	crispe	1	3
0.837	creep	grippe	3	3
0.837	contact	contact	4	4
0.837	consumers	con soumise	1	3
0.837	conception	concept	1	1
0.837	celeste	céleste	2	2
0.837	car	car	1	3
0.837	bridge	bridge	1	1
0.837	bricks	boxes	4	4
0.837	bar	barre	4	4
0.837	around	round	2	2
0.837	able	épaule	1	3
0.836	ventures	feignent chaise	1	1
0.836	spark	parcs	3	3
0.836	sorted	sort	3	3
0.836	scripts	script	1	1
0.836	scared	caire	1	1
0.836	routinely	routine	2	2
0.836	residential	raies tain gel	1	4
0.836	progressive	progressive	4	4
0.836	preceding	pris éden	3	3
0.836	parts	partent	3	3
0.836	outside	as as	1	2
0.836	markers	marque	2	2
0.836	glenn	glass	1	1
0.836	forward	for	1	1
0.836	compression	con prochaine	1	1
0.836	chart	charte	1	1
0.836	certainly	son lie	1	1
0.836	branch	brunch	3	4
0.836	activist	actes est	2	2
0.835	versus	vais aise	1	1
0.835	verses	vais aise	1	2
0.835	titty	titi	2	2
0.835	thirsty	petit	1	1
0.835	sodium	sodium	2	2
0.835	ripply	repli	1	1
0.835	recorder	corde	1	1
0.835	murders	met aise	1	3
0.835	label	lesquels	4	4
0.835	kisses	quais aise	1	2
0.835	insanity	haines hindi	1	2
0.835	greedy	crédit	2	5
0.835	flats	face	1	1
0.835	drawl	drôle	2	2
0.835	directive	directives	1	1
0.835	demy	demi	2	2
0.835	defects	affect	1	2
0.835	davis	défi	1	1
0.835	david	défi	1	1
0.835	california	californie	3	4
0.835	brothers	base	2	2
0.834	turkey	acquis	2	2
0.834	stunt	cette	1	2
0.834	proceed	précis	3	3
0.834	organ	organe	5	6
0.834	guided	garde	1	5
