en	fr	combo	tier	cognate	src_en	src_fr	src_tier	zipf_en	zipf_fr
resell	réels	0.746	DUAL-A	0	resell	réel	GOLD	2.93	4.08
resell	réelles	0.746	DUAL-A	0	resell	réel	GOLD	2.93	4.0
restrict	stricte	0.746	DUAL-A	1	restrict	strict	GOLD	3.8	3.78
restrict	stricts	0.746	DUAL-A	1	restrict	strict	GOLD	3.8	3.06
vetting	vert	0.746	DUAL-A	0	vet	vertes	GOLD	3.11	4.74
vetting	verts	0.746	DUAL-A	0	vet	vertes	GOLD	3.11	4.34
foolish	foules	0.746	DUAL-A	0	foolish	foule	LOOP1	3.89	3.58
bossing	boss	0.746	DUAL-A	0	bosses	boss	A	2.56	4.21
crewing	crous	0.746	DUAL-A	0	crews	crous	A	1.9	3.21
cured	cordes	0.746	DUAL-A	0	cured	corde	A	3.74	4.04
getting	guerres	0.746	DUAL-A	0	getting	guerre	A	5.57	4.33
grids	grise	0.746	DUAL-A	1	grid	gris	A	3.13	3.94
grids	grises	0.746	DUAL-A	0	grid	gris	A	3.13	3.36
leaping	lippe	0.746	DUAL-A	0	leap	lippe	A	3.23	2.4
meta	mairesse	0.746	DUAL-A	0	meta	maire	A	3.74	3.0
reaping	ripe	0.746	DUAL-A	0	reaped	ripe	A	2.96	2.05
reefing	rif	0.746	DUAL-A	0	reef	rif	A	1.74	2.89
restaurants	restreintes	0.746	DUAL-A	0	restaurant	restreinte	A	4.34	2.88
retail	rituel	0.746	DUAL-A	0	retail	rituels	A	4.55	3.9
retail	rituelle	0.746	DUAL-A	0	retail	rituels	A	4.55	2.94
retail	rituelles	0.746	DUAL-A	0	retail	rituels	A	4.55	2.73
screamed	scripts	0.746	DUAL-A	0	screamed	script	A	3.72	3.17
seating	cire	0.746	DUAL-A	0	seated	cire	A	3.77	3.79
seating	cires	0.746	DUAL-A	0	seated	cire	A	3.77	2.54
seating	sires	0.746	DUAL-A	0	seated	sire	A	3.77	2.66
secure	score	0.746	DUAL-A	0	secured	score	A	4.64	4.51
setting	cerne	0.746	DUAL-A	0	setting	cernes	A	4.77	2.75
sharing	chairs	0.746	DUAL-A	0	share	chair	A	4.66	2.88
tearing	terrent	0.746	DUAL-A	0	tearing	terre	A	3.79	2.09
twist	test	0.746	DUAL-A	0	twisted	test	A	4.22	4.69
excluded	excluant	0.745	DUAL-A	0	exclude	exclure	DUAL-S	3.89	3.36
mean	minerai	0.745	DUAL-A	0	mean	mine	S	5.53	3.67
meaner	minerai	0.745	DUAL-A	0	mean	mine	S	2.66	3.67
screw	scrute	0.745	DUAL-A	0	screwed	scrute	S	4.25	2.78
screw	scrutent	0.745	DUAL-A	0	screwed	scrute	S	4.25	2.26
expenses	experte	0.745	DUAL-A	0	expense	experts	LOOP2	4.33	3.46
expenses	expertes	0.745	DUAL-A	1	expense	experts	LOOP2	4.33	2.66
greets	grise	0.745	DUAL-A	0	greet	gris	GOLD	3.12	3.94
greets	grises	0.745	DUAL-A	0	greet	gris	GOLD	3.12	3.36
mien	minerai	0.745	DUAL-A	0	mien	mine	GOLD	2.31	3.67
remit	rimait	0.745	DUAL-A	0	remit	rime	GOLD	3.09	2.15
chest	gestes	0.745	DUAL-A	0	chest	geste	A	4.52	4.19
cough	coffrer	0.745	DUAL-A	0	cough	coffre	A	3.95	2.39
cough	coffré	0.745	DUAL-A	0	cough	coffre	A	3.95	2.0
foreign	fortune	0.745	DUAL-A	0	foreign	fortunes	A	5.08	4.41
greased	grise	0.745	DUAL-A	0	grease	gris	A	2.88	3.94
greased	grises	0.745	DUAL-A	0	grease	gris	A	2.88	3.36
leave	livrer	0.745	DUAL-A	0	leave	livres	A	5.34	4.26
leave	livré	0.745	DUAL-A	0	leave	livres	A	5.34	4.2
leave	livrés	0.745	DUAL-A	0	leave	livres	A	5.34	3.78
leave	livrée	0.745	DUAL-A	0	leave	livres	A	5.34	3.77
restaurant	restant	0.745	DUAL-A	1	restaurant	restantes	A	4.68	4.26
restaurant	restants	0.745	DUAL-A	1	restaurant	restantes	A	4.68	3.58
streets	strict	0.745	DUAL-A	0	street	strict	A	4.66	3.81
streets	stricte	0.745	DUAL-A	0	street	strict	A	4.66	3.78
streets	strictes	0.745	DUAL-A	0	street	strict	A	4.66	3.5
streets	stricts	0.745	DUAL-A	0	street	strict	A	4.66	3.06
vectors	vexe	0.745	DUAL-A	0	vector	vexe	A	3.46	2.83
vectors	vexent	0.745	DUAL-A	0	vector	vexe	A	3.46	1.83
excludes	excluant	0.744	DUAL-A	0	exclude	exclure	DUAL-S	3.38	3.36
glory	glorieuses	0.744	DUAL-A	0	glory	glorieux	DUAL-S	4.36	3.28
glories	glorieux	0.744	DUAL-A	1	glory	glorieux	DUAL-S	2.85	3.67
leagues	ligués	0.744	DUAL-A	0	league	ligue	DUAL-S	3.9	2.18
leagues	liguer	0.744	DUAL-A	0	league	ligue	DUAL-S	3.9	2.04
leagues	ligué	0.744	DUAL-A	0	league	ligue	DUAL-S	3.9	1.75
leagues	liguées	0.744	DUAL-A	0	league	ligue	DUAL-S	3.9	1.71
proved	prouvera	0.744	DUAL-A	0	prove	prouvant	DUAL-S	4.48	2.98
vectored	vecteur	0.744	DUAL-A	0	vector	vecteur	DUAL-S	1.91	3.66
vectored	vecteurs	0.744	DUAL-A	0	vector	vecteur	DUAL-S	1.91	3.38
zooms	zoomer	0.744	DUAL-A	0	zoom	zoomer	DUAL-S	2.72	2.87
zooms	zoomez	0.744	DUAL-A	0	zoom	zoomer	DUAL-S	2.72	2.17
bosses	bosser	0.744	DUAL-A	1	boss	bosse	S	3.9	4.22
bosses	bossé	0.744	DUAL-A	0	boss	bosse	S	3.9	3.62
brae	briser	0.744	DUAL-A	0	braes	brise	S	2.43	4.11
brae	brisé	0.744	DUAL-A	0	braes	brise	S	2.43	4.1
brae	brisée	0.744	DUAL-A	0	braes	brise	S	2.43	3.62
brae	brisés	0.744	DUAL-A	0	braes	brise	S	2.43	3.33
brae	brisées	0.744	DUAL-A	0	braes	brise	S	2.43	3.23
bruised	brousse	0.744	DUAL-A	0	bruise	brousse	S	3.39	3.39
bruised	brousses	0.744	DUAL-A	0	bruise	brousse	S	3.39	1.91
calls	coller	0.744	DUAL-A	0	call	colle	S	4.91	4.03
calls	collé	0.744	DUAL-A	0	call	colle	S	4.91	3.81
calls	collée	0.744	DUAL-A	0	call	colle	S	4.91	3.26
calls	collés	0.744	DUAL-A	0	call	colle	S	4.91	3.25
callers	coller	0.744	DUAL-A	1	caller	coller	S	3.1	4.03
callers	collé	0.744	DUAL-A	0	caller	coller	S	3.1	3.81
callers	collée	0.744	DUAL-A	0	caller	coller	S	3.1	3.26
callers	collés	0.744	DUAL-A	0	caller	coller	S	3.1	3.25
cells	seller	0.744	DUAL-A	0	cell	selle	S	4.75	3.26
cells	sellé	0.744	DUAL-A	0	cell	selle	S	4.75	1.79
cellars	seller	0.744	DUAL-A	0	cellar	seller	S	3.0	3.26
cellars	sellé	0.744	DUAL-A	0	cellar	seller	S	3.0	1.79
coopers	couper	0.744	DUAL-A	1	cooper	coupe	S	2.72	4.53
coopers	coupé	0.744	DUAL-A	0	cooper	coupe	S	2.72	4.28
coopers	coupée	0.744	DUAL-A	0	cooper	coupe	S	2.72	3.79
coopers	coupés	0.744	DUAL-A	0	cooper	coupe	S	2.72	3.67
coopers	coupées	0.744	DUAL-A	0	cooper	coupe	S	2.72	3.53
disport	despotes	0.744	DUAL-A	0	disport	despote	S	1.28	2.37
douches	doucher	0.744	DUAL-A	1	douche	douchent	S	2.26	3.1
douches	douché	0.744	DUAL-A	1	douche	douchent	S	2.26	2.54
douches	douchez	0.744	DUAL-A	1	douche	douchent	S	2.26	2.17
douches	douchée	0.744	DUAL-A	1	douche	douchent	S	2.26	1.99
douches	douchés	0.744	DUAL-A	1	douche	douches	S	2.26	1.61
feels	filer	0.744	DUAL-A	0	feel	file	S	4.9	3.95
feels	filé	0.744	DUAL-A	0	feel	file	S	4.9	3.49
feelers	filer	0.744	DUAL-A	0	feeler	filer	S	2.41	3.95
feelers	filé	0.744	DUAL-A	0	feeler	filer	S	2.41	3.49
fellers	fêlé	0.744	DUAL-A	0	feller	fêlé	S	2.23	2.43
fellers	fêlée	0.744	DUAL-A	0	feller	fêlé	S	2.23	2.25
fellers	fêlés	0.744	DUAL-A	0	feller	fêlé	S	2.23	2.2
fellers	fêlées	0.744	DUAL-A	0	feller	fêlé	S	2.23	1.8
fools	foulée	0.744	DUAL-A	0	fool	foule	S	3.88	3.74
fools	fouler	0.744	DUAL-A	0	fool	foule	S	3.88	3.04
fools	foulé	0.744	DUAL-A	0	fool	foule	S	3.88	3.04
fools	foulées	0.744	DUAL-A	0	fool	foule	S	3.88	2.7
free	frisés	0.744	DUAL-A	0	frees	frise	S	5.63	2.77
free	frisé	0.744	DUAL-A	0	frees	frise	S	5.63	2.74
free	friser	0.744	DUAL-A	0	frees	frise	S	5.63	2.45
free	frisée	0.744	DUAL-A	0	frees	frise	S	5.63	2.35
leases	lisser	0.744	DUAL-A	0	lease	lisse	S	3.41	3.1
leases	lissé	0.744	DUAL-A	0	lease	lisse	S	3.41	2.52
leases	lissée	0.744	DUAL-A	0	lease	lisse	S	3.41	2.2
leases	lissés	0.744	DUAL-A	0	lease	lisse	S	3.41	2.17
means	miner	0.744	DUAL-A	0	mean	mine	S	5.44	3.17
means	miné	0.744	DUAL-A	0	mean	mine	S	5.44	3.07
memes	mimer	0.744	DUAL-A	0	meme	mime	S	3.75	2.58
memes	mimé	0.744	DUAL-A	0	meme	mime	S	3.75	1.85
meters	mirer	0.744	DUAL-A	0	meter	mire	S	4.21	1.77
peaces	pisser	0.744	DUAL-A	0	peace	pisse	S	1.63	3.77
peaces	pissé	0.744	DUAL-A	0	peace	pisse	S	1.63	3.27
peels	pilé	0.744	DUAL-A	0	peel	pile	S	2.8	2.52
peels	piler	0.744	DUAL-A	0	peel	pile	S	2.8	2.38
peels	pilée	0.744	DUAL-A	0	peel	pile	S	2.8	2.38
peels	pilées	0.744	DUAL-A	0	peel	pile	S	2.8	2.1
peelers	pilé	0.744	DUAL-A	0	peeler	pilé	S	1.85	2.52
peelers	piler	0.744	DUAL-A	0	peeler	pilé	S	1.85	2.38
peelers	pilée	0.744	DUAL-A	0	peeler	pilé	S	1.85	2.38
peelers	pilées	0.744	DUAL-A	0	peeler	pilé	S	1.85	2.1
pens	peiné	0.744	DUAL-A	0	pen	peine	S	3.75	2.84
pens	peiner	0.744	DUAL-A	0	pen	peine	S	3.75	2.43
pens	peinée	0.744	DUAL-A	0	pen	peine	S	3.75	2.21
pieces	pisser	0.744	DUAL-A	0	piece	pisse	S	4.72	3.77
pieces	pissé	0.744	DUAL-A	0	piece	pisse	S	4.72	3.27
pleas	plier	0.744	DUAL-A	0	plea	plie	S	3.51	3.82
pleas	plié	0.744	DUAL-A	0	plea	plie	S	3.51	3.51
pleas	pliée	0.744	DUAL-A	0	plea	plie	S	3.51	3.02
pleas	pliés	0.744	DUAL-A	0	plea	plie	S	3.51	2.73
reads	rider	0.744	DUAL-A	0	read	ride	S	4.25	3.13
reads	ridé	0.744	DUAL-A	0	read	ride	S	4.25	2.44
reads	ridée	0.744	DUAL-A	0	read	ride	S	4.25	2.33
reads	ridées	0.744	DUAL-A	0	read	ride	S	4.25	1.96
readers	rider	0.744	DUAL-A	0	reader	ride	S	4.41	3.13
readers	ridé	0.744	DUAL-A	0	reader	ride	S	4.41	2.44
readers	ridée	0.744	DUAL-A	0	reader	ride	S	4.41	2.33
readers	ridées	0.744	DUAL-A	0	reader	ride	S	4.41	1.96
reeds	rider	0.744	DUAL-A	0	reed	ride	S	3.02	3.13
reeds	ridé	0.744	DUAL-A	0	reed	ride	S	3.02	2.44
reeds	ridée	0.744	DUAL-A	0	reed	ride	S	3.02	2.33
reeds	ridées	0.744	DUAL-A	0	reed	ride	S	3.02	1.96
revs	rêver	0.744	DUAL-A	0	rev	rêve	S	2.85	4.22
revs	rêvé	0.744	DUAL-A	0	rev	rêve	S	2.85	4.01
revs	rêvez	0.744	DUAL-A	0	rev	rêve	S	2.85	3.28
rules	rouler	0.744	DUAL-A	0	rule	roule	S	5.06	4.16
rules	roulé	0.744	DUAL-A	0	rule	roule	S	5.06	3.69
rules	roulez	0.744	DUAL-A	0	rule	roule	S	5.06	3.06
rulers	rouler	0.744	DUAL-A	1	ruler	roule	S	3.7	4.16
rulers	roulé	0.744	DUAL-A	0	ruler	roule	S	3.7	3.69
rulers	roulez	0.744	DUAL-A	0	ruler	roule	S	3.7	3.06
seen	ci	0.744	DUAL-A	0	see	ci	S	5.52	5.49
seen	scie	0.744	DUAL-A	0	see	scie	S	5.52	3.62
seen	scies	0.744	DUAL-A	0	see	scie	S	5.52	2.77
seen	scient	0.744	DUAL-A	0	see	scie	S	5.52	1.98
seen	sis	0.744	DUAL-A	0	see	sis	S	5.52	3.36
sells	seller	0.744	DUAL-A	0	sell	selle	S	4.09	3.26
sells	sellé	0.744	DUAL-A	1	sell	selle	S	4.09	1.79
sellers	seller	0.744	DUAL-A	1	seller	selle	S	3.84	3.26
sellers	sellé	0.744	DUAL-A	0	seller	selle	S	3.84	1.79
sheens	chiner	0.744	DUAL-A	0	sheen	chine	S	1.68	2.25
sheens	chiné	0.744	DUAL-A	0	sheen	chine	S	1.68	2.09
supers	souper	0.744	DUAL-A	1	super	soupe	S	2.44	3.71
supers	soupé	0.744	DUAL-A	0	super	soupe	S	2.44	2.58
wrested	restera	0.744	DUAL-A	0	wrest	reste	S	2.44	4.41
deans	dîner	0.744	DUAL-A	0	dean	dîne	STRICT-GOLD	3.06	4.29
deans	dîné	0.744	DUAL-A	0	dean	dîne	STRICT-GOLD	3.06	2.93
est	investi	0.744	DUAL-A	0	est	investit	STRICT-GOLD	4.11	4.03
est	investis	0.744	DUAL-A	0	est	investit	STRICT-GOLD	4.11	3.62
est	investie	0.744	DUAL-A	0	est	investit	STRICT-GOLD	4.11	3.31
exploits	explorent	0.744	DUAL-A	0	exploit	explore	STRICT-GOLD	3.53	2.83
mean	mis	0.744	DUAL-A	0	meant	mettent	STRICT-GOLD	5.53	5.4
please	plier	0.744	DUAL-A	0	please	plie	STRICT-GOLD	5.66	3.82
please	plié	0.744	DUAL-A	0	please	plie	STRICT-GOLD	5.66	3.51
please	pliée	0.744	DUAL-A	0	please	plie	STRICT-GOLD	5.66	3.02
please	pliés	0.744	DUAL-A	0	please	plie	STRICT-GOLD	5.66	2.73
screamed	escrime	0.744	DUAL-A	0	scream	escrime	STRICT-GOLD	3.72	3.5
soon	sous	0.744	DUAL-A	0	soon	sou	STRICT-GOLD	5.32	5.9
sooner	sous	0.744	DUAL-A	0	soon	sou	STRICT-GOLD	4.25	5.9
studded	stade	0.744	DUAL-A	0	stud	stade	STRICT-GOLD	3.25	4.85
studded	stades	0.744	DUAL-A	0	stud	stade	STRICT-GOLD	3.25	3.85
explain	explose	0.744	DUAL-A	0	explain	explosent	LOOP11	4.89	3.88
rested	restera	0.744	DUAL-A	1	rested	reste	LOOP2	3.59	4.41
collectors	collectes	0.744	DUAL-A	1	collector	collecte	GOLD	3.8	3.0
reams	rimer	0.744	DUAL-A	0	reaming	rime	GOLD	2.58	2.73
reams	rimé	0.744	DUAL-A	0	reaming	rime	GOLD	2.58	2.06
rosses	rosser	0.744	DUAL-A	1	ross	rosse	GOLD	1.58	2.27
rosses	rossé	0.744	DUAL-A	0	ross	rosse	GOLD	1.58	2.11
scenes	ciné	0.744	DUAL-A	0	scene	ciné	GOLD	4.58	3.9
scenes	cinés	0.744	DUAL-A	0	scene	ciné	GOLD	4.58	2.05
secede	cesser	0.744	DUAL-A	0	secede	cessé	GOLD	2.79	4.14
secede	cessez	0.744	DUAL-A	0	secede	cessé	GOLD	2.79	3.82
seens	ciné	0.744	DUAL-A	0	seen	ciné	GOLD	1.55	3.9
seens	cinés	0.744	DUAL-A	0	seen	ciné	GOLD	1.55	2.05
supremes	supprime	0.744	DUAL-A	1	supreme	supprime	GOLD	2.45	3.83
tune	touts	0.744	DUAL-A	0	tune	tout	GOLD	4.27	3.05
pres	prier	0.744	DUAL-A	0	pre	prie	LOOP1	3.6	4.07
pres	prié	0.744	DUAL-A	0	pre	prie	LOOP1	3.6	3.57
pres	priez	0.744	DUAL-A	0	pre	prie	LOOP1	3.6	3.41
pres	priés	0.744	DUAL-A	0	pre	prie	LOOP1	3.6	3.11
arrested	restera	0.744	DUAL-A	0	arrested	reste	A	4.64	4.41
broads	brosse	0.744	DUAL-A	0	broad	brosse	A	2.74	3.84
broads	brosses	0.744	DUAL-A	0	broad	brosse	A	2.74	3.11
broads	brossent	0.744	DUAL-A	0	broad	brosse	A	2.74	2.11
elected	lecture	0.744	DUAL-A	0	elected	lectures	A	4.63	4.74
ferried	ferré	0.744	DUAL-A	0	ferry	ferré	A	2.54	3.32
ferried	ferrée	0.744	DUAL-A	1	ferry	ferré	A	2.54	3.49
ferried	ferrées	0.744	DUAL-A	0	ferry	ferré	A	2.54	3.24
ferried	ferrer	0.744	DUAL-A	1	ferry	ferré	A	2.54	3.23
lunar	loups	0.744	DUAL-A	0	lunar	loup	A	3.77	3.98
setters	serré	0.744	DUAL-A	0	setter	serre	A	2.75	4.02
setters	serrer	0.744	DUAL-A	0	setter	serre	A	2.75	3.94
setters	serrée	0.744	DUAL-A	0	setter	serre	A	2.75	3.54
setters	serrés	0.744	DUAL-A	0	setter	serre	A	2.75	3.54
sores	saurez	0.744	DUAL-A	0	sore	saurez	A	3.03	3.5
supers	soupers	0.744	DUAL-A	1	super	souper	A	2.44	2.6
extractors	extracteur	0.743	DUAL-A	1	extractor	extracteur	DUAL-S	2.19	2.48
extractors	extracteurs	0.743	DUAL-A	1	extractor	extracteur	DUAL-S	2.19	2.05
peaks	piquant	0.743	DUAL-A	0	peaks	piques	DUAL-S	3.87	3.26
peaked	piquant	0.743	DUAL-A	0	peaks	piques	DUAL-S	3.5	3.26
piece	pista	0.743	DUAL-A	0	piece	piste	DUAL-S	5.04	1.76
piqued	piquant	0.743	DUAL-A	0	pique	piques	DUAL-S	2.73	3.26
piques	piquant	0.743	DUAL-A	0	pique	piques	DUAL-S	1.98	3.26
progressed	progresser	0.743	DUAL-A	1	progresses	progresse	DUAL-S	3.63	3.97
progressed	progressé	0.743	DUAL-A	1	progresses	progresse	DUAL-S	3.63	3.59
prospectors	prospecteur	0.743	DUAL-A	1	prospector	prospecteur	DUAL-S	2.58	2.29
prospectors	prospecteurs	0.743	DUAL-A	1	prospector	prospecteur	DUAL-S	2.58	2.34
reform	reforma	0.743	DUAL-A	1	reform	reforme	DUAL-S	4.53	2.11
regret	regrettait	0.743	DUAL-A	1	regret	regrette	DUAL-S	4.37	3.04
soups	soupa	0.743	DUAL-A	1	soup	soupe	DUAL-S	3.1	1.78
souped	soupa	0.743	DUAL-A	0	soup	soupe	DUAL-S	2.3	1.78
transforms	transformant	0.743	DUAL-A	1	transform	transformant	DUAL-S	3.45	3.4
bossed	bossait	0.743	DUAL-A	0	boss	bosse	S	2.33	2.99
bossed	bossais	0.743	DUAL-A	0	boss	bosse	S	2.33	2.96
brew	broutant	0.743	DUAL-A	0	brewed	broute	S	3.64	1.77
fessed	fessait	0.743	DUAL-A	0	fess	fesse	S	1.82	2.19
forby	phobies	0.743	DUAL-A	0	forby	phobie	S	1.16	2.8
leased	lissa	0.743	DUAL-A	0	lease	lisse	S	3.62	2.5
meets	mita	0.743	DUAL-A	0	meet	mitent	S	4.36	2.08
peeps	pipa	0.743	DUAL-A	0	peep	pipe	S	3.1	2.2
peeped	pipa	0.743	DUAL-A	0	peep	pipe	S	2.41	2.2
pieced	pissant	0.743	DUAL-A	0	piece	pisse	S	2.77	2.27
pieced	pissait	0.743	DUAL-A	0	piece	pisse	S	2.77	2.2
plea	plissant	0.743	DUAL-A	0	pleas	plisse	S	3.95	2.0
poofs	pouffant	0.743	DUAL-A	0	poof	pouffe	S	1.89	1.67
poofs	pouffa	0.743	DUAL-A	0	poof	pouffe	S	1.89	1.58
ramie	ramis	0.743	DUAL-A	1	ramie	rami	S	1.62	2.29
seats	citant	0.743	DUAL-A	0	seat	cite	S	4.53	3.59
stork	stocks	0.743	DUAL-A	0	stork	stock	S	2.88	3.87
bolt	balte	0.743	DUAL-A	0	bolt	baltes	STRICT-GOLD	4.04	2.41
flaw	flottant	0.743	DUAL-A	0	flawed	flotte	STRICT-GOLD	3.6	3.49
flaw	flottait	0.743	DUAL-A	0	flawed	flotte	STRICT-GOLD	3.6	2.8
ghost	gaullistes	0.743	DUAL-A	0	ghost	gaulliste	STRICT-GOLD	4.42	2.9
pleat	pliant	0.743	DUAL-A	0	pleat	plie	STRICT-GOLD	2.19	2.87
treks	très	0.743	DUAL-A	0	trek	très	STRICT-GOLD	2.53	6.12
trekked	très	0.743	DUAL-A	0	trek	très	STRICT-GOLD	2.34	6.12
try	trahir	0.743	DUAL-A	0	tried	trahi	STRICT-GOLD	5.5	3.62
tries	trahi	0.743	DUAL-A	0	tried	trahi	STRICT-GOLD	4.53	3.77
tries	trahis	0.743	DUAL-A	0	tried	trahi	STRICT-GOLD	4.53	3.39
tries	trahit	0.743	DUAL-A	0	tried	trahi	STRICT-GOLD	4.53	3.39
tries	trahie	0.743	DUAL-A	0	tried	trahi	STRICT-GOLD	4.53	3.1
very	verte	0.743	DUAL-A	0	very	vert	STRICT-GOLD	6.0	4.32
very	vertes	0.743	DUAL-A	0	very	vert	STRICT-GOLD	6.0	3.84
clauses	closes	0.743	DUAL-A	1	clause	close	LOOP2	3.44	3.19
cried	crâne	0.743	DUAL-A	0	cried	crânes	LOOP2	4.19	4.2
prepped	prêt	0.743	DUAL-A	0	prep	prêt	LOOP6	2.91	4.99
prepped	prêts	0.743	DUAL-A	0	prep	prêt	LOOP6	2.91	4.63
preps	prêt	0.743	DUAL-A	0	prep	prêt	LOOP6	2.47	4.99
preps	prêts	0.743	DUAL-A	0	prep	prêt	LOOP6	2.47	4.63
blame	blâment	0.743	DUAL-A	0	blamed	blâme	GOLD	4.63	2.48
blame	blâmes	0.743	DUAL-A	0	blamed	blâme	GOLD	4.63	2.47
clauses	clause	0.743	DUAL-A	1	clause	clauses	GOLD	3.44	3.96
creeps	cris	0.743	DUAL-A	0	creep	cris	GOLD	3.38	4.19
creeps	cri	0.743	DUAL-A	0	creep	cris	GOLD	3.38	4.1
delis	delhi	0.743	DUAL-A	1	deli	delhi	GOLD	2.11	3.45
gets	guetta	0.743	DUAL-A	0	get	guette	GOLD	5.25	3.02
gets	guettant	0.743	DUAL-A	0	get	guette	GOLD	5.25	2.35
gets	guettait	0.743	DUAL-A	0	get	guette	GOLD	5.25	2.34
lecture	lèchent	0.743	DUAL-A	0	lecture	lèche	GOLD	4.14	2.46
lecture	lèches	0.743	DUAL-A	0	lecture	lèche	GOLD	4.14	2.45
lesson	laissant	0.743	DUAL-A	0	lesson	laissons	GOLD	4.47	4.42
melt	mêlant	0.743	DUAL-A	0	melt	mêle	GOLD	3.96	3.51
nest	naissant	0.743	DUAL-A	0	nest	naissante	GOLD	4.07	3.18
nest	naissants	0.743	DUAL-A	0	nest	naissante	GOLD	4.07	2.19
preach	pris	0.743	DUAL-A	0	preach	prises	GOLD	3.69	5.44
preacher	pris	0.743	DUAL-A	0	preacher	prises	GOLD	3.68	5.44
prepped	près	0.743	DUAL-A	0	prep	près	GOLD	2.91	5.45
preps	près	0.743	DUAL-A	0	prep	près	GOLD	2.47	5.45
ramie	remis	0.743	DUAL-A	0	ramie	remit	GOLD	1.62	4.47
sheaf	chient	0.743	DUAL-A	0	sheaf	chie	GOLD	2.6	2.65
sheaf	chies	0.743	DUAL-A	0	sheaf	chie	GOLD	2.6	2.53
stretches	stressent	0.743	DUAL-A	0	stretch	stresse	GOLD	3.7	2.12
temps	thème	0.743	DUAL-A	0	temp	thème	GOLD	3.33	4.6
temps	thèmes	0.743	DUAL-A	0	temp	thème	GOLD	3.33	4.27
accessed	incestes	0.743	DUAL-A	0	accessed	inceste	A	3.89	1.8
blows	blouses	0.743	DUAL-A	0	blew	blouse	A	4.04	2.77
boots	bouton	0.743	DUAL-A	0	boot	bouton	A	4.33	4.23
boots	boutons	0.743	DUAL-A	0	boot	bouton	A	4.33	3.99
brace	brasses	0.743	DUAL-A	0	brace	brasse	A	3.72	2.48
brace	brassent	0.743	DUAL-A	0	brace	brasse	A	3.72	2.36
broke	braquent	0.743	DUAL-A	0	broke	braque	A	4.85	2.47
break	braque	0.743	DUAL-A	0	broke	braque	A	5.18	3.31
break	braquent	0.743	DUAL-A	0	broke	braque	A	5.18	2.47
bros	bronzes	0.743	DUAL-A	0	bros	bronze	A	4.08	2.92
clothe	clause	0.743	DUAL-A	0	clothes	clause	A	2.75	3.96
clothe	clauses	0.743	DUAL-A	0	clothes	clause	A	2.75	3.62
clothe	closes	0.743	DUAL-A	0	clothes	close	A	2.75	3.19
coots	coûtait	0.743	DUAL-A	0	coot	coûte	A	2.4	3.22
crime	crabe	0.743	DUAL-A	0	crime	crabes	A	4.89	3.4
crowd	crâne	0.743	DUAL-A	0	crowd	crânes	A	4.7	4.2
elected	laid	0.743	DUAL-A	0	elected	laide	A	4.63	3.62
elected	laids	0.743	DUAL-A	0	elected	laide	A	4.63	2.89
elected	laides	0.743	DUAL-A	0	elected	laide	A	4.63	2.77
flea	lit	0.743	DUAL-A	0	fleas	lise	A	3.42	5.03
flea	lis	0.743	DUAL-A	0	fleas	lise	A	3.42	4.4
flee	lit	0.743	DUAL-A	0	flees	lise	A	3.81	5.03
flee	lis	0.743	DUAL-A	0	flees	lise	A	3.81	4.4
forked	fort	0.743	DUAL-A	0	forked	forte	A	2.96	5.34
forked	forts	0.743	DUAL-A	0	forked	forte	A	2.96	4.41
forks	fort	0.743	DUAL-A	0	forked	forte	A	3.45	5.34
forks	forts	0.743	DUAL-A	1	forked	forte	A	3.45	4.41
gets	ghettos	0.743	DUAL-A	0	get	ghetto	A	5.25	2.97
korean	criant	0.743	DUAL-A	0	korean	cries	A	4.49	3.73
metro	maîtresse	0.743	DUAL-A	0	metro	maître	A	4.18	4.13
metro	maîtresses	0.743	DUAL-A	0	metro	maître	A	4.18	3.28
raped	rapts	0.743	DUAL-A	0	raped	rapt	A	4.08	1.99
redraw	rideaux	0.743	DUAL-A	0	redraw	rideau	A	2.62	3.67
replayed	triplé	0.743	DUAL-A	0	replay	triplé	A	2.8	3.6
replayed	tripler	0.743	DUAL-A	0	replay	triplé	A	2.8	2.93
replayed	triplés	0.743	DUAL-A	0	replay	triplé	A	2.8	2.72
replayed	triplée	0.743	DUAL-A	0	replay	triplé	A	2.8	2.0
replayed	triplées	0.743	DUAL-A	0	replay	triplé	A	2.8	1.99
screen	scripts	0.743	DUAL-A	0	screen	script	A	4.85	3.17
takes	taxes	0.743	DUAL-A	1	takes	taxe	A	5.18	4.28
treks	trait	0.743	DUAL-A	0	trek	trait	A	2.53	4.24
treks	traits	0.743	DUAL-A	0	trek	trait	A	2.53	4.13
treks	trais	0.743	DUAL-A	0	trek	trait	A	2.53	2.13
treks	traie	0.743	DUAL-A	0	trek	trait	A	2.53	1.55
trekked	trait	0.743	DUAL-A	0	trek	trait	A	2.34	4.24
trekked	traits	0.743	DUAL-A	0	trek	trait	A	2.34	4.13
trekked	trais	0.743	DUAL-A	0	trek	trait	A	2.34	2.13
trekked	traie	0.743	DUAL-A	0	trek	trait	A	2.34	1.55
vary	verte	0.743	DUAL-A	0	vary	vert	A	4.25	4.32
vary	vertes	0.743	DUAL-A	0	vary	vert	A	4.25	3.84
latrines	latrine	0.742	DUAL-A	1	latrine	latrines	DUAL-S	2.51	1.89
progress	progressant	0.742	DUAL-A	1	progresses	progresse	DUAL-S	4.78	2.69
