seed	hops	mean_quality	min_quality	min_sound_edge	max_sound_edge	tier	loop
explore	4	0.897	0.832	0.832	0.886	A	en:explore ~ fr:explore ≈ en:explorer = fr:explorer ≈ en:exploring
explorer	3	0.8903	0.832	0.832	0.889	A	en:explorer ≈ fr:exploré = en:explored ≈ fr:explore
explore	4	0.8895	0.832	0.832	0.886	A	en:explore ~ fr:explore ≈ en:explorer ~ fr:explorer ≈ en:exploring
explorer	3	0.8793	0.832	0.832	0.886	A	en:explorer ≈ fr:explore ~ en:exploring ≈ fr:explorer
lord	3	0.924	0.822	0.822	1.0	A	en:lord ≈ fr:lords = en:lords ≈ fr:lord
lording	4	0.923	0.822	0.822	1.0	A	en:lording ~ fr:lords ≈ en:lord = fr:lord ≈ en:lords
troupe	4	0.923	0.822	0.822	1.0	A	en:troupe = fr:troupe ≈ en:troop ~ en:troops ≈ fr:troupes
checks	5	0.9224	0.822	0.822	1.0	A	en:checks ~ en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked = fr:vérifiés
checks	5	0.9224	0.822	0.822	1.0	A	en:checks ~ en:check ≈ fr:tchèque ~ fr:tchèques ≈ en:checked = fr:vérifiés
gin	5	0.9164	0.822	0.822	1.0	A	en:gin ~ fr:gins ≈ en:gene ~ en:genes ≈ fr:gin ~ fr:gin dôme
proof	5	0.9164	0.822	0.822	1.0	A	en:proof ~ fr:prouve ≈ en:prove ~ en:proves ≈ fr:prouvent ~ fr:prouver
testers	5	0.9164	0.822	0.822	1.0	A	en:testers ~ fr:testes ≈ en:test ~ fr:test ≈ en:tests ~ en:testes
testers	5	0.9164	0.822	0.822	1.0	A	en:testers ~ fr:testes ≈ en:test ~ fr:teste ≈ en:tests ~ en:testes
testes	5	0.9164	0.822	0.822	1.0	A	en:testes ~ fr:testes ≈ en:test ~ fr:test ≈ en:tests ~ en:testi
testes	5	0.9164	0.822	0.822	1.0	A	en:testes ~ fr:testes ≈ en:test ~ fr:test ≈ en:tests ~ fr:testi
testis	5	0.9164	0.822	0.822	1.0	A	en:testis ~ fr:testes ≈ en:test ~ fr:test ≈ en:tests ~ en:testes
testis	5	0.9164	0.822	0.822	1.0	A	en:testis ~ fr:testes ≈ en:test ~ fr:test ≈ en:tests ~ en:testi
gin	4	0.9155	0.822	0.822	1.0	A	en:gin ~ fr:gins ≈ en:gene ~ en:genes ≈ fr:gin
lording	4	0.9155	0.822	0.822	1.0	A	en:lording ~ fr:lords ≈ en:lord ~ fr:lord ≈ en:lords
proof	4	0.9155	0.822	0.822	1.0	A	en:proof ~ fr:prouve ≈ en:proves ~ fr:prouvent ≈ en:prove
proves	4	0.9155	0.822	0.822	1.0	A	en:proves ~ en:prove ≈ fr:prouvent ~ fr:prouve ≈ en:proved
proves	4	0.9155	0.822	0.822	1.0	A	en:proves ~ en:prove ≈ fr:prouve ~ fr:prouvent ≈ en:proved
spot	4	0.9155	0.822	0.822	1.0	A	en:spot ~ fr:spot ≈ en:sport ~ en:sports ≈ fr:spots
spot	4	0.9155	0.822	0.822	1.0	A	en:spot ~ fr:spots ≈ en:sport ~ en:sports ≈ fr:spot
stole	4	0.9155	0.822	0.822	1.0	A	en:stole ~ en:steal ≈ fr:styles ~ fr:style ≈ en:steals
stole	4	0.9155	0.822	0.822	1.0	A	en:stole ~ en:steal ≈ fr:style ~ fr:styles ≈ en:steals
style	4	0.9155	0.822	0.822	1.0	A	en:style ~ fr:style ≈ en:steal ~ en:steals ≈ fr:styles
style	4	0.9155	0.822	0.822	1.0	A	en:style ~ fr:styles ≈ en:steal ~ en:steals ≈ fr:style
testing	4	0.9155	0.822	0.822	1.0	A	en:testing ~ en:test ≈ fr:tests ~ en:tests ≈ fr:teste
testing	4	0.9155	0.822	0.822	1.0	A	en:testing ~ en:test ≈ fr:tests ~ en:tests ≈ fr:test
troupe	4	0.9155	0.822	0.822	1.0	A	en:troupe ~ fr:troupe ≈ en:troop ~ en:troops ≈ fr:troupes
treat esse	4	0.9145	0.822	0.822	0.966	A	en:treat esse ≈ fr:tristesse ~ fr:triste ≈ en:treat = fr:traitez
check	3	0.914	0.822	0.822	1.0	A	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
check	3	0.914	0.822	0.822	1.0	A	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checks
group	3	0.914	0.822	0.822	1.0	A	en:group ≈ fr:groupes ~ en:groups ≈ fr:groupe
group	3	0.914	0.822	0.822	1.0	A	en:group ≈ fr:groupes ~ en:groups ≈ fr:group
lord	3	0.914	0.822	0.822	1.0	A	en:lord ≈ fr:lords ~ en:lords ≈ fr:lord
prove	3	0.914	0.822	0.822	1.0	A	en:prove ≈ fr:prouvent ~ fr:prouve ≈ en:proves
prove	3	0.914	0.822	0.822	1.0	A	en:prove ≈ fr:prouve ~ fr:prouvent ≈ en:proves
sport	3	0.914	0.822	0.822	1.0	A	en:sport ≈ fr:spots ~ fr:spot ≈ en:sports
sport	3	0.914	0.822	0.822	1.0	A	en:sport ≈ fr:spot ~ fr:spots ≈ en:sports
steal	3	0.914	0.822	0.822	1.0	A	en:steal ≈ fr:styles ~ fr:style ≈ en:steals
steal	3	0.914	0.822	0.822	1.0	A	en:steal ≈ fr:style ~ fr:styles ≈ en:steals
test	3	0.914	0.822	0.822	1.0	A	en:test ≈ fr:tests ~ en:tests ≈ fr:teste
test	3	0.914	0.822	0.822	1.0	A	en:test ≈ fr:tests ~ en:tests ≈ fr:test
troop	3	0.914	0.822	0.822	1.0	A	en:troop ≈ fr:troupe ~ fr:troupes ≈ en:troops
treat esse	4	0.907	0.822	0.822	0.966	A	en:treat esse ≈ fr:tristesse ~ fr:triste ≈ en:treat ~ en:treating
spreading	4	0.9055	0.822	0.822	0.93	A	en:spreading ≈ fr:sprays in ~ fr:spray ≈ en:spread = fr:propagation
expressing	3	0.9003	0.822	0.822	0.959	A	en:expressing ≈ fr:exprès in ~ fr:exprès ≈ en:expressed
techniques	5	0.8986	0.822	0.822	0.881	A	en:techniques ~ en:technique ≈ fr:techniquement = en:technically ≈ fr:techniques lies ~ fr:techniques
techniques	5	0.8986	0.822	0.822	0.881	A	en:techniques ~ en:technique ≈ fr:techniquement = en:technically ≈ fr:techniques lies ~ fr:technique
spreading	3	0.8907	0.822	0.822	0.93	A	en:spreading ≈ fr:sprays in ~ fr:spray ≈ en:spread
tested	5	0.8868	0.822	0.822	0.822	A	en:tested = fr:testés ≈ en:test ~ fr:test ≈ en:tests ~ fr:teste
technically	5	0.8826	0.822	0.822	0.881	A	en:technically ≈ fr:techniques lies ~ en:techniques ≈ fr:technique ~ en:technique ≈ fr:techniquement
sexed	4	0.8785	0.822	0.822	0.822	A	en:sexed ~ en:sex ≈ fr:sexy = en:sexy ≈ fr:sexe
sext	4	0.8785	0.822	0.822	0.822	A	en:sext ~ en:sex ≈ fr:sexy = en:sexy ≈ fr:sexe
explored	4	0.876	0.822	0.822	0.842	A	en:explored ~ en:exploring ≈ fr:explore ~ en:explore ≈ fr:exploré
technically	3	0.8743	0.822	0.822	0.881	A	en:technically ≈ fr:techniques lies ~ en:technique ≈ fr:techniquement
sexed	4	0.871	0.822	0.822	0.822	A	en:sexed ~ en:sex ≈ fr:sexy ~ en:sexy ≈ fr:sexe
sext	4	0.871	0.822	0.822	0.822	A	en:sext ~ en:sex ≈ fr:sexy ~ en:sexy ≈ fr:sexe
class	5	0.9102	0.821	0.821	0.94	A	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
classes	4	0.9078	0.821	0.821	0.94	A	en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
class	5	0.9042	0.821	0.821	0.94	A	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy ~ fr:classe
classes	4	0.9002	0.821	0.821	0.94	A	en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy ~ fr:classe
exploring	5	0.8868	0.812	0.812	0.832	A	en:exploring ~ en:explored ≈ fr:explosent ~ fr:explose ≈ en:explore = fr:explorer
explode	5	0.8808	0.812	0.812	0.832	A	en:explode ~ fr:explose ≈ en:explore ~ en:explored ≈ fr:explosent ~ fr:exploser
explode	5	0.8808	0.812	0.812	0.832	A	en:explode ~ fr:explose ≈ en:explore ~ en:explored ≈ fr:explosent ~ fr:explosé
exploring	5	0.8808	0.812	0.812	0.832	A	en:exploring ~ en:explored ≈ fr:explosent ~ fr:explose ≈ en:explore ~ en:explores
rule	4	0.9175	0.8	0.8	1.0	A	en:rule ≈ fr:roule ~ fr:roulé ≈ en:ruler = fr:règle
streams	4	0.859	0.798	0.798	0.798	B	en:streams ~ fr:stream ≈ en:strip ~ fr:strip ≈ en:stream
streams	4	0.859	0.798	0.798	0.798	B	en:streams ~ en:stream ≈ fr:strip ~ en:strip ≈ fr:stream
stripped	4	0.859	0.798	0.798	0.798	B	en:stripped ~ fr:strip ≈ en:stream ~ fr:stream ≈ en:strip
stripped	4	0.859	0.798	0.798	0.798	B	en:stripped ~ en:strip ≈ fr:stream ~ en:stream ≈ fr:strip
strips	4	0.859	0.798	0.798	0.798	B	en:strips ~ en:strip ≈ fr:stream ~ en:stream ≈ fr:strip
strips	4	0.859	0.798	0.798	0.798	B	en:strips ~ fr:strip ≈ en:stream ~ fr:stream ≈ en:strip
excluded	4	0.892	0.795	0.795	0.933	B	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclues ≈ en:exclude
excluded	4	0.892	0.795	0.795	0.933	B	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus ≈ en:exclude
exclusion	3	0.8873	0.795	0.795	0.947	B	en:exclusion ≈ fr:exclus haine ~ en:exclude ≈ fr:exclus
exclusion	3	0.8873	0.795	0.795	0.947	B	en:exclusion ≈ fr:exclus haine ~ en:exclude ≈ fr:exclues
exports	5	0.8868	0.795	0.795	0.849	B	en:exports ~ fr:exporte ≈ en:expert ~ fr:experte ≈ en:export = fr:exportations
exports	5	0.8808	0.795	0.795	0.849	B	en:exports ~ fr:exporte ≈ en:expert ~ fr:experte ≈ en:export ~ fr:exportés
masque	3	0.9043	0.793	0.793	0.97	B	en:masque ≈ fr:masque = en:mask ≈ fr:masques
sketches	4	0.8605	0.792	0.792	0.81	B	en:sketches ~ en:sketch ≈ fr:scotch ~ en:scotch ≈ fr:sketch
sketches	4	0.8605	0.792	0.792	0.81	B	en:sketches ~ fr:sketch ≈ en:scotch ~ fr:scotch ≈ en:sketch
platforms	3	0.8723	0.786	0.786	0.881	B	en:platforms ≈ fr:plateformes = en:platform ≈ fr:plateforme
sheered	5	0.8676	0.786	0.786	0.792	B	en:sheered ~ en:sharply ≈ fr:chie pli ~ fr:chie ≈ en:sheer ~ fr:sévèrement
platforms	3	0.8623	0.786	0.786	0.881	B	en:platforms ≈ fr:plateforme ~ en:platform ≈ fr:plateformes
sheered	4	0.8545	0.786	0.786	0.792	B	en:sheered ~ en:sharply ≈ fr:chie pli ~ fr:chie ≈ en:sheer
strings	4	0.853	0.786	0.786	0.786	B	en:strings ~ fr:string ≈ en:stream ~ fr:stream ≈ en:string
strings	4	0.853	0.786	0.786	0.786	B	en:strings ~ en:string ≈ fr:stream ~ en:stream ≈ fr:string
flues	6	0.9342	0.785	0.785	1.0	B	en:flues ≈ fr:flouze ~ fr:flou ≈ en:flu = fr:grippe ≈ en:creep = fr:fluage
jinn	5	0.926	0.785	0.785	1.0	B	en:jinn ≈ fr:gin ~ en:gin ≈ fr:jean = en:jean ≈ fr:djinns
piece	5	0.925	0.785	0.785	1.0	B	en:piece ≈ fr:pisses ~ en:pissed ≈ fr:piste ~ fr:pistent ≈ en:pieced
piece	5	0.925	0.785	0.785	1.0	B	en:piece ≈ fr:pisses ~ en:pissed ≈ fr:pistes ~ fr:pistent ≈ en:pieced
piste	6	0.9242	0.785	0.785	1.0	B	en:piste ~ fr:pistent ≈ en:pieced ~ en:piece ≈ fr:pisses ~ en:pissed ≈ fr:piste
piste	6	0.9242	0.785	0.785	1.0	B	en:piste ~ fr:piste ≈ en:pissed ~ fr:pisse ≈ en:piece ~ en:pieced ≈ fr:pistent
track	5	0.921	0.785	0.785	1.0	B	en:track = fr:piste ≈ en:pissed ~ fr:pisse ≈ en:piece = fr:morceau
jinn	5	0.92	0.785	0.785	1.0	B	en:jinn ≈ fr:gin ~ en:gin ≈ fr:jean ~ en:jean ≈ fr:djinns
crass	6	0.9167	0.785	0.785	0.985	B	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
crass	6	0.9167	0.785	0.785	0.985	B	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:cric
cruet	5	0.909	0.785	0.785	0.97	B	en:cruet ~ en:cruck ≈ fr:crack = en:crack ≈ fr:craque ~ en:cric
clique	4	0.9062	0.785	0.785	1.0	B	en:clique ≈ fr:clic ~ en:click ≈ fr:clique ~ fr:cliques
treaty	5	0.9054	0.785	0.785	0.952	B	en:treaty = fr:traité ≈ en:treater ~ en:pact ≈ fr:pacte ~ fr:pact
treaty	5	0.9054	0.785	0.785	0.952	B	en:treaty = fr:traité ≈ en:treater ~ en:pact ≈ fr:pacte ~ fr:pactes
cruet	5	0.903	0.785	0.785	0.97	B	en:cruet ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:cric
clique	3	0.9017	0.785	0.785	1.0	B	en:clique ≈ fr:clic ~ en:click ≈ fr:clique
jean	3	0.9017	0.785	0.785	1.0	B	en:jean ≈ fr:gin ~ en:gin ≈ fr:jean
jean	3	0.9017	0.785	0.785	1.0	B	en:jean ≈ fr:gins ~ en:gin ≈ fr:jean
cruck	4	0.8988	0.785	0.785	0.97	B	en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
cruck	4	0.8988	0.785	0.785	0.97	B	en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:cric
speed	5	0.897	0.785	0.785	0.94	B	en:speed ~ fr:speed ≈ en:sped ~ fr:faste ≈ en:faster ~ en:speeder
textbooks	4	0.893	0.785	0.785	0.947	B	en:textbooks ≈ fr:taxent box ~ fr:boxe ≈ en:books ~ fr:books
textbooks	3	0.884	0.785	0.785	0.947	B	en:textbooks ≈ fr:taxent box ~ fr:boxe ≈ en:books
close	4	0.854	0.785	0.785	0.791	B	en:close ~ fr:close ≈ en:clause ~ fr:clause ≈ en:closes
close	4	0.854	0.785	0.785	0.791	B	en:close ~ fr:close ≈ en:clause ~ fr:clauses ≈ en:closes
closed	4	0.854	0.785	0.785	0.791	B	en:closed ~ en:closes ≈ fr:clause ~ en:clause ≈ fr:closes
closing	4	0.854	0.785	0.785	0.791	B	en:closing ~ en:closes ≈ fr:clause ~ en:clause ≈ fr:closes
proved	4	0.8612	0.783	0.783	0.822	B	en:proved ~ en:proves ≈ fr:prouve ~ fr:prouvant ≈ en:proven
proved	4	0.8612	0.783	0.783	0.822	B	en:proved ~ en:proves ≈ fr:prouvent ~ fr:prouvant ≈ en:proven
genes	5	0.9084	0.782	0.782	1.0	B	en:genes ~ en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
genes	5	0.9084	0.782	0.782	1.0	B	en:genes ~ en:gene ≈ fr:gin ~ fr:gin dôme ≈ en:genome ~ fr:gènes
gene	4	0.9055	0.782	0.782	1.0	B	en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
gene	4	0.9055	0.782	0.782	1.0	B	en:gene ≈ fr:gin ~ fr:gin dôme ≈ en:genome ~ fr:gènes
red	6	0.9285	0.781	0.781	1.0	B	en:red ≈ fr:raid ~ fr:raids ≈ en:reds = fr:rouges ≈ en:rouge ~ fr:rouge
tel	5	0.9242	0.781	0.781	1.0	B	en:tel ≈ fr:telles ~ fr:telle ≈ en:tell ~ en:tells ≈ fr:tels
tel	5	0.9242	0.781	0.781	1.0	B	en:tel ≈ fr:telle ~ fr:telles ≈ en:tell ~ en:tells ≈ fr:tels
tell	5	0.9242	0.781	0.781	1.0	B	en:tell ≈ fr:telles ~ fr:telle ≈ en:tel ~ fr:tels ≈ en:tells
tell	5	0.9242	0.781	0.781	1.0	B	en:tell ≈ fr:telle ~ fr:telles ≈ en:tel ~ fr:tels ≈ en:tells
telly	6	0.9235	0.781	0.781	1.0	B	en:telly ~ en:tell ≈ fr:telles ~ fr:telle ≈ en:tel ~ fr:tels ≈ en:tells
telly	6	0.9235	0.781	0.781	1.0	B	en:telly ~ en:tell ≈ fr:telle ~ fr:telles ≈ en:tel ~ fr:tels ≈ en:tells
buddy	5	0.9202	0.781	0.781	1.0	B	en:buddy = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:buddies
buddy	5	0.9202	0.781	0.781	1.0	B	en:buddy = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:buddies
dicks	5	0.9202	0.781	0.781	1.0	B	en:dicks = fr:bites ≈ en:beats ~ en:beat ≈ fr:bite = en:dick
pal	5	0.9202	0.781	0.781	1.0	B	en:pal = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:pals
pal	5	0.9202	0.781	0.781	1.0	B	en:pal = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:pals
penalties	5	0.9202	0.781	0.781	1.0	B	en:penalties = fr:peines ≈ en:pens ~ en:pen ≈ fr:peine = en:penalty
road	5	0.9202	0.781	0.781	1.0	B	en:road = fr:route ≈ en:routes ~ en:route ≈ fr:routes = en:roads
fell	5	0.9142	0.781	0.781	1.0	B	en:fell ~ en:falls ≈ fr:folles ~ fr:folle ≈ en:fall = fr:fall
fleet	5	0.9142	0.781	0.781	0.97	B	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes = en:fleets
glue	5	0.9142	0.781	0.781	1.0	B	en:glue = fr:colle ≈ en:call ~ en:calls ≈ fr:collent ~ fr:colles
glue	5	0.9142	0.781	0.781	1.0	B	en:glue = fr:colle ≈ en:calls ~ en:call ≈ fr:collent ~ fr:colles
quote	5	0.9142	0.781	0.781	1.0	B	en:quote ~ fr:quote ≈ en:court ~ en:courts ≈ fr:cotes = en:quotes
quote	5	0.9142	0.781	0.781	1.0	B	en:quote ~ fr:quote ≈ en:courts ~ en:court ≈ fr:cotes = en:quotes
website	5	0.9142	0.781	0.781	1.0	B	en:website ~ fr:site ≈ en:seats ~ en:seat ≈ fr:sites = en:websites
crowd	4	0.9128	0.781	0.781	1.0	B	en:crowd = fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
quotes	4	0.9128	0.781	0.781	1.0	B	en:quotes = fr:cotes ≈ en:court ~ en:courts ≈ fr:quote
this	4	0.9128	0.781	0.781	1.0	B	en:this = fr:cet ≈ en:set ~ en:sets ≈ fr:cette
bit	4	0.9127	0.781	0.781	1.0	B	en:bit = fr:bits ≈ en:beats ~ en:beat ≈ fr:bit
quotes	4	0.9127	0.781	0.781	1.0	B	en:quotes = fr:cotes ≈ en:courts ~ en:court ≈ fr:quote
red	4	0.9127	0.781	0.781	1.0	B	en:red ≈ fr:raid ~ fr:raids ≈ en:reds = fr:rouges
root	4	0.9127	0.781	0.781	1.0	B	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racines
root	4	0.9127	0.781	0.781	1.0	B	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racine
letters	6	0.9112	0.781	0.781	0.976	B	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres ~ en:letras
letters	5	0.9094	0.781	0.781	0.976	B	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres
beater	5	0.9082	0.781	0.781	1.0	B	en:beater ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beater	5	0.9082	0.781	0.781	1.0	B	en:beater ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beaters	5	0.9082	0.781	0.781	1.0	B	en:beaters ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beaters	5	0.9082	0.781	0.781	1.0	B	en:beaters ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beating	5	0.9082	0.781	0.781	1.0	B	en:beating ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beating	5	0.9082	0.781	0.781	1.0	B	en:beating ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
court arse	5	0.9082	0.781	0.781	1.0	B	en:court arse ~ en:court ≈ fr:cotes ~ fr:cote ≈ en:courts ~ fr:court
court arse	5	0.9082	0.781	0.781	1.0	B	en:court arse ~ en:court ≈ fr:cote ~ fr:cotes ≈ en:courts ~ fr:court
fell	5	0.9082	0.781	0.781	1.0	B	en:fell ~ en:falls ≈ fr:folles ~ fr:folle ≈ en:fall ~ fr:fall
fleet	5	0.9082	0.781	0.781	0.97	B	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes ~ en:flota
meetly	5	0.9082	0.781	0.781	1.0	B	en:meetly ~ en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets ~ fr:rencontrez
rode	5	0.9082	0.781	0.781	1.0	B	en:rode ~ fr:ride ≈ en:read ~ en:reads ≈ fr:rides ~ en:rides
rode	5	0.9082	0.781	0.781	1.0	B	en:rode ~ fr:ride ≈ en:read ~ en:reads ≈ fr:rides ~ en:ride
rooter	5	0.9082	0.781	0.781	1.0	B	en:rooter ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ fr:rooth
rooter	5	0.9082	0.781	0.781	1.0	B	en:rooter ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ en:rooth
rooters	5	0.9082	0.781	0.781	1.0	B	en:rooters ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ fr:rooth
rooters	5	0.9082	0.781	0.781	1.0	B	en:rooters ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ en:rooth
rooting	5	0.9082	0.781	0.781	1.0	B	en:rooting ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ fr:rooth
rooting	5	0.9082	0.781	0.781	1.0	B	en:rooting ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ en:rooth
website	5	0.9082	0.781	0.781	1.0	B	en:website ~ fr:site ≈ en:seats ~ en:seat ≈ fr:sites ~ en:websites
bit	4	0.9052	0.781	0.781	1.0	B	en:bit ~ fr:bits ≈ en:beats ~ en:beat ≈ fr:bit
bite	4	0.9052	0.781	0.781	1.0	B	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bites
bite	4	0.9052	0.781	0.781	1.0	B	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bittent
caller	4	0.9052	0.781	0.781	1.0	B	en:caller ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
caller	4	0.9052	0.781	0.781	1.0	B	en:caller ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
callers	4	0.9052	0.781	0.781	1.0	B	en:callers ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
callers	4	0.9052	0.781	0.781	1.0	B	en:callers ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
calling	4	0.9052	0.781	0.781	1.0	B	en:calling ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
calling	4	0.9052	0.781	0.781	1.0	B	en:calling ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
crowd	4	0.9052	0.781	0.781	1.0	B	en:crowd ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
felt	4	0.9052	0.781	0.781	1.0	B	en:felt ~ en:feel ≈ fr:file ~ fr:files ≈ en:feels
felt	4	0.9052	0.781	0.781	1.0	B	en:felt ~ en:feels ≈ fr:file ~ fr:files ≈ en:feel
meet	4	0.9052	0.781	0.781	1.0	B	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets ~ fr:rencontres
meet eek	4	0.9052	0.781	0.781	1.0	B	en:meet eek ~ en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
meet eek	4	0.9052	0.781	0.781	1.0	B	en:meet eek ~ en:meets ≈ fr:mythe ~ fr:mythes ≈ en:meet
net	4	0.9052	0.781	0.781	1.0	B	en:net ≈ fr:nets ~ en:nets ≈ fr:net ~ fr:internaute
pooch	4	0.9052	0.781	0.781	1.0	B	en:pooch ~ fr:poules ≈ en:pool ~ en:pools ≈ fr:poule
pooch	4	0.9052	0.781	0.781	1.0	B	en:pooch ~ fr:poules ≈ en:pools ~ en:pool ≈ fr:poule
reader	4	0.9052	0.781	0.781	1.0	B	en:reader ≈ fr:rides ~ fr:ride ≈ en:reads ~ fr:reading
reader	4	0.9052	0.781	0.781	1.0	B	en:reader ≈ fr:rides ~ fr:ride ≈ en:reads ~ en:reading
readied	4	0.9052	0.781	0.781	1.0	B	en:readied ~ en:read ≈ fr:rides ~ fr:ride ≈ en:reads
readied	4	0.9052	0.781	0.781	1.0	B	en:readied ~ en:read ≈ fr:ride ~ fr:rides ≈ en:reads
readies	4	0.9052	0.781	0.781	1.0	B	en:readies ~ en:read ≈ fr:rides ~ fr:ride ≈ en:reads
readies	4	0.9052	0.781	0.781	1.0	B	en:readies ~ en:read ≈ fr:ride ~ fr:rides ≈ en:reads
ride	4	0.9052	0.781	0.781	1.0	B	en:ride ~ fr:ride ≈ en:read ~ en:reads ≈ fr:rides
ride	4	0.9052	0.781	0.781	1.0	B	en:ride ~ fr:rides ≈ en:read ~ en:reads ≈ fr:ride
routeing	4	0.9052	0.781	0.781	1.0	B	en:routeing ~ fr:routes ≈ en:route ~ fr:route ≈ en:routes
routeing	4	0.9052	0.781	0.781	1.0	B	en:routeing ~ en:route ≈ fr:routes ~ en:routes ≈ fr:route
routers	4	0.9052	0.781	0.781	1.0	B	en:routers ~ en:routes ≈ fr:route ~ en:route ≈ fr:routes
ruler	4	0.9052	0.781	0.781	1.0	B	en:ruler ≈ fr:roule ~ fr:roulé ≈ en:rule ~ fr:règle
ruler	4	0.9052	0.781	0.781	1.0	B	en:ruler ≈ fr:roule ~ fr:roulé ≈ en:rule ~ en:regel
scene	4	0.9052	0.781	0.781	1.0	B	en:scene ≈ fr:seines ~ fr:seine ≈ en:scenes ~ fr:scènes
setters	4	0.9052	0.781	0.781	1.0	B	en:setters ~ fr:sets ≈ en:set ~ fr:set ≈ en:sets
setters	4	0.9052	0.781	0.781	1.0	B	en:setters ~ en:sets ≈ fr:set ~ en:set ≈ fr:sets
piqued	5	0.9022	0.781	0.781	0.97	B	en:piqued ~ fr:piquer ≈ en:peaky ~ en:peaks ≈ fr:piques ~ fr:piquet
piqued	5	0.9022	0.781	0.781	0.97	B	en:piqued ~ fr:piquer ≈ en:peaky ~ en:peaks ≈ fr:piques ~ en:piquet
beat	3	0.9003	0.781	0.781	1.0	B	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beat	3	0.9003	0.781	0.781	1.0	B	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
call	3	0.9003	0.781	0.781	1.0	B	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
call	3	0.9003	0.781	0.781	1.0	B	en:call ≈ fr:cols ~ fr:colle ≈ en:calls
court	3	0.9003	0.781	0.781	1.0	B	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts
court	3	0.9003	0.781	0.781	1.0	B	en:court ≈ fr:cote ~ fr:cotes ≈ en:courts
fall	3	0.9003	0.781	0.781	1.0	B	en:fall ≈ fr:folles ~ fr:folle ≈ en:falls
fall	3	0.9003	0.781	0.781	1.0	B	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
