en_phrase	fr_phrase	combo	coverage	fluency
at times	et table	0.484	0.86	0.670
of man	aux man	0.482	1.00	0.641
at any	arrêter	0.524	1.00	0.537
that one	d n	0.485	0.83	0.683
and mr	in must	0.465	1.00	0.816
can you	gain où	0.531	0.80	0.462
now the	nous est	0.487	0.80	0.767
obliged to	obligent tout	0.590	0.80	0.371
cannot be	khan et but	0.484	1.00	0.596
far from	fort rome	0.547	1.00	0.514
way of	élèves	0.466	0.80	0.495
was still	ouest il	0.651	1.00	0.603
not yet	d êtes	0.566	0.83	0.571
the scene	d une	0.490	1.00	0.937
which it	et cette	0.486	0.83	0.798
so as	suisse	0.502	0.80	0.503
was it	vous êtes	0.516	1.00	0.871
course of	corps as	0.496	1.00	0.608
beneath the	but le	0.542	0.83	0.798
no no	non or	0.537	0.83	0.594
like to	lad où	0.653	0.83	0.402
but now	but ne	0.583	0.83	0.747
but my	but ma	0.683	0.83	0.699
where he	lundi	0.501	0.80	0.507
to what	télé	0.501	0.80	0.480
and said	en cette	0.530	0.83	0.798
very well	terrible	0.579	0.86	0.591
in vain	on fine	0.531	0.83	0.697
be seen	but une	0.603	1.00	0.745
as that	as êtes	0.479	1.00	0.637
within the	les un de	0.484	1.00	0.803
to an	tourne	0.591	1.00	0.449
what it	ouest	0.617	0.80	0.526
front of	freinent as	0.639	1.00	0.435
now that	nous as	0.466	0.83	0.732
heard the	et de	0.503	0.80	0.964
the devil	d échelle	0.452	1.00	0.569
for this	forte	0.670	0.83	0.516
has not	aux notes	0.492	0.83	0.798
been so	bain ça	0.548	0.83	0.598
himself to	un cet tout	0.583	0.89	0.561
to morrow	demanda	0.499	0.86	0.410
he seemed	et hymne	0.516	0.83	0.500
order to	hors du	0.727	1.00	0.817
used to	us tout	0.588	0.83	0.643
it be	est dit	0.517	1.00	0.817
this time	des femmes	0.483	0.86	0.830
all their	ils air	0.595	1.00	0.577
could see	tout si	0.581	1.00	0.767
went to	ouest où	0.742	1.00	0.486
the bottom	gendarmes	0.466	0.86	0.479
in those	on chose	0.502	0.83	0.650
the main	son n	0.496	0.83	0.659
the mast	limite	0.470	0.83	0.497
the others	dièse	0.464	0.80	0.097
more of	madame	0.466	1.00	0.775
for one	froide	0.553	0.83	0.378
been in	bon in	0.584	1.00	0.690
what the	et de	0.497	0.80	0.964
told me	tout mi	0.605	0.86	0.509
with one	les veines	0.466	1.00	0.767
in general	in vain rôles	0.492	1.00	0.711
are all	orale	0.518	1.00	0.263
the business	jamais ne	0.463	0.88	0.561
at present	et prêts êtes	0.660	0.89	0.511
with your	les airs	0.481	0.83	0.767
the sight	des hautes	0.478	0.83	0.767
before he	est aurait	0.468	0.83	0.509
appeared to	était tout	0.555	0.86	0.798
still more	serveur	0.516	0.86	0.367
and your	en dire	0.532	0.83	0.767
by my	batailles	0.570	0.83	0.290
the truth	d routes	0.489	1.00	0.555
when we	on oui	0.643	0.80	0.621
less than	les veines	0.573	1.00	0.767
was of	les ève	0.536	1.00	0.433
have done	as n	0.485	0.83	0.749
the point	rapporte	0.525	0.86	0.403
the town	d n	0.470	0.83	0.683
one side	on sarde	0.571	0.86	0.438
down and	don halte	0.492	0.86	0.386
the men	on n	0.594	0.80	0.893
sea and	sciences	0.520	0.80	0.410
much more	met maures	0.690	0.86	0.325
those who	lors où	0.493	0.83	0.546
and no	n deux	0.493	0.83	0.611
as an	aux une	0.496	1.00	0.564
de bourgh	devons	0.569	0.80	0.432
years ago	lors ego	0.545	0.88	0.426
in love	on love	0.531	1.00	0.735
rest of	restée	0.727	0.83	0.350
all of	élèves	0.537	1.00	0.495
will you	ailier	0.498	0.80	0.242
to leave	olive	0.715	0.80	0.316
unable to	on étalent où	0.648	0.89	0.449
be very	métairie	0.630	1.00	0.333
at it	hésite	0.513	1.00	0.380
she saw	chez un	0.540	1.00	0.817
but no	but nos	0.683	0.83	0.633
to keep	équipe	0.715	0.80	0.627
on one	on n	0.552	0.80	0.893
so long	salope	0.547	0.83	0.382
and have	en gave	0.506	0.83	0.643
you could	bouquet	0.467	0.80	0.396
life and	land hard	0.514	0.86	0.425
out in	et n	0.513	0.80	0.855
is but	aux but	0.452	1.00	0.675
from it	profite	0.484	1.00	0.407
name of	népal	0.541	0.83	0.204
down into	tanin tout	0.476	0.88	0.261
out and	et hard	0.466	0.83	0.573
which in	et chaîne	0.498	0.83	0.601
take the	tiques a	0.518	0.83	0.529
miss darcy	mais dards a	0.497	1.00	0.544
eyes and	aux hard	0.456	0.83	0.442
their own	baronne	0.490	0.83	0.388
he came	chicane	0.470	0.83	0.118
assure you	sérieux	0.455	0.83	0.522
me on	merde	0.461	1.00	0.574
acquainted with	quid louise	0.457	0.82	0.354
young lady	ion les a	0.555	0.88	0.604
return to	est un tout	0.579	1.00	0.778
who have	grave	0.454	0.80	0.509
and who	en tout	0.561	0.80	0.767
not that	nantes a	0.509	0.83	0.678
only one	on divine	0.499	0.88	0.597
elizabeth had	les avaient a	0.466	0.80	0.852
near the	nerfs et	0.524	1.00	0.767
my sister	mais est	0.478	0.86	0.798
more and	madame	0.463	0.83	0.775
power to	but où	0.593	0.80	0.672
be it	poète	0.511	1.00	0.392
all over	élèves	0.502	0.80	0.495
the middle	jamais il	0.478	1.00	0.830
from which	frein ouest	0.538	1.00	0.373
head of	élèves	0.518	0.80	0.495
st simon	son domaine	0.559	0.80	0.584
man in	main un	0.552	1.00	0.798
sense of	son savent	0.624	1.00	0.557
who has	noise	0.498	0.80	0.570
at one	et n	0.506	0.80	0.855
which are	est chair	0.483	0.83	0.587
at such	as h	0.507	0.83	0.633
day and	débattre	0.505	1.00	0.298
the ladies	gelées as	0.550	0.88	0.488
much to	mot j	0.477	0.83	0.767
for your	arrière	0.565	0.83	0.512
till the	tels a	0.525	1.00	0.704
him at	un hâte	0.523	0.80	0.414
so it	suite	0.625	0.80	0.379
she will	charles	0.566	0.80	0.442
take it	défaite	0.482	0.83	0.441
him from	on primes	0.482	0.86	0.560
though he	série	0.476	0.80	0.577
the king	recueil	0.452	1.00	0.369
it out	gratte	0.593	0.80	0.281
on which	on ouest	0.492	1.00	0.670
as far	et are	0.482	0.80	0.781
for their	fonds air	0.671	0.83	0.523
of men	aux mène	0.676	1.00	0.399
night and	d hard	0.454	0.86	0.559
endeavoured to	n est où	0.667	1.00	0.766
had ever	élèves	0.622	0.80	0.495
thought that	sont cette	0.478	1.00	0.519
round and	rien dan	0.504	0.88	0.404
that for	d for	0.673	1.00	0.797
the police	reprise	0.453	0.86	0.447
ship and	chapitre	0.454	1.00	0.567
not very	d verrez	0.562	1.00	0.478
be found	but out	0.480	0.86	0.782
likely to	semblait où	0.528	0.88	0.427
must not	mes notes	0.565	0.86	0.767
that no	d nos	0.514	0.83	0.569
want to	ouest où	0.645	1.00	0.486
are to	eurent où	0.718	1.00	0.358
and therefore	in serveur	0.492	1.00	0.626
if we	et oui	0.623	1.00	0.570
looked at	laid êtes	0.541	0.83	0.451
up with	appoint	0.519	0.80	0.170
was as	oies as	0.548	1.00	0.493
in spite	on sparte	0.644	1.00	0.477
and which	in kitsch	0.484	1.00	0.492
which would	et chouette	0.487	0.86	0.524
from their	femmes air	0.644	0.86	0.478
which we	et jouit	0.581	0.83	0.476
they will	civils	0.499	0.83	0.380
it from	est rome	0.479	0.83	0.610
the carriage	requérir	0.452	0.88	0.070
them but	vain but	0.478	1.00	0.665
with this	ils s	0.454	0.83	0.867
his sister	s oust	0.560	0.86	0.409
thank you	son cou	0.484	0.83	0.767
sat down	saint dan	0.665	0.86	0.475
from me	frein me	0.587	1.00	0.558
resolved to	aux alpes tout	0.527	1.00	0.469
returned to	et n tout	0.537	1.00	0.751
from this	frappes s	0.611	1.00	0.523
into my	on thomas	0.522	0.86	0.492
the deep	laid if	0.512	1.00	0.637
george allen	lord jalonnent	0.653	0.90	0.272
though it	poète	0.497	0.80	0.392
the word	secondes	0.464	1.00	0.482
you the	yeux au	0.496	1.00	0.798
this morning	des morne	0.578	0.78	0.391
every day	offrit à	0.490	0.86	0.798
nothing to	d un tout	0.539	1.00	0.819
had seen	et fine	0.595	0.83	0.646
and were	en de	0.452	0.80	0.760
when it	ouest	0.687	0.80	0.526
this way	déçoit	0.505	0.83	0.152
had taken	et déconne	0.515	0.78	0.478
is of	élèves	0.507	1.00	0.495
you said	yeux s	0.486	1.00	0.767
felt that	veulent tête	0.553	1.00	0.441
since the	son de	0.589	0.83	0.760
is my	aux ma	0.486	0.80	0.518
appearance of	éperon savent	0.528	0.89	0.280
according to	écart on tout	0.549	1.00	0.585
before him	intérim	0.457	0.86	0.277
means of	mines as	0.741	1.00	0.558
my uncle	marin quel	0.623	1.00	0.375
the living	gelées n	0.461	1.00	0.376
believe that	plus vite	0.481	1.00	0.840
of old	aborde	0.484	0.83	0.233
which were	et choix	0.488	0.83	0.441
and let	in let	0.528	1.00	0.801
have to	pas tout	0.525	1.00	0.767
the top	étape	0.496	0.80	0.466
he cried	dégrade	0.581	0.86	0.183
mast heads	mais test	0.537	0.88	0.437
on deck	on mec	0.628	1.00	0.691
by george	but georges	0.667	0.78	0.524
dare say	nerfs et	0.541	0.83	0.767
want of	on savent	0.526	0.83	0.644
many of	mon s	0.497	0.83	0.690
no other	noise	0.487	0.80	0.570
the moment	demain n	0.474	0.78	0.445
to and	table	0.463	0.80	0.627
much the	matchs a	0.594	1.00	0.697
who would	ovide	0.499	0.80	0.170
in what	on watts	0.607	1.00	0.508
he never	on ève	0.701	0.80	0.507
wished to	ouest où	0.673	1.00	0.486
all and	hollande	0.758	0.80	0.296
was all	vous elle	0.504	1.00	0.767
he asked	kiosque	0.463	0.83	0.210
not help	d alpes	0.546	0.86	0.549
but they	but d	0.505	0.83	0.767
do it	suite	0.528	1.00	0.379
by an	baronne	0.659	1.00	0.388
more to	met où	0.694	0.80	0.510
by all	bal	0.694	1.00	0.342
known to	non tout	0.740	0.83	0.494
was too	vais tout	0.603	1.00	0.767
before you	et orient	0.493	1.00	0.571
will have	relève	0.490	0.83	0.413
her that	aux êtes	0.507	0.80	0.453
in london	on land n	0.522	1.00	0.731
from all	frein or	0.577	1.00	0.522
they would	david	0.474	0.83	0.233
her in	lorraine	0.482	1.00	0.355
is now	n a	0.530	0.80	0.883
said to	sept ou	0.826	1.00	0.767
tried to	très tout	0.725	0.86	0.542
be done	but n	0.620	1.00	0.747
state of	tsf	0.498	0.86	0.000
found in	femmes ils	0.551	0.86	0.767
capable of	québécoise	0.503	0.80	0.365
now in	noël	0.487	0.80	0.480
this matter	d maire	0.490	1.00	0.593
cause of	cons as	0.518	1.00	0.608
one and	on hard	0.486	0.83	0.624
before me	permit	0.645	0.83	0.493
me from	but rome	0.494	1.00	0.712
with that	les date	0.457	1.00	0.522
the dead	laid aides	0.725	1.00	0.423
to some	des hommes	0.512	1.00	0.861
by any	baron et	0.588	1.00	0.848
and one	en donne	0.523	0.83	0.798
them the	don de	0.490	1.00	0.767
knowledge of	nazis savent	0.532	1.00	0.356
bennet was	bain est as	0.520	0.88	0.621
to such	d h	0.488	0.83	0.567
you in	ruines	0.521	1.00	0.270
in town	on dan	0.536	0.83	0.594
copyright by	cabaret pas	0.518	0.82	0.474
them all	symbole	0.595	1.00	0.403
was then	as n	0.565	0.83	0.749
you should	bouchon	0.484	0.80	0.273
very good	terrible	0.508	0.86	0.591
elizabeth and	les avait un	0.460	0.90	0.859
be able	visible	0.482	0.86	0.500
object of	objectif	0.594	0.89	0.507
we can	liquide	0.516	1.00	0.405
air and	erreur	0.561	0.80	0.507
you cannot	bouquin a	0.475	0.86	0.590
ready to	dit et où	0.550	1.00	0.816
her ladyship	allées échappe	0.534	0.80	0.336
to meet	limite	0.667	1.00	0.497
but we	but oui	0.786	1.00	0.621
the poor	report	0.595	1.00	0.512
what had	laid aides	0.514	0.83	0.423
he took	québec	0.479	1.00	0.585
my hand	marianne	0.553	0.86	0.284
door and	moral	0.461	0.83	0.422
the cause	repose	0.560	1.00	0.432
was on	les hommes	0.522	1.00	0.887
the bed	label	0.489	1.00	0.473
the ocean	diogène	0.507	0.86	0.070
the mate	son êtes	0.478	0.83	0.547
ye see	yeux au	0.511	1.00	0.798
case of	quais as	0.501	0.83	0.543
the course	vacances	0.458	0.83	0.507
in and	un in	0.456	0.80	0.813
even in	in in	0.516	0.83	0.927
so well	cellules	0.627	0.83	0.401
not but	d bit	0.484	1.00	0.548
the neighbourhood	son épouse	0.482	0.78	0.767
had heard	et code	0.492	0.83	0.514
air of	élèves	0.509	1.00	0.495
bingley and	bain glisse	0.564	0.78	0.327
and their	en chair	0.593	0.83	0.601
the contrary	décan terrain	0.474	0.90	0.200
but still	but style	0.709	1.00	0.660
matter of	madame	0.453	0.83	0.775
forced to	furent tous	0.548	0.86	0.767
here is	crise	0.519	0.80	0.501
my mother	madame	0.523	0.83	0.775
all but	honnête	0.546	0.80	0.379
give me	gars mi	0.651	1.00	0.479
myself to	mais est où	0.561	0.89	0.681
her she	gâchis	0.611	1.00	0.225
what to	et tout	0.621	0.80	0.817
that moment	dit mon halte	0.453	0.90	0.595
that your	d or	0.488	0.83	0.855
and would	en suède	0.492	1.00	0.767
sound of	son savent	0.645	0.86	0.557
mr gardiner	mais gares n	0.538	0.90	0.471
top of	tendance	0.458	1.00	0.489
at me	est mis	0.650	1.00	0.767
whale in	latine	0.475	0.83	0.348
time of	tennis	0.458	0.83	0.378
the good	second	0.519	0.80	0.637
was one	les veines	0.492	1.00	0.767
on their	on chairs	0.646	1.00	0.767
nothing of	d gave	0.450	0.86	0.667
or three	est ri	0.562	0.80	0.460
how can	organes	0.481	0.83	0.348
you but	répète	0.467	1.00	0.378
us to	et tout	0.666	1.00	0.817
them with	témoins	0.489	0.83	0.407
you my	coma	0.487	0.80	0.284
was quite	les boîte	0.544	0.88	0.565
was soon	les unes	0.513	0.83	0.798
with great	les gratte	0.531	0.88	0.474
he looked	pilote	0.523	0.83	0.426
to miss	son s	0.514	1.00	0.895
her but	invite	0.507	0.80	0.422
her brother	abrite	0.497	0.83	0.279
than that	des êtes	0.472	0.83	0.544
whom he	soumis	0.634	0.80	0.420
man with	main il	0.498	0.83	0.767
of every	avais du	0.470	1.00	0.767
she might	limite	0.547	0.83	0.497
to himself	son self	0.546	0.78	0.566
next morning	net mon in	0.548	0.82	0.559
hope to	out où	0.575	0.83	0.598
could hardly	connard dit	0.596	0.89	0.496
is quite	aux boîte	0.535	0.86	0.458
by that	bas as	0.594	0.83	0.576
she felt	dit elle	0.459	0.83	0.855
some other	son s	0.487	1.00	0.895
the street	les traitent	0.551	1.00	0.767
the sound	d hard	0.464	0.86	0.559
me he	midi	0.750	1.00	0.524
attached to	et est tout	0.514	1.00	0.749
but how	but hais	0.488	0.83	0.546
to its	test	0.505	0.80	0.333
know not	non as	0.544	0.83	0.633
to put	défaite	0.509	1.00	0.441
be happy	brebis	0.636	0.83	0.233
was there	as air	0.565	0.83	0.798
the open	sorbonne	0.467	0.86	0.269
did he	dit à	0.505	0.80	0.861
my first	met est	0.460	0.86	0.591
upon him	otan aimes	0.516	0.86	0.340
my soul	mailles hausse	0.549	0.86	0.268
the surface	des et s	0.459	1.00	0.776
something of	son pain if	0.464	1.00	0.862
number of	on brave	0.557	0.86	0.644
and thus	n dix	0.563	1.00	0.514
young ladies	on les use	0.545	0.78	0.737
have given	aviez âne	0.466	0.88	0.285
one day	vain d	0.548	0.83	0.601
is his	aux aise	0.528	0.80	0.374
he spoke	et parcs	0.483	0.86	0.529
be at	boîte	0.611	1.00	0.464
so soon	saut une	0.695	0.83	0.470
had given	et quinzaine	0.476	0.88	0.518
it into	n tout	0.507	0.83	0.611
those of	des ève	0.514	0.83	0.416
your sister	artiste	0.552	0.86	0.472
find it	fan in	0.555	0.86	0.601
it you	est nous	0.510	1.00	0.798
face and	fait hard	0.557	0.86	0.450
to ask	risque	0.571	0.80	0.551
they could	secondes	0.482	0.83	0.482
am afraid	en et réel	0.457	1.00	0.670
one who	on coup	0.507	0.80	0.601
at longbourn	et son bornes	0.545	1.00	0.627
upon this	pannes s	0.484	0.86	0.479
then that	chaînes a	0.489	0.83	0.653
have it	invite	0.533	0.80	0.422
us and	et hard	0.486	1.00	0.573
the fish	refuse	0.452	1.00	0.505
made me	mes mi	0.796	0.83	0.434
it said	s aides	0.727	1.00	0.586
about to	about tout	0.709	0.86	0.638
there in	terrain	0.543	0.80	0.522
was heard	les aides	0.530	0.83	0.532
bottom of	baron s	0.492	1.00	0.861
one to	en tout	0.649	0.80	0.767
so the	ses a	0.503	0.80	0.735
to night	son as	0.505	0.83	0.798
out his	art s	0.481	0.83	0.607
my companion	matin pain in	0.470	0.83	0.594
the vessel	devaient il	0.628	1.00	0.538
quarter deck	cordes f	0.658	0.88	0.298
boat and	but hard	0.554	0.86	0.624
all hands	hollandaise	0.630	0.86	0.173
aye aye	arabes	0.451	1.00	0.428
cried ahab	créait éole	0.500	0.80	0.000
every one	ouvriers	0.529	0.86	0.388
one or	on or	0.704	0.80	0.820
is one	usine	0.498	0.80	0.443
on him	un homme	0.519	0.80	0.887
her family	est en élie	0.535	0.88	0.570
has no	des nos	0.505	0.83	0.542
two or	dehors	0.626	1.00	0.516
determined to	dit on n tout	0.590	1.00	0.757
glad to	glass tout	0.746	1.00	0.580
so very	ses édit	0.552	0.86	0.376
close to	clos tout	0.829	0.86	0.442
she said	chez elle	0.524	1.00	0.798
the words	devises	0.479	0.83	0.233
the dark	d arc	0.578	1.00	0.543
much of	met savent	0.583	1.00	0.482
together and	seconds rendent	0.550	0.89	0.377
well and	valide	0.465	0.83	0.309
her eyes	courage	0.470	0.83	0.548
all was	louise	0.573	0.80	0.476
and made	in mail	0.507	0.86	0.577
from what	fromage	0.550	0.86	0.378
all in	hollande	0.609	1.00	0.296
an end	on n	0.527	0.80	0.893
on your	on or	0.534	0.80	0.820
me if	bref	0.488	1.00	0.503
and while	un voile	0.568	0.86	0.767
next day	textes a	0.617	0.88	0.694
to those	taux as	0.494	0.83	0.676
sign of	son s	0.491	0.83	0.895
reason to	raison tout	0.676	1.00	0.767
who could	coucou	0.517	0.80	0.342
herself and	et helvètes	0.463	0.78	0.359
had gone	est bonne	0.566	0.83	0.817
time that	thèmes as	0.487	0.86	0.597
man to	pan tout	0.631	1.00	0.767
what are	et are	0.515	0.80	0.781
you you	coucou	0.476	1.00	0.342
from its	fromage	0.541	0.86	0.378
up his	oppose	0.519	0.80	0.403
the road	cerise	0.482	0.83	0.252
that way	tatoué	0.606	0.83	0.139
it up	europe	0.526	1.00	0.476
his chair	hit chair	0.660	0.86	0.388
out from	out rome	0.569	1.00	0.638
heart of	art ève	0.528	0.83	0.279
the chase	d six	0.474	0.86	0.662
the forecastle	d orques elle	0.544	0.90	0.438
the entire	viennent a	0.645	0.86	0.713
captain peleg	copain collègues	0.612	0.91	0.363
like that	lacs as	0.584	0.86	0.558
it did	est laide	0.498	1.00	0.767
than to	son tout	0.610	1.00	0.633
other side	as as	0.479	0.83	0.862
that to	dit tout	0.600	1.00	0.798
is there	s air	0.593	1.00	0.767
now as	noise	0.578	0.80	0.570
whether he	ouais et	0.634	0.80	0.441
and most	in must	0.463	0.88	0.816
had come	et comme	0.512	0.83	0.830
doubt that	d date	0.636	0.86	0.533
heading to	est un tout	0.598	0.86	0.778
love and	les unes	0.471	0.83	0.798
or other	honnête	0.477	1.00	0.379
made no	pays nos	0.486	0.86	0.451
for us	force	0.779	0.80	0.512
business of	bis nos if	0.497	1.00	0.427
is your	hiver	0.503	0.80	0.495
very little	territoire	0.475	0.89	0.512
act of	active	0.631	1.00	0.396
why did	les aides	0.504	0.83	0.532
make him	maxime	0.577	0.86	0.344
only the	on lies a	0.524	0.86	0.677
that time	but âme	0.540	0.86	0.605
though in	lorraine	0.493	1.00	0.355
but though	but deux	0.494	0.83	0.721
of whom	aux hommes	0.502	0.80	0.798
last night	les trente	0.546	0.88	0.767
degree of	drive	0.514	0.83	0.466
well known	yen aune	0.538	0.86	0.167
of seeing	as hic	0.459	0.83	0.512
he can	icône	0.634	0.80	0.267
father and	pas rendent	0.493	0.86	0.490
to day	tout et	0.517	0.80	0.798
endeavour to	un des tout	0.566	1.00	0.765
to return	certaines	0.603	1.00	0.574
did the	dit le	0.598	1.00	0.913
oh yes	horace	0.585	0.80	0.379
you shall	michel	0.452	1.00	0.512
that will	dit il	0.480	0.83	0.937
not one	d n	0.470	0.83	0.683
thought it	tout êtes	0.512	1.00	0.499
how could	arcades	0.491	0.83	0.270
the fact	d actes	0.558	1.00	0.578
to understand	tout stade	0.566	0.80	0.519
colonel fitzwilliam	con out septième	0.500	0.87	0.479
my wife	mariages	0.533	0.86	0.325
the strange	des train d	0.462	0.90	0.563
that at	d hôte	0.495	1.00	0.767
the fishery	d écrits	0.496	1.00	0.767
his boat	ces pote	0.475	0.86	0.457
his crew	inscrit	0.507	0.83	0.455
yet the	et de	0.499	0.80	0.964
of time	aux dames	0.484	0.83	0.767
to live	relève	0.583	1.00	0.413
her for	et or	0.608	0.80	0.767
know how	noria	0.580	0.83	0.000
in fact	on actes	0.558	0.83	0.642
of good	aux guide	0.458	1.00	0.469
the general	d génial	0.464	1.00	0.555
these are	des are	0.542	1.00	0.741
is more	n or	0.495	1.00	0.710
and lydia	in lady	0.503	0.88	0.714
connected with	connectent s	0.635	0.90	0.414
any one	un moine	0.488	1.00	0.798
and some	n aime	0.492	0.83	0.767
see you	signé	0.579	1.00	0.449
me my	main a	0.535	0.80	0.711
be no	bon au	0.607	0.80	0.522
come back	québec	0.553	0.83	0.585
it on	arène	0.511	1.00	0.256
be more	bitter	0.549	1.00	0.500
gone to	gain tout	0.749	1.00	0.511
you mean	on n	0.479	0.80	0.893
great deal	griffes il	0.692	0.88	0.456
had to	et tout	0.638	0.80	0.817
then you	son ion	0.464	1.00	0.432
and an	en donne	0.537	1.00	0.798
being the	bien de	0.595	1.00	0.840
listened to	les on tout	0.634	0.88	0.702
you as	noise	0.463	1.00	0.570
back and	bancaire	0.461	0.83	0.361
the chief	d sauf	0.459	1.00	0.617
not for	et for	0.651	0.83	0.810
and do	in do	0.533	1.00	0.866
had done	en donne	0.521	0.83	0.798
without any	les et henni	0.588	0.89	0.436
uncle and	on calendes	0.514	0.88	0.425
for what	froide	0.563	0.83	0.378
away to	avait où	0.609	0.83	0.531
feel the	fils et	0.702	1.00	0.767
whole of	relève	0.499	0.83	0.413
and be	n dit	0.591	1.00	0.646
time the	thèmes a	0.494	0.83	0.647
was my	les ma	0.508	0.83	0.625
do so	tous à	0.546	0.80	0.798
had passed	et poste	0.565	0.86	0.628
took the	toutes à	0.473	1.00	0.767
now to	met où	0.600	0.80	0.510
the true	d roue	0.600	1.00	0.524
and still	en style	0.598	0.86	0.767
mrs collins	mais escale	0.474	0.80	0.396
was about	les évite	0.494	0.88	0.508
scene of	son s	0.487	1.00	0.895
him when	on veine	0.585	0.83	0.545
baker street	banques frites	0.660	0.89	0.317
cried the	bras de	0.560	0.86	0.767
down upon	don open	0.481	0.88	0.567
the carpenter	décapante	0.485	0.78	0.000
mr starbuck	must avec	0.455	0.82	0.639
me it	merde	0.491	1.00	0.574
be an	viennent	0.515	1.00	0.505
the english	bien glace	0.456	1.00	0.489
and is	en dise	0.566	1.00	0.767
the former	réforme	0.716	1.00	0.461
as with	aux ouais	0.479	0.80	0.311
to chapter	t chatte	0.548	0.86	0.427
by their	bas air	0.784	0.83	0.437
speak of	stockage	0.462	1.00	0.334
some one	son vannes	0.583	1.00	0.461
none of	non as	0.523	1.00	0.633
for she	forte	0.635	1.00	0.516
that but	d but	0.479	1.00	0.792
have gone	aux bonne	0.536	0.83	0.451
at netherfield	et deux files	0.509	0.89	0.883
bingley was	bon clients	0.528	0.89	0.451
looking at	lien as	0.465	0.86	0.684
are very	algérie	0.555	1.00	0.468
power of	pareil	0.567	0.83	0.489
because he	billets et	0.489	0.86	0.565
how he	haïti	0.513	0.80	0.298
opportunity of	afin rives	0.502	0.78	0.395
make the	mecs a	0.520	0.83	0.694
to each	torches	0.582	0.80	0.359
himself and	un certaines	0.453	0.80	0.616
afraid of	et des ève	0.471	0.88	0.647
was more	les bords	0.486	1.00	0.767
know the	nos a	0.623	0.80	0.686
manner of	mon rêve	0.602	1.00	0.508
standing in	stand in	0.573	0.78	0.817
it at	arrêtent	0.511	1.00	0.307
how to	aillent où	0.637	0.80	0.335
at him	et homme	0.507	0.80	0.767
even the	enfin je	0.474	1.00	0.817
that some	d hommes	0.478	0.83	0.817
the hall	viol	0.581	0.80	0.376
which has	laid chose	0.493	0.86	0.466
but on	but n	0.595	1.00	0.747
had just	as geste	0.555	0.88	0.617
was he	les qui	0.480	1.00	0.687
time for	tapent or	0.716	0.86	0.463
to every	devrait	0.517	0.83	0.587
that by	d bah	0.514	0.83	0.548
was but	les bit	0.494	1.00	0.538
him by	on bail	0.499	0.83	0.589
why should	vachette	0.453	0.83	0.000
see it	suite	0.663	1.00	0.379
and here	en dire	0.552	0.83	0.767
or in	honnête	0.481	1.00	0.379
of sight	as as	0.480	0.83	0.862
but all	but il	0.571	1.00	0.789
by its	baguette	0.557	0.83	0.270
never mind	nos malte	0.505	0.88	0.300
the lower	cela	0.517	0.80	0.469
the floor	d lors	0.482	1.00	0.666
out upon	et havane	0.469	0.86	0.454
the black	technique	0.450	1.00	0.524
lord st	lord set	0.811	0.88	0.545
of nantucket	n en tact	0.476	0.90	0.639
the sailors	ces elfes	0.464	0.86	0.332
whale was	réalise	0.454	0.86	0.397
the bows	repose	0.495	0.83	0.432
and its	en dix	0.534	0.83	0.767
however that	arrives êtes	0.481	0.88	0.380
to show	touchée	0.502	0.80	0.288
for there	fonds air	0.671	0.83	0.523
the better	refaire	0.571	1.00	0.394
not go	t go	0.484	0.83	0.798
the full	d elle	0.472	1.00	0.830
his mind	ces malte	0.462	0.88	0.356
had he	et qui	0.503	0.80	0.927
the slightest	d ladite	0.517	0.80	0.460
the reason	séries n	0.551	1.00	0.526
will do	ils où	0.524	0.80	0.530
opinion of	opinion ève	0.508	1.00	0.333
said mr	saint piste	0.650	1.00	0.513
find that	fan set	0.618	0.88	0.413
left the	laid de	0.654	0.83	0.767
they should	décide	0.494	0.83	0.441
the honour	diane	0.533	1.00	0.307
soon after	son s	0.485	0.83	0.895
to join	son jeune	0.502	0.86	0.767
what could	et code	0.508	0.83	0.514
into it	en tête	0.507	0.83	0.767
how it	carte	0.479	0.80	0.539
to believe	sublime	0.534	1.00	0.476
make her	marquis	0.481	0.83	0.516
he made	limite	0.488	0.83	0.497
colonel forster	con alors se	0.586	0.91	0.652
be to	but où	0.775	1.00	0.672
the face	d s	0.474	0.83	0.771
had left	et lest	0.581	0.86	0.584
her daughter	on or	0.622	0.80	0.820
having been	afin mine	0.502	0.88	0.550
view of	brave	0.457	0.80	0.473
you say	yeux au	0.502	0.80	0.798
or rather	horloge	0.548	1.00	0.298
have already	effondrait a	0.480	0.89	0.442
the appearance	différences	0.478	0.78	0.394
he then	les n	0.540	1.00	0.672
for them	fonds aimes	0.671	0.83	0.435
from your	frontière	0.623	1.00	0.443
forward and	fort en est	0.579	0.88	0.699
the garden	regard n	0.546	1.00	0.519
what they	watts et	0.541	0.83	0.457
the utmost	d poste	0.529	0.78	0.615
the soul	des îles	0.482	0.83	0.767
may not	minutes	0.576	0.83	0.618
loss of	les if	0.500	1.00	0.746
the passage	repas êtes	0.457	0.88	0.352
to turn	tout n	0.588	1.00	0.767
in so	on saut	0.555	0.80	0.582
in me	on mi	0.678	1.00	0.645
its own	et zone	0.514	0.83	0.625
the third	d aides	0.460	1.00	0.543
me of	brave	0.488	1.00	0.473
again to	gain tout	0.628	0.83	0.511
his mouth	ces masse	0.474	0.86	0.475
called the	collent de	0.833	1.00	0.476
