score	sound	cos	hops	seed	endpoint	chain
0.7274	0.881	0.174	6	fleas	tels	en:fleas ~ en:fleam ≈ fr:flemme ~ fr:taule ≈ en:told ~ en:tell ≈ fr:tels
0.7270	0.951	0.236	6	step	alcool	en:step ≈ fr:steppe ~ en:steppe ≈ fr:steppes ~ fr:bouses ≈ en:booze ~ fr:alcool
0.7269	0.953	0.237	6	decreased	faut in	en:decreased ~ en:decreasing ≈ fr:décris in ~ fr:fait in ≈ en:thirteen ~ en:fourteen ≈ fr:faut in
0.7269	0.968	0.249	6	less	lettonie	en:less ≈ fr:laisses ~ fr:laissent ≈ en:lesser ~ en:lessen ≈ fr:lettone ~ fr:lettonie
0.7268	0.923	0.213	6	deleted	tracts	en:deleted ≈ fr:délit aide ~ fr:dis traquent aide ≈ en:distracted ~ en:distract ≈ fr:dis tracts ~ fr:tracts
0.7268	0.929	0.218	6	reminder	arrestation	en:reminder ≈ fr:roman des ~ fr:romain des ≈ en:remainder ~ fr:restent ≈ en:arrest ~ fr:arrestation
0.7268	0.942	0.228	2	fording	fontaines	en:fording ≈ fr:fontaine ~ fr:fontaines
0.7268	0.939	0.226	6	prejudice	shoot	en:prejudice ≈ fr:prêt jouent hisse ~ fr:jouent aise ≈ en:shooters ~ fr:shootes ≈ en:shoot ~ fr:shoot
0.7268	0.812	0.105	3	socks	cercles	en:socks ~ fr:socle ≈ en:circle ~ fr:cercles
0.7267	0.926	0.215	6	suit	cassette	en:suit = fr:costume ≈ en:costing ~ fr:coûte ≈ en:coot ~ en:cosset ≈ fr:cassette
0.7267	0.877	0.171	6	causes	codes	en:causes ~ fr:cause ≈ en:cause ~ en:caused ≈ fr:code ~ en:code ≈ fr:codes
0.7265	0.907	0.199	6	stranded	stocker	en:stranded ~ en:stuck ≈ fr:stocks ~ fr:stockes ≈ en:stalk ~ en:stalky ≈ fr:stocker
0.7264	0.869	0.164	6	staff	bride	en:staff ~ fr:staff ≈ en:stiff = fr:raide ≈ en:bread ~ en:brood ≈ fr:bride
0.7263	0.871	0.166	6	clusters	close	en:clusters ≈ fr:clause ~ fr:clauses ≈ en:closes ~ fr:closes ≈ en:close ~ fr:close
0.7263	0.846	0.142	5	trigger	traits	en:trigger ~ en:triggered ≈ fr:trek ~ en:trek ≈ fr:trait ~ fr:traits
0.7262	0.959	0.243	6	reduced	rides	en:reduced ≈ fr:rient oust ~ fr:rient aise ≈ en:readers ~ en:reader ≈ fr:ride ~ fr:rides
0.7262	0.929	0.218	6	distract	pacte	en:distract ~ en:distracted ≈ fr:dis traquent aide ~ fr:baissent aide ≈ en:busted ~ en:bucked ≈ fr:pacte
0.7262	0.931	0.220	3	died	mortiers	en:died = fr:mort ≈ en:mortar = fr:mortiers
0.7261	0.862	0.158	3	hungry	mêmes grises	en:hungry ~ en:hungary ≈ fr:un gris ~ fr:mêmes grises
0.7260	0.881	0.176	5	yoga	excessivement	en:yoga ~ en:exercises ≈ fr:excès assise ~ fr:excès sève ≈ en:excessive ~ fr:excessivement
0.7259	0.876	0.171	6	rows	pline	en:rows ~ en:row ≈ fr:rot ~ en:rot ≈ fr:rate = en:spleen ≈ fr:pline
0.7259	0.847	0.143	3	forge	vidéo	en:forge ~ fr:forge ≈ en:footage ~ fr:vidéo
0.7258	0.985	0.263	6	genes	gin	en:genes ~ en:gene ≈ fr:jean ~ en:jean ≈ fr:djinns = en:jinn ≈ fr:gin
0.7258	0.971	0.253	6	dry	sexes	en:dry = fr:sec ≈ en:sec ~ en:secs ≈ fr:sexe ~ en:sex ≈ fr:sexes
0.7258	0.928	0.218	6	redressed	raids stade	en:redressed ≈ fr:rient reste ~ fr:restera ≈ en:red error ~ en:red ≈ fr:raids ~ fr:raids stade
0.7258	0.890	0.185	3	palette	pilotes	en:palette ~ fr:palette ≈ en:pilot = fr:pilotes
0.7255	0.907	0.200	6	sport	crash	en:sport ≈ fr:spot ~ fr:spots ≈ en:spit = fr:crache ≈ en:crash ~ fr:crash
0.7255	0.907	0.200	5	plaque	parasite	en:plaque ~ fr:plaque ≈ en:plague = fr:peste ≈ en:pest = fr:parasite
0.7255	0.907	0.200	5	newborn	blé	en:newborn ~ fr:baby ≈ en:maybe ~ en:possibly ≈ fr:pas blé ~ fr:blé
0.7254	0.880	0.176	6	rats	pline	en:rats ~ en:rotten ≈ fr:rat haine ~ en:rat ≈ fr:rate = en:spleen ≈ fr:pline
0.7254	0.908	0.201	4	dodgers	infante	en:dodgers ≈ fr:tôt chaise ~ fr:tôt les ≈ en:toddler ~ fr:infante
0.7253	0.956	0.241	6	sick	sec	en:sick ~ en:sicks ≈ fr:sexe ~ fr:sexes ≈ en:secs ~ en:sec ≈ fr:sec
0.7252	0.915	0.207	6	scoot	sort	en:scoot ≈ fr:scout ~ fr:scouts ≈ en:scoop ~ fr:sortent ≈ en:sort ~ fr:sort
0.7250	0.983	0.262	3	daughter	slip	en:daughter ≈ fr:dors = en:sleep ≈ fr:slip
0.7250	0.851	0.148	6	blew	bloquent	en:blew ~ en:blowing ≈ fr:bloque ~ en:block ≈ fr:black ~ en:black ≈ fr:bloquent
0.7250	0.965	0.249	2	budge	badges	en:budge ≈ fr:badge ~ fr:badges
0.7249	0.965	0.249	4	bending	centre	en:bending ≈ fr:ben digne ~ fr:sain tes ≈ en:centre ~ fr:centre
0.7248	0.943	0.231	6	transit	cent	en:transit ≈ fr:train cette ~ fr:cet ≈ en:set ~ fr:set ≈ en:cent ~ fr:cent
0.7248	0.948	0.235	6	investors	lynx	en:investors ~ en:investor ≈ fr:haines ester ~ fr:laids haine ≈ en:lesson ~ en:leks ≈ fr:lynx
0.7246	0.922	0.214	6	dissing	manifestants	en:dissing ≈ fr:dizaines = en:tens ≈ fr:thèse ~ fr:prêtais thèse ≈ en:protesters ~ fr:manifestants
0.7245	0.950	0.237	6	freebie	phrases	en:freebie ~ en:free ≈ fr:frit ~ en:frit ≈ fr:frites ~ en:fries ≈ fr:phrases
0.7245	0.958	0.244	3	ethics	grenier	en:ethics ~ fr:éthique ≈ en:attic = fr:grenier
0.7243	0.906	0.201	5	sorted	sourde	en:sorted ≈ fr:sont aide ~ fr:fait aide ≈ en:fitted ~ en:suited ≈ fr:sourde
0.7242	0.927	0.219	3	phone	font	en:phone ~ fr:phone ≈ en:font ~ fr:font
0.7241	0.913	0.207	6	necessary	quad dix	en:necessary ~ en:required ≈ fr:quad ~ fr:quad tee ≈ en:quantity ~ en:quantities ≈ fr:quad dix
0.7237	0.915	0.209	6	types	coûte	en:types ~ fr:type ≈ en:tape = fr:cassette ≈ en:cosset ~ en:coot ≈ fr:coûte
0.7235	0.958	0.245	6	root	races	en:root ≈ fr:route ~ en:route ≈ fr:routes ~ en:routes ≈ fr:race ~ fr:races
0.7234	0.890	0.187	3	shops	sharp	en:shops ~ fr:shop ≈ en:sharp ~ fr:sharp
0.7233	0.914	0.209	6	sleep	bites	en:sleep ~ fr:spi ≈ en:speed ~ fr:vitesse ≈ en:beaters ~ en:beat ≈ fr:bites
0.7233	0.835	0.134	5	teddy	plafonds	en:teddy ~ en:stuffed ≈ fr:soft ~ en:soft ≈ fr:loft ~ fr:plafonds
0.7233	0.908	0.203	6	losses	coupent	en:losses ~ en:loses ≈ fr:loues aise ~ en:queue ≈ fr:coup ~ en:coup ≈ fr:coupent
0.7233	0.907	0.203	6	proteins	prêtre	en:proteins ~ en:protein ≈ fr:prêt in ~ fr:prêts ≈ en:prayers ~ en:prayer ≈ fr:prêtre
0.7232	0.924	0.217	6	prostate	restes restent	en:prostate ≈ fr:pros tête ~ fr:recoins tête ≈ en:requested ~ en:request ≈ fr:reste ~ fr:restes restent
0.7232	0.927	0.220	6	daughters	pass	en:daughters ≈ fr:dont aise ~ fr:pas aise ≈ en:passes ~ fr:passes ≈ en:pass ~ fr:pass
0.7231	0.907	0.203	3	flash	fleurs	en:flash ~ fr:flash ≈ en:flowers ~ fr:fleurs
0.7230	0.938	0.229	6	plague	colle	en:plague = fr:peste ≈ en:paste = fr:coller ≈ en:caller ~ en:call ≈ fr:colle
0.7229	0.857	0.156	5	brewed	bras aise	en:brewed ~ en:brewing ≈ fr:brunes = en:brown ≈ fr:bras aune ~ fr:bras aise
0.7229	0.860	0.159	6	grape	floue	en:grape ~ fr:grappes ≈ en:grasp ~ en:grip ≈ fr:grippe = en:flu ≈ fr:floue
0.7229	0.928	0.221	5	lippy	plafonds	en:lippy ~ fr:lippe ≈ en:leap ~ en:leapt ≈ fr:loft ~ fr:plafonds
0.7228	0.911	0.207	6	meet arras	epoque	en:meet arras ≈ fr:mystérieuse ~ fr:mystérieux ≈ en:meet error ~ en:error ≈ fr:ère ~ fr:epoque
0.7227	0.934	0.226	6	retrieved	stop	en:retrieved ~ en:retrieve ≈ fr:rient rive ~ fr:rient ailé ≈ en:retailer ~ en:store ≈ fr:stop
0.7227	0.954	0.242	6	knees	nettes	en:knees ~ en:knee ≈ fr:nids = en:nest ≈ fr:net ~ en:net ≈ fr:nettes
0.7227	0.925	0.219	6	coach	caddie	en:coach ~ fr:coach ≈ en:catch ~ fr:catch ≈ en:cadge ~ en:caddie ≈ fr:caddie
0.7223	0.880	0.179	6	stickers	sphinx	en:stickers ~ en:sticker ≈ fr:steaks ~ fr:steak ≈ en:stick ~ en:sticks ≈ fr:sphinx
0.7222	0.875	0.175	6	ropes	adressent	en:ropes ~ en:rope ≈ fr:robes = en:dresses ≈ fr:dresse ~ en:dress ≈ fr:adressent
0.7221	0.934	0.227	6	root	mentor	en:root ≈ fr:route ~ en:route ≈ fr:rate ~ fr:main taux ≈ en:mentor ~ fr:mentor
0.7221	0.903	0.200	6	ski	vaches	en:ski ≈ fr:skies ~ en:skies ≈ fr:case ~ fr:cases ≈ en:cows = fr:vaches
0.7221	0.932	0.225	5	maxed	mike	en:maxed ~ fr:max ≈ en:macs ~ fr:mac ≈ en:mike ~ fr:mike
0.7221	0.947	0.238	3	casting	répugnant	en:casting ~ fr:dis casting ≈ en:disgusting = fr:répugnant
0.7219	0.984	0.266	6	sicks	sec	en:sicks ≈ fr:sexe ~ fr:sexes ≈ en:secs ~ fr:secs ≈ en:sec ~ fr:sec
0.7218	0.884	0.183	5	yoga	excessive	en:yoga ~ en:exercises ≈ fr:excès assise ~ fr:excès sève ≈ en:excessive ~ fr:excessive
0.7217	0.920	0.216	6	rushed	bites	en:rushed ~ en:sped ≈ fr:speed ~ fr:vitesse ≈ en:beaters ~ en:beat ≈ fr:bites
0.7217	0.915	0.211	6	drowned	dames	en:drowned ~ en:drown ≈ fr:down ~ en:down ≈ fr:damne ~ en:damn ≈ fr:dames
0.7216	0.928	0.222	6	texting	épreuve	en:texting ≈ fr:textes = en:text ≈ fr:teste ~ en:test ≈ fr:testent ~ fr:épreuve
0.7211	0.877	0.178	5	lock	orthodoxes	en:lock ~ en:locks ≈ fr:axe ~ fr:hochet axe ≈ en:orthodox ~ fr:orthodoxes
0.7211	0.925	0.220	6	excel	sexuellement	en:excel ≈ fr:ex aile ~ en:ex ≈ fr:sexe ~ fr:sexes ≈ en:sex ~ fr:sexuellement
0.7210	0.907	0.205	6	suffers	libyenne	en:suffers ≈ fr:saut aise ~ en:leaped ≈ fr:lippe ~ en:lippy ≈ fr:libye ~ fr:libyenne
0.7209	0.948	0.240	5	word	mortiers	en:word = fr:mot ≈ en:more ~ fr:more ≈ en:mortar = fr:mortiers
0.7209	0.895	0.195	6	red raw	tapent	en:red raw ~ en:red ≈ fr:raide = en:steep ≈ fr:type ~ en:type ≈ fr:tapent
0.7209	0.882	0.183	6	alumni	hell	en:alumni ≈ fr:élan ni ~ en:annie ≈ fr:henni ~ fr:elle ≈ en:hell ~ fr:hell
0.7207	0.878	0.179	6	mortality	dit chaise	en:mortality ~ en:deaths ≈ fr:dette ~ fr:toto ≈ en:taught ~ en:teaches ≈ fr:dit chaise
0.7206	0.847	0.149	3	forge	video	en:forge ~ fr:forge ≈ en:footage ~ fr:video
0.7206	0.825	0.127	2	processing	proteste	en:processing ~ en:processed ≈ fr:proteste
0.7205	0.902	0.201	6	attic	semaines	en:attic ≈ fr:éthique ~ en:ethics ≈ fr:est x ~ fr:x ≈ en:weeks ~ fr:semaines
0.7205	0.910	0.208	3	car	cutter	en:car ~ fr:car ≈ en:cutter ~ fr:cutter
0.7204	0.928	0.224	5	corky	cocaïne	en:corky ~ en:cork ≈ fr:coques ~ fr:coque ≈ en:coke = fr:cocaïne
0.7204	0.872	0.174	6	shortly	hybrides	en:shortly ~ en:briefly ≈ fr:bride lies ~ fr:bride ≈ en:breeder ~ en:breed ≈ fr:hybrides
0.7203	0.933	0.228	6	underwear	sain tes	en:underwear ~ en:panties ≈ fr:pan thèse ~ fr:sain thèse ≈ en:centers ~ en:centre ≈ fr:sain tes
0.7203	0.877	0.179	6	policeman	lies	en:policeman ≈ fr:polis mène ~ fr:polis ≈ en:purely ~ en:strictly ≈ fr:strictes lies ~ fr:lies
0.7202	0.938	0.232	3	crane	couronnes	en:crane ~ fr:crane ≈ en:crown = fr:couronnes
0.7201	0.899	0.199	6	field	coupe	en:field ~ en:fields ≈ fr:file = en:queue ≈ fr:coup ~ en:coup ≈ fr:coupe
0.7199	0.872	0.174	6	legacy	laid aise	en:legacy = fr:legs ≈ en:letting ~ en:let ≈ fr:lettres ~ en:letters ≈ fr:laid aise
0.7199	0.957	0.248	6	sketch	branches	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:skient chaise ~ fr:bradent chaise ≈ en:branches ~ fr:branches
0.7199	0.863	0.166	6	chock	technologies	en:chock ~ en:choc ≈ fr:tchèque ~ fr:tchèques ≈ en:tech ~ en:technology ≈ fr:technologies
0.7197	0.911	0.210	6	porting	pose	en:porting ≈ fr:bottines = en:boots ≈ fr:poutsent ~ fr:posent ≈ en:pose ~ fr:pose
0.7196	0.874	0.177	3	screamed	scripts	en:screamed ~ en:screams ≈ fr:script ~ fr:scripts
0.7196	0.871	0.174	6	patch	paient chez	en:patch ~ fr:patch ≈ en:peach = fr:pêche ≈ en:pitch ~ en:pitcher ≈ fr:paient chez
0.7194	0.891	0.193	6	screened	routes	en:screened ~ en:monitored ≈ fr:manient aide ~ fr:ruent aide ≈ en:rooted ~ en:roots ≈ fr:routes
0.7194	0.883	0.185	6	preacher	modes	en:preacher ≈ fr:prient chez ~ fr:met chez ≈ en:merger ~ en:merged ≈ fr:mode ~ fr:modes
0.7192	0.850	0.154	6	female	skis	en:female = fr:femme ≈ en:foam ~ en:sticky ≈ fr:ski ~ en:ski ≈ fr:skis
0.7192	0.935	0.231	6	crystal	halte	en:crystal ≈ fr:crissent elle ~ fr:taillent elle ≈ en:title ~ en:titled ≈ fr:tant halte ~ fr:halte
0.7191	0.964	0.254	6	fairy	rich	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:rient geste ≈ en:richest ~ fr:rich
0.7191	0.951	0.244	6	tick	secs	en:tick ~ en:ticks ≈ fr:sexe ~ fr:sexes ≈ en:secs ~ en:sec ≈ fr:secs
0.7189	0.894	0.196	3	owl	humide	en:owl = fr:chouettes ≈ en:wet = fr:humide
0.7187	0.907	0.208	4	design	dis année	en:design ~ fr:design ≈ en:designers ~ en:designer ≈ fr:dis année
0.7186	0.921	0.220	5	threats	trading	en:threats ~ en:threat ≈ fr:traites ~ fr:trait in ≈ en:trading ~ fr:trading
0.7185	0.919	0.218	6	kauri	kitty	en:kauri ≈ fr:corée = en:korea ≈ fr:cries ~ fr:crie ≈ en:kitty ~ fr:kitty
0.7185	0.905	0.206	6	reeding	crédit	en:reeding ~ en:reed ≈ fr:ride ~ fr:rides ≈ en:greed ~ en:greedy ≈ fr:crédit
0.7185	0.937	0.233	6	steals	pain altesse	en:steals ~ en:steal ≈ fr:stylé ~ en:pen ≈ fr:peines = en:penalties ≈ fr:pain altesse
0.7184	0.920	0.219	6	dissing	protester	en:dissing ≈ fr:dizaines = en:tens ≈ fr:thèse ~ fr:prêtais thèse ≈ en:protesters ~ fr:protester
0.7182	0.932	0.229	3	deaths	mortier	en:deaths = fr:morts ≈ en:mortar ~ fr:mortier
0.7181	0.912	0.213	6	exploring	explose	en:exploring ~ en:explored ≈ fr:explorent ~ en:explorer ≈ fr:explore ~ en:explore ≈ fr:explose
0.7179	0.896	0.199	6	fancy	finement	en:fancy ≈ fr:faon ci ~ fr:faon est ≈ en:finest ~ en:fin ≈ fr:fines ~ fr:finement
0.7179	0.954	0.248	6	venture	cab	en:venture ≈ fr:feignent chez ~ fr:piquent chez ≈ en:picture ~ fr:képi ≈ en:cabbie ~ fr:cab
0.7178	0.922	0.221	6	prostate	rester	en:prostate ≈ fr:pros tête ~ fr:recoins tête ≈ en:requested ~ en:request ≈ fr:reste ~ fr:rester
0.7178	0.899	0.202	6	doses	site	en:doses ~ fr:doses ≈ en:does ~ en:do ≈ fr:doux = en:sweet ≈ fr:site
0.7178	0.909	0.210	5	dresses	adresses	en:dresses ~ en:dress ≈ fr:adresse ~ en:address ≈ fr:adressent ~ fr:adresses
0.7178	0.848	0.154	4	salary	chérie	en:salary ~ en:salaries ≈ fr:cerises = en:cherry ≈ fr:chérie
0.7176	0.946	0.241	6	forensic	sexes	en:forensic ≈ fr:forain sec ~ en:sec ≈ fr:secs ~ en:secs ≈ fr:sexe ~ fr:sexes
0.7176	0.909	0.211	5	louder	paranoïa	en:louder ~ en:loud ≈ fr:lacs ode ~ fr:parrain ode ≈ en:paranoid ~ fr:paranoïa
0.7175	0.910	0.212	6	mixed	mac	en:mixed = fr:mixte ≈ en:maxed ~ fr:max ≈ en:macs ~ en:mac ≈ fr:mac
0.7175	0.950	0.245	6	meat	mythique	en:meat ≈ fr:mite ~ fr:mites ≈ en:meet ~ en:meets ≈ fr:mythe ~ fr:mythique
0.7174	0.910	0.212	6	mealie	aidait aide	en:mealie ≈ fr:mêler ~ fr:mêle ≈ en:melt ~ en:melted ≈ fr:mènent aide ~ fr:aidait aide
0.7173	0.856	0.162	6	arrived	olives	en:arrived ~ en:arrive ≈ fr:live ~ fr:living ≈ en:leaving ~ en:leave ≈ fr:olives
0.7171	0.885	0.190	6	ferry	slave	en:ferry ≈ fr:faits rient ~ fr:les ri ≈ en:slavery ~ fr:slaves ≈ en:slave ~ fr:slave
0.7170	0.849	0.155	5	tax	touchez	en:tax ~ fr:taxes ≈ en:tasks ~ fr:tâche ≈ en:touch = fr:touchez
0.7170	0.959	0.252	6	reduces	ride	en:reduces ~ en:reduced ≈ fr:rient oust ~ fr:rient aise ≈ en:readers ~ en:reader ≈ fr:ride
0.7170	0.984	0.271	5	shooters	chute	en:shooters ~ fr:shootes ≈ en:shoot ~ fr:shoot ≈ en:chute ~ fr:chute
0.7170	0.887	0.192	6	variables	routes	en:variables ~ en:parameters ≈ fr:primait aise ~ fr:ruent aise ≈ en:rooters ~ en:root ≈ fr:routes
0.7170	0.930	0.229	2	autumn eater	indemnité	en:autumn eater ≈ fr:indemnités ~ fr:indemnité
0.7167	0.970	0.261	5	arrows	partage	en:arrows = fr:flèches ≈ en:flesh = fr:chair ≈ en:share = fr:partage
0.7167	0.885	0.190	2	crops	crampes	en:crops ~ en:crop ≈ fr:crampes
0.7167	0.885	0.190	6	blades	chose	en:blades = fr:lames ≈ en:lime = fr:chaux ≈ en:show ~ en:shows ≈ fr:chose
0.7165	0.901	0.205	5	australia	rallye	en:australia ~ fr:australie ≈ en:ought rally ~ en:rally ≈ fr:rallie ~ fr:rallye
0.7165	0.904	0.207	6	fruit	race	en:fruit ~ en:fruits ≈ fr:route ~ en:route ≈ fr:routes ~ en:routes ≈ fr:race
0.7164	0.934	0.233	6	cracked	christ	en:cracked ~ fr:crack ≈ en:cruck ~ en:cruet ≈ fr:croûte = en:crust ≈ fr:christ
0.7164	0.902	0.206	6	confessed	attire	en:confessed ≈ fr:con veste ~ fr:un veste ≈ en:investors ~ en:investor ≈ fr:haines ester ~ fr:attire
0.7163	0.870	0.177	3	outlet	athlétisme	en:outlet ~ en:outlets ≈ fr:athlète ~ fr:athlétisme
0.7163	0.943	0.240	5	salaries	verte	en:salaries ~ en:salary ≈ fr:sellerie ~ en:seller ≈ fr:selles ~ fr:verte
0.7162	0.894	0.199	6	buses	bases	en:buses = fr:bus ≈ en:boots = fr:bottes ≈ en:bought ~ en:buys ≈ fr:bases
0.7161	0.923	0.224	6	southwest	peter	en:southwest ≈ fr:cent ouest ~ fr:ouest ≈ en:worst = fr:pire ≈ en:peter ~ fr:peter
0.7161	0.970	0.262	6	sea	sièges	en:sea ≈ fr:si ~ en:si ≈ fr:scient ~ fr:scient in ≈ en:seating = fr:sièges
0.7159	0.906	0.210	5	heel	équitable	en:heel ~ en:foot ≈ fr:faites ~ fr:faire ≈ en:fair = fr:équitable
0.7157	0.957	0.252	5	knife	cool	en:knife = fr:couteau ≈ en:couture ~ fr:coulent ≈ en:cool ~ fr:cool
0.7156	0.928	0.229	6	dippy	sport	en:dippy ≈ fr:dépit = en:spite ≈ fr:spots ~ fr:spot ≈ en:sport ~ fr:sport
0.7156	0.964	0.258	6	sector	sexuel	en:sector ≈ fr:sectes ~ fr:secte ≈ en:sicked ~ en:sicks ≈ fr:sexe ~ fr:sexuel
0.7155	0.932	0.232	6	routeing	ruby	en:routeing ≈ fr:routine ~ en:routine ≈ fr:roux chine ~ fr:roux bis ≈ en:ruby ~ fr:ruby
0.7154	0.864	0.172	6	shock	technologie	en:shock ~ en:chock ≈ fr:tchèque ~ fr:tchèques ≈ en:tech ~ en:technology ≈ fr:technologie
0.7153	0.898	0.203	5	connection	italia	en:connection ~ fr:connecte ≈ en:connects = fr:relie ≈ en:italy ~ fr:italia
0.7153	0.892	0.198	6	suck	cultes	en:suck ~ en:sucked ≈ fr:sectes ~ en:sect ≈ fr:secte = en:cult ≈ fr:cultes
0.7151	0.971	0.264	6	retrieved	stores	en:retrieved ~ en:retrieve ≈ fr:rient rive ~ fr:rient ailé ≈ en:retailer ~ en:store ≈ fr:stores
0.7151	0.917	0.220	6	grippe	fluides	en:grippe ≈ fr:grippe = en:flu ≈ fr:floue ~ fr:floue ode ≈ en:fluid ~ fr:fluides
0.7151	0.897	0.203	6	forks	sexe	en:forks ~ en:fork ≈ fr:phoques = en:seals ≈ fr:six ~ en:six ≈ fr:sexe
0.7150	0.861	0.170	6	portly	baisse	en:portly ~ en:port ≈ fr:potes = en:buddies ≈ fr:base ~ en:base ≈ fr:baisse
0.7150	0.966	0.260	4	legion	région	en:legion ≈ fr:lient gêne ~ fr:rient gêne ≈ en:region ~ fr:région
0.7149	0.894	0.200	6	chased	chat	en:chased ~ fr:chase ≈ en:showers ~ en:shower ≈ fr:chats ~ en:chat ≈ fr:chat
0.7148	0.895	0.201	4	designs	dis année	en:designs ~ fr:design ≈ en:designers ~ en:designer ≈ fr:dis année
0.7148	0.932	0.233	5	bump	moss	en:bump = fr:bosse ≈ en:boss ~ fr:boss ≈ en:moss ~ fr:moss
0.7148	0.927	0.229	4	zoom	cv	en:zoom ≈ fr:zoome ~ fr:zoom ≈ en:resume = fr:cv
0.7147	0.853	0.162	3	sun	installation	en:sun ~ fr:un sol ≈ en:install ~ fr:installation
0.7147	0.939	0.239	6	reduced	rift	en:reduced ≈ fr:rient oust ~ fr:rient rive ≈ en:retrieve ~ en:retrieved ≈ fr:rient rift ~ fr:rift
0.7147	0.941	0.241	6	czech	shake	en:czech ≈ fr:tchèque ~ fr:tchèques ≈ en:check = fr:chèque ≈ en:shake ~ fr:shake
0.7146	0.885	0.193	6	displays	fautes	en:displays ≈ fr:dis plaise ~ en:disses ≈ fr:dis aise ~ fr:aires aise ≈ en:errors = fr:fautes
0.7146	0.897	0.203	6	golden	quad	en:golden ~ fr:golden ≈ en:gawd en ~ fr:s ri ≈ en:necessary ~ en:required ≈ fr:quad
0.7146	0.845	0.154	6	owed	ost	en:owed ~ en:owes ≈ fr:oses ~ fr:os ≈ en:toss ~ en:tossed ≈ fr:ost
0.7145	0.937	0.238	6	cyst	épreuve	en:cyst ≈ fr:zeste ~ en:zest ≈ fr:teste ~ en:test ≈ fr:testent ~ fr:épreuve
0.7145	0.923	0.226	6	reminder	arrestations	en:reminder ≈ fr:roman des ~ fr:romain des ≈ en:remainder ~ fr:restent ≈ en:arrest ~ fr:arrestations
0.7143	0.886	0.194	5	sauce	plafond	en:sauce ~ en:sauced ≈ fr:soft ~ en:soft ≈ fr:loft ~ fr:plafond
0.7143	0.981	0.272	6	debts	ci	en:debts ~ en:debtor ≈ fr:der ~ en:se ≈ fr:si ~ en:si ≈ fr:ci
0.7143	0.888	0.196	6	brush	lords	en:brush = fr:brosse ≈ en:broader ~ en:larder ≈ fr:lord ~ en:lord ≈ fr:lords
0.7141	0.906	0.212	3	fines	douleur	en:fines ~ en:penalties ≈ fr:pain altesse ~ fr:douleur
0.7141	0.926	0.229	6	majesty	branches	en:majesty ≈ fr:matchs tee ~ en:matches ≈ fr:mat chaise ~ fr:bradent chaise ≈ en:branches ~ fr:branches
0.7140	0.854	0.164	6	ought rally	rate	en:ought rally ~ en:rally ≈ fr:rallie ~ fr:rallye ≈ en:rightly ~ en:right ≈ fr:rate
0.7140	0.869	0.178	6	fuckin	test	en:fuckin ~ en:fucked ≈ fr:actes = en:deeds ≈ fr:dises ~ en:dissed ≈ fr:test
0.7139	0.910	0.215	6	wire	phase	en:wire = fr:fil ≈ en:feel ~ en:feels ≈ fr:files ~ en:files ≈ fr:phase
0.7139	0.880	0.189	6	grade	crack	en:grade ~ fr:grade ≈ en:cried ~ en:cries ≈ fr:crasse ~ en:cruck ≈ fr:crack
0.7137	0.902	0.209	6	beaches	branche	en:beaches ≈ fr:but chaise ~ fr:bradent chaise ≈ en:branches ~ fr:branches ≈ en:branch = fr:branche
0.7137	0.920	0.224	6	grippe	fluide	en:grippe ≈ fr:grippe = en:flu ≈ fr:floue ~ fr:floue ode ≈ en:fluid ~ fr:fluide
0.7136	0.959	0.256	6	reduces	rides	en:reduces ~ en:reduced ≈ fr:rient oust ~ fr:rient aise ≈ en:readers ~ en:reader ≈ fr:rides
0.7136	0.915	0.220	6	drowned	dame	en:drowned ~ en:drown ≈ fr:down ~ en:down ≈ fr:damne ~ en:damn ≈ fr:dame
0.7134	0.901	0.208	6	bones	teste	en:bones = fr:os ≈ en:toss ~ en:tossed ≈ fr:test ~ en:test ≈ fr:teste
0.7133	0.909	0.215	6	suffers	libyen	en:suffers ≈ fr:saut aise ~ en:leaped ≈ fr:lippe ~ en:lippy ≈ fr:libye ~ fr:libyen
0.7130	0.850	0.161	6	meet error	coupes	en:meet error ~ en:fail ≈ fr:file = en:queue ≈ fr:coup ~ en:coup ≈ fr:coupes
0.7130	0.932	0.235	6	tarter	dec	en:tarter ≈ fr:tâter ~ fr:tiquent ≈ en:teak = fr:teck ≈ en:dec ~ fr:dec
0.7130	0.909	0.216	6	entries	électricité	en:entries ≈ fr:aident ride ~ fr:ride ≈ en:reader ~ fr:lectrice ≈ en:electricity ~ fr:électricité
0.7129	0.904	0.211	6	censorship	liquides	en:censorship ≈ fr:saines chipe ~ fr:lient chipe ≈ en:leadership ~ en:leader ≈ fr:liquide ~ fr:liquides
0.7128	0.959	0.257	6	reduced	ride	en:reduced ≈ fr:rient oust ~ fr:rient aise ≈ en:readers ~ en:reader ≈ fr:rides ~ fr:ride
0.7127	0.956	0.254	6	calling	pas elle	en:calling ~ en:caller ≈ fr:coller ~ en:colly ≈ fr:colis = en:parcel ≈ fr:pas elle
0.7127	0.833	0.144	5	nobody	références	en:nobody = fr:personne ≈ en:pension = fr:retraite ≈ en:referenced ~ fr:références
0.7126	0.861	0.172	6	flooded	parentale	en:flooded ≈ fr:flot aide ~ fr:pâment aide ≈ en:permitted ~ fr:permit ≈ en:parenting ~ fr:parentale
