tier	score	en	fr	flags	en_ipa	fr_ipa	alignment
A	0.798	strip	stream		stɹɪp	stʁɪːm	s:s t:t ɹ:ɹ ɪ:ɪ p:m
A	0.798	edited	aident hordes	multiword	ɛdɪɾᵻd	ɛdɔʁd	ɛ:ɛ d:d ɪ:ɔ ɹ:ɹ d:d
A	0.798	devil	dès vil	multiword	dɛvəl	dɛvil	d:d ɛ:ɛ v:v ə:i l:l
A	0.798	equity	hait curie	multiword	ɛkwᵻɾi	ɛkyʁi	ɛ:ɛ k:k w:y ɹ:ɹ i:i
A	0.798	rated	rai hordes	multiword	ɹeɪɾᵻd	ʁeɔʁd	ɹ:ɹ e:e ɪ:ɔ ɹ:ɹ d:d
B	0.798	snake	steak	loanword	sneɪk	steɪk	
A	0.798	excess	excède		ɛksɛs	ɛksɛd	ɛ:ɛ k:k s:s ɛ:ɛ s:d
A	0.798	blade	blé ode	multiword	bleɪd	bleɔd	b:b l:l e:e ɪ:ɔ d:d
A	0.798	parade	prés ode	multiword	pɚɹeɪd	pʁeɔd	p:p ɹ:ɹ e:e ɪ:ɔ d:d
A	0.798	inform	informe		ɪnfɔːɹm	ɛ̃fɔʁm	ɪ:ɛ n:n f:f ɔ:ɔ ɹ:ɹ m:m
A	0.798	raped	rai opte	multiword	ɹeɪpt	ʁeɔpt	ɹ:ɹ e:e ɪ:ɔ p:p t:t
A	0.798	fruits	fritz		fɹuːts	fʁits	f:f ɹ:ɹ u:i t:t s:s
A	0.798	dried	drap ode	multiword	dɹaɪd	dʁaɔd	d:d ɹ:ɹ a:a ɪ:ɔ d:d
A	0.798	newest	nous ost	multiword	nuːɪst	nuɔst	n:n u:u ɪ:ɔ s:s t:t
A	0.798	preview	prive mous	multiword	pɹiːvjuː	pʁivmu	p:p ɹ:ɹ i:i v:v j:m u:u
A	0.798	grove	gros ive	multiword	ɡɹoʊv	ɡʁoiv	ɡ:ɡ ɹ:ɹ o:o ʊ:i v:v
A	0.798	exceed	oxyde		ɛksiːd	oksid	ɛ:o k:k s:s i:i d:d
B	0.798	hiking	viking	loanword	haɪkɪŋ	vaɪkɪŋ	
A	0.798	referee	raies bris	multiword	ɹɛfɚɹiː	ʁɛbʁi	ɹ:ɹ ɛ:ɛ f:b ɹ:ɹ i:i
A	0.798	wiped	oies opte	multiword	waɪpt	waɔpt	w:w a:a ɪ:ɔ p:p t:t
A	0.798	confess	confesse	cognate	kənfɛs	kɔ̃fɛs	k:k ə:ɔ n:n f:f ɛ:ɛ s:s
A	0.798	exhaust	exhorte		ɛɡzɔːst	ɛɡzɔʁt	ɛ:ɛ ɡ:ɡ z:z ɔ:ɔ s:ɹ t:t
A	0.798	newborn	nouilles orne	multiword	nuːbɔːɹn	nujɔʁn	n:n u:u b:j ɔ:ɔ ɹ:ɹ n:n
A	0.798	insect	insectes	cognate	ɪnsɛkt	ɛ̃sɛkt	ɪ:ɛ n:n s:s ɛ:ɛ k:k t:t
A	0.798	insect	insecte	cognate	ɪnsɛkt	ɛ̃sɛkt	ɪ:ɛ n:n s:s ɛ:ɛ k:k t:t
B	0.798	pinch	punch	loanword	pɪntʃ	pʌntʃ	
A	0.798	rainy	réunit		ɹeɪni	ʁeyni	ɹ:ɹ e:e ɪ:y n:n i:i
A	0.798	rainy	réunis		ɹeɪni	ʁeyni	ɹ:ɹ e:e ɪ:y n:n i:i
A	0.798	rainy	réunies		ɹeɪni	ʁeyni	ɹ:ɹ e:e ɪ:y n:n i:i
A	0.798	prayed	prés ode	multiword	pɹeɪd	pʁeɔd	p:p ɹ:ɹ e:e ɪ:ɔ d:d
B	0.797	starting	string	loanword	stɑːɹɾɪŋ	stɹɪŋ	
A	0.797	respect	aspects		ɹᵻspɛkt	aspɛkt	·:a ɹ:· s:s p:p ɛ:ɛ k:k t:t
B	0.797	train	training	loanword	tɹeɪn	tɹeɪnɪŋ	
A	0.797	stories	autorisent		stoːɹiz	otoʁiz	·:o s:· t:t o:o ɹ:ɹ i:i z:z
A	0.797	stories	autorise		stoːɹiz	otoʁiz	·:o s:· t:t o:o ɹ:ɹ i:i z:z
A	0.797	increased	christ		ɪŋkɹiːst	kʁist	ɪ:· ŋ:· k:k ɹ:ɹ i:i s:s t:t
A	0.797	species	six dises	multiword	spiːsiːz	sisdiz	s:s p:· i:i s:s ·:d i:i z:z
B	0.797	breaking	break	loanword	bɹeɪkɪŋ	bɹeɪk	
B	0.797	mistake	steak	loanword	mɪsteɪk	steɪk	
A	0.797	sexy	sexistes		sɛksi	sɛksist	s:s ɛ:ɛ k:k s:s i:i ·:s ·:t
A	0.797	recall	agricole		ɹiːkɔːl	aɡʁikɔl	·:a ·:ɡ ɹ:ɹ i:i k:k ɔ:ɔ l:l
A	0.797	legacy	lès ceci	multiword	lɛɡəsi	lɛsəsi	l:l ɛ:ɛ ·:s ɡ:· ə:ə s:s i:i
B	0.797	surrounded	round	loanword	sɚɹaʊndᵻd	ɹaʊnd	
A	0.797	recipe	respirer		ɹɛsᵻpiː	ʁɛspiʁe	ɹ:ɹ ɛ:ɛ s:s p:p i:i ·:ɹ ·:e
B	0.797	streaming	string	loanword	stɹiːmɪŋ	stɹɪŋ	
A	0.797	exhausted	exode		ɛɡzɔːstᵻd	ɛɡzɔd	ɛ:ɛ ɡ:ɡ z:z ɔ:ɔ s:· t:· d:d
B	0.797	starring	string	loanword	stɑːɹɹɪŋ	stɹɪŋ	
B	0.797	trainer	training	loanword	tɹeɪnɚ	tɹeɪnɪŋ	
A	0.797	decreased	christ		diːkɹiːst	kʁist	d:· i:· k:k ɹ:ɹ i:i s:s t:t
A	0.797	expressing	expressions		ɛkspɹɛsɪŋ	ɛkspʁɛsjɔ̃	ɛ:ɛ k:k s:s p:p ɹ:ɹ ɛ:ɛ s:s ɪ:j ŋ:ɔ̃
A	0.797	corrected	craie coudes	multiword	kɚɹɛktᵻd	kʁɛkud	k:k ɹ:ɹ ɛ:ɛ k:k ·:u t:· d:d
A	0.797	distress	stresse		dɪstɹɛs	stʁɛs	d:· ɪ:· s:s t:t ɹ:ɹ ɛ:ɛ s:s
B	0.797	distress	stress	loanword	dɪstɹɛs	stɹɛs	
B	0.797	terrain	training	loanword	tɚɹeɪn	tɹeɪnɪŋ	
A	0.797	farewell	fers selles	multiword	fɛɹwɛl	fɛʁsɛl	f:f ɛ:ɛ ɹ:ɹ ·:s w:· ɛ:ɛ l:l
B	0.797	grounded	round	loanword	ɡɹaʊndᵻd	ɹaʊnd	
B	0.797	trustees	trust	loanword	tɹʌstiːz	tɹʌst	
A	0.797	strengths	stresse		stɹɛŋθs	stʁɛs	s:s t:t ɹ:ɹ ɛ:ɛ ŋ:· θ:· s:s
B	0.797	strengths	stress	loanword	stɹɛŋθs	stɹɛs	
A	0.797	tortured	torts tendent	multiword	tɔːɹtʃɚd	tɔʁtɑ̃d	t:t ɔ:ɔ ɹ:ɹ t:t ·:ɑ̃ ʃ:· d:d
A	0.797	exceeded	ex bide	multiword	ɛksiːdᵻd	ɛksbid	ɛ:ɛ k:k s:s ·:b i:i d:· d:d
A	0.797	flex	réflexes		flɛks	ʁeflɛks	·:ɹ ·:e f:f l:l ɛ:ɛ k:k s:s
A	0.797	flex	réflexe		flɛks	ʁeflɛks	·:ɹ ·:e f:f l:l ɛ:ɛ k:k s:s
A	0.797	condemn	que idem	multiword	kəndɛm	kəidɛm	k:k ə:ə ·:i n:· d:d ɛ:ɛ m:m
A	0.797	lecturer	lectures		lɛktʃɚɹɚ	lɛktyʁ	l:l ɛ:ɛ k:k t:t ·:y ʃ:· ɹ:ɹ
A	0.797	lecturer	lecture		lɛktʃɚɹɚ	lɛktyʁ	l:l ɛ:ɛ k:k t:t ·:y ʃ:· ɹ:ɹ
A	0.797	lecturer	lecteurs		lɛktʃɚɹɚ	lɛktœʁ	l:l ɛ:ɛ k:k t:t ·:œ ʃ:· ɹ:ɹ
B	0.797	trusting	trust	loanword	tɹʌstɪŋ	tɹʌst	
A	0.797	routinely	routine		ɹuːtiːnli	ʁutin	ɹ:ɹ u:u t:t i:i n:n l:· i:·
A	0.797	texting	textes		tɛkstɪŋ	tɛkst	t:t ɛ:ɛ k:k s:s t:t ɪ:· ŋ:·
A	0.797	texting	texte		tɛkstɪŋ	tɛkst	t:t ɛ:ɛ k:k s:s t:t ɪ:· ŋ:·
A	0.797	defect	directs		diːfɛkt	diʁɛkt	d:d i:i ·:ɹ f:· ɛ:ɛ k:k t:t
A	0.797	defect	directes		diːfɛkt	diʁɛkt	d:d i:i ·:ɹ f:· ɛ:ɛ k:k t:t
A	0.797	defect	directe		diːfɛkt	diʁɛkt	d:d i:i ·:ɹ f:· ɛ:ɛ k:k t:t
B	0.797	punching	punch	loanword	pʌntʃɪŋ	pʌntʃ	
A	0.796	executed	exquis hordes	multiword	ɛksᵻkjuːɾᵻd	ɛkskiɔʁd	ɛ:ɛ k:k s:s k:k j:i u:ɔ ɹ:ɹ d:d
A	0.796	celebrities	celui brise	multiword	səlɛbɹᵻɾiz	səlyibʁiz	s:s ə:ə l:l ·:y ɛ:i b:b ɹ:· ɹ:ɹ i:i z:z
A	0.796	societies	cerises		səsaɪəɾiz	səʁiz	s:· ə:· s:s a:· ə:ə ɹ:ɹ i:i z:z
A	0.796	societies	cerise		səsaɪəɾiz	səʁiz	s:· ə:· s:s a:· ə:ə ɹ:ɹ i:i z:z
A	0.796	pt	pipi		piːtiː	pipi	p:p i:i t:p i:i
B	0.796	traced	trust	loanword	tɹeɪst	tɹʌst	
A	0.796	traced	tristes		tɹeɪst	tʁist	t:t ɹ:ɹ e:i s:s t:t
A	0.796	traced	triste		tɹeɪst	tʁist	t:t ɹ:ɹ e:i s:s t:t
A	0.795	for	phosphore		fɔːɹ	fɔsfɔʁ	·:f ·:ɔ ·:s f:f ɔ:ɔ ɹ:ɹ
A	0.795	property	prix		pɹɑːpɚɾi	pʁi	p:· ɹ:· ɑ:· p:p ɹ:ɹ i:i
A	0.795	property	prit		pɹɑːpɚɾi	pʁi	p:· ɹ:· ɑ:· p:p ɹ:ɹ i:i
A	0.795	property	pris		pɹɑːpɚɾi	pʁi	p:· ɹ:· ɑ:· p:p ɹ:ɹ i:i
A	0.795	extra	extrêmes		ɛkstɹə	ɛkstʁɛm	ɛ:ɛ k:k s:s t:t ɹ:ɹ ə:ɛ ·:m
A	0.795	progress	presses		pɹɑːɡɹɛs	pʁɛs	p:p ɹ:· ɑ:· ɡ:· ɹ:ɹ ɛ:ɛ s:s
A	0.795	prepared	perdent		pɹɪpɛɹd	pɛʁd	p:· ɹ:· ɪ:· p:p ɛ:ɛ ɹ:ɹ d:d
A	0.795	prepared	perde		pɹɪpɛɹd	pɛʁd	p:· ɹ:· ɪ:· p:p ɛ:ɛ ɹ:ɹ d:d
A	0.795	schedule	sketch houle	multiword	skɛdʒuːl	skɛtʃul	s:s k:k ɛ:ɛ d:t ʒ:ʃ u:u l:l
A	0.795	expert	exporte		ɛkspɜːt	ɛkspɔʁt	ɛ:ɛ k:k s:s p:p ɜ:ɔ ·:ɹ t:t
A	0.795	expert	experte		ɛkspɜːt	ɛkspɛʁt	ɛ:ɛ k:k s:s p:p ɜ:ɛ ·:ɹ t:t
A	0.795	premier	premières		pɹəmɪɹ	pʁəmjɛʁ	p:p ɹ:ɹ ə:ə m:m ·:j ɪ:ɛ ɹ:ɹ
A	0.795	premier	première		pɹəmɪɹ	pʁəmjɛʁ	p:p ɹ:ɹ ə:ə m:m ·:j ɪ:ɛ ɹ:ɹ
A	0.795	suspect	aspects		sʌspɛkt	aspɛkt	s:· ʌ:a s:s p:p ɛ:ɛ k:k t:t
A	0.795	techniques	tex		tɛkniːks	tɛks	t:t ɛ:ɛ k:· n:· i:· k:k s:s
A	0.795	premium	primes	cognate	pɹiːmiəm	pʁim	p:p ɹ:ɹ i:· m:· i:i ə:· m:m
A	0.795	premium	prime	cognate	pɹiːmiəm	pʁim	p:p ɹ:ɹ i:· m:· i:i ə:· m:m
A	0.795	fortune	fortes phone	multiword	fɔːɹtʃʊn	fɔʁtfɔn	f:f ɔ:ɔ ɹ:ɹ t:t ʃ:f ʊ:ɔ n:n
A	0.795	premiere	premières	cognate	pɹəmɪɹ	pʁəmjɛʁ	p:p ɹ:ɹ ə:ə m:m ·:j ɪ:ɛ ɹ:ɹ
A	0.795	premiere	première	cognate	pɹəmɪɹ	pʁəmjɛʁ	p:p ɹ:ɹ ə:ə m:m ·:j ɪ:ɛ ɹ:ɹ
A	0.795	excessive	excessif	cognate	ɛksɛsɪv	ɛksɛsif	ɛ:ɛ k:k s:s ɛ:ɛ s:s ɪ:i v:f
B	0.795	switching	swing	loanword	swɪtʃɪŋ	swɪŋ	
A	0.795	predecessor	presses		pɹɛdᵻsɛsɚ	pʁɛs	p:p ɹ:ɹ ɛ:· d:· s:· ɛ:ɛ s:s
A	0.795	exclude	exclut		ɛkskluːd	ɛkskly	ɛ:ɛ k:k s:s k:k l:l u:y d:·
A	0.795	exclude	exclus		ɛkskluːd	ɛkskly	ɛ:ɛ k:k s:s k:k l:l u:y d:·
A	0.795	exclude	exclues		ɛkskluːd	ɛkskly	ɛ:ɛ k:k s:s k:k l:l u:y d:·
A	0.795	mysteries	maîtrise		mɪstɚɹiz	mɛtʁiz	m:m ɪ:ɛ s:· t:t ɹ:ɹ i:i z:z
B	0.794	kick	cake	loanword	kɪk	keɪk	
B	0.794	cook	coke	loanword	kʊk	kəʊk	
B	0.794	miller	mail	loanword	mɪlɚ	meɪl	
B	0.794	mill	mail	loanword	mɪl	meɪl	
B	0.794	poll	pull	loanword	poʊl	pʊl	
B	0.794	pole	pull	loanword	poʊl	pʊl	
B	0.794	bail	bill	loanword	beɪl	bɪl	
B	0.794	polar	pull	loanword	poʊlɚ	pʊl	
B	0.794	mil	mail	loanword	mɪl	meɪl	
A	0.793	part	partent		pɑːɹt	paʁt	p:p ɑ:a ɹ:ɹ t:t
A	0.793	part	parte		pɑːɹt	paʁt	p:p ɑ:a ɹ:ɹ t:t
A	0.793	star	stars	cognate	stɑːɹ	staʁ	s:s t:t ɑ:a ɹ:ɹ
A	0.793	park	parcs	cognate	pɑːɹk	paʁk	p:p ɑ:a ɹ:ɹ k:k
A	0.793	park	parc	cognate	pɑːɹk	paʁk	p:p ɑ:a ɹ:ɹ k:k
A	0.793	mark	marques	cognate	mɑːɹk	maʁk	m:m ɑ:a ɹ:ɹ k:k
A	0.793	mark	marquent		mɑːɹk	maʁk	m:m ɑ:a ɹ:ɹ k:k
A	0.793	mark	marque	cognate	mɑːɹk	maʁk	m:m ɑ:a ɹ:ɹ k:k
A	0.793	block	black		blɑːk	blak	b:b l:l ɑ:a k:k
A	0.793	blog	blagues		blɑːɡ	blaɡ	b:b l:l ɑ:a ɡ:ɡ
A	0.793	blog	blague		blɑːɡ	blaɡ	b:b l:l ɑ:a ɡ:ɡ
A	0.793	guard	gardes	cognate	ɡɑːɹd	ɡaʁd	ɡ:ɡ ɑ:a ɹ:ɹ d:d
A	0.793	guard	gardent		ɡɑːɹd	ɡaʁd	ɡ:ɡ ɑ:a ɹ:ɹ d:d
A	0.793	guard	garde	cognate	ɡɑːɹd	ɡaʁd	ɡ:ɡ ɑ:a ɹ:ɹ d:d
A	0.793	fox	fax		fɑːks	faks	f:f ɑ:a k:k s:s
A	0.793	plot	plates		plɑːt	plat	p:p l:l ɑ:a t:t
A	0.793	plot	plate		plɑːt	plat	p:p l:l ɑ:a t:t
A	0.793	clock	claques		klɑːk	klak	k:k l:l ɑ:a k:k
A	0.793	clock	claque		klɑːk	klak	k:k l:l ɑ:a k:k
A	0.793	foster	faste		fɑːstɚ	fast	f:f ɑ:a s:s t:t
A	0.793	socks	saxe		sɑːks	saks	s:s ɑ:a k:k s:s
A	0.793	cart	kart		kɑːɹt	kaʁt	k:k ɑ:a ɹ:ɹ t:t
A	0.793	cart	cartes		kɑːɹt	kaʁt	k:k ɑ:a ɹ:ɹ t:t
A	0.793	cart	carte		kɑːɹt	kaʁt	k:k ɑ:a ɹ:ɹ t:t
A	0.793	venues	vaine douze	multiword	vɛnjuːz	vɛnduz	v:v ɛ:ɛ n:n j:d u:u z:z
A	0.793	mommy	mamie		mɑːmi	mami	m:m ɑ:a m:m i:i
A	0.793	mosque	masques		mɑːsk	mask	m:m ɑ:a s:s k:k
A	0.793	mosque	masque		mɑːsk	mask	m:m ɑ:a s:s k:k
A	0.793	marker	marques		mɑːɹkɚ	maʁk	m:m ɑ:a ɹ:ɹ k:k
A	0.793	marker	marquent		mɑːɹkɚ	maʁk	m:m ɑ:a ɹ:ɹ k:k
A	0.793	marker	marque		mɑːɹkɚ	maʁk	m:m ɑ:a ɹ:ɹ k:k
A	0.793	marsh	marches		mɑːɹʃ	maʁʃ	m:m ɑ:a ɹ:ɹ ʃ:ʃ
A	0.793	marsh	marchent		mɑːɹʃ	maʁʃ	m:m ɑ:a ɹ:ɹ ʃ:ʃ
A	0.793	marsh	marche		mɑːɹʃ	maʁʃ	m:m ɑ:a ɹ:ɹ ʃ:ʃ
A	0.793	seventeen	sève cantine	multiword	sɛvəntiːn	sɛvkɑ̃tin	s:s ɛ:ɛ v:v ·:k ə:ɑ n:n t:t i:i n:n
A	0.793	bark	barque		bɑːɹk	baʁk	b:b ɑ:a ɹ:ɹ k:k
A	0.793	blogger	blagues		blɑːɡɚ	blaɡ	b:b l:l ɑ:a ɡ:ɡ
A	0.793	blogger	blague		blɑːɡɚ	blaɡ	b:b l:l ɑ:a ɡ:ɡ
A	0.793	sox	saxe		sɑːks	saks	s:s ɑ:a k:k s:s
A	0.793	barber	barbe		bɑːɹbɚ	baʁb	b:b ɑ:a ɹ:ɹ b:b
A	0.793	bonnie	bannis		bɑːni	bani	b:b ɑ:a n:n i:i
A	0.793	bonnie	banni		bɑːni	bani	b:b ɑ:a n:n i:i
A	0.792	explains	explosent		ɛkspleɪnz	ɛksploz	ɛ:ɛ k:k s:s p:p l:l e:o n:· z:z
A	0.792	glory	gland rient	multiword	ɡloːɹi	ɡlɑ̃ʁi	ɡ:ɡ l:l o:ɑ̃ ɹ:ɹ i:i
A	0.792	elderly	aile pli	multiword	ɛldɚli	ɛlpli	ɛ:ɛ l:l d:p l:l i:i
A	0.792	prospects	prospectus		pɹɑːspɛkts	pʁɔspɛktys	p:p ɹ:ɹ ɑ:ɔ s:s p:p ɛ:ɛ k:k t:t ·:y s:s
A	0.792	explode	explosé		ɛksploʊd	ɛksploze	ɛ:ɛ k:k s:s p:p l:l o:o d:z ·:e
A	0.792	explode	exploser	cognate	ɛksploʊd	ɛksploze	ɛ:ɛ k:k s:s p:p l:l o:o d:z ·:e
A	0.792	foremost	forment faste	multiword	fɔːɹmoʊst	fɔʁmfast	f:f ɔ:ɔ ɹ:ɹ m:m ·:f o:a s:s t:t
A	0.792	exploded	explosent		ɛksploʊdᵻd	ɛksploz	ɛ:ɛ k:k s:s p:p l:l o:o d:· d:z
A	0.792	scotch	sketch		skɑːtʃ	skɛtʃ	s:s k:k ɑ:ɛ t:t ʃ:ʃ
A	0.792	exploited	explose		ɛksplɔɪɾᵻd	ɛksplɔz	ɛ:ɛ k:k s:s p:p l:l ɔ:ɔ ɹ:· d:z
A	0.791	makes	mes axes	multiword	meɪks	meaks	m:m e:e ·:a k:k s:s
A	0.791	ground	grades		ɡɹaʊnd	ɡʁad	ɡ:ɡ ɹ:ɹ a:a n:· d:d
A	0.791	ground	grade		ɡɹaʊnd	ɡʁad	ɡ:ɡ ɹ:ɹ a:a n:· d:d
A	0.791	style	stables		staɪl	stabl	s:s t:t a:a ·:b l:l
A	0.791	style	stable		staɪl	stabl	s:s t:t a:a ·:b l:l
A	0.791	create	crié		kɹiːeɪt	kʁie	k:k ɹ:ɹ i:i e:e t:·
A	0.791	create	crier		kɹiːeɪt	kʁie	k:k ɹ:ɹ i:i e:e t:·
A	0.791	closed	claude		kloʊzd	klod	k:k l:l o:o z:· d:d
A	0.791	twice	toits anses	multiword	twaɪs	twaɑ̃s	t:t w:w a:a ·:ɑ̃ s:s
A	0.791	clothes	closes		kloʊðz	kloz	k:k l:l o:o ð:· z:z
A	0.791	clothes	clauses		kloʊðz	kloz	k:k l:l o:o ð:· z:z
A	0.791	clothes	clause		kloʊðz	kloz	k:k l:l o:o ð:· z:z
A	0.791	tony	tôle nient	multiword	toʊni	toːlni	t:t o:o ·:l n:n i:i
A	0.791	navy	nées envi	multiword	neɪvi	neɑ̃vi	n:n e:e ·:ɑ̃ v:v i:i
A	0.791	outdoor	adorent		aʊtdoːɹ	adoʁ	a:a t:· d:d o:o ɹ:ɹ
A	0.791	creator	crié		kɹiːeɪɾɚ	kʁie	k:k ɹ:ɹ i:i e:e ɹ:·
A	0.791	creator	crier		kɹiːeɪɾɚ	kʁie	k:k ɹ:ɹ i:i e:e ɹ:·
A	0.791	metro	mètres		mɛtɹoʊ	mɛtʁ	m:m ɛ:ɛ t:t ɹ:ɹ o:·
A	0.791	metro	mètre		mɛtɹoʊ	mɛtʁ	m:m ɛ:ɛ t:t ɹ:ɹ o:·
A	0.791	metro	mettre		mɛtɹoʊ	mɛtʁ	m:m ɛ:ɛ t:t ɹ:ɹ o:·
A	0.791	moreover	moreau		moːɹoʊvɚ	moʁo	m:m o:o ɹ:ɹ o:o v:·
A	0.791	moreover	moraux		moːɹoʊvɚ	moʁo	m:m o:o ɹ:ɹ o:o v:·
A	0.791	diary	dalles rient	multiword	daɪɚɹi	dalʁi	d:d a:a ·:l ɹ:ɹ i:i
A	0.791	bolt	baux halte	multiword	boʊlt	boalt	b:b o:o ·:a l:l t:t
A	0.791	soda	sautent de	multiword	soʊdə	sotdə	s:s o:o ·:t d:d ə:ə
A	0.791	closes	clauses		kloʊzᵻz	kloz	k:k l:l o:o z:· z:z
A	0.791	closes	clause		kloʊzᵻz	kloz	k:k l:l o:o z:· z:z
A	0.791	grind	grades		ɡɹaɪnd	ɡʁad	ɡ:ɡ ɹ:ɹ a:a n:· d:d
A	0.791	grind	grade		ɡɹaɪnd	ɡʁad	ɡ:ɡ ɹ:ɹ a:a n:· d:d
B	0.791	thrilled	thriller	loanword	θɹɪld	θɹɪlə	
A	0.791	amen	émet haines	multiword	eɪmɛn	emɛɛn	e:e m:m ·:ɛ ɛ:ɛ n:n
A	0.791	crane	créent aune	multiword	kɹeɪn	kʁeon	k:k ɹ:ɹ e:e ·:o n:n
A	0.791	shiny	chasses nient	multiword	ʃaɪni	ʃasni	ʃ:ʃ a:a ·:s n:n i:i
A	0.791	ivory	havre rient	multiword	aɪvɚɹi	avʁʁi	a:a v:v ·:ɹ ɹ:ɹ i:i
A	0.791	pony	paume nient	multiword	poʊni	pomni	p:p o:o ·:m n:n i:i
A	0.791	trout	tracts		tɹaʊt	tʁakt	t:t ɹ:ɹ a:a ·:k t:t
A	0.791	trout	tract		tɹaʊt	tʁakt	t:t ɹ:ɹ a:a ·:k t:t
A	0.791	naive	native		naɪiːv	nativ	n:n a:a ·:t i:i v:v
A	0.791	bounty	bâtis		baʊnti	bati	b:b a:a n:· t:t i:i
A	0.791	bounty	bâties		baʊnti	bati	b:b a:a n:· t:t i:i
A	0.791	bounty	bâtie		baʊnti	bati	b:b a:a n:· t:t i:i
A	0.791	cola	causent le	multiword	koʊlə	kozlə	k:k o:o ·:z l:l ə:ə
A	0.791	coma	causent me	multiword	koʊmə	kozmə	k:k o:o ·:z m:m ə:ə
A	0.791	rightly	rallye		ɹaɪtli	ʁali	ɹ:ɹ a:a t:· l:l i:i
A	0.791	obese	oses bises	multiword	oʊbiːz	ozbiz	o:o ·:z b:b i:i z:z
A	0.789	cookie	kiki		kʊki	kiki	k:k ʊ:i k:k i:i
A	0.787	explicit	explicites	cognate	ɛksplɪsɪt	ɛksplisit	ɛ:ɛ k:k s:s p:p l:l ɪ:i s:s ɪ:i t:t
A	0.787	explicit	explicite	cognate	ɛksplɪsɪt	ɛksplisit	ɛ:ɛ k:k s:s p:p l:l ɪ:i s:s ɪ:i t:t
A	0.787	directory	directrices		dᵻɹɛktɚɹi	diʁɛktʁis	d:d ·:i ɹ:ɹ ɛ:ɛ k:k t:t ɹ:ɹ i:i ·:s
A	0.787	directory	directrice		dᵻɹɛktɚɹi	diʁɛktʁis	d:d ·:i ɹ:ɹ ɛ:ɛ k:k t:t ɹ:ɹ i:i ·:s
A	0.787	explosives	explosent		ɛksploʊsɪvz	ɛksploz	ɛ:ɛ k:k s:s p:p l:l o:o s:· ɪ:· v:· z:z
A	0.787	explosions	explosent		ɛksploʊʒənz	ɛksploz	ɛ:ɛ k:k s:s p:p l:l o:o ʒ:· ə:· n:· z:z
A	0.787	forestry	forcées tri	multiword	fɔːɹɪstɹi	fɔʁsetʁi	f:f ɔ:ɔ ɹ:ɹ ɪ:· s:s ·:e t:t ɹ:ɹ i:i
A	0.787	mortgages	morgue jazz	multiword	mɔːɹɡɪdʒᵻz	mɔʁɡdʒaz	m:m ɔ:ɔ ɹ:ɹ ɡ:ɡ ɪ:· d:d ʒ:ʒ ·:a z:z
A	0.786	by	bats		baɪ	ba	b:b a:a
A	0.786	by	bat		baɪ	ba	b:b a:a
A	0.786	my	mât		maɪ	maː	m:m a:a
A	0.786	my	ma		maɪ	ma	m:m a:a
A	0.786	so	seau		soʊ	so	s:s o:o
A	0.786	so	sceaux		soʊ	so	s:s o:o
A	0.786	so	sceau		soʊ	so	s:s o:o
A	0.786	out	hâte		aʊt	aːt	a:a t:t
A	0.786	no	nos		noʊ	no	n:n o:o
A	0.786	now	na		naʊ	na	n:n a:a
A	0.786	know	nos		noʊ	no	n:n o:o
A	0.786	know	no		noʊ	no	n:n o:o
A	0.786	may	mes		meɪ	me	m:m e:e
A	0.786	day	dés		deɪ	de	d:d e:e
A	0.786	day	dé		deɪ	de	d:d e:e
A	0.786	day	des		deɪ	de	d:d e:e
A	0.786	why	oies		waɪ	wa	w:w a:a
A	0.786	why	oie		waɪ	wa	w:w a:a
A	0.786	say	ses		seɪ	se	s:s e:e
A	0.786	say	ces		seɪ	se	s:s e:e
A	0.786	own	aune		oʊn	on	o:o n:n
A	0.786	show	chaux		ʃoʊ	ʃo	ʃ:ʃ o:o
A	0.786	show	chauds		ʃoʊ	ʃo	ʃ:ʃ o:o
A	0.786	show	chaud		ʃoʊ	ʃo	ʃ:ʃ o:o
A	0.786	power	pat		paʊɚ	pa	p:p a:a
A	0.786	power	pas		paʊɚ	pa	p:p a:a
A	0.786	power	pa		paʊɚ	pa	p:p a:a
A	0.786	guy	gars	cognate	ɡaɪ	ɡa	ɡ:ɡ a:a
A	0.786	low	lots		loʊ	lo	l:l o:o
A	0.786	low	lot		loʊ	lo	l:l o:o
A	0.786	buy	bats		baɪ	ba	b:b a:a
A	0.786	buy	bat		baɪ	ba	b:b a:a
A	0.786	fire	fat		faɪɚ	fa	f:f a:a
A	0.786	fire	fa		faɪɚ	fa	f:f a:a
A	0.786	lower	lots		loʊɚ	lo	l:l o:o
A	0.786	lower	lot		loʊɚ	lo	l:l o:o
A	0.786	effect	affectent		ɪfɛkt	afɛkt	ɪ:a f:f ɛ:ɛ k:k t:t
A	0.786	effect	affecte		ɪfɛkt	afɛkt	ɪ:a f:f ɛ:ɛ k:k t:t
A	0.786	ice	as		aɪs	as	a:a s:s
A	0.786	ice	ace		aɪs	as	a:a s:s
A	0.786	wow	oies		waʊ	wa	w:w a:a
A	0.786	wow	oie		waʊ	wa	w:w a:a
A	0.786	gay	gué		ɡeɪ	ɡe	ɡ:ɡ e:e
A	0.786	gay	gai		ɡeɪ	ɡe	ɡ:ɡ e:e
A	0.786	lie	là		laɪ	la	l:l a:a
A	0.786	lie	las		laɪ	la	l:l a:a
A	0.786	lie	la		laɪ	la	l:l a:a
A	0.786	owner	aune		oʊnɚ	on	o:o n:n
