combined	sound	semantic	band	en	fr	flags	en_ipa	fr_ipa
0.713	0.983	0.451	related	friendly	freinent lis	multiword	fɹɛndli	fʁɛn lis
0.713	0.726	0.964	identical	stores	store		stɔːz	stɔʁ
0.713	0.903	0.579	close	anil	agnelle	generative	ænɪl	aɲɛl
0.713	0.73	0.952	identical	fan	fans	cognate	fæn	fan
0.713	0.947	0.505	related	potentially	potin joli	multiword	pətɛnʃəli	pɔtɛ̃ ʒɔli
0.713	0.94	0.516	related	up	happe	funcword	ʌp	ap
0.713	0.842	0.693	close	express	expressions		ɛkspɹɛs	ɛkspʁɛsjɔ̃
0.713	0.73	0.952	identical	sauce	sauces	cognate	sɔːs	sos
0.712	0.881	0.617	close	titian	déchaîne	generative	tɪʃən	deʃen
0.712	0.766	0.860	identical	explosive	explosifs	cognate	ɛkspləʊsɪv	ɛksplozif
0.712	1.0	0.425	related	zoo	zou		zuː	zu
0.712	0.763	0.867	identical	vest	zestes		vɛst	zɛst
0.712	1.0	0.425	related	sue	saouls		suː	su
0.712	0.74	0.925	identical	bust	buste	cognate	bʌst	byst
0.712	0.781	0.824	identical	mien	minent		miən	min
0.712	0.924	0.542	related	preceding	pris éden	multiword	pɹɪsiːdɪŋ	pʁi edɛn
0.712	0.933	0.527	related	tinny	tenez	generative	tɪni	təne
0.712	0.944	0.509	related	mending	main digne	multiword,generative	mɛndɪŋ	mɛ̃ diɲ
0.712	0.914	0.557	close	refreshing	rient rechigne	multiword	ɹɪfɹɛʃɪŋ	ʁi ʁəʃiɲ
0.712	0.738	0.929	identical	suspects	suspecte	cognate	sʌspɛkts	syspɛkt
0.711	1.0	0.423	related	cooper	coupe		kuːpɐ	kup
0.711	0.724	0.965	identical	acoustic	acoustique	cognate	ɐkuːstɪk	akustik
0.711	0.911	0.562	close	several	ces rôle	multiword	sɛvɹəl	sɛ ʁol
0.711	0.797	0.785	close	flex	réflexe		flɛks	ʁeflɛks
0.711	0.781	0.821	identical	dealt	dette		dɛlt	dɛt
0.711	0.945	0.505	related	brawn	prône	generative	bɹɔːn	pʁon
0.711	1.0	0.422	related	meet	mites		miːt	mit
0.711	1.0	0.422	related	naught	notes		nɔːt	nɔt
0.711	0.94	0.513	related	mystery	mais tri	multiword	mɪstəɹi	mɛ tʁi
0.711	1.0	0.422	related	eat	hit		iːt	it
0.711	0.939	0.514	related	controversy	cognent revêtit	multiword	kɒntɹəvɜːsi	kɔɲ ʁəvɛti
0.711	0.726	0.958	identical	cruel	cruels	cognate	kɹuːəl	kʁyɛl
0.711	0.864	0.645	close	gross	grosse		ɡɹəʊs	ɡʁos
0.710	0.952	0.493	related	crest	christ	generative	kɹɛst	kʁist
0.710	0.94	0.511	related	suitable	suent belle	multiword	suːtəbəl	sy bɛl
0.710	0.73	0.946	identical	come	came		kʌm	kam
0.710	1.0	0.420	related	cooper	coupes		kuːpɐ	kup
0.710	0.763	0.861	identical	vector	vecteurs	cognate	vɛktɐ	vɛktœʁ
0.710	1.0	0.420	related	frees	frise	generative	fɹiːz	fʁiz
0.710	0.901	0.576	close	it olla	installés	multiword	ɪtɒlɐ	ɛ̃stale
0.710	1.0	0.420	related	settler	sait les	multiword,generative	sɛtlɐ	sɛ le
0.710	0.932	0.523	related	bellied	bolide	generative	bɛlɪd	bɔlid
0.710	0.963	0.474	related	sissy	ceci	generative	sɪsi	səsi
0.710	0.94	0.510	related	joss	jazz	generative	dʒɒs	dʒaz
0.710	1.0	0.419	related	chute	shootent		ʃuːt	ʃut
0.709	1.0	0.419	related	jean	djinns		dʒiːn	dʒin
0.709	0.781	0.817	identical	check	chèques	cognate	tʃɛk	ʃɛk
0.709	0.976	0.454	related	possess	paix ace	multiword	pəzɛs	pɛ es
0.709	0.781	0.817	identical	lets	laissent		lɛts	lɛs
0.709	0.94	0.509	related	suppress	sofres	generative	səpɹɛs	sɔfʁɛs
0.709	0.945	0.501	related	alleys	élise	generative	ælɪz	eliz
0.709	0.743	0.909	identical	slave	slaves	cognate	sleɪv	slav
0.709	1.0	0.418	related	peter	pires		piːtɐ	piʁ
0.709	0.921	0.540	related	get your	question	multiword	ɡɛtjɔː	kɛstjɔ̃
0.709	0.929	0.526	related	masses	mes aise	multiword	mæsɪz	me ɛz
0.709	0.786	0.804	identical	mi	ma		maɪ	ma
0.709	0.95	0.492	related	corky	cocu	generative	kɔːki	kɔky
0.709	0.935	0.516	related	closest	clous est	multiword	kləʊsəst	klu ɛst
0.709	0.966	0.467	related	trusted	tracent aide	multiword	tɹʌstɪd	tʁas ɛd
0.708	0.797	0.778	close	flex	réflexes		flɛks	ʁeflɛks
0.708	0.786	0.803	identical	mi	mât		maɪ	ma
0.708	0.952	0.488	related	monitored	manient aide	multiword	mɒnɪtəd	mani ɛd
0.708	0.947	0.495	related	promoted	promet aide	multiword	pɹəməʊtɪd	pʁɔmɛ ɛd
0.708	0.973	0.455	related	predecessor	prient cessé	multiword	pɹiːdɪsɛsɐ	pʁi sɛse
0.708	0.833	0.700	close	dime	dames		daɪm	dam
0.708	0.95	0.490	related	litre	lutter	generative	liːtɐ	lyte
0.708	0.781	0.812	identical	mien	mine		miən	min
0.708	1.0	0.415	related	wrest	reste	generative	ɹɛst	ʁɛst
0.708	0.911	0.553	close	sheered	géode	generative	ʃiəd	ʒeɔd
0.708	0.881	0.606	close	than	gêne	funcword	ðɐn	ʒɛn
0.708	0.822	0.722	close	alive	live		ɐlaɪv	laɪv
0.708	0.932	0.518	related	protect	prêt acte	multiword	pɹətɛkt	pʁɛ akt
0.707	0.956	0.480	related	grist	christ	generative	ɡɹɪst	kʁist
0.707	0.96	0.474	related	obsessed	aubes est	multiword	ɒbsɛst	ob ɛst
0.707	0.985	0.436	related	larvae	lavis	generative	lɑːviː	lavi
0.707	0.94	0.505	related	dross	traces	generative	dɹɒs	tʁas
0.707	0.94	0.505	related	completely	con plient lis	multiword	kəmpliːtli	kɔ̃ pli lis
0.707	0.73	0.937	identical	sac	sacs		sæk	sak
0.707	1.0	0.414	related	doormen	domaine	generative	dɔːmɛn	dɔmɛn
0.707	0.743	0.903	identical	trace	traces	cognate	tɹeɪs	tʁas
0.707	0.938	0.507	related	editing	aidait in	multiword	ɛdɪtɪŋ	ɛdɛ in
0.707	0.976	0.448	related	portly	potelée	generative	pɔːtli	pɔtle
0.707	0.833	0.697	close	vine	vannes		vaɪn	van
0.707	0.976	0.448	related	redrew	rient roues	multiword,generative	ɹiːdɹuː	ʁi ʁu
0.706	0.737	0.917	identical	plastic	plastiques	cognate	plɑːstɪk	plastik
0.706	0.94	0.503	related	seedy	cité	generative	siːdi	site
0.706	0.919	0.537	related	toot were	toutefois	multiword	tuːtwɜː	tutfwa
0.706	0.964	0.465	related	partly	bat lis	multiword	pɑːtli	ba lis
0.706	0.755	0.871	identical	antique	antiques	cognate	æntiːk	ɑ̃tik
0.706	0.929	0.520	related	meted	mitaine	generative	miːtɪd	mitɛn
0.706	0.945	0.494	related	shinny	chiner	generative	ʃɪni	ʃine
0.706	0.955	0.478	related	cadre	cadet	generative	kɑːdɐ	kadɛ
0.706	0.793	0.780	close	mark	marquent		mɑːk	maʁk
0.706	0.938	0.505	related	briefly	prient lis	multiword	bɹiːfli	pʁi lis
0.706	0.955	0.478	related	venture	feignent chez	multiword	vɛntʃɐ	fɛɲ ʃe
0.705	0.952	0.482	related	corset	concède	generative	kɔːsɛt	kɔ̃sɛd
0.705	0.763	0.849	identical	zest	vestes		zɛst	vɛst
0.705	0.724	0.949	identical	problem	problèmes	cognate	pɹɒbləm	pʁɔblɛm
0.705	0.98	0.439	related	fourteen	faut in	multiword	fɔːtiːn	fo in
0.705	0.932	0.513	related	endive	haines ive	multiword,generative	ɛndɪv	ɛn iv
0.705	0.724	0.948	identical	gentlemen	gentleman		dʒɛntəlmən	dʒɛntləman
0.705	0.911	0.548	related	lapped	laps	generative	læpt	laps
0.705	0.938	0.503	related	quiz	cuisent	generative	kwɪz	kɥiz
0.705	1.0	0.410	related	call	collent		kɔːl	kɔl
0.705	0.911	0.547	related	simply	sain plie	multiword	sɪmpli	sɛ̃ pli
0.705	0.793	0.777	close	bonnie	banni		bɒni	bani
0.705	1.0	0.409	related	daughter	dors		dɔːtɐ	dɔʁ
0.705	0.929	0.517	related	supers	suppose	generative	suːpəz	sypoz
0.705	1.0	0.409	related	chute	shoot		ʃuːt	ʃut
0.704	0.958	0.471	related	fortunate	faut chaînette	multiword	fɔːtʃənət	fo ʃɛnɛt
0.704	1.0	0.409	related	sheaf	chiffes		ʃiːf	ʃif
0.704	1.0	0.409	related	peak	piques		piːk	pik
0.704	0.728	0.935	identical	vaccine	vacciner		væksiːn	vaksine
0.704	1.0	0.408	related	beat	bittent		biːt	bit
0.704	0.73	0.928	identical	fess	fez		fɛs	fɛz
0.704	0.94	0.498	related	gorgeous	godes os	multiword	ɡɔːdʒəs	ɡɔd ɔs
0.704	0.797	0.766	close	routinely	routine		ɹuːtiːnli	ʁutin
0.704	0.72	0.955	identical	strategy	stratégies	cognate	stɹætədʒi	stʁateʒi
0.704	0.929	0.515	related	reckon	ricaine	generative	ɹɛkən	ʁikɛn
0.704	0.944	0.491	related	tending	tain digne	multiword,generative	tɛndɪŋ	tɛ̃ diɲ
0.704	0.781	0.802	identical	glen	laine		ɡlɛn	lɛn
0.704	0.97	0.451	related	brewed	broute	generative	bɹuːd	bʁut
0.704	1.0	0.407	related	caught	cote		kɔːt	kɔt
0.703	1.0	0.407	related	daughter	dort		dɔːtɐ	dɔʁ
0.703	0.97	0.450	related	pax	pacs	generative	pæks	paks
0.703	0.927	0.517	related	completed	con plient aide	multiword	kəmpliːtɪd	kɔ̃ pli ɛd
0.703	0.926	0.519	related	needing	nid in	multiword	niːdɪŋ	ni in
0.703	0.905	0.554	close	depending	dépeignent in	multiword	dɪpɛndɪŋ	depɛɲ in
0.703	0.785	0.792	close	capped	capte		kæpt	kapt
0.703	0.861	0.633	close	there	des	funcword	ðeə	de
0.703	0.731	0.924	identical	exclusion	excluant		ɛkskluːʒən	ɛksklyɑ̃
0.703	0.94	0.496	related	an	haine	funcword	ɐn	ɛn
0.703	0.94	0.496	related	skep	skip	generative	skɛp	skip
0.703	0.94	0.496	related	funded	fanent aide	multiword	fʌndɪd	fan ɛd
0.703	1.0	0.406	related	coolie	coulis	generative	kuːli	kuli
0.703	0.955	0.472	related	greatest	créent est	multiword	ɡɹeɪtəst	kʁe ɛst
0.703	0.97	0.449	related	broch	braque	generative	bɹɒk	bʁak
0.703	0.73	0.925	identical	apt	aptes		æpt	apt
0.703	0.753	0.866	identical	dresses	dressage		dɹɛsɪz	dʁɛsaʒ
0.703	1.0	0.405	related	sector	secte		sɛktɐ	sɛkt
0.703	0.944	0.488	related	treading	training	generative	tɹɛdɪŋ	tʁɛniŋ
0.702	1.0	0.405	related	dawn	donnent		dɔːn	dɔn
0.702	0.929	0.512	related	peters	peut aise	multiword	piːtəz	pø ɛz
0.702	0.933	0.505	related	committing	commit in	multiword	kəmɪtɪŋ	kɔmi in
0.702	0.89	0.578	close	of	off	funcword	ɒv	ɔf
0.702	1.0	0.404	related	meat	mitent		miːt	mit
0.702	0.94	0.494	related	wreaked	rixe	generative	ɹiːkt	ʁiks
0.702	0.952	0.475	related	reason	résonne	generative	ɹiːzən	ʁezɔn
0.702	0.786	0.786	close	pie	pa		paɪ	pa
0.702	1.0	0.404	related	pair	père		peə	pɛʁ
0.702	0.786	0.786	close	pie	pas		paɪ	pa
0.702	0.97	0.447	related	cruck	crack	generative	kɹʌk	kʁak
0.702	0.963	0.457	related	result	ries halte	multiword	ɹɪzʌlt	ʁi alt
0.702	0.932	0.506	related	certainty	sait ensi	multiword	sɜːtənti	sɛ ɛnsi
0.702	1.0	0.403	related	piece	pisse		piːs	pis
0.701	0.952	0.474	related	rapidly	répit lis	multiword	ɹæpɪdli	ʁepi lis
0.701	0.928	0.512	related	succeeded	secs édite	multiword	səksiːdɪd	sɛk edit
0.701	1.0	0.403	related	pool	poule		puːl	pul
0.701	0.944	0.486	related	disorder	dis ondées	multiword	dɪsɔːdɐ	di ɔ̃de
0.701	0.94	0.492	related	treen	traîne	generative	tɹiːn	tʁɛn
0.701	0.96	0.460	related	listed	laissent aide	multiword	lɪstɪd	lɛs ɛd
0.701	0.98	0.430	related	lenses	laines aise	multiword	lɛnzɪz	lɛn ɛz
0.701	0.881	0.591	close	now	nos	funcword	naʊ	no
0.701	0.833	0.682	close	visa	visent		viːzɐ	viz
0.701	0.822	0.705	close	very	vernis		vɛɹi	vɛʁni
0.701	1.0	0.401	related	wed	oued		wɛd	wɛd
0.701	0.917	0.528	related	acceptable	excèdent belle	multiword	ɐksɛptəbəl	ɛksɛd bɛl
0.701	0.983	0.425	related	retrieve	rient rive	multiword	ɹɪtɹiːv	ʁi ʁiv
0.700	1.0	0.401	related	stalk	stockent		stɔːk	stɔk
0.700	1.0	0.401	related	seed	cid		siːd	sid
0.700	0.797	0.757	close	distress	stresse		dɪstɹɛs	stʁɛs
0.700	0.94	0.490	related	autonomy	otan omis	multiword	ɔːtɒnəmi	ɔtɑ̃ ɔmi
0.700	0.905	0.548	related	bothered	bas aide	multiword	bɒðəd	ba ɛd
0.700	0.96	0.459	related	prisoner	pris né	multiword	pɹɪzənɐ	pʁi ne
0.700	0.963	0.454	related	cellist	céleste	generative	sɛlɪst	selɛst
0.700	0.929	0.507	related	treaty	traité	generative	tɹiːti	tʁɛte
0.700	0.926	0.512	related	budding	badine	generative	bʌdɪŋ	badin
0.700	0.94	0.489	related	dorks	docte	generative	dɔːks	dɔkt
0.700	0.807	0.735	close	exploration	exploré morne	multiword	ɛksplɔːɹeɪʃən	ɛksplɔʁemɔʁn
0.700	0.915	0.530	related	ockers	occase	generative	ɒkəz	ɔkaz
0.700	0.793	0.765	close	mark	marques	cognate	mɑːk	maʁk
0.700	0.94	0.489	related	orcas	occase	generative	ɔːkəz	ɔkaz
0.700	0.781	0.792	close	lets	laisses		lɛts	lɛs
0.700	0.94	0.488	related	twenty	soin tee	multiword	twɛnti	swɛ̃ ti
0.700	0.97	0.442	related	colour	calé	generative	kʌlɐ	kale
0.700	0.96	0.457	related	custom	cassent homme	multiword	kʌstəm	kas ɔm
0.699	0.781	0.791	close	jet	jettent		dʒɛt	ʒɛt
0.699	0.729	0.919	identical	pharmacy	pharmacies	cognate	fɑːməsi	faʁmasi
0.699	0.73	0.916	identical	dig	digue		dɪɡ	diɡ
0.699	0.94	0.488	related	racks	rixe	generative	ɹæks	ʁiks
0.699	1.0	0.399	related	excess	ex ès	multiword	ɛksɛs	ɛksɛs
0.699	0.96	0.457	related	testers	taies thèse	multiword,generative	tɛstəz	tɛ tɛz
0.699	0.952	0.469	related	strep	strip	generative	stɹɛp	stʁip
0.699	0.948	0.475	related	desperate	dès porte	multiword	dɛspəɹət	dɛ pɔʁt
0.699	0.72	0.942	identical	exceptional	exceptionnels	cognate	ɛksɛpʃənəl	ɛksɛpsjɔnɛl
0.699	0.921	0.518	related	done	donne	funcword	dʌn	dɔn
0.699	0.955	0.464	related	kami	camée	generative	kɑːmi	kame
0.699	0.921	0.518	related	get your	questions	multiword	ɡɛtjɔː	kɛstjɔ̃
0.699	0.969	0.443	related	distress	dis tresses	multiword	dɪstɹɛs	di tʁɛs
0.699	0.979	0.428	related	footballer	fait bolée	multiword	fʊtbɔːlɐ	fɛ bɔle
0.699	0.935	0.495	related	necessary	nés serez	multiword	nɛsəsəɹi	ne səʁe
0.699	1.0	0.398	related	fool	foule		fuːl	ful
0.699	1.0	0.397	related	seal	cils		siːl	sil
0.699	0.902	0.549	related	padding	patine	generative	pædɪŋ	patin
0.699	0.96	0.455	related	cooed rhea	country	multiword	kuːdɹiː	kuntʁi
0.699	0.94	0.486	related	honoured	anode	generative	ɒnəd	anɔd
0.698	0.963	0.450	related	pistol	pissent elle	multiword	pɪstəl	pis ɛl
0.698	0.781	0.788	close	bent	bêtes		bɛnt	bɛt
0.698	0.94	0.485	related	modest	mot est	multiword	mɒdəst	mo ɛst
0.698	0.976	0.430	related	lender	lin des	multiword,generative	lɛndɐ	lɛ̃ de
0.698	0.952	0.466	related	screwed	scrute	generative	skɹuːd	skʁyt
0.698	0.808	0.728	close	complex	complexes	cognate	kɑːmplɛks	kɔ̃plɛks
0.698	0.924	0.511	related	fortune	faut chine	multiword	fɔːtʃuːn	fo ʃin
0.698	0.94	0.484	related	settled	sait halte	multiword	sɛtəld	sɛ alt
0.698	1.0	0.395	related	peak	pique		piːk	pik
0.697	0.97	0.438	related	altar	haleter	generative	ɒltɐ	alte
0.697	0.962	0.450	related	rescued	raies coude	multiword	ɹɛskjuːd	ʁɛ kud
0.697	0.73	0.911	identical	fez	fesse		fɛz	fɛs
0.697	1.0	0.395	related	caught	cotes		kɔːt	kɔt
0.697	1.0	0.395	related	dawn	donnes		dɔːn	dɔn
0.697	0.812	0.717	close	extract	extraite		ɛkstɹækt	ɛkstʁɛt
0.697	0.97	0.437	related	feeder	vider	generative	fiːdɐ	vide
0.697	0.929	0.500	related	foresees	fonceuse	generative	fɔːsiːz	fɔ̃søz
0.697	0.928	0.502	related	basically	pays clé	multiword	beɪsɪkli	pei kle
0.697	0.94	0.482	related	title	taillent elle	multiword	taɪtəl	taj ɛl
0.697	1.0	0.393	related	court	cote		kɔːt	kɔt
0.697	0.929	0.500	related	verses	vais aise	multiword	vɜːsɪz	vɛ ɛz
0.696	0.946	0.472	related	legendary	laid gênent ri	multiword	lɛdʒəndəɹi	lɛ ʒɛn ʁi
0.696	1.0	0.393	related	key	qui		kiː	ki
0.696	1.0	0.392	related	peace	pisses		piːs	pis
0.696	0.952	0.462	related	wizard	ouais aide	multiword	wɪzəd	wɛ ɛd
0.696	0.793	0.755	close	mark	marque	cognate	mɑːk	maʁk
0.696	0.925	0.505	related	up	hep	funcword	ʌp	ɛp
0.696	1.0	0.392	related	beat	bite		biːt	bit
0.696	0.952	0.462	related	purchased	paient schiste	multiword	pɜːtʃɪsd	pɛ ʃist
0.696	0.94	0.481	related	legit	laid jette	multiword	lədʒɪt	lɛ ʒɛt
0.696	0.952	0.462	related	deport	dépote	generative	dɪpɔːt	depɔt
0.696	0.797	0.746	close	excluded	exclues soude	multiword	ɛkskluːdɪd	ɛksklysud
0.696	0.926	0.503	related	consumers	con soumise	multiword	kənsuːməz	kɔ̃ sumiz
0.696	0.729	0.909	identical	libraries	librairies		laɪbɹəɹiz	libʁɛʁi
0.695	1.0	0.391	related	boom	boumes		buːm	bum
0.695	0.97	0.434	related	stoup	stups	generative	stuːp	styp
0.695	1.0	0.391	related	former	forment		fɔːmɐ	fɔʁm
0.695	1.0	0.391	related	red	raide		ɹɛd	ʁɛd
0.695	0.92	0.511	related	nixed	mixte	generative	nɪkst	mikst
0.695	0.944	0.473	related	preserve	pris ève	multiword	pɹɪsɜːv	pʁi ɛv
0.695	0.94	0.479	related	tiller	télé	generative	tɪlɐ	tele
0.695	0.98	0.418	related	eschew	hissent chou	multiword,generative	ɪstʃuː	is ʃu
0.695	1.0	0.390	related	tree	tri		tɹiː	tʁi
0.695	0.966	0.439	related	sensory	sain serez	multiword	sɛnsəɹi	sɛ̃ səʁe
0.695	0.94	0.478	related	pinny	penny	generative	pɪni	peni
0.695	1.0	0.389	related	flu	flou		fluː	flu
0.695	0.98	0.417	related	mental	mènent elle	multiword	mɛntəl	mɛn ɛl
0.694	1.0	0.389	related	cool	coule		kuːl	kul
0.694	0.94	0.477	related	flooded	flot aide	multiword	flʌdɪd	flo ɛd
0.694	0.95	0.462	related	largely	lads lis	multiword	lɑːdʒli	lad lis
0.694	0.92	0.509	related	revival	rivas elle	multiword	ɹɪvaɪvəl	ʁiva ɛl
0.694	1.0	0.388	related	stalk	stock		stɔːk	stɔk
0.694	0.945	0.469	related	seesaw	ciseaux	generative	siːsɔː	sizo
0.694	0.798	0.740	close	devil	dès vil	multiword	dɛvəl	dɛvil
0.694	1.0	0.388	related	root	route		ɹuːt	ʁut
0.694	0.781	0.777	close	duce	douces		djuːs	dus
0.694	0.73	0.901	identical	coot	coude		kuːt	kud
0.694	0.724	0.917	identical	magazine	magazines	cognate	mæɡɐziːn	maɡazin
0.694	0.94	0.476	related	wracks	rixe	generative	ɹæks	ʁiks
0.693	0.918	0.511	related	supported	sabot aide	multiword	səpɔːtɪd	sabo ɛd
0.693	1.0	0.387	related	stalk	stocke		stɔːk	stɔk
0.693	0.946	0.466	related	centuries	saignent cerise	multiword	sɛntʃəɹɪz	sɛɲ səʁiz
0.693	0.963	0.440	related	restive	rincent ive	multiword,generative	ɹɛstɪv	ʁɛ̃s iv
0.693	0.728	0.905	identical	singles	single	cognate	sɪŋɡəlz	siŋɡəl
0.693	0.94	0.475	related	honored	anode	generative	ɒnəd	anɔd
0.693	0.96	0.444	related	seat em	système	multiword	siːtɛm	sistɛm
0.693	0.923	0.502	related	previous	pris os	multiword	pɹiːvɪəs	pʁi ɔs
0.693	0.929	0.492	related	cartoon	gand un	multiword	kɑːtuːn	ɡɑ̃ œ̃
0.693	0.73	0.898	identical	baud	bonde		bɔːd	bɔ̃d
0.693	0.929	0.491	related	edges	aides aise	multiword	ɛdʒɪz	ɛd ɛz
0.693	0.956	0.449	related	terrors	thérèse	generative	tɛɹəz	teʁɛz
0.693	0.781	0.774	close	tens	thèses		tɛnz	tɛz
0.693	0.894	0.549	related	most	moufte	funcword	məʊst	muft
0.693	1.0	0.385	related	smell	semelle		smɛl	smɛl
0.693	1.0	0.385	related	flew	floue		fluː	flu
0.692	1.0	0.385	related	messy	mets sis	multiword	mɛsi	mɛsi
0.692	1.0	0.384	related	freeze	frise		fɹiːz	fʁiz
0.692	0.926	0.494	related	lecturer	liguent serez	multiword	lɛktʃəɹɐ	liɡ səʁe
0.692	1.0	0.384	related	cork	coq		kɔːk	kɔk
0.692	0.932	0.485	related	mistake	mais tic	multiword	mɪsteɪk	mɛ tik
0.692	1.0	0.383	related	queen	couinent		kwiːn	kwin
0.692	0.94	0.472	related	premises	brèmes aise	multiword	pɹɛmɪsɪz	bʁɛm ɛz
0.692	0.952	0.453	related	toddler	tôt les	multiword	tɒdlɐ	to le
0.692	0.73	0.895	identical	cause	causent		kɔːz	koz
0.692	0.98	0.411	related	plenty	plain tee	multiword	plɛnti	plɛ̃ ti
0.692	0.976	0.417	related	center	sain tes	multiword	sɛntɐ	sɛ̃ te
0.692	0.743	0.862	identical	plate	plates		pleɪt	plat
0.692	0.926	0.494	related	thirteen	fait in	multiword	θɜːtiːn	fɛ in
0.692	0.741	0.867	identical	control	contrôles	cognate	kəntɹəʊl	kɔ̃tʁol
0.691	0.96	0.441	related	done	damne	funcword	dʌn	dan
0.691	0.927	0.492	related	discovering	dis caverne	multiword	dɪskʌvəɹɪŋ	di kavɛʁn
0.691	0.919	0.505	related	prefers	prêt aise	multiword	pɹɪfɜːz	pʁɛ ɛz
0.691	0.734	0.884	identical	movement	mouvements	cognate	muːvmənt	muvmɑ̃
0.691	0.976	0.417	related	mender	main des	multiword,generative	mɛndɐ	mɛ̃ de
0.691	0.944	0.465	related	honesty	anis tee	multiword	ɒnɪsti	ani ti
0.691	0.833	0.660	close	male	mêle		meɪl	mel
0.691	0.781	0.770	close	please	pli		pliːz	pli
0.691	0.781	0.770	close	vet	vestes		vɛt	vɛst
0.691	0.97	0.425	related	floored	flotte	generative	flɔːd	flɔt
0.691	0.911	0.517	related	honors	ânesse	generative	ɒnəz	anɛs
0.691	1.0	0.382	related	meal	mille		miːl	mil
0.691	1.0	0.382	related	gene	djinn		dʒiːn	dʒin
0.691	0.73	0.892	identical	pan	pannes		pæn	pan
0.691	0.822	0.681	close	spectrum	spectre	cognate	spɛktɹəm	spɛktʁ
0.691	0.94	0.470	related	dreg	drogue	generative	dɹɛɡ	dʁɔɡ
0.691	0.864	0.599	close	mighty	maris		maɪti	maʁi
0.691	0.918	0.505	related	enjoyed	haines chaude	multiword	ɛndʒɔɪd	ɛn ʃod
0.690	0.976	0.415	related	seizes	scies aise	multiword,generative	siːzɪz	si ɛz
0.690	1.0	0.381	related	shoe	choux		ʃuː	ʃu
0.690	0.785	0.759	close	life	live		laɪf	laɪv
0.690	0.781	0.768	close	ls	laisses		ɛlɛs	lɛs
0.690	1.0	0.380	related	court	cotes		kɔːt	kɔt
0.690	0.73	0.891	identical	act	actes	cognate	ækt	akt
0.690	0.939	0.470	related	decreasing	décris in	multiword	diːkɹiːsɪŋ	dekʁi in
0.690	0.926	0.490	related	foremen	semaine	generative	fɔːmɛn	smɛn
0.690	0.95	0.453	related	country	khan tri	multiword	kʌntɹi	kɑ̃ tʁi
0.690	0.781	0.767	close	seas	ciseaux		siːz	sizo
0.690	0.975	0.415	related	jinn	gin	generative	dʒɪn	dʒin
0.690	0.952	0.449	related	shooters	jouent aise	multiword	ʃuːtəz	ʒu ɛz
0.690	0.97	0.422	related	talkie	toquer	generative	tɔːki	tɔke
0.690	0.72	0.916	identical	accepts	acceptes	cognate	ɐksɛpts	aksɛpt
0.690	0.952	0.449	related	portrait	pot rite	multiword	pɔːtɹeɪt	po ʁit
0.689	1.0	0.379	related	read	rides		ɹiːd	ʁid
0.689	1.0	0.378	related	stalk	stocks		stɔːk	stɔk
0.689	0.956	0.442	related	estimated	estimait aide	multiword	ɛstɪmeɪtɪd	ɛstimɛ ɛd
0.689	1.0	0.378	related	grief	griffes		ɡɹiːf	ɡʁif
0.689	1.0	0.378	related	entry	haines tri	multiword	ɛntɹi	ɛntʁi
0.689	0.726	0.898	identical	regrets	regrettent		ɹɪɡɹɛts	ʁəɡʁɛt
0.689	0.96	0.435	related	matches	mat chaise	multiword	mætʃɪz	mat ʃɛz
0.689	0.97	0.421	related	sics	sexe	generative	sɪks	sɛks
0.689	0.911	0.512	related	auras	horace	generative	ɔːɹəz	ɔʁas
0.689	0.932	0.478	related	souped arse	substance	multiword	suːptɑːs	sypstɑ̃s
0.689	1.0	0.378	related	poorly	polie		pɔːli	pɔli
0.689	1.0	0.377	related	bootie	boutis		buːti	buti
0.689	0.937	0.470	related	policies	polis aise	multiword	pɒlɪsɪz	pɔli ɛz
0.689	0.952	0.447	related	canal	quenelle	generative	kənæl	kənɛl
0.688	0.917	0.502	related	projected	prêtes excède	multiword	pɹədʒɛktɪd	pʁɛt ɛksɛd
0.688	0.72	0.912	identical	excuse	excuses	cognate	ɛkskjuːs	ɛkskyz
0.688	1.0	0.377	related	recall	rient collent	multiword	ɹiːkɔːl	ʁikɔl
0.688	0.947	0.454	related	reduced	rient oust	multiword	ɹɪdjuːst	ʁi ust
0.688	0.935	0.472	related	abilities	épilent hisse	multiword	ɐbɪlətiz	epil is
0.688	0.74	0.860	identical	pass	passes	cognate	pɑːs	pas
0.688	0.983	0.400	related	pressmen	près mène	multiword,generative	pɹɛsmɛn	pʁɛ mɛn
0.688	0.96	0.434	related	firstly	foncent lis	multiword	fɜːstli	fɔ̃s lis
0.688	0.952	0.445	related	attending	étain digne	multiword	ɐtɛndɪŋ	etɛ̃ diɲ
0.688	0.947	0.452	related	planting	planent in	multiword	plæntɪŋ	plan in
0.688	0.858	0.603	close	northwest	notes ouest	multiword	nɔːθwɛst	nɔtwɛst
0.688	0.781	0.761	close	ml	aimait		ɛmɛl	ɛmɛ
0.688	0.976	0.409	related	teacher	dit chez	multiword	tiːtʃɐ	di ʃe
0.688	1.0	0.375	related	share	chères		ʃeə	ʃɛʁ
0.687	0.786	0.749	close	dear	dits		diə	di
0.687	0.966	0.423	related	planted	planent aide	multiword	plæntɪd	plan ɛd
0.687	0.73	0.883	identical	axe	axes	cognate	æks	aks
0.687	1.0	0.375	related	stalk	stockes		stɔːk	stɔk
0.687	0.96	0.432	related	menaced	main est	multiword,generative	mɛnɪst	mɛ̃ ɛst
