tier	score	en	fr	flags	en_ipa	fr_ipa	alignment
A	0.812	pleasant	plaisante		plɛzənt	plɛzɑ̃t	p:p l:l ɛ:ɛ z:z ə:ɑ n:n t:t
A	0.812	extract	extraite		ɛkstɹækt	ɛkstʁɛt	ɛ:ɛ k:k s:s t:t ɹ:ɹ æ:ɛ k:· t:t
A	0.812	freshman	fraîchement		fɹɛʃmən	fʁɛʃmɑ̃	f:f ɹ:ɹ ɛ:ɛ ʃ:ʃ m:m ə:ɑ n:n
A	0.812	explored	explosent		ɛksplɔːd	ɛksploz	ɛ:ɛ k:k s:s p:p l:l ɔ:o d:z
A	0.812	explored	explose		ɛksplɔːd	ɛksploz	ɛ:ɛ k:k s:s p:p l:l ɔ:o d:z
A	0.812	processor	princesses		pɹəʊsɛsɐ	pʁɛ̃sɛs	p:p ɹ:ɹ o:ɛ̃ s:s ɛ:ɛ s:s ɐ:·
A	0.812	processor	princesse		pɹəʊsɛsɐ	pʁɛ̃sɛs	p:p ɹ:ɹ o:ɛ̃ s:s ɛ:ɛ s:s ɐ:·
B	0.81	maybe	baby	loanword	meɪbiː	beɪbi	
A	0.81	trust	tristes		tɹʌst	tʁist	t:t ɹ:ɹ ʌ:i s:s t:t
A	0.81	trust	triste		tɹʌst	tʁist	t:t ɹ:ɹ ʌ:i s:s t:t
A	0.81	legal	lies gal	multiword	liːɡəl	liɡal	l:l i:i ɡ:ɡ ə:a l:l
A	0.81	brown	bras aune	multiword	bɹaʊn	bʁaon	b:b ɹ:ɹ a:a ʊ:o n:n
A	0.81	lady	lé édit	multiword	leɪdi	leedi	l:l e:e ɪ:e d:d i:i
A	0.81	address	adresses	cognate	ɐdɹɛs	adʁɛs	ɐ:a d:d ɹ:ɹ ɛ:ɛ s:s
A	0.81	address	adressent		ɐdɹɛs	adʁɛs	ɐ:a d:d ɹ:ɹ ɛ:ɛ s:s
A	0.81	address	adresse	cognate	ɐdɹɛs	adʁɛs	ɐ:a d:d ɹ:ɹ ɛ:ɛ s:s
A	0.81	machine	machines	cognate	məʃiːn	maʃin	m:m ə:a ʃ:ʃ i:i n:n
A	0.81	google	goûts gal	multiword	ɡuːɡəl	ɡuɡal	ɡ:ɡ u:u ɡ:ɡ ə:a l:l
A	0.81	cities	cerises		sɪtiz	səʁiz	s:s ɪ:ə t:ɹ i:i z:z
A	0.81	cities	cerise		sɪtiz	səʁiz	s:s ɪ:ə t:ɹ i:i z:z
A	0.81	driver	drive		dɹaɪvɐ	dʁajv	d:d ɹ:ɹ a:a ɪ:j v:v ɐ:·
A	0.81	quarter	quotas		kwɔːtɐ	kwɔta	k:k w:w ɔ:ɔ t:t ɐ:a
A	0.81	quarter	quota		kwɔːtɐ	kwɔta	k:k w:w ɔ:ɔ t:t ɐ:a
A	0.81	secure	skieur		sɪkjɔː	skjœʁ	s:s ɪ:· k:k j:j ɔ:œ ·:ɹ
A	0.81	tiny	thaï nient	multiword	taɪni	tajni	t:t a:a ɪ:j n:n i:i
A	0.81	affect	affectent	cognate	ɐfɛkt	afɛkt	ɐ:a f:f ɛ:ɛ k:k t:t
A	0.81	affect	affecte		ɐfɛkt	afɛkt	ɐ:a f:f ɛ:ɛ k:k t:t
A	0.81	moral	morales	cognate	mɒɹəl	mɔʁal	m:m ɒ:ɔ ɹ:ɹ ə:a l:l
A	0.81	moral	morale	cognate	mɒɹəl	mɔʁal	m:m ɒ:ɔ ɹ:ɹ ə:a l:l
A	0.81	recipe	respect		ɹɛsɪpiː	ʁɛspɛ	ɹ:ɹ ɛ:ɛ s:s ɪ:· p:p i:ɛ
A	0.81	corrupt	crypte		kəɹʌpt	kʁipt	k:k ə:· ɹ:ɹ ʌ:i p:p t:t
A	0.81	organ	organes	cognate	ɔːɡən	ɔʁɡan	ɔ:ɔ ·:ɹ ɡ:ɡ ə:a n:n
A	0.81	organ	organe	cognate	ɔːɡən	ɔʁɡan	ɔ:ɔ ·:ɹ ɡ:ɡ ə:a n:n
A	0.81	cookies	conquise		kʊkɪz	kɔ̃kiz	k:k ʊ:ɔ̃ k:k ɪ:i z:z
A	0.81	lemon	lez manne	multiword	lɛmən	lɛman	l:l ɛ:ɛ m:m ə:a n:n
B	0.81	sketch	scotch	loanword	skɛtʃ	skɔtʃ	
A	0.81	territories	terreau cerises	multiword	tɛɹɪtəɹiz	tɛʁosəʁiz	t:t ɛ:ɛ ɹ:ɹ ɪ:o t:s ə:ə ɹ:ɹ i:i z:z
A	0.81	superb	saoul pubs	multiword	suːpɜːb	supœb	s:s u:u p:p ɜ:œ b:b
A	0.81	exceed	oxyde		ɛksiːd	ɔksid	ɛ:ɔ k:k s:s i:i d:d
A	0.81	exceed	excède		ɛksiːd	ɛksɛd	ɛ:ɛ k:k s:s i:ɛ d:d
A	0.81	assessed	inceste		ɐsɛst	ɛ̃sɛst	ɐ:ɛ̃ s:s ɛ:ɛ s:s t:t
A	0.81	coral	chorale		kɒɹəl	kɔʁal	k:k ɒ:ɔ ɹ:ɹ ə:a l:l
A	0.81	cuisine	cousine		kwɪziːn	kuzin	k:k w:u ɪ:· z:z i:i n:n
A	0.81	strap	strip		stɹæp	stʁip	s:s t:t ɹ:ɹ æ:i p:p
A	0.81	shady	chez édit	multiword	ʃeɪdi	ʃeedi	ʃ:ʃ e:e ɪ:e d:d i:i
A	0.81	crust	christ		kɹʌst	kʁist	k:k ɹ:ɹ ʌ:i s:s t:t
A	0.81	breeds	bridge		bɹiːdz	bʁidʒ	b:b ɹ:ɹ i:i d:d z:ʒ
A	0.808	complex	complexes	cognate	kɑːmplɛks	kɔ̃plɛks	k:k ɑ:ɔ m:n p:p l:l ɛ:ɛ k:k s:s
A	0.808	complex	complexe	cognate	kɑːmplɛks	kɔ̃plɛks	k:k ɑ:ɔ m:n p:p l:l ɛ:ɛ k:k s:s
A	0.808	formal	formules		fɔːməl	fɔʁmyl	f:f ɔ:ɔ ·:ɹ m:m ə:y l:l
A	0.808	elderly	aile relis	multiword	ɛldəli	ɛlʁəli	ɛ:ɛ l:l d:ɹ ə:ə l:l i:i
A	0.808	testament	teste menottes	multiword	tɛstəmənt	tɛstmənɔt	t:t ɛ:ɛ s:s t:t ə:· m:m ə:ə n:n ·:ɔ t:t
A	0.808	recipes	respire		ɹɛsɪpiːz	ʁɛspiʁ	ɹ:ɹ ɛ:ɛ s:s ɪ:· p:p i:i z:ɹ
A	0.808	referee	raies furie	multiword	ɹɛfəɹiː	ʁɛfyʁi	ɹ:ɹ ɛ:ɛ f:f ə:y ɹ:ɹ i:i
A	0.807	exploration	exploré morne	multiword	ɛksplɔːɹeɪʃən	ɛksplɔʁemɔʁn	ɛ:ɛ k:k s:s p:p l:l ɔ:ɔ ɹ:ɹ e:e ·:m ʃ:· ə:ɔ ·:ɹ n:n
A	0.807	exploited	explore		ɛksplɔɪtɪd	ɛksplɔʁ	ɛ:ɛ k:k s:s p:p l:l ɔ:ɔ t:· ɪ:ɹ d:·
A	0.806	exploration	exploré		ɛksplɔːɹeɪʃən	ɛksplɔʁe	ɛ:ɛ k:k s:s p:p l:l ɔ:ɔ ɹ:ɹ e:e ʃ:· ə:· n:·
A	0.806	exploration	explorer		ɛksplɔːɹeɪʃən	ɛksplɔʁe	ɛ:ɛ k:k s:s p:p l:l ɔ:ɔ ɹ:ɹ e:e ʃ:· ə:· n:·
A	0.806	collectively	collectives lies	multiword	kəlɛktɪvli	kɔlɛktivli	k:k ə:ɔ l:l ɛ:ɛ k:k t:t ɪ:i v:v l:l i:i
A	0.805	premium	primes rimes	multiword	pɹiːmiəm	pʁimʁim	p:p ɹ:ɹ i:i m:m ·:ɹ i:i ə:· m:m
A	0.805	sorted	sordide		sɔːtɪd	sɔʁdid	s:s ɔ:ɔ ·:ɹ t:d ɪ:i d:d
A	0.805	prestige	prestigieuses		pɹɛstiːʒ	pʁɛstiʒjøz	p:p ɹ:ɹ ɛ:ɛ s:s t:t i:i ʒ:ʒ ·:j ·:ø ·:z
A	0.805	prestige	prestigieuse		pɹɛstiːʒ	pʁɛstiʒjøz	p:p ɹ:ɹ ɛ:ɛ s:s t:t i:i ʒ:ʒ ·:j ·:ø ·:z
A	0.804	contest	conteste		kɑːntɛst	kɔ̃tɛst	k:k ɑ:ɔ n:n t:t ɛ:ɛ s:s t:t
A	0.804	shortly	chope lies	multiword	ʃɔːtli	ʃɔpli	ʃ:ʃ ɔ:ɔ t:p l:l i:i
A	0.804	daddy	dits dis	multiword	dædi	didi	d:d æ:i d:d i:i
A	0.804	priest	tristes		pɹiːst	tʁist	p:t ɹ:ɹ i:i s:s t:t
A	0.804	pursuit	pe foute	multiword	pəsuːt	pəfut	p:p ə:ə s:f u:u t:t
A	0.804	ct	sis scie	multiword	siːtiː	sisi	s:s i:i t:s i:i
A	0.804	decreased	districts		diːkɹiːsd	distʁikt	d:d i:i ·:s k:t ɹ:ɹ i:i s:k d:t
A	0.804	decreased	district		diːkɹiːsd	distʁikt	d:d i:i ·:s k:t ɹ:ɹ i:i s:k d:t
A	0.804	puppy	pipi		pʌpi	pipi	p:p ʌ:i p:p i:i
A	0.804	treasurer	traîtres		tɹɛʒəɹɐ	tʁɛtʁ	t:t ɹ:ɹ ɛ:ɛ ʒ:t ə:· ɹ:ɹ ɐ:·
A	0.804	treasurer	traître		tɹɛʒəɹɐ	tʁɛtʁ	t:t ɹ:ɹ ɛ:ɛ ʒ:t ə:· ɹ:ɹ ɐ:·
A	0.804	xxx	ex		ɛksɛksɛks	ɛks	ɛ:· k:· s:· ɛ:· k:· s:· ɛ:ɛ k:k s:s
A	0.803	briefly	bride lies	multiword	bɹiːfli	bʁidli	b:b ɹ:ɹ i:i f:d l:l i:i
A	0.803	remedy	raies ledit	multiword	ɹɛmədi	ʁɛlədi	ɹ:ɹ ɛ:ɛ m:l ə:ə d:d i:i
A	0.802	extension	externes haines	multiword	ɛkstɛnʃən	ɛkstɛʁnɛn	ɛ:ɛ k:k s:s t:t ɛ:ɛ ·:ɹ n:n ʃ:· ə:ɛ n:n
A	0.802	exploit	explore		ɛksplɔɪt	ɛksplɔʁ	ɛ:ɛ k:k s:s p:p l:l ɔ:ɔ t:ɹ
A	0.8	super	souper		suːpɐ	supe	s:s u:u p:p ɐ:e
A	0.8	daughter	dotés		dɔːtɐ	dɔte	d:d ɔ:ɔ t:t ɐ:e
A	0.8	visa	visés		viːzɐ	vize	v:v i:i z:z ɐ:e
A	0.8	ruler	roulé		ɹuːlɐ	ʁule	ɹ:ɹ u:u l:l ɐ:e
A	0.799	possession	pesait zen	multiword	pəzɛʃən	pəzɛzɛn	p:p ə:ə z:z ɛ:ɛ ʃ:z ə:ɛ n:n
A	0.798	level	lez vil	multiword	lɛvəl	lɛvil	l:l ɛ:ɛ v:v ə:i l:l
A	0.798	leaders	lies dises	multiword	liːdəz	lidiz	l:l i:i d:d ə:i z:z
A	0.798	unique	yeux nique	multiword	juːniːk	jønik	j:j u:ø n:n i:i k:k
A	0.798	taste	té ost	multiword	teɪst	teɔst	t:t e:e ɪ:ɔ s:s t:t
A	0.798	stream	strip		stɹiːm	stʁip	s:s t:t ɹ:ɹ i:i m:p
A	0.798	shaped	chez opte	multiword	ʃeɪpt	ʃeɔpt	ʃ:ʃ e:e ɪ:ɔ p:p t:t
A	0.798	glory	glass rient	multiword	ɡlɔːɹi	ɡlaʁi	ɡ:ɡ l:l ɔ:a ɹ:ɹ i:i
A	0.798	strip	stream		stɹɪp	stʁɪːm	s:s t:t ɹ:ɹ ɪ:ɪ p:m
A	0.798	devil	dès vil	multiword	dɛvəl	dɛvil	d:d ɛ:ɛ v:v ə:i l:l
A	0.798	fluid	floue ode	multiword	fluːɪd	fluɔd	f:f l:l u:u ɪ:ɔ d:d
A	0.798	excess	excède		ɛksɛs	ɛksɛd	ɛ:ɛ k:k s:s ɛ:ɛ s:d
A	0.798	blade	blé ode	multiword	bleɪd	bleɔd	b:b l:l e:e ɪ:ɔ d:d
A	0.798	inform	informe		ɪnfɔːm	ɛ̃fɔʁm	ɪ:ɛ n:n f:f ɔ:ɔ ·:ɹ m:m
A	0.798	keyboard	kif ode	multiword	kiːbɔːd	kifɔd	k:k i:i b:f ɔ:ɔ d:d
A	0.798	raped	rez opte	multiword	ɹeɪpt	ʁeɔpt	ɹ:ɹ e:e ɪ:ɔ p:p t:t
A	0.798	fruits	fritz		fɹuːts	fʁits	f:f ɹ:ɹ u:i t:t s:s
A	0.798	dried	drap ode	multiword	dɹaɪd	dʁaɔd	d:d ɹ:ɹ a:a ɪ:ɔ d:d
A	0.798	preview	prive boues	multiword	pɹiːvjuː	pʁivbu	p:p ɹ:ɹ i:i v:v j:b u:u
A	0.798	zombie	zoom bis	multiword	zɒmbi	zumbi	z:z ɒ:u m:m b:b i:i
A	0.798	fury	fia rient	multiword	fjɔːɹi	fjaʁi	f:f j:j ɔ:a ɹ:ɹ i:i
A	0.798	forehead	phoques aident	multiword	fɔːhɛd	fɔkɛd	f:f ɔ:ɔ h:k ɛ:ɛ d:d
A	0.798	wiped	oies opte	multiword	waɪpt	waɔpt	w:w a:a ɪ:ɔ p:p t:t
A	0.798	confess	confesse	cognate	kənfɛs	kɔ̃fɛs	k:k ə:ɔ n:n f:f ɛ:ɛ s:s
A	0.798	exhaust	exhorte		ɛɡzɔːst	ɛɡzɔʁt	ɛ:ɛ ɡ:ɡ z:z ɔ:ɔ s:ɹ t:t
A	0.798	elders	aile dises	multiword	ɛldəz	ɛldiz	ɛ:ɛ l:l d:d ə:i z:z
A	0.798	insect	insectes	cognate	ɪnsɛkt	ɛ̃sɛkt	ɪ:ɛ n:n s:s ɛ:ɛ k:k t:t
A	0.798	insect	insecte	cognate	ɪnsɛkt	ɛ̃sɛkt	ɪ:ɛ n:n s:s ɛ:ɛ k:k t:t
A	0.798	rainy	réunit		ɹeɪni	ʁeyni	ɹ:ɹ e:e ɪ:y n:n i:i
A	0.798	rainy	réunis		ɹeɪni	ʁeyni	ɹ:ɹ e:e ɪ:y n:n i:i
A	0.798	rainy	réunies		ɹeɪni	ʁeyni	ɹ:ɹ e:e ɪ:y n:n i:i
A	0.798	excel	excède		ɛksɛl	ɛksɛd	ɛ:ɛ k:k s:s ɛ:ɛ l:d
A	0.798	prayed	prés ode	multiword	pɹeɪd	pʁeɔd	p:p ɹ:ɹ e:e ɪ:ɔ d:d
A	0.797	increased	christ		ɪnkɹiːsd	kʁist	ɪ:· n:· k:k ɹ:ɹ i:i s:s d:t
A	0.797	species	six dises	multiword	spiːsiːz	sisdiz	s:s p:· i:i s:s ·:d i:i z:z
A	0.797	sexy	sexistes		sɛksi	sɛksist	s:s ɛ:ɛ k:k s:s i:i ·:s ·:t
A	0.797	recall	agricoles		ɹiːkɔːl	aɡʁikɔl	·:a ·:ɡ ɹ:ɹ i:i k:k ɔ:ɔ l:l
A	0.797	legacy	lez ceci	multiword	lɛɡəsi	lɛsəsi	l:l ɛ:ɛ ·:s ɡ:· ə:ə s:s i:i
B	0.797	surrounded	round	loanword	səɹaʊndɪd	ɹaʊnd	
A	0.797	genius	jeans		dʒiːnɪəs	dʒins	d:d ʒ:ʒ i:i n:n ɪ:· ə:· s:s
A	0.797	recipe	respirer		ɹɛsɪpiː	ʁɛspiʁe	ɹ:ɹ ɛ:ɛ s:s ɪ:· p:p i:i ·:ɹ ·:e
B	0.797	streaming	string	loanword	stɹiːmɪŋ	stʁiŋ	
A	0.797	surrender	sereine		səɹɛndɐ	səʁɛn	s:s ə:ə ɹ:ɹ ɛ:ɛ n:n d:· ɐ:·
A	0.797	exhausted	exode		ɛɡzɔːstɪd	ɛɡzɔd	ɛ:ɛ ɡ:ɡ z:z ɔ:ɔ s:· t:· ɪ:· d:d
A	0.797	decreased	christ		diːkɹiːsd	kʁist	d:· i:· k:k ɹ:ɹ i:i s:s d:t
A	0.797	expressing	expressions		ɛkspɹɛsɪŋ	ɛkspʁɛsjɔ̃	ɛ:ɛ k:k s:s p:p ɹ:ɹ ɛ:ɛ s:s ɪ:j ŋ:ɔ̃
A	0.797	distress	stresse		dɪstɹɛs	stʁɛs	d:· ɪ:· s:s t:t ɹ:ɹ ɛ:ɛ s:s
B	0.797	distress	stress	loanword	dɪstɹɛs	stʁɛs	
A	0.797	excluded	exclues soude	multiword	ɛkskluːdɪd	ɛksklysud	ɛ:ɛ k:k s:s k:k l:l u:y d:s ɪ:u d:d
A	0.797	salaries	cerises		sæləɹiz	səʁiz	s:s æ:· l:· ə:ə ɹ:ɹ i:i z:z
A	0.797	salaries	cerise		sæləɹiz	səʁiz	s:s æ:· l:· ə:ə ɹ:ɹ i:i z:z
B	0.797	grounded	round	loanword	ɡɹaʊndɪd	ɹaʊnd	
A	0.797	strengths	stresse		stɹɛŋθs	stʁɛs	s:s t:t ɹ:ɹ ɛ:ɛ ŋ:· θ:· s:s
B	0.797	strengths	stress	loanword	stɹɛŋθs	stʁɛs	
A	0.797	enzyme	haines hammam	multiword	ɛnzaɪm	ɛnzamam	ɛ:ɛ n:n z:z ·:a ·:m a:a m:m
A	0.797	flex	réflexes		flɛks	ʁeflɛks	·:ɹ ·:e f:f l:l ɛ:ɛ k:k s:s
A	0.797	flex	réflexe		flɛks	ʁeflɛks	·:ɹ ·:e f:f l:l ɛ:ɛ k:k s:s
A	0.797	lecturer	lectures		lɛktʃəɹɐ	lɛktyʁ	l:l ɛ:ɛ k:k t:t ʃ:· ə:y ɹ:ɹ ɐ:·
A	0.797	lecturer	lecture		lɛktʃəɹɐ	lɛktyʁ	l:l ɛ:ɛ k:k t:t ʃ:· ə:y ɹ:ɹ ɐ:·
A	0.797	lecturer	lecteurs		lɛktʃəɹɐ	lɛktœʁ	l:l ɛ:ɛ k:k t:t ʃ:· ə:œ ɹ:ɹ ɐ:·
A	0.797	routinely	routine		ɹuːtiːnli	ʁutin	ɹ:ɹ u:u t:t i:i n:n l:· i:·
A	0.797	defect	directs		diːfɛkt	diʁɛkt	d:d i:i ·:ɹ f:· ɛ:ɛ k:k t:t
A	0.797	defect	directes		diːfɛkt	diʁɛkt	d:d i:i ·:ɹ f:· ɛ:ɛ k:k t:t
A	0.797	defect	directe		diːfɛkt	diʁɛkt	d:d i:i ·:ɹ f:· ɛ:ɛ k:k t:t
A	0.796	societies	cerises		səsaɪətɪz	səʁiz	s:s ə:ə s:· a:· ɪ:ɹ ə:· t:· ɪ:i z:z
A	0.796	societies	cerise		səsaɪətɪz	səʁiz	s:s ə:ə s:· a:· ɪ:ɹ ə:· t:· ɪ:i z:z
A	0.796	pt	pipi		piːtiː	pipi	p:p i:i t:p i:i
A	0.796	traced	tristes		tɹeɪst	tʁist	t:t ɹ:ɹ e:i s:s t:t
A	0.796	traced	triste		tɹeɪst	tʁist	t:t ɹ:ɹ e:i s:s t:t
A	0.796	meany	mimi		miːni	mimi	m:m i:i n:m i:i
A	0.796	meany	mimis		miːni	mimi	m:m i:i n:m i:i
A	0.795	for	phosphore		fɔː	fɔsfɔʁ	·:f ·:ɔ ·:s f:f ɔ:ɔ ·:ɹ
A	0.795	property	prix		pɹɒpəti	pʁi	p:p ɹ:ɹ ɒ:· p:· ə:· t:· i:i
A	0.795	property	prit		pɹɒpəti	pʁi	p:p ɹ:ɹ ɒ:· p:· ə:· t:· i:i
A	0.795	property	pris		pɹɒpəti	pʁi	p:p ɹ:ɹ ɒ:· p:· ə:· t:· i:i
A	0.795	extra	extrêmes		ɛkstɹɐ	ɛkstʁɛm	ɛ:ɛ k:k s:s t:t ɹ:ɹ ɐ:ɛ ·:m
A	0.795	progress	presse		pɹɑːɡɹɛs	pʁɛs	p:p ɹ:· ɑ:· ɡ:· ɹ:ɹ ɛ:ɛ s:s
A	0.795	prepared	perdent		pɹɪpeəd	pɛʁd	p:p ɹ:· ɪ:ɛ p:· e:ɹ ə:· d:d
A	0.795	prepared	perde		pɹɪpeəd	pɛʁd	p:p ɹ:· ɪ:ɛ p:· e:ɹ ə:· d:d
A	0.795	expert	exporte		ɛkspɜːt	ɛkspɔʁt	ɛ:ɛ k:k s:s p:p ɜ:ɔ ·:ɹ t:t
A	0.795	expert	experte		ɛkspɜːt	ɛkspɛʁt	ɛ:ɛ k:k s:s p:p ɜ:ɛ ·:ɹ t:t
A	0.795	premier	premières		pɹɛmɪɐ	pʁəmjɛʁ	p:p ɹ:ɹ ɛ:ə m:m ɪ:j ɐ:ɛ ·:ɹ
A	0.795	premier	première		pɹɛmɪɐ	pʁəmjɛʁ	p:p ɹ:ɹ ɛ:ə m:m ɪ:j ɐ:ɛ ·:ɹ
A	0.795	techniques	tex		tɛkniːks	tɛks	t:t ɛ:ɛ k:· n:· i:· k:k s:s
A	0.795	premium	primes	cognate	pɹiːmiəm	pʁim	p:p ɹ:ɹ i:· m:· i:i ə:· m:m
A	0.795	premium	prime	cognate	pɹiːmiəm	pʁim	p:p ɹ:ɹ i:· m:· i:i ə:· m:m
A	0.795	dare	derrière		deə	dɛʁjɛʁ	d:d e:ɛ ·:ɹ ·:j ə:ɛ ·:ɹ
A	0.795	premiere	premières	cognate	pɹɛmieə	pʁəmjɛʁ	p:p ɹ:ɹ ɛ:ə m:m i:j e:ɛ ·:ɹ
A	0.795	premiere	première	cognate	pɹɛmieə	pʁəmjɛʁ	p:p ɹ:ɹ ɛ:ə m:m i:j e:ɛ ·:ɹ
B	0.795	staring	sterling	loanword	steəɹɪŋ	stɛʁliŋ	
A	0.795	predecessor	presse		pɹiːdɪsɛsɐ	pʁɛs	p:p ɹ:ɹ i:· d:· ɪ:· s:· ɛ:ɛ s:s ɐ:·
A	0.795	exclude	exclut		ɛkskluːd	ɛkskly	ɛ:ɛ k:k s:s k:k l:l u:y d:·
A	0.795	exclude	exclus		ɛkskluːd	ɛkskly	ɛ:ɛ k:k s:s k:k l:l u:y d:·
A	0.795	exclude	exclues		ɛkskluːd	ɛkskly	ɛ:ɛ k:k s:s k:k l:l u:y d:·
A	0.794	clearly	click lies	multiword	kliəli	klikli	k:k l:l i:i ə:k l:l i:i
A	0.794	guests	gaie cessent	multiword	ɡɛsts	ɡɛsɛs	ɡ:ɡ ɛ:ɛ s:s ·:ɛ t:· s:s
B	0.794	bail	bill	loanword	beɪl	bɪl	
A	0.793	part	partent		pɑːt	paʁt	p:p ɑ:a ·:ɹ t:t
A	0.793	part	parte		pɑːt	paʁt	p:p ɑ:a ·:ɹ t:t
A	0.793	class	classes	cognate	klɑːs	klas	k:k l:l ɑ:a s:s
A	0.793	class	classe	cognate	klɑːs	klas	k:k l:l ɑ:a s:s
A	0.793	march	matchs		mɑːtʃ	matʃ	m:m ɑ:a t:t ʃ:ʃ
A	0.793	march	matches		mɑːtʃ	matʃ	m:m ɑ:a t:t ʃ:ʃ
A	0.793	march	match		mɑːtʃ	matʃ	m:m ɑ:a t:t ʃ:ʃ
A	0.793	star	stars	cognate	stɑː	staʁ	s:s t:t ɑ:a ·:ɹ
A	0.793	park	parcs	cognate	pɑːk	paʁk	p:p ɑ:a ·:ɹ k:k
A	0.793	park	parc	cognate	pɑːk	paʁk	p:p ɑ:a ·:ɹ k:k
A	0.793	fast	faste		fɑːst	fast	f:f ɑ:a s:s t:t
A	0.793	mark	marques	cognate	mɑːk	maʁk	m:m ɑ:a ·:ɹ k:k
A	0.793	mark	marquent		mɑːk	maʁk	m:m ɑ:a ·:ɹ k:k
A	0.793	mark	marque	cognate	mɑːk	maʁk	m:m ɑ:a ·:ɹ k:k
A	0.793	block	black		blɒk	blak	b:b l:l ɒ:a k:k
A	0.793	glass	glaces		ɡlɑːs	ɡlas	ɡ:ɡ l:l ɑ:a s:s
A	0.793	glass	glace		ɡlɑːs	ɡlas	ɡ:ɡ l:l ɑ:a s:s
A	0.793	cast	caste		kɑːst	kast	k:k ɑ:a s:s t:t
A	0.793	blog	blagues		blɒɡ	blaɡ	b:b l:l ɒ:a ɡ:ɡ
A	0.793	blog	blague		blɒɡ	blaɡ	b:b l:l ɒ:a ɡ:ɡ
A	0.793	guard	gardes	cognate	ɡɑːd	ɡaʁd	ɡ:ɡ ɑ:a ·:ɹ d:d
A	0.793	guard	gardent		ɡɑːd	ɡaʁd	ɡ:ɡ ɑ:a ·:ɹ d:d
A	0.793	guard	garde	cognate	ɡɑːd	ɡaʁd	ɡ:ɡ ɑ:a ·:ɹ d:d
A	0.793	fox	fax		fɒks	faks	f:f ɒ:a k:k s:s
A	0.793	plot	plates		plɒt	plat	p:p l:l ɒ:a t:t
A	0.793	plot	plate		plɒt	plat	p:p l:l ɒ:a t:t
A	0.793	vast	vastes	cognate	vɑːst	vast	v:v ɑ:a s:s t:t
A	0.793	vast	vaste	cognate	vɑːst	vast	v:v ɑ:a s:s t:t
A	0.793	chart	chat		tʃɑːt	ʃa	t:· ʃ:ʃ ɑ:a t:·
A	0.793	clock	claques		klɒk	klak	k:k l:l ɒ:a k:k
A	0.793	clock	claque		klɒk	klak	k:k l:l ɒ:a k:k
A	0.793	grass	grâces		ɡɹɑːs	ɡʁas	ɡ:ɡ ɹ:ɹ ɑ:a s:s
A	0.793	grass	grâce		ɡɹɑːs	ɡʁas	ɡ:ɡ ɹ:ɹ ɑ:a s:s
A	0.793	grass	grasses		ɡɹɑːs	ɡʁas	ɡ:ɡ ɹ:ɹ ɑ:a s:s
A	0.793	foster	faste		fɒstɐ	fast	f:f ɒ:a s:s t:t ɐ:·
A	0.793	mask	masques	cognate	mɑːsk	mask	m:m ɑ:a s:s k:k
A	0.793	mask	masque	cognate	mɑːsk	mask	m:m ɑ:a s:s k:k
A	0.793	brass	brasse		bɹɑːs	bʁas	b:b ɹ:ɹ ɑ:a s:s
A	0.793	socks	saxe		sɒks	saks	s:s ɒ:a k:k s:s
A	0.793	clerk	claques		klɑːk	klak	k:k l:l ɑ:a k:k
A	0.793	clerk	claque		klɑːk	klak	k:k l:l ɑ:a k:k
A	0.793	cart	kart		kɑːt	kaʁt	k:k ɑ:a ·:ɹ t:t
A	0.793	cart	cartes		kɑːt	kaʁt	k:k ɑ:a ·:ɹ t:t
A	0.793	cart	carte		kɑːt	kaʁt	k:k ɑ:a ·:ɹ t:t
A	0.793	amen	amènent		ɑːmɛn	amɛn	ɑ:a m:m ɛ:ɛ n:n
A	0.793	amen	amène		ɑːmɛn	amɛn	ɑ:a m:m ɛ:ɛ n:n
A	0.793	venues	vaine douze	multiword	vɛnjuːz	vɛnduz	v:v ɛ:ɛ n:n j:d u:u z:z
A	0.793	parked	pacte		pɑːkt	pakt	p:p ɑ:a k:k t:t
A	0.793	conclude	clowns coudes	multiword	kənkluːd	klunkud	k:k ·:l ə:u n:n k:k l:· u:u d:d
A	0.793	mommy	mamie		mɒmi	mami	m:m ɒ:a m:m i:i
A	0.793	mosque	masques		mɒsk	mask	m:m ɒ:a s:s k:k
A	0.793	mosque	masque		mɒsk	mask	m:m ɒ:a s:s k:k
A	0.793	marker	marques		mɑːkɐ	maʁk	m:m ɑ:a ·:ɹ k:k ɐ:·
A	0.793	marker	marquent		mɑːkɐ	maʁk	m:m ɑ:a ·:ɹ k:k ɐ:·
A	0.793	marker	marque		mɑːkɐ	maʁk	m:m ɑ:a ·:ɹ k:k ɐ:·
A	0.793	marsh	marches		mɑːʃ	maʁʃ	m:m ɑ:a ·:ɹ ʃ:ʃ
A	0.793	marsh	marchent		mɑːʃ	maʁʃ	m:m ɑ:a ·:ɹ ʃ:ʃ
A	0.793	marsh	marche		mɑːʃ	maʁʃ	m:m ɑ:a ·:ɹ ʃ:ʃ
A	0.793	seventeen	sève cantine	multiword	sɛvəntiːn	sɛvkɑ̃tin	s:s ɛ:ɛ v:v ·:k ə:ɑ n:n t:t i:i n:n
A	0.793	bark	barque		bɑːk	baʁk	b:b ɑ:a ·:ɹ k:k
