count	en_chunk	fr_chunk	examples
10	stɛp	stɔp	step~stop; steppe~stoppe; steppe~stops
9	aʊ	aʊ	around~round; ground~round; rounds~round
9	aʊn	aʊn	around~round; ground~round; rounds~round
9	fil	fil	feel~files; feel~file; feel~fil
9	kɔt	kɔt	court~quote; court~cotes; court~cote
9	ɹəʊ	ɹəʊ	role~roll; roles~roll; rolls~roll
9	ɹɒ	ɹɔ	cross~crosse; cholesterol~collais troll; promises~promis aise
9	fɹɛ	fɹɛ	fresh~fraîches; fresh~fraîche; friendly~freinent lis
9	nɛt	nɛt	net~nettes; net~nette; net~nets
9	pe	pɛ	pair~pères; pair~père; pair~pers
9	ntɹ	ntɹ	entry~haines tri; central~sain troll; contractor~con tracter
9	laɪ	laɪ	liner~line; lion~line; lives~live
9	sid	sid	cede~cid; seed~cid; exceed~oxyde
9	am	am	meantime~minent âme; time~tam; lime~lames
9	sə	sə	surrender~serein des; sensory~sain serez; necessary~nés serez
9	ɒs	as	costly~cassent lis; costume~cassent hume; costing~cassent in
9	fɔ	fo	fourteen~faut in; fortunately~faut chenet lis; fortress~faut rosse
9	ʃɪz	ʃɛz	reaches~rient chaise; matches~mat chaise; teaches~dit chaise
9	lə	lɛ	settlers~sait lès; relative~relaient ive; bracelet~prés let
9	fɒ	fɔ	forestry~forcent ri; foreigners~forain aise; fault~folles
9	tɪk	tik	exotic~exact hic; domestic~demains tic; acoustic~égouts tic
9	plæ	pla	planted~planent aide; planting~planent in; platform~plat sommes
9	pɹɪ	pɹɛ	printed~prennent aide; princes~prennes aise; printing~prennent in
9	ɹɪn	ɹɛn	printed~prennent aide; princes~prennes aise; trinity~train tee
9	tɔɹ	tɔɹ	tourism~tords homme; restoring~ries taurine; story~store
9	nf	nf	confess~con fesses; rainfall~rhin folle; painful~pain folle
9	tɹæk	tɹak	contractor~con tracter; distract~dis tracts; distracted~dis traquent aide
9	ɑn	ɑn	panties~pan thèse; dancer~tan ses; dances~tan six
9	jɔ	jɔ̃	yourself~ions elfes; endure~haines ion; get your~question
9	lɔ	lo	lawsuit~lots août; explore~explosent; explore~explose
9	tɹæ	tɹɛ	transcript~train script; transmit~traînes mythe; transmitted~traînes met aide
9	dɪd	dit	attended~étain dites; tended~tain dites; defended~divin dites
9	ɡl	ɡl	glasses~glass aise; gladly~glass lis; gladly~glande lies
9	tɹe	tɹɛ	trademark~trait mac; frustrated~frais trait aide; traded~trait aide
9	tɑ	tɑ̃	targeted~tanguait aide; starred~stands; exit arse~existence
9	ɛm	ɛn	temperature~tain prêt chez; temperatures~tain prêt chaise; temporary~tain prairies
9	ld	ld	concealed~con tilde; installed~haines solde; elders~aile dises
9	ɹæ	ɹi	parameters~primait aise; fragile~frit châle; grandma~green ma
9	ʌt	at	butterfly~battait la; much~matchs; much~matches
9	poz	poz	expose~exposent; pose~poses; pose~posent
9	plɔ	plɔ	explorer~exploré; explorer~explore; exploring~explore
9	splɔ	splɔ	explorer~exploré; explorer~explore; exploring~explore
9	ksɛp	ksɛp	except~excepté; accept~acceptes; accept~acceptent
9	de	de	daily~délits; daily~délit; day~dés
9	lə	lə	melody~mie ledit; follow~flow; fellow~flow
9	da	da	down~dan; doubt~dates; doubt~datent
9	bɔ	bɔ̃	bawdy~bondi; bawdy~bondie; bawdy~bondies
9	bɔd	bɔ̃d	bawdy~bondi; bawdy~bondie; bawdy~bondies
9	ɛd	ɛ̃d	dead~dinde; dead~dindes; said~scinde
9	sɛ	sɛ̃	sec~cinq; said~scinde; said~scindent
9	piz	pis	pease~pisse; pease~pissent; pease~pisses
8	sɛks	sɛks	sex~sexes; sex~sexe; sexy~secs sis
8	bɛt	bɛt	bet~bêtes; bet~bête; bet~bette
8	stil	stil	steel~styles; steel~style; steal~styles
8	əm	əm	enemy~ennemies; chemise~chemisent; chemise~chemises
8	nik	nik	technique~techniques; techniques~technique; technique~techniquement
8	ksi	ksi	sexy~secs sis; taxi~taxis; exceed~excite
8	ski	ski	ski~skis; ski~skie; ski~skient
8	ɔli	ɔli	poorly~polis; poorly~polie; poorly~poli
8	tim	tim	esteem~estiment; esteem~estime; esteem~estimés
8	ɛsti	ɛsti	esteem~estiment; esteem~estime; prestige~presse tiges
8	uʃ	uʃ	sushi~saoul chie; douche~douchent; douche~douches
8	uti	uti	bootie~boutis; booty~boutis; boutique~boutiques
8	fɛs	fɛs	fess~fesse; fess~fessent; fess~fesses
8	kɛ	kɛ	keck~cake; keck~cakes; sketch~sketchs
8	pə	pə	petite~petites; monopoly~mon appelait; composer~con peser
8	sin	sin	scene~seines; seen~seines; scenic~cynique
8	el	el	retailer~rient ailé; retailers~rient hélas; daily~délits
8	lɛn	lɛn	lenses~laines aise; plenty~plain tee; lending~lin digne
8	ɔs	ɔs	resource~ries os; moisture~bossent chez; reinforced~rien poste
8	vɛn	vɛn	vendor~vin des; vendors~vin dos; vengeance~vin jeans
8	is	iz	freestyle~frisent al; grease~grises; piece~pise
8	ɹɪs	ɹis	crystal~crissent elle; risky~rient skis; receipt~rient citent
8	nɐ	ne	designer~dis année; dynasty~dîners tee; partner~bat né
8	fa	fa	fountain~fanent in; founded~fanent aide; founders~fanent aise
8	lɛt	lɛt	newsletter~nous laiteux; outlet~athlètes; outlet~athlète
8	tɹʌ	tɹa	trusted~tracent aide; trustees~tracent hisse; instructor~haines tracter
8	əli	əli	literally~lient relie; primarily~primaires relis; mentally~mènent relis
8	əɹi	ɛɹi	territory~terrait ri; respiratory~respirait ri; monetary~menait ri
8	nʃ	nʃ	dementia~demain chez; mention~main chaîne; tension~tain chaîne
8	ɡzɪ	ɡzi	exhibited~exhibent aide; existed~exit aide; exist~existent
8	ɛɡzɪ	ɛɡzi	exhibited~exhibent aide; existed~exit aide; exist~existent
8	kɹa	kɹa	describe~dis crabe; crown~crânes; crown~crâne
8	bə	bɛ	feasible~fies belle; sensible~saines belle; portable~pot belle
8	stɪ	sti	estimated~estimait aide; disgusting~dis casting; still~styles
8	ak	ak	dislike~dis lac; like~lac; mike~mac
8	ɹɛ	ɹə	relative~relaient ive; references~refrain six; representation~repris aident échine
8	kt	ks	protected~prêt excède; detected~dit excède; protector~prêt excès
8	dɹɛ	dɹɛ	addresses~adrets aise; dress~adresses; dress~adressent
8	æp	ap	capsule~caps houle; trap~trappes; trap~trappe
8	ple	plɛ	displays~dis plaise; places~plaies aise; placing~plaies in
8	bɛ	pɛ	bedroom~paient rhume; betting~paient in; best~peste
8	əɹi	əɹi	mysteries~mais cerise; boundaries~ban cerise; series~cerises
8	əɹiz	əɹiz	mysteries~mais cerise; boundaries~ban cerise; series~cerises
8	wɒ	wa	quantity~quad tee; quantities~quad dix; quantum~quad homme
8	ɒn	ɔn	electronic~électron hic; monarch~mon oc; context~contextes
8	ɡæ	ɡa	gases~gars aise; gasoline~gars ligne; gathered~gars aide
8	na	na	denied~tain aède; naive~naïve; naive~native
8	tɪn	tin	mountain~mat in; debt inner~destiné; debt inner~destinée
8	lɔɹ	lɔɹ	explorer~exploré; explorer~explore; exploring~explore
8	ɛpt	ɛpt	except~excepté; accept~acceptes; accept~acceptent
8	sɛpt	sɛpt	except~excepté; accept~acceptes; accept~acceptent
8	fɔɹ	fɔɹ	transform~transforment; transform~transforme; reform~réformes
8	pɹe	pɹe	prairie~prairies; pray~prés; pray~pré
8	me	me	male~mêlent; male~mêle; mail~mêlent
8	flɔ	flɔ	flora~flore; floor~flore; flawed~flottes
8	ts	ts	fruits~fritz; shorts~shirts; boots~poutsent
8	tɹa	tɹa	trout~tracts; trout~tract; try~trahit
8	se	se	say~ses; save~ses ive; safe~ses if
8	fɪ	fi	film~films; film~filme; fix~fixes
8	ʊd	ɔd	code~que ode; mode~me ode; load~le ode
8	eɪl	eɛl	sale~cl; rail~réels; rail~réelles
8	ɒt	ɑ̃t	plot~plantes; knotty~nanti; knotty~nantie
8	ʌm	am	drum~drames; drum~drame; drummer~drames
7	tɛl	tɛl	tell~tels; tell~telles; tell~telle
7	kul	kul	cool~coulent; cool~coule; cooler~coulent
7	sl	sl	sleep~slip; asleep~slip; sleeps~slip
7	lip	lip	sleep~slip; asleep~slip; sleeps~slip
7	ɹik	ɹik	recall~rient collent; freak~fric; frequently~fricotent lis
7	fu	fu	fool~full; fool~foules; fool~foule
7	flɛ	flɛ	flesh~flèches; flesh~flèche; flex~réflexes
7	sku	sku	scoot~scout; scoot~scouts; scoop~scoops
7	zu	zu	xu~zou; zoo~zou; zoom~zoome
7	kɒ	ka	costly~cassent lis; costume~cassent hume; costing~cassent in
7	nti	nti	plenty~plain tee; twenty~soin tee; sovereignty~savarin tee
7	ɛs	es	possess~paix ace; success~secs ace; successor~secs essaie
7	sɐ	se	sensor~sain ses; predecessor~prient cessé; dancer~tan ses
7	tɛn	tɛn	tender~tain des; tension~tain chaîne; tennis~tain hisse
7	fan	fan	fountain~fanent in; founded~fanent aide; founders~fanent aise
7	fɑ	fa	fantastic~fanent aztèques; fantasy~fanent ci; faster~fats tes
7	ɹækt	ɹakt	contractor~con tracter; distract~dis tracts; tracked~tracts
7	dɪ	dɛ	edited~aidait aide; editing~aidait in; preceding~pris éden
7	mæt	mat	matches~mat chaise; mattress~mat rosse; matters~mat aise
7	ɪks	iks	matrix~met rixe; sixteen~fixent in; mixed~mixtes
7	mɒ	ma	monster~mânes tes; monitored~manient aide; monsters~mânes thèse
7	ən	an	reasonably~ries anobli; constructive~cannes traquent ive; consider~cannes des
7	bəl	bɛl	feasible~fies belle; sensible~saines belle; portable~pot belle
7	ɑst	ast	podcast~pot caste; fast~faste; cast~caste
7	pɔ	po	portal~pot elle; portrayed~pot raid; portrait~pot rite
7	ɹu	ɹy	routinely~ruent inouï; rooted~ruent aide; classroom~clans rhume
7	tɹæn	tɹɛn	transcript~train script; transmit~traînes mythe; transmitted~traînes met aide
7	ɪsp	ɛsp	respiratory~respirait ri; respectful~respectent elle; respectively~respectes lis
7	ɹɪsp	ɹɛsp	respiratory~respirait ri; respectful~respectent elle; respectively~respectes lis
7	sd	st	purchased~paient schiste; endorsed~haines est; ceased~insistent
7	əɹ	eɹ	century~saignent chérie; groceries~grès hérisse; temporary~tain prairies
7	ɑk	ak	trademark~trait mac; architect~acquit acte; clerk~claques
7	kəl	kɔl	cholesterol~collais troll; collectively~collectes lis; electrical~liguent recolle
7	ɛkt	ɛks	protected~prêt excède; detected~dit excède; protector~prêt excès
7	ɹɪz	ɹiz	centuries~saignent cerise; presenter~prison tes; prisoners~prison aise
7	ti	te	mortality~mot alité; density~tain cité; penalty~pain haleter
7	nɪk	nik	clinic~clin hic; chronic~cran hic; electronic~électron hic
7	ɪd	ɛt	contested~cognent esthète; rented~rhin tête; suggested~cèdes esthète
7	mpl	npl	completely~con plient lis; completed~con plient aide; simply~sain plie
7	ʌn	an	funded~fanent aide; funding~fanent in; money~manie
7	ɛk	iɡ	lecture~liguent chez; lectures~liguent chaise; lecturer~liguent serez
7	tɛm	tɛn	temperature~tain prêt chez; temperatures~tain prêt chaise; temporary~tain prairies
7	ɛmp	ɛnp	temperature~tain prêt chez; temperatures~tain prêt chaise; temporary~tain prairies
7	tɛmp	tɛnp	temperature~tain prêt chez; temperatures~tain prêt chaise; temporary~tain prairies
7	tli	tli	frequently~fricotent lis; exactly~exacts lies; correctly~corrects lies
7	ɪŋ	ɛn	reasoning~ries naine; disturbing~dissent open; preceding~pris éden
7	və	va	sovereignty~savarin tee; festivals~cessent valse; survival~ces aval
7	kstɹ	kstɹ	extraordinary~extrait ignorer; extreme~extrêmes; extreme~extrême
7	ʃa	ʃa	franchise~freinent chasse; shout~chatte; showers~chase
7	ɒp	ap	monopoly~mon appelait; properties~frappait aise; opportunity~appât unité
7	sɒ	sɔ	songwriter~son raté; salty~sortit; salty~sortis
7	ɹə	ɹa	pornography~bon agrafer; protecting~pratiquent in; moral~morales
7	ɹit	ɹit	retreat~rites rite; reach~rites; reach~rite
7	ɹɛkt	ɹɛkt	correctly~corrects lies; direct~directs; direct~directes
7	eɪ	eɪ	babies~baby; babe~baby; maybe~baby
7	skɹi	skɹi	scream~escrime; screamed~script; screen~script
7	ʃo	ʃo	shows~choses; shows~chose; showed~chaudes
7	as	as	rice~races; rice~race; mouse~masses
7	ləʊ	ləʊ	follow~flow; fellow~flow; flows~flow
7	dɹɛs	dɹɛs	dress~adresses; dress~adressent; dress~adresse
7	eɪn	eɛn	grain~gré haines; main~mes haines; gain~gué haines
7	ən	ɑn	pleasant~plaisante; freshman~fraîchement; seventeen~sève cantine
7	mɛs	mɛ̃s	messy~minci; messy~mincie; messy~mincies
7	tɒ	ta	top~tapes; tom~tam; it olla~installer
7	bid	bit	bead~bites; bead~bits; bead~bit
6	du	du	do~doux; do~doue; do~douent
6	ɛɹi	ɛɹi	very~vais rient; terry~tait rient; ferry~faits rient
6	ɡɹup	ɡɹup	group~groupes; group~groupe; group~groupés
6	tʃɛ	tʃɛ	check~tchèques; check~tchèque; checked~tchèques
6	tʃɛk	tʃɛk	check~tchèques; check~tchèque; checked~tchèques
6	wɛs	wɛs	west~ouest; southwest~cent ouest; northwest~nœud ouest
6	wɛst	wɛst	west~ouest; southwest~cent ouest; northwest~nœud ouest
6	ʊl	ʊl	role~roll; roles~roll; rolls~roll
6	əʊl	əʊl	role~roll; roles~roll; rolls~roll
6	ɹəʊl	ɹəʊl	role~roll; roles~roll; rolls~roll
6	ɹɛʃ	ɹɛʃ	pressure~prêche; fresh~fraîches; fresh~fraîche
6	ɛmɛ	ɛmɛ	ms~aiment ès; mm~aiment aimes; ml~aiment aile
6	sɛkt	sɛkt	sector~sectes; sector~secte; sect~secte
6	sil	sil	seal~sil; seal~cils; sealed~sil
6	kɔɹ	kɔɹ	corps~cor; escort~escorte; chorus~corses
6	klu	klu	clue~clous; clue~clou; conclusion~con clous haine
6	ɹt	ɹt	escort~escorte; export~exporte; export~experte
6	kɔd	kɔd	cord~codes; cord~code; scored~codes
6	ɪn	ɪn	liner~line; lines~line; lined~line
6	nɔt	nɔt	naught~note; naught~notent; naught~notes
6	sim	sim	seam~cime; seam~cimes; seem~cime
6	ɛndɐ	ɛnde	surrender~serein des; render~rhin des; tender~tain des
6	ʃɪp	ʃip	friendships~freinent chips; friendship~freinent chipe; censorship~saines chipe
6	pɪ	pɛ	pitcher~paient chez; piton~paient haine; pissed~peste
6	kɹɪ	kɹi	crystal~crissent elle; transcript~train script; critique~critiques
6	tɪk	tɛk	fantastic~fanent aztèques; stick~steaks; stick~steak
6	lʌ	la	clusters~classent aise; plus~places; plus~placent
6	pɹɪn	pɹɛn	printed~prennent aide; princes~prennes aise; printing~prennent in
6	sɒ	sa	softball~savent bol; softly~savent lis; sovereignty~savarin tee
6	pɑ	ba	partly~bat lis; partner~bat né; particle~bat quel
6	əs	ɔs	fortress~faut rosse; mattress~mat rosse; gorgeous~godes os
6	nsɪ	nsi	senses~sain six; references~refrain six; dances~tan six
6	ɛnʃ	ɛnʃ	dementia~demain chez; mention~main chaîne; tension~tain chaîne
6	təz	tɛz	centers~sain thèse; protesters~prêtais thèse; matters~mat aise
6	ənt	ɔnt	contractor~con tracter; control~con troll; parenting~perron teigne
6	bæ	ba	feedback~fient bac; battle~bat elle; baptist~battent est
6	ɡɹ	kɹ	greeted~crient aide; greatest~créent est; greeting~crient in
6	nʃə	nʃɛ	mention~main chaîne; tension~tain chaîne; suspension~ces pain chaîne
6	nʃən	nʃɛn	mention~main chaîne; tension~tain chaîne; suspension~ces pain chaîne
6	ntɪ	ntɛ	panties~pan thèse; counties~khan thèse; rented~rhin tête
6	nə	nɔ	reasonably~ries anobli; autonomy~otan omis; kindness~cannes noces
6	vɪ	vi	vista~vis tes; vicinity~vis hindi; creativity~créait éviter
6	ɛn	ɛɲ	centered~saignent aide; venture~feignent chez; century~saignent chérie
6	ɑns	ɑns	dancer~tan ses; dances~tan six; dancers~tan seize
6	fɛ	vɛ	defender~divin des; confessed~con veste; professors~brevets aise
6	wɪ	wɛ	wizard~ouais aide; switching~souhait chine; withdrawal~ouais drôle
6	ɪspɛ	ɛspɛ	respectful~respectent elle; respectively~respectes lis; respect~respectent
6	ɪm	ɛm	himself~aimes elfes; victim~piquent aime; dame~dm
6	ɹən	ɹɛn	patron~peut reine; references~refrain six; preferences~prêt rhin six
6	ɹɪ	ɹe	repeated~répit aide; reporters~répond aise; exploring~exploré
6	əlɛ	ɔlɛ	cholesterol~collais troll; collectively~collectes lis; collect~collecte
6	kəlɛ	kɔlɛ	cholesterol~collais troll; collectively~collectes lis; collect~collecte
6	nɪ	nɛ	ceremonies~sermon aise; reasoning~ries naine; colonies~colin aise
6	pɹə	pɹɔ	promoted~promet aide; proposal~propos elle; proposes~propos aise
6	mə	mə	testimony~cessent mener; experiment~expert menottes; testament~teste menottes
6	ʊk	ɔk	textbooks~taxent box; books~boxe; books~box
6	tɪd	tɛt	contested~cognent esthète; rented~rhin tête; suggested~cèdes esthète
6	ɛstɪ	ɛstɛ	contested~cognent esthète; destination~destin échine; suggested~cèdes esthète
6	æns	ɑns	cancer~khan ses; fancy~faon ci; transform~transforment
6	lɛk	liɡ	lecture~liguent chez; lectures~liguent chaise; lecturer~liguent serez
6	ɪŋ	iŋ	disgusting~dis casting; rendering~reines ring; meeting~meetings
6	spo	spo	disposal~dispos elle; expose~exposent; exposed~exposent
6	pɛ	tɛ	experimental~exterminent elle; pest~teste; pest~testes
6	ɛk	ik	perspective~paix piquent ive; flexible~flics belle; collected~cliquent aide
6	te	te	entertain~aident théine; taste~té ost; takes~té axes
6	tə	ta	registered~raids stade; quarterly~quota lies; quarters~quotas
6	ɪns	ɛns	installed~haines solde; princess~princesses; princess~princesse
6	kɪ	kɛ	kidney~quais ni; kisses~quais aise; kill~quels
6	ænd	ɛnd	randy~rhin dit; sandy~sain dit; sandwiches~sain dit chaise
6	nɒ	na	monopoly~mon appelait; pornography~bon agrafer; minorities~minaret hisse
6	ɹə	ɹe	proceeded~précis aide; procedures~précis chaise; temporary~tain prairies
6	ɒl	al	default~dit halte; doll~dalles; it olla~installer
6	ɜk	ɛk	networks~nid vexe; irked rim~extrême; irked raw~extrait
6	vəl	val	festivals~cessent valse; survival~ces aval; festival~festivals
6	nsɛ	nsɛ	consent~con celtes; princess~princesses; princess~princesse
6	tɹe	tɹi	stranger~strings je; traced~tristes; traced~triste
6	ʃe	ʃe	wheelchair~veulent chez; shady~chez édit; shaped~chez opte
6	ɡɹæ	ɡɹa	gravel~gras elle; grammar~grammes; grammar~gramme
6	plɔɹ	plɔɹ	explorer~exploré; explorer~explore; exploring~explore
6	tɹɪk	tɹik	strictly~strictes lies; strict~strictes; strict~stricte
6	on	on	prone~prône; clone~clones; phone~faune
6	tɛks	tɛks	textile~tex tacle; context~contextes; context~contexte
6	ɹæ	ɹɑ	transform~transforment; transform~transforme; transformed~transforment
6	ɹm	ɹm	transform~transforment; transform~transforme; reform~réformes
6	ɹæn	ɹɑn	transform~transforment; transform~transforme; transformed~transforment
6	ɐk	ak	accept~acceptes; accept~acceptent; accept~accepte
6	to	to	toll~tôle; toll~taule; toe~tôt
6	əʊ	əɔ	post~pe ost; code~que ode; mode~me ode
6	tæ	ta	taxi~taxis; tax~taxes; tax~taxe
6	ɹeɪ	ɹeɛ	grain~gré haines; rain~rez haines; rail~réels
6	stɑ	sta	star~stars; starred~stades; starred~stade
6	eɪk	eik	make~mes hic; take~té hic; lake~lé hic
6	wi	we	sweet~souhaites; sweet~souhaitent; sweet~souhaite
6	it	et	sweet~souhaites; sweet~souhaitent; sweet~souhaite
6	swi	swe	sweet~souhaites; sweet~souhaitent; sweet~souhaite
6	wit	wet	sweet~souhaites; sweet~souhaitent; sweet~souhaite
6	swit	swet	sweet~souhaites; sweet~souhaitent; sweet~souhaite
6	it	id	ct~sidi; seat~cid; beat~bide
6	ɒf	ɔf	cough~coffres; cough~coffre; offs~offices
6	ɒti	ɑ̃ti	knotty~nanti; knotty~nantie; knotty~nanties
6	ɔt	ɔ̃t	fought~fonte; fought~fontes; taught~tonte
6	pik	bik	peek~bique; peak~bique; peak~biques
6	ut	ud	coot~coudent; coot~coudes; coot~coude
6	piz	biz	pease~bise; pease~bises; pees~bise
5	vɛɹ	vɛɹ	very~vais rient; verified~verrait aède; very~vernis
5	ʊnd	ʊnd	around~round; ground~round; rounds~round
5	aʊnd	aʊnd	around~round; ground~round; rounds~round
5	si	sɛ	seen~seine; scene~seine; seasonal~saison elle
5	iɡ	iɡ	league~ligues; league~ligue; legally~ligues allie
5	liɡ	liɡ	league~ligues; league~ligue; legally~ligues allie
5	lɛd	lɛd	led~laide; legends~laide genèse; pledge~plaide
5	bɒ	bɔ	boss~bosses; boss~bossent; boss~bosse
5	nə	nə	enemy~ennemies; veterinary~fait ornera; enemies~ennemies
5	pul	pul	pool~poules; pool~poule; pool~poulets
5	kɹim	kɹim	cream~crimes; cream~crime; scream~escrime
5	kn	kn	technique~techniques; technically~techniques lies; techniques~technique
5	ɛkn	ɛkn	technique~techniques; technically~techniques lies; techniques~technique
5	tɛkn	tɛkn	technique~techniques; technically~techniques lies; techniques~technique
5	pip	pip	pp~pipi; peep~pipe; peep~pipent
5	bum	bum	boom~boum; boom~booms; boom~boume
5	ful	ful	fool~full; fool~foules; fool~foule
5	ɛf	ɛf	chef~chefs; referee~raies furie; ref~greffe
5	blɛ	blɛ	bless~blesse; blessed~blesse; bless~blessés
5	flu	flu	flew~floue; flew~flou; flu~floue
5	sis	sis	cc~sis scie; cease~six; ceased~insistent
5	bɹid	bɹid	breed~bride; breed~hybrides; breed~hybride
5	nɔm	nɔm	norm~nomment; normally~nomma lies; normal~nomment houle
5	stim	stim	esteem~estiment; esteem~estime; esteem~estimés
5	mɛɹ	mɛɹ	merry~mets rient; meta~mères; meta~mère
5	pil	pil	peel~piles; peel~pile; repeal~rient piles
5	aɪn	aɪn	liner~line; lines~line; lined~line
5	ɹum	ɹum	rumor~room; room~roumains; room~roumain
5	bin	bin	bean~bine; bean~binent; bean~bines
5	but	but	bootie~boutis; booty~boutis; boutique~boutiques
5	ʃik	ʃik	chic~chics; chic~chique; chic~chiquent
5	nu	nu	nu~noue; nu~nouent; nu~noues
5	mus	mus	moose~mousse; moose~moussent; moose~mousses
5	uf	uf	poof~pouf; poof~pouffe; poof~pouffent
5	puf	puf	poof~pouf; poof~pouffe; poof~pouffent
5	stɔk	stɔk	stalk~stock; stalk~stocke; stalk~stockent
5	tɛp	tɛp	step~steppe; step~steppes; steppe~steppes
5	stɛp	stɛp	step~steppe; step~steppes; steppe~steppes
5	tut	tut	toot~toute; toot~toutes; tutu~toutou
5	zum	zum	zoom~zoome; zoom~zooment; zoom~zoomes
5	ʃəz	ʃɛz	creatures~crient chaise; teachers~dit chaise; ventures~feignent chaise
5	fɹɛn	fɹɛn	friendly~freinent lis; friendships~freinent chips; friendship~freinent chipe
5	ɹiv	ɹiv	retrieve~rient rive; previously~privées lis; preview~prive boues
5	səɹ	səɹ	surrender~serein des; sensory~sain serez; necessary~nés serez
5	lɑ	lɑ̃	lastly~lancent lis; classroom~clans rhume; classes~clans aise
5	plɛ	plɛ	plenty~plain tee; pledge~plaide; pleasant~plaisante
5	ʌp	ap	setup~sait happe; puppy~papy; puppy~papi
5	ɪnɐ	ine	dynasty~dîners tee; debt inner~destiné; debt inner~destinée
5	stɪk	stɛk	fantastic~fanent aztèques; stick~steaks; stick~steak
5	ʃɪŋ	ʃin	preaching~prient chine; reaching~rient chine; switching~souhait chine
5	ɪz	is	senses~sain six; diseases~dis isis; references~refrain six
5	nsə	nsɛ	census~sain cesse; sensors~sain seize; dancers~tan seize
5	ɛk	ek	decorative~décret ive; context~khan texte; secondly~déconnent lis
5	ɹʌk	ɹak	instructor~haines tracter; destructive~dis traquent ive; constructive~cannes traquent ive
5	tɹʌk	tɹak	instructor~haines tracter; destructive~dis traquent ive; constructive~cannes traquent ive
5	ʒə	ʒɛ	legion~lient gêne; region~rient gêne; largest~lent geste
5	ɛnʃə	ɛnʃɛ	mention~main chaîne; tension~tain chaîne; suspension~ces pain chaîne
5	fə	fɔ	peaceful~pis folle; forensic~forain sec; dreadful~trait folle
5	ək	ɛk	succeed~secs ides; success~secs ace; successor~secs essaie
5	sək	sɛk	succeed~secs ides; success~secs ace; successor~secs essaie
5	pɛ	bɛ	inspector~haines becqueter; pet~bette; pet~bettes
5	pə	pɔ	policeman~polis mène; desperate~dès porte; potentially~potin joli
5	ʌn	ɛn	shotgun~chaud gaine; sunset~saines êtes; monthly~mènent lis
5	bɑ	ba	basket~bas quitte; bathroom~bat rhume; bark~barque
5	ɹɪp	ɹip	transcript~train script; repeal~rient piles; trip~tripes
5	ndɪd	ndit	attended~étain dites; tended~tain dites; defended~divin dites
5	kəm	kɔm	committed~commit aide; committees~commit hisse; communities~communient hisse
5	ɪf	iv	defender~divin des; fifteen~vivent in; defended~divin dites
5	fɪ	fɛ	fitted~fait aide; benefit~ben faites; fit~fêtes
5	pɛɹ	pɛɹ	prosperity~près perdit; experiment~expert menottes; repair~repères
5	pɜ	pɛ	purchased~paient schiste; personnel~pinson elle; personalities~pinson allait hisse
5	əɹi	eɹi	century~saignent chérie; groceries~grès hérisse; temporary~tain prairies
5	ʌn	ɑn	country~khan tri; countries~khan treize; wonder~van des
5	um	ym	classroom~clans rhume; costume~cassent hume; bedroom~paient rhume
5	ɹen	ɹɛn	rainfall~rhin folle; trainers~train aise; ranger~reines chez
5	aɪd	aɛd	suicide~saouls aède; beside~bis aède; terrified~terrent aède
5	ɹɐ	ɹe	treasurer~trais aurez; lecturer~liguent serez; explorer~exploré
5	tɹɪ	tɹɛ	trinity~train tee; countries~khan treize; strips~stresse
5	mən	mən	testimony~cessent mener; experiment~expert menottes; testament~teste menottes
5	əlɛk	ɔlɛk	collectively~collectes lis; collect~collecte; collector~collecte
5	bɪ	bi	beside~bis aède; babies~baby; orbit~orbite
5	ɹɒ	ɹo	prostate~pros tête; product~pros acte; crossover~crocs avez
5	az	as	exercises~excès assise; franchise~freinent chasse; supervisor~soupers assez
5	bɹ	pɹ	bracelet~prés let; broadly~prompt lis; briefly~prient lis
5	æɹ	aɹ	paranoid~parrain ode; marry~maris; marry~marient
5	wɔ	wɔ	sidewalk~cent wok; quarterly~quota lies; quarter~quotas
5	su	sy	suitable~suent belle; supreme~supprime; sushi~sushis
5	sɪt	sit	density~tain cité; explicit~explicites; explicit~explicite
5	nk	nk	conclusion~con clous haine; conclude~con claude; monkey~mon qui
5	əɹ	aɹ	sovereignty~savarin tee; separated~séparait aide; supernatural~soutenait charles
5	ɛk	ɔk	corrected~croquent aide; affected~évoquent aide; subjective~sapent choquent ive
5	ʒɐ	ʃe	danger~dînent chez; larger~lent chez; merger~met chez
5	tɹ	dɹ	interest~aident reste; trousers~draps aise; interested~aident rincent aide
5	nə	na	penalty~pain haleter; penalties~pain altesse; provisional~près chenal
5	pə	pa	permitted~pâment aide; separated~séparait aide; opportunity~appât unité
5	ʌn	ɔn	sunrise~son rase; monkey~mon qui; monkeys~mon guise
5	zæ	za	examination~examen échine; exactly~exacts lies; exact~exacts
5	ɡzæ	ɡza	examination~examen échine; exactly~exacts lies; exact~exacts
5	ɛɡzæ	ɛɡza	examination~examen échine; exactly~exacts lies; exact~exacts
5	dɪsk	disk	discussing~discos in; disc~disques; disc~disque
5	li	lɛ	monopoly~mon appelait; naturally~nid charolais; clear~clercs
5	pɹə	pɹe	proceeded~précis aide; procedures~précis chaise; temporary~tain prairies
5	we	wɛ	software~savent ouais; swear~souhaits; swear~souhait
5	mɛ	me	messenger~mécènes je; messy~messie; merry~mairies
5	dɹa	dɹa	drivers~draps aise; dry~draps; dry~drap
5	ɔs	os	reinforce~rien fausse; enforce~haines fosses; source~sauces
