en	fr	pair_score	passages	best_subchain_quality	mean_subchain_quality	min_hops	density_score	example
tended	tain dites	0.944	19	0.934	0.9272	2	17.62	≈ en:tending ~ en:tended ≈ fr:tain dites
ended	haines aide	0.929	19	0.932	0.9273	2	17.62	≈ en:ending ~ en:ended ≈ fr:haines aide
sweetheart	suit hâte	0.953	19	0.941	0.9245	2	17.56	≈ en:suit ~ fr:suit hâte ≈ en:sweetheart
judges	jets aise	0.911	19	0.939	0.9245	2	17.56	≈ fr:jets ~ fr:jets aise ≈ en:judges
extensively	axent haines flux	0.917	19	0.934	0.9212	2	17.5	en:extensive ~ en:extensively ≈ fr:axent haines flux
greeted	crient aide	0.96	19	0.926	0.9206	2	17.49	en:greeting ~ en:greeted ≈ fr:crient aide
mesh	mèches	1.0	18	0.969	0.9677	2	17.42	en:mesh ≈ fr:mèches ~ fr:raies pise
recipes	raies pise	0.966	18	0.969	0.9668	2	17.4	en:recipes ≈ fr:raies pise ~ fr:mèches
coup	coupe	1.0	18	0.99	0.9652	3	17.37	en:coupe ≈ fr:coupes ~ fr:coupe ≈ en:coup
sector	sectes	1.0	18	0.971	0.9643	2	17.36	~ en:sicked fr:secte ~ fr:sectes ≈ en:sector
reminder	roman des	0.918	19	0.929	0.9131	2	17.35	en:reminder ≈ fr:roman des ~ fr:romain des
piece	pisses	1.0	18	0.972	0.9577	3	17.24	en:peace ≈ fr:pisse ~ fr:pisses ≈ en:piece
sensory	sain serez	0.966	18	0.952	0.9488	2	17.08	≈ en:senses ~ en:sensory ≈ fr:sain serez
greedy	crédit	0.952	18	0.957	0.9479	2	17.06	≈ en:credit ~ fr:crédit ≈ en:greedy
crystal	crissent elle	0.969	18	0.971	0.9449	2	17.01	≈ fr:pissent elle ~ fr:crissent elle ≈ en:crystal
mending	main digne	0.944	18	0.942	0.9363	2	16.85	en:mending ≈ fr:main digne ~ fr:étain digne
centered	saignent aide	0.955	18	0.945	0.9343	2	16.82	en:pointed ≈ fr:peinent aide ~ fr:saignent aide ≈ en:centered
southwest	cent ouest	0.933	18	0.951	0.9338	2	16.81	en:northwest ~ en:southwest ≈ fr:cent ouest
deed egg	distingue	0.921	19	0.921	0.8839	2	16.8	en:deed egg ≈ fr:distingue ~ fr:distinguer
disses	dis aise	0.932	18	0.967	0.9304	2	16.75	≈ en:dissed ~ en:disses ≈ fr:dis aise
bees	bises	1.0	18	0.951	0.9282	2	16.71	en:bees ≈ fr:bises = en:kisses
settle	sait elle	0.976	18	0.935	0.9281	2	16.7	en:settle ≈ fr:sait elle ~ fr:ries elle
beet	bite	1.0	17	0.989	0.9636	2	16.38	en:beet ≈ fr:bite ~ fr:bites
peak	pics	1.0	17	0.983	0.9622	2	16.36	en:pics ~ fr:pics ≈ en:peak
stork	stock	1.0	17	0.961	0.957	2	16.27	en:stork ≈ fr:stock ~ fr:stocke
clued	claude	0.94	17	0.964	0.9552	2	16.24	≈ en:clue ~ en:clued ≈ fr:claude
seize	six	1.0	17	0.977	0.9538	2	16.21	en:senses ≈ fr:sain six ~ fr:six ≈ en:seize
commentary	commun tri	0.943	17	0.96	0.9526	2	16.2	≈ fr:commis tri ~ fr:commun tri ≈ en:commentary
picture	piquent chez	0.983	17	0.954	0.9449	2	16.06	en:venture ≈ fr:feignent chez ~ fr:piquent chez ≈ en:picture
privacy	pris ci	0.917	17	0.949	0.9442	2	16.05	en:center ≈ fr:sain tes ~ fr:pris ci ≈ en:privacy
freest	triste	0.95	17	0.972	0.9433	2	16.04	en:triste ~ fr:triste ≈ en:freest
disagree	dis aigri	0.969	17	0.964	0.9435	2	16.04	en:disagree ≈ fr:dis aigri ~ fr:appât
fourteen	faut in	0.98	17	0.96	0.9437	2	16.04	en:thirteen ~ en:fourteen ≈ fr:faut in
suit	soute	1.0	17	0.978	0.9427	2	16.03	en:suit ≈ fr:soute ~ fr:sotte
flume	plume	0.911	17	0.947	0.9421	2	16.02	en:flume ≈ fr:plume = en:pen
tension	tain chaîne	0.96	17	0.952	0.9415	2	16.0	≈ fr:coincent chaîne ~ fr:tain chaîne ≈ en:tension
register	raids ester	0.955	17	0.961	0.9403	2	15.99	en:red ≈ fr:raids ~ fr:raids ester ≈ en:register
printed	prennent aide	0.966	17	0.956	0.9377	2	15.94	en:printed ≈ fr:prennent aide ~ fr:laissent aide
listed	laissent aide	0.96	17	0.956	0.9362	2	15.92	en:printed ≈ fr:prennent aide ~ fr:laissent aide ≈ en:listed
partners	bat noces	0.931	17	0.948	0.9324	2	15.85	en:partner ~ en:partners ≈ fr:bat noces
protecting	pratiquent in	0.919	17	0.945	0.9322	2	15.85	en:protect ~ en:protecting ≈ fr:pratiquent in
reaming	rumine	0.91	17	0.937	0.9326	2	15.85	en:reaped ~ en:reaming ≈ fr:rumine
indie	hindi	0.975	17	0.958	0.9317	2	15.84	en:vicinity ≈ fr:vis hindi ~ fr:hindi ≈ en:indie
preaching	prient chine	0.964	17	0.935	0.9273	2	15.76	en:preach ~ en:preaching ≈ fr:prient chine
matches	mat chaise	0.96	17	0.927	0.917	2	15.59	en:matches ≈ fr:mat chaise ~ fr:bradent chaise
test	testent	1.0	16	0.981	0.9733	3	15.57	en:dissed ≈ fr:test ~ en:test ≈ fr:testent
cooper	coupe	1.0	16	0.993	0.9681	2	15.49	≈ fr:coupes ~ fr:coupe ≈ en:cooper
shooter	shooter	1.0	16	0.987	0.9661	2	15.46	en:shooter ≈ fr:shooter ~ fr:shootes
metre	mité	1.0	16	0.983	0.966	2	15.46	en:meat ≈ fr:mite ~ fr:mité ≈ en:metre
teak	tic	1.0	16	0.972	0.9646	2	15.43	≈ fr:teck = en:teak ≈ fr:tic
grief	griffes	1.0	16	0.988	0.9621	2	15.39	en:grief ≈ fr:griffes ~ fr:griffe
friendships	freinent chips	0.976	16	0.971	0.9599	2	15.36	≈ en:friendship ~ en:friendships ≈ fr:freinent chips
deport	dépote	0.952	16	0.968	0.9497	2	15.2	en:deport ≈ fr:dépote ~ fr:dédie
pleat	plisse	0.94	16	0.953	0.95	2	15.2	en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
terrors	thérèse	0.956	16	0.97	0.9484	2	15.17	≈ en:terror ~ en:terrors ≈ fr:thérèse
wrestle	recèle	0.952	16	0.949	0.9459	2	15.13	≈ en:wrestling ~ en:wrestle ≈ fr:recèle
leks	lynx	0.97	16	0.95	0.9444	2	15.11	≈ en:lesson ~ en:leks ≈ fr:lynx
reaching	rient chine	0.958	16	0.952	0.9438	2	15.1	en:reaches ~ en:reaching ≈ fr:rient chine
inspector	haines becqueter	0.955	16	0.944	0.9359	2	14.98	en:inspector ≈ fr:haines becqueter ~ fr:haines
when	haines	0.95	16	0.944	0.9353	2	14.96	en:inspector ≈ fr:haines becqueter ~ fr:haines ≈ en:when
addresses	adrets aise	0.945	16	0.942	0.9352	2	14.96	~ en:rooters fr:ruent aise ~ fr:adrets aise ≈ en:addresses
lesser	laisse	1.0	16	0.972	0.9324	2	14.92	en:lessee ≈ fr:laisser ~ fr:laisse ≈ en:lesser
setter	synthé	0.97	16	0.942	0.9316	2	14.91	en:setter ≈ fr:synthé ~ fr:synthèse
exhibited	exhibent aide	0.962	16	0.952	0.9307	2	14.89	en:exhibited ≈ fr:exhibent aide ~ fr:tissent aide
tending	tain digne	0.944	16	0.934	0.9276	2	14.84	en:lecturer ≈ fr:liguent serez ~ fr:tain digne ≈ en:tending
erected	irriguent aide	0.918	16	0.933	0.9276	2	14.84	en:erected ≈ fr:irriguent aide ~ fr:défient aide
coaches	coud chaise	0.943	16	0.946	0.9271	3	14.83	en:cutch ≈ fr:coach ~ en:coaches ≈ fr:coud chaise
binding	ban digne	0.926	16	0.927	0.9264	2	14.82	≈ en:yourself ~ fr:ban digne ≈ en:binding
cellar	seller	1.0	15	1.0	0.9867	2	14.8	en:cellar ≈ fr:seller ~ en:seller
boo	bout	1.0	15	0.986	0.9811	2	14.72	≈ fr:boutis ~ fr:bout ≈ en:boo
proposes	propos aise	0.934	16	0.927	0.9188	2	14.7	≈ en:proposal ~ en:proposes ≈ fr:propos aise
chic	chique	1.0	15	0.988	0.9775	2	14.66	en:chic ≈ fr:chique ~ fr:mali
booty	boutis	1.0	15	0.986	0.9758	3	14.64	en:fess ≈ fr:fesses = en:booty ≈ fr:boutis
berry	bey rient	1.0	15	0.976	0.9727	3	14.59	~ en:retrieve fr:rient rive ~ fr:bey rient ≈ en:berry
ready	raies dits	1.0	15	0.972	0.9675	2	14.51	en:ready ≈ fr:raies dits ~ fr:ces ides
ceding	scient in	0.926	15	0.966	0.966	2	14.49	en:ceding ≈ fr:scient in ~ fr:scient
seeding	scient in	0.926	15	0.966	0.966	2	14.49	≈ fr:scient ~ fr:scient in ≈ en:seeding
lessen	lettone	0.929	15	0.968	0.9604	2	14.41	≈ en:lesser ~ en:lessen ≈ fr:lettone
trot	trotte	0.975	15	0.975	0.9583	2	14.37	en:trot ≈ fr:trotte ~ fr:trot
seat em	système	0.96	15	0.972	0.9575	3	14.36	~ fr:site en:seat ~ en:seat em ≈ fr:système
toot were	toutefois	0.919	15	0.964	0.9565	2	14.35	≈ en:toot ~ en:toot were ≈ fr:toutefois
personnel	pinson elle	0.932	15	0.963	0.9469	2	14.2	≈ fr:pissent elle ~ fr:pinson elle ≈ en:personnel
sketches	skient chaise	0.949	15	0.963	0.9461	2	14.19	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:skient chaise
diesel	dis elle	0.976	15	0.959	0.9447	2	14.17	~ en:resell fr:ries elle ~ fr:dis elle ≈ en:diesel
ought	hot	1.0	15	0.969	0.9439	2	14.16	≈ en:should ~ en:ought ≈ fr:hot
fortunately	faut chenet lis	0.978	15	0.958	0.9437	2	14.15	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately
trustees	tracent hisse	0.966	15	0.945	0.9417	2	14.13	en:trustees ≈ fr:tracent hisse ~ fr:seines
registered	raids stade	0.934	15	0.96	0.9404	2	14.11	en:red ≈ fr:raids ~ fr:raids stade ≈ en:registered
reaped	rift	0.94	15	0.944	0.9379	2	14.07	en:reaped ≈ fr:rift ~ fr:rient rift
retention	ricin chaîne	0.928	15	0.944	0.9375	2	14.06	en:retention ≈ fr:ricin chaîne ~ fr:coincent chaîne
honesty	anis tee	0.944	15	0.96	0.9354	2	14.03	en:redly ≈ fr:raies lis ~ fr:anis tee ≈ en:honesty
invest	haines est	0.931	15	0.956	0.9343	2	14.01	en:investing ~ en:invest ≈ fr:haines est
extensive	axent haines ive	0.936	15	0.946	0.9342	2	14.01	en:extensively ~ en:extensive ≈ fr:axent haines ive
funded	fanent aide	0.94	15	0.945	0.9331	2	14.0	en:funded ≈ fr:fanent aide ~ fr:manient aide
torn	tonnes	1.0	15	0.943	0.9298	2	13.95	en:torn ≈ fr:tonnes ~ fr:taies tonnes
frozen	frais haine	0.949	15	0.937	0.9293	2	13.94	en:frozen ≈ fr:frais haine ~ fr:haines becqueter
shedding	jet in	0.902	15	0.939	0.9265	2	13.9	en:shedding ≈ fr:jet in ~ en:jet
mounted	mat aide	0.915	15	0.938	0.9268	2	13.9	en:mounted ≈ fr:mat aide ~ fr:aide
decease	dis hisse	0.956	15	0.935	0.9227	2	13.84	≈ en:deceive ~ en:decease ≈ fr:dis hisse
feeding	fient in	0.926	15	0.93	0.9222	2	13.83	en:feeding ≈ fr:fient in ~ fr:fient
foresees	fonceuse	0.929	15	0.949	0.9179	2	13.77	en:foresee ~ en:foresees ≈ fr:fonceuse
matrix	met rixe	0.96	15	0.948	0.9181	2	13.77	en:despite ≈ fr:dis pâte ~ fr:met rixe ≈ en:matrix
sylph	self	0.97	15	0.918	0.9171	2	13.76	≈ en:myself ~ fr:self ≈ en:sylph
true	trous	1.0	14	0.987	0.9724	2	13.61	en:truly ≈ fr:trous lies ~ fr:trous ≈ en:true
meat	mite	1.0	14	0.983	0.9685	2	13.56	en:meat ≈ fr:mite ~ fr:mité
pieced	piste	1.0	14	0.977	0.9686	2	13.56	en:piste ~ fr:piste ≈ en:pieced
poof	pouf	1.0	14	0.976	0.9678	2	13.55	en:poof ≈ fr:pouf ~ fr:poupe
pool	poules	1.0	14	0.98	0.9672	2	13.54	en:poop ≈ fr:poupes ~ fr:poules ≈ en:pool
seen	seine	1.0	14	0.983	0.9653	4	13.51	≈ fr:sise fr:sises ≈ en:sees ~ en:seen ≈ fr:seine ~ fr:hans
pee	pis	1.0	14	0.977	0.9631	2	13.48	≈ fr:pisse = en:pee ≈ fr:pis
peek	piquent	1.0	14	0.97	0.9611	2	13.46	en:peek ≈ fr:piquent ~ fr:piques
peak	piquent	1.0	14	0.973	0.9601	3	13.44	en:peaky ≈ fr:piquer ~ fr:piquent ≈ en:peak
pieced	pistent	1.0	14	0.972	0.96	2	13.44	≈ en:piece ~ en:pieced ≈ fr:pistent
so	se	0.96	14	0.97	0.9596	2	13.43	en:dare ≈ fr:der ~ fr:se ≈ en:so
latest	laid est	0.952	14	0.961	0.9577	2	13.41	en:latest ≈ fr:laid est ~ fr:laisses
mental	mènent elle	0.98	14	0.966	0.9565	2	13.39	en:mental ≈ fr:mènent elle ~ fr:met elle
chemistry	commis tri	0.943	14	0.96	0.9541	3	13.36	en:shimmy ≈ fr:chimie ~ en:chemistry ≈ fr:commis tri
seat	site	1.0	14	0.972	0.9515	2	13.32	en:website ~ fr:site ≈ en:seat
protesters	prêtais thèse	0.96	14	0.954	0.9514	2	13.32	≈ fr:taies thèse ~ fr:prêtais thèse ≈ en:protesters
cooed	coudes	1.0	14	0.968	0.9504	2	13.31	en:cooed ≈ fr:coudes ~ fr:coude
dit eager	distinguer	0.901	15	0.921	0.8863	2	13.29	en:deed egg ≈ fr:distingue ~ fr:distinguer ≈ en:dit eager
emmet	émettent	0.945	14	0.96	0.9469	2	13.26	en:emmet ≈ fr:émettent ~ fr:émettant
conte	con taie	0.952	14	0.95	0.9424	2	13.19	en:conte ≈ fr:con taie ~ fr:tain des
fee	fies	1.0	14	0.985	0.9406	2	13.17	en:fee ≈ fr:fies ~ fr:fief
tested	cessent aide	0.94	14	0.948	0.9404	2	13.17	en:defeated ≈ fr:défient aide ~ fr:cessent aide ≈ en:tested
draws	treize	0.911	14	0.956	0.9392	2	13.15	en:draws ≈ fr:treize = en:thirteen
destructive	dis traquent ive	0.956	14	0.954	0.9349	2	13.09	en:destructive ≈ fr:dis traquent ive ~ fr:traquent ive
eases	isis	0.945	14	0.938	0.9346	2	13.09	en:eases ≈ fr:isis ~ fr:dis isis
proceeded	précis aide	0.926	14	0.938	0.9339	2	13.07	≈ en:proceeding ~ en:proceeded ≈ fr:précis aide
possess	paix ace	0.976	14	0.966	0.9297	2	13.02	en:possess ≈ fr:paix ace ~ fr:paix
tooter	douter	0.97	14	0.966	0.9299	2	13.02	en:tooter ≈ fr:douter ~ fr:doux
testify	test hais	0.941	14	0.934	0.9227	2	12.92	en:testimony ~ en:testify ≈ fr:test hais
possessed	paix est	0.98	14	0.965	0.9146	3	12.8	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed
targeted	tanguait aide	0.949	14	0.918	0.9141	2	12.8	en:targeted ≈ fr:tanguait aide ~ fr:met aide
installed	haines solde	0.932	14	0.915	0.9137	2	12.79	en:installed ≈ fr:haines solde ~ fr:axent haines in
gene	gins	1.0	13	0.994	0.9779	4	12.71	≈ fr:jean en:jean ≈ fr:gin ~ fr:gins ≈ en:gene
fall	folle	1.0	13	0.991	0.9724	2	12.64	en:fall ≈ fr:folle ~ fr:bêtes
corner	cornes	1.0	13	0.978	0.9726	2	12.64	~ fr:corne en:corn ~ fr:cornes ≈ en:corner
beck	bec	1.0	13	0.983	0.9694	2	12.6	en:beak = fr:bec ≈ en:beck
meter	mire	1.0	13	0.987	0.9678	2	12.58	en:meters ~ en:meter ≈ fr:mire
pee	pie	1.0	13	0.977	0.9653	2	12.55	≈ fr:pisse = en:pee ≈ fr:pie
read	ride	1.0	13	0.977	0.9656	3	12.55	en:reed ≈ fr:rides ~ fr:ride ≈ en:read
settler	sait les	1.0	13	0.969	0.9658	2	12.55	en:settlers ~ en:settler ≈ fr:sait les
seizing	saisine	0.926	13	0.967	0.9618	2	12.5	≈ en:seize ~ en:seizing ≈ fr:saisine
litre	lutter	0.95	13	0.967	0.9618	2	12.5	en:litre ≈ fr:lutter ~ fr:boutis
suitable	suent belle	0.94	13	0.979	0.9582	2	12.46	en:suitable ≈ fr:suent belle ~ fr:belles
sensor	sain ses	0.976	13	0.975	0.9584	2	12.46	en:sensors ~ en:sensor ≈ fr:sain ses
brit	prête	0.94	13	0.967	0.9588	2	12.46	≈ en:ready = fr:prête ≈ en:brit
petite	petites	1.0	13	0.982	0.9555	3	12.42	≈ fr:petite fr:petit ≈ en:petit ~ en:petite ≈ fr:petites
central	sain troll	0.966	13	0.979	0.9555	2	12.42	en:trawl ≈ fr:troll ~ fr:sain troll ≈ en:central
peters	peut aise	0.929	13	0.961	0.955	2	12.42	en:podcast ≈ fr:pot caste ~ fr:peut aise ≈ en:peters
stela	stylé	0.952	13	0.956	0.9546	2	12.41	en:stelae ~ en:stela ≈ fr:stylé
cs	sis ès	1.0	13	0.957	0.9541	2	12.4	en:cs ≈ fr:sis ès ~ fr:ries il
shinny	chiner	0.945	13	0.963	0.9522	2	12.38	en:shinny ≈ fr:chiner ~ en:chin
predator	prêt tes	0.957	13	0.956	0.9524	2	12.38	en:predators ~ en:predator ≈ fr:prêt tes
software	savent ouais	0.926	13	0.963	0.9515	2	12.37	~ en:settler fr:sait les ~ fr:savent ouais ≈ en:software
eddies	indice	0.915	13	0.957	0.9438	2	12.27	en:eddies ≈ fr:indice = en:clue
purchased	paient schiste	0.952	13	0.955	0.9435	2	12.27	en:purchased ≈ fr:paient schiste ~ fr:plaider
veteran	fait reine	0.94	13	0.963	0.9432	2	12.26	en:veteran ≈ fr:fait reine ~ fr:peut reine
pen	penne	1.0	13	0.946	0.9425	2	12.25	en:penning ~ fr:penne ≈ en:pen
miniature	mènent chez	0.966	13	0.964	0.9416	2	12.24	en:miniature ≈ fr:mènent chez ~ fr:traquent chez
offended	afin dites	0.918	13	0.944	0.9412	2	12.24	~ en:attended fr:étain dites ~ fr:afin dites ≈ en:offended
artiste	assiste	0.94	13	0.954	0.9396	2	12.22	en:artist ~ en:artiste ≈ fr:assiste
desperately	dès paierait lis	0.964	13	0.944	0.9401	2	12.22	en:desperately ≈ fr:dès paierait lis ~ fr:dès lis
ministry	mines tri	0.958	13	0.964	0.9395	2	12.21	en:mean ≈ fr:mines ~ fr:mines tri ≈ en:ministry
entry	haines tri	1.0	13	0.958	0.9394	2	12.21	en:treason ≈ fr:tries haine ~ fr:haines tri ≈ en:entry
tourism	tords homme	0.966	13	0.95	0.9388	2	12.2	en:tourism ≈ fr:tords homme ~ fr:terreurs homme
victim	piquent aime	0.904	13	0.942	0.9387	2	12.2	~ en:emcees fr:aimes hisse ~ fr:piquent aime ≈ en:victim
estimated	estimait aide	0.956	13	0.95	0.9379	2	12.19	en:ed ≈ fr:aides ~ fr:estimait aide ≈ en:estimated
pretor	prêtons	0.952	13	0.937	0.9361	2	12.17	en:pretor ≈ fr:prêtons ~ fr:prêter
elders	elles aise	0.929	13	0.952	0.9344	2	12.15	en:elders ≈ fr:elles aise ~ fr:ils
tasted	tissent aide	0.949	13	0.952	0.9337	2	12.14	en:exhibited ≈ fr:exhibent aide ~ fr:tissent aide ≈ en:tasted
senators	sain thèse	0.94	13	0.931	0.9288	2	12.07	~ en:investors fr:nouées thèse ~ fr:sain thèse ≈ en:senators
investing	nouées teigne	0.903	13	0.936	0.928	2	12.06	en:invest ~ en:investing ≈ fr:nouées teigne
places	plaies aise	0.935	13	0.95	0.9271	2	12.05	≈ fr:trais aise ~ fr:plaies aise ≈ en:places
faeces	fies hisse	0.952	13	0.93	0.9265	2	12.05	en:faeces ≈ fr:fies hisse ~ fr:dis hisse
mender	main des	0.976	13	0.936	0.9259	2	12.04	≈ en:mending ~ en:mender ≈ fr:main des
default	dit halte	0.922	13	0.929	0.9256	2	12.03	en:default ≈ fr:dit halte ~ fr:sait halte
would	oueds	0.95	13	0.959	0.9245	2	12.02	en:wed ≈ fr:oued ~ fr:oueds ≈ en:would
legit	laid jette	0.94	13	0.936	0.924	2	12.01	≈ fr:jets ~ fr:laid jette ≈ en:legit
set um	symptômes	0.902	13	0.935	0.9205	2	11.97	≈ en:set ~ en:set um ≈ fr:symptômes
textbooks	taxent box	0.947	13	0.927	0.9211	2	11.97	en:textbook ~ en:textbooks ≈ fr:taxent box
proximity	braques midi	0.93	13	0.931	0.9193	2	11.95	≈ en:vicinity ~ en:proximity ≈ fr:braques midi
himself	aimes elfes	0.949	13	0.929	0.9182	3	11.94	en:himself ≈ fr:aimes elfes ~ fr:mas elfes ≈ en:myself ~ en:yourself
remainder	romain des	0.911	13	0.929	0.9165	3	11.91	en:reminder ≈ fr:roman des ~ fr:romain des ≈ en:remainder
rooting	routine	0.95	13	0.925	0.9163	2	11.91	≈ en:rooters ~ en:rooting ≈ fr:routine
trading	trait in	0.916	13	0.935	0.9135	2	11.87	en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
manly	main lis	0.929	13	0.914	0.9114	2	11.85	en:manly ≈ fr:main lis ~ fr:commun lis
practice	braquent hisse	0.952	13	0.917	0.9072	2	11.79	≈ en:practiced ~ en:practice ≈ fr:braquent hisse
possession	paix échine	0.918	13	0.939	0.9028	2	11.74	en:possession ≈ fr:paix échine ~ fr:paix est
truly	trous lies	1.0	12	0.987	0.9747	2	11.7	en:truly ≈ fr:trous lies ~ fr:trous
traded	trait aide	0.935	13	0.912	0.8989	2	11.69	en:traded ≈ fr:trait aide ~ fr:aide
teak	tiques	1.0	12	0.98	0.9728	2	11.67	en:ticks = fr:tiques ≈ en:teak
sorely	folie	0.938	13	0.905	0.8976	2	11.67	≈ en:insanity = fr:folie ≈ en:sorely
feel	files	1.0	12	0.99	0.9717	2	11.66	en:feel ≈ fr:files ~ fr:fichiers
corny	connu	0.95	12	0.974	0.9717	3	11.66	en:corn ≈ fr:corne ~ en:corny ≈ fr:connu
carding	cantine	0.902	13	0.899	0.8955	2	11.64	en:carding ≈ fr:cantine ~ fr:rétine
saucy	ceci	0.97	12	0.978	0.9688	2	11.63	en:saucy ≈ fr:ceci ~ fr:dette
preferences	prêt rhin six	0.941	13	0.899	0.8949	2	11.63	en:preferences ≈ fr:prêt rhin six ~ fr:rhin tel
faller	voler	0.97	12	0.976	0.9679	2	11.62	≈ en:steal = fr:voler ≈ en:faller
peak	piques	1.0	12	0.97	0.9604	3	11.53	en:peek ≈ fr:piquent ~ fr:piques ≈ en:peak
sandwiches	sain dit chaise	0.927	12	0.961	0.9554	3	11.46	en:teachers ≈ fr:dit chaise ~ fr:sain dit chaise ≈ en:sandwiches
plea	plie	1.0	12	0.956	0.9545	3	11.45	= fr:plaider en:pleader ~ en:plea ≈ fr:plie
preach	bridge	0.929	12	0.968	0.9531	2	11.44	en:pressure ≈ fr:prêche = en:preach ≈ fr:bridge
vista	vis tes	0.956	12	0.961	0.9527	3	11.43	en:vending ≈ fr:vin digne ~ fr:vis tes ≈ en:vista
control	con troll	0.94	12	0.965	0.9515	2	11.42	en:control ≈ fr:con troll ~ fr:sain troll
titter	titi	0.945	12	0.965	0.9497	2	11.4	en:titi ~ fr:titi ≈ en:titter
sixty	secs tee	0.96	12	0.956	0.9488	2	11.39	en:sixty ≈ fr:secs tee ~ en:secs ≈ fr:sexe ~ fr:sexes ≈ en:sex
tractive	traquent ive	0.969	12	0.954	0.9494	2	11.39	en:destructive ≈ fr:dis traquent ive ~ fr:traquent ive ≈ en:tractive
kisses	quais aise	0.929	12	0.951	0.9493	3	11.39	en:bees ≈ fr:bises = en:kisses ≈ fr:quais aise
rested	rincent aide	0.96	12	0.948	0.948	3	11.38	en:arrest ≈ fr:restes ~ en:rested ≈ fr:rincent aide
mean	mines	1.0	12	0.964	0.9457	2	11.35	en:mean ≈ fr:mines ~ fr:mines tri
neutral	nouent rôle	0.945	12	0.963	0.9439	2	11.33	en:neutral ≈ fr:nouent rôle ~ en:role
artist	atteste	0.964	12	0.969	0.9419	2	11.3	en:artiste ~ en:artist ≈ fr:atteste
randy	rhin dit	0.929	12	0.962	0.9418	2	11.3	en:randy ≈ fr:rhin dit ~ fr:dette
treading	training	0.944	12	0.952	0.9397	2	11.28	en:treading ≈ fr:training ~ en:training
straws	stress	0.929	12	0.978	0.9371	2	11.24	en:straws ≈ fr:stress ~ en:stress
parley	pâli	0.985	12	0.977	0.9355	2	11.23	en:parley ≈ fr:pâli ~ fr:pâle
lecturer	liguent serez	0.926	12	0.949	0.9343	2	11.21	en:friendly ≈ fr:freinent lis ~ fr:liguent serez ≈ en:lecturer
meet	mythe	1.0	12	0.984	0.9326	2	11.19	en:meet ≈ fr:mythe ~ fr:mythique
lending	lin digne	0.944	12	0.937	0.9322	3	11.19	en:fortunately ≈ fr:faut chenet lis ~ fr:lin digne ≈ en:lending
predecessor	prient cessé	0.973	12	0.934	0.9305	2	11.17	en:census ≈ fr:sain cesse ~ fr:prient cessé ≈ en:predecessor
murdered	met aide	0.929	12	0.934	0.9305	3	11.17	~ en:proceeded fr:précis aide ~ fr:met aide ≈ en:murdered
previous	pris os	0.923	12	0.938	0.9298	2	11.16	en:previously ~ en:previous ≈ fr:pris os
renter	rhin tes	0.976	12	0.968	0.9209	2	11.05	en:renter ≈ fr:rhin tes ~ fr:raies lis
foresee	foncé	0.94	12	0.955	0.9197	2	11.04	en:foresees ~ en:foresee ≈ fr:foncé
protected	prêt excède	0.947	12	0.922	0.9108	3	10.93	en:projected ≈ fr:prêtes excède ~ fr:prêt excède ≈ en:protected
terry	tait rient	1.0	11	0.995	0.9917	2	10.91	≈ fr:faits rient ~ fr:tait rient ≈ en:terry
sending	sain digne	0.944	12	0.927	0.9085	3	10.9	~ fr:question en:get your ~ fr:sain digne ≈ en:sending
meet arras	mystérieuse	0.93	12	0.911	0.9055	2	10.87	en:meet arras ≈ fr:mystérieuse ~ fr:mystérieux
meet error	mystérieux	0.924	12	0.911	0.9053	2	10.86	en:meet arras ≈ fr:mystérieuse ~ fr:mystérieux ≈ en:meet error
jean	djinns	1.0	11	0.981	0.9752	3	10.73	≈ fr:gins fr:gin ≈ en:jinn = fr:djinns ≈ en:jean
poof	pouffes	1.0	11	0.975	0.9674	2	10.64	en:poof ≈ fr:pouffes ~ fr:poules
court	cotes	1.0	11	0.977	0.965	2	10.62	en:court ≈ fr:cotes ~ fr:cote
stalk	stocke	1.0	11	0.989	0.9639	2	10.6	en:stalk ≈ fr:stocke ~ fr:stock
derry	terrer	0.94	11	0.974	0.9625	2	10.59	en:derry ≈ fr:terrer ~ fr:terre
system	cessent homme	0.96	11	0.966	0.9591	2	10.55	≈ fr:système ~ en:system ≈ fr:cessent homme
chute	shoote	1.0	11	0.975	0.9579	2	10.54	en:chute ≈ fr:shoote ~ fr:shootes
ooh	ou	1.0	11	0.962	0.9578	2	10.54	en:ooh ≈ fr:ou ~ fr:ose
talk	tocs	1.0	11	0.986	0.9572	2	10.53	en:talk ≈ fr:tocs ~ fr:tendues
could	coude	0.967	11	0.968	0.9571	2	10.53	en:cooed ≈ fr:coudes ~ fr:coude ≈ en:could
cluster	clés tes	0.96	11	0.962	0.9558	2	10.51	en:cluster ≈ fr:clés tes ~ fr:clés hic
peacock	bicoque	0.956	11	0.964	0.9544	2	10.5	en:peacock ≈ fr:bicoque ~ fr:bique
stress	stresse	1.0	11	0.997	0.9507	2	10.46	en:stress ≈ fr:stresse ~ fr:stress
written	rient haine	0.956	11	0.963	0.9505	2	10.46	en:written ≈ fr:rient haine ~ fr:sait haine
