en	fr	old_combo	prosody	meaning	tier
found that	fan set	0.618	0.871	0.222	A
spite of	sportive	0.614	0.816	0.369	A
kind of	cannes as	0.569	0.887	0.562	GOLD
all my	allemagne	0.571	0.826	0.552	GOLD
have seen	s il	0.461	0.886	0.503	GOLD
the body	sympathie	0.497	0.881	0.333	A
any of	on if	0.458	0.821	0.433	A
to any	tenu	0.533	0.844	0.606	GOLD
we must	limite	0.589	0.853	0.471	GOLD
the latter	dollars	0.536	0.794	0.311	A
the place	replace	0.631	0.830	0.192	A
is all	aux elle	0.511	0.864	0.465	GOLD
so far	saut are	0.700	0.832	0.479	GOLD
far as	phrases	0.585	0.758	0.437	A
upon me	afin mis	0.580	0.804	0.721	GOLD
knew that	nous et	0.612	0.845	0.389	A
seems to	sommes tous	0.554	0.878	0.351	A
she has	chemise	0.536	0.773	0.253	A
the letter	salaire	0.691	0.803	0.231	A
her husband	hais benêt	0.496	0.721	0.091	A
to one	tienne	0.592	0.818	0.621	GOLD
from that	flammes et	0.474	0.856	0.452	GOLD
you that	vous êtes	0.464	0.839	0.784	GOLD
to which	twist	0.476	0.838	0.257	A
in our	un are	0.501	0.755	0.571	GOLD
hand and	en tarde	0.513	0.700	0.375	A
and every	un des ri	0.549	0.799	0.404	A
the light	relate	0.671	0.865	0.379	A
after all	et sol	0.572	0.867	0.670	GOLD
she did	chez elle	0.500	0.838	0.518	GOLD
ought to	ont tout	0.678	0.946	0.388	A
that all	d elle	0.498	0.892	0.568	GOLD
by this	bas s	0.673	0.855	0.544	GOLD
see him	ciel	0.482	0.760	0.542	GOLD
were in	lorraine	0.528	0.803	0.392	A
were all	viol	0.571	0.840	0.509	GOLD
of me	aux mi	0.601	0.917	0.794	GOLD
from him	fredonne	0.531	0.701	0.620	GOLD
down in	don in	0.566	0.721	0.569	GOLD
whale is	venise	0.487	0.789	0.195	A
if she	et j	0.497	0.879	0.493	GOLD
is so	s au	0.530	0.755	0.555	GOLD
not in	d une	0.468	0.838	0.313	A
just as	d thèse	0.554	0.860	0.451	GOLD
your own	héroïne	0.487	0.768	0.320	A
upon it	pan êtes	0.540	0.853	0.597	GOLD
few minutes	poumon s	0.541	0.786	0.182	A
and from	in femme	0.539	0.769	0.464	GOLD
them in	domaine	0.512	0.891	0.505	GOLD
out to	et tout	0.628	0.808	0.488	GOLD
at my	et ma	0.543	0.745	0.715	GOLD
there and	terrasse	0.462	0.721	0.409	A
it so	s au	0.543	0.755	0.674	GOLD
mast head	mais cette	0.513	0.758	0.311	A
was an	vous n	0.468	0.834	0.510	GOLD
to elizabeth	tels appel	0.480	0.796	0.275	A
entered the	n de	0.671	0.818	0.504	GOLD
you do	yeux au	0.496	0.746	0.338	A
only to	on dit où	0.676	0.840	0.416	A
my life	malaxe	0.627	0.778	0.451	GOLD
then the	un de	0.500	0.654	0.602	A
as possible	aux pas quel	0.457	0.842	0.621	GOLD
at home	et tome	0.549	0.788	0.383	A
what you	est yeux	0.507	0.808	0.475	GOLD
and down	n dan	0.663	0.900	0.500	GOLD
over his	aux caisse	0.464	0.779	0.407	A
into his	un treize	0.499	0.771	0.351	A
side and	saint halte	0.472	0.800	0.289	A
and even	on divine	0.640	0.862	0.399	A
not at	d hôte	0.468	0.815	0.423	A
be sure	major	0.500	0.760	0.385	A
on that	on jette	0.543	0.831	0.447	A
that mr	d liste	0.530	0.862	0.388	A
as his	aux aise	0.531	0.825	0.539	GOLD
saw him	formes	0.500	0.800	0.344	A
across the	écrits de	0.546	0.592	0.575	B
me for	met or	0.703	0.866	0.522	GOLD
but at	but as	0.500	0.898	0.702	GOLD
such as	saint chose	0.582	0.868	0.256	A
the lady	gelées a	0.564	0.851	0.304	A
we may	lima	0.536	0.824	0.475	GOLD
it might	et mate	0.624	0.856	0.493	GOLD
for he	forte	0.661	0.735	0.516	GOLD
to our	trahi	0.488	0.781	0.468	GOLD
with some	les femmes	0.458	0.853	0.453	GOLD
in order	on or	0.597	0.755	0.479	GOLD
in these	en dise	0.604	0.855	0.587	GOLD
be of	brave	0.618	0.792	0.500	GOLD
off the	et de	0.467	0.640	0.637	A
but one	but n	0.574	0.877	0.616	GOLD
the crew	secret	0.571	0.638	0.226	A
his friend	des freine	0.601	0.767	0.288	A
what she	et j	0.509	0.762	0.487	GOLD
but with	but vise	0.487	0.897	0.706	GOLD
him for	on for	0.685	0.684	0.641	A
is as	aux aise	0.511	0.864	0.512	GOLD
the least	police	0.561	0.897	0.224	A
to whom	terme	0.592	0.783	0.516	GOLD
sir william	silicium	0.533	0.859	0.327	A
said elizabeth	sait les baisse	0.522	0.815	0.372	A
think it	son quitte	0.506	0.809	0.474	GOLD
you not	en hâte	0.507	0.785	0.284	A
shall not	changement	0.455	0.772	0.278	A
as this	as s	0.491	0.890	0.626	GOLD
time and	termine	0.466	0.791	0.543	GOLD
in every	on ouvrit	0.625	0.744	0.339	A
it he	et qui	0.499	0.821	0.640	GOLD
been the	bon de	0.622	0.726	0.613	GOLD
on to	on tout	0.722	0.847	0.639	GOLD
then he	jeudi	0.507	0.827	0.363	A
in front	un frère	0.485	0.633	0.371	A
at times	et table	0.484	0.825	0.331	A
of man	aux man	0.482	0.906	0.875	GOLD
at any	arrêter	0.524	0.801	0.483	GOLD
that one	d n	0.485	0.845	0.527	GOLD
and mr	in must	0.465	0.826	0.405	A
can you	gain où	0.531	0.822	0.456	GOLD
now the	nous est	0.487	0.771	0.616	GOLD
obliged to	obligent tout	0.590	0.843	0.656	GOLD
cannot be	khan et but	0.484	0.773	0.463	GOLD
far from	fort rome	0.547	0.788	0.332	A
way of	élèves	0.466	0.782	0.404	A
was still	ouest il	0.651	0.957	0.436	A
not yet	d êtes	0.566	0.864	0.382	A
the scene	d une	0.490	0.847	0.533	GOLD
which it	et cette	0.486	0.670	0.659	A
so as	suisse	0.502	0.834	0.385	A
was it	vous êtes	0.516	0.894	0.472	GOLD
course of	corps as	0.496	0.846	0.377	A
beneath the	but le	0.542	0.853	0.315	A
no no	non or	0.537	0.672	0.811	A
like to	lad où	0.653	0.905	0.554	GOLD
but now	but ne	0.583	0.727	0.553	GOLD
but my	but ma	0.683	0.751	0.535	GOLD
where he	lundi	0.501	0.813	0.346	A
to what	télé	0.501	0.809	0.371	A
and said	en cette	0.530	0.764	0.712	GOLD
very well	terrible	0.579	0.643	0.262	A
in vain	on fine	0.531	0.797	0.362	A
be seen	but une	0.603	0.919	0.570	GOLD
as that	as êtes	0.479	0.870	0.722	GOLD
within the	les un de	0.484	0.807	0.528	GOLD
to an	tourne	0.591	0.754	0.496	GOLD
what it	ouest	0.617	0.846	0.498	GOLD
front of	freinent as	0.639	0.832	0.560	GOLD
now that	nous as	0.466	0.735	0.648	GOLD
heard the	et de	0.503	0.687	0.665	A
the devil	d échelle	0.452	0.826	0.364	A
for this	forte	0.670	0.728	0.584	GOLD
has not	aux notes	0.492	0.849	0.281	A
been so	bain ça	0.548	0.845	0.564	GOLD
himself to	un cet tout	0.583	0.834	0.516	GOLD
to morrow	demanda	0.499	0.803	0.330	A
he seemed	et hymne	0.516	0.831	0.291	A
order to	hors du	0.727	0.687	0.472	A
used to	us tout	0.588	0.879	0.414	A
it be	est dit	0.517	0.844	0.651	GOLD
this time	des femmes	0.483	0.806	0.456	GOLD
all their	ils air	0.595	0.768	0.534	GOLD
could see	tout si	0.581	0.888	0.524	GOLD
went to	ouest où	0.742	0.925	0.534	GOLD
the bottom	gendarmes	0.466	0.718	0.226	A
in those	on chose	0.502	0.756	0.506	GOLD
the main	son n	0.496	0.742	0.532	GOLD
the mast	limite	0.470	0.827	0.366	A
the others	dièse	0.464	0.790	0.207	A
more of	madame	0.466	0.814	0.374	A
for one	froide	0.553	0.823	0.326	A
been in	bon in	0.584	0.682	0.673	A
what the	et de	0.497	0.699	0.739	A
told me	tout mi	0.605	0.822	0.705	GOLD
with one	les veines	0.466	0.856	0.283	A
in general	in vain rôles	0.492	0.706	0.363	A
are all	orale	0.518	0.744	0.271	A
the business	jamais ne	0.463	0.711	0.268	A
at present	et prêts êtes	0.660	0.822	0.474	GOLD
with your	les airs	0.481	0.682	0.365	A
the sight	des hautes	0.478	0.720	0.567	GOLD
before he	est aurait	0.468	0.704	0.482	GOLD
appeared to	était tout	0.555	0.836	0.594	GOLD
still more	serveur	0.516	0.682	0.252	A
and your	en dire	0.532	0.689	0.622	A
by my	batailles	0.570	0.725	0.290	A
the truth	d routes	0.489	0.800	0.183	A
when we	on oui	0.643	0.757	0.720	GOLD
less than	les veines	0.573	0.848	0.194	A
was of	les ève	0.536	0.903	0.643	GOLD
have done	as n	0.485	0.870	0.401	A
the point	rapporte	0.525	0.779	0.542	GOLD
the town	d n	0.470	0.840	0.348	A
one side	on sarde	0.571	0.716	0.442	A
down and	don halte	0.492	0.800	0.481	GOLD
the men	on n	0.594	0.825	0.404	A
sea and	sciences	0.520	0.790	0.403	A
much more	met maures	0.690	0.851	0.423	A
those who	lors où	0.493	0.751	0.577	GOLD
and no	n deux	0.493	0.830	0.626	GOLD
as an	aux une	0.496	0.814	0.628	GOLD
de bourgh	devons	0.569	0.792	0.755	GOLD
years ago	lors ego	0.545	0.758	0.400	A
in love	on love	0.531	0.865	0.867	GOLD
rest of	restée	0.727	0.822	0.691	GOLD
all of	élèves	0.537	0.886	0.396	A
will you	ailier	0.498	0.797	0.332	A
to leave	olive	0.715	0.921	0.194	A
unable to	on étalent où	0.648	0.849	0.302	A
be very	métairie	0.630	0.718	0.531	GOLD
at it	hésite	0.513	0.840	0.598	GOLD
she saw	chez un	0.540	0.863	0.407	A
but no	but nos	0.683	0.751	0.756	GOLD
to keep	équipe	0.715	0.921	0.366	A
on one	on n	0.552	0.792	0.629	GOLD
so long	salope	0.547	0.772	0.433	A
and have	en gave	0.506	0.794	0.460	GOLD
you could	bouquet	0.467	0.814	0.244	A
life and	land hard	0.514	0.785	0.266	A
out in	et n	0.513	0.804	0.474	GOLD
is but	aux but	0.452	0.821	0.413	A
from it	profite	0.484	0.808	0.655	GOLD
name of	népal	0.541	0.770	0.456	GOLD
down into	tanin tout	0.476	0.846	0.390	A
out and	et hard	0.466	0.687	0.534	A
which in	et chaîne	0.498	0.838	0.462	GOLD
take the	tiques a	0.518	0.884	0.491	GOLD
miss darcy	mais dards a	0.497	0.805	0.300	A
eyes and	aux hard	0.456	0.737	0.367	A
their own	baronne	0.490	0.714	0.407	A
he came	chicane	0.470	0.791	0.314	A
assure you	sérieux	0.455	0.681	0.552	A
me on	merde	0.461	0.745	0.627	GOLD
acquainted with	quid louise	0.457	0.812	0.432	A
young lady	ion les a	0.555	0.795	0.205	A
return to	est un tout	0.579	0.761	0.348	A
who have	grave	0.454	0.776	0.280	A
and who	en tout	0.561	0.792	0.548	GOLD
not that	nantes a	0.509	0.900	0.296	A
only one	on divine	0.499	0.792	0.281	A
elizabeth had	les avaient a	0.466	0.831	0.335	A
near the	nerfs et	0.524	0.837	0.499	GOLD
my sister	mais est	0.478	0.747	0.415	A
more and	madame	0.463	0.816	0.338	A
power to	but où	0.593	0.823	0.263	A
be it	poète	0.511	0.904	0.382	A
all over	élèves	0.502	0.787	0.306	A
the middle	jamais il	0.478	0.871	0.320	A
from which	frein ouest	0.538	0.833	0.298	A
head of	élèves	0.518	0.791	0.267	A
st simon	son domaine	0.559	0.792	0.496	GOLD
man in	main un	0.552	0.777	0.489	GOLD
sense of	son savent	0.624	0.846	0.620	GOLD
who has	noise	0.498	0.759	0.264	A
at one	et n	0.506	0.800	0.563	GOLD
which are	est chair	0.483	0.677	0.576	A
at such	as h	0.507	0.891	0.546	GOLD
day and	débattre	0.505	0.755	0.401	A
the ladies	gelées as	0.550	0.853	0.266	A
much to	mot j	0.477	0.859	0.523	GOLD
for your	arrière	0.565	0.732	0.454	GOLD
till the	tels a	0.525	0.893	0.326	A
him at	un hâte	0.523	0.724	0.559	GOLD
so it	suite	0.625	0.863	0.468	GOLD
she will	charles	0.566	0.695	0.278	A
take it	défaite	0.482	0.782	0.460	GOLD
him from	on primes	0.482	0.763	0.199	A
though he	série	0.476	0.754	0.438	A
the king	recueil	0.452	0.817	0.465	GOLD
it out	gratte	0.593	0.702	0.451	GOLD
on which	on ouest	0.492	0.879	0.543	GOLD
as far	et are	0.482	0.667	0.533	A
for their	fonds air	0.671	0.838	0.352	A
of men	aux mène	0.676	0.928	0.559	GOLD
night and	d hard	0.454	0.758	0.288	A
endeavoured to	n est où	0.667	0.838	0.363	A
had ever	élèves	0.622	0.877	0.316	A
thought that	sont cette	0.478	0.724	0.610	GOLD
round and	rien dan	0.504	0.766	0.338	A
that for	d for	0.673	0.833	0.657	GOLD
the police	reprise	0.453	0.752	0.374	A
ship and	chapitre	0.454	0.831	0.304	A
not very	d verrez	0.562	0.771	0.362	A
be found	but out	0.480	0.919	0.404	A
likely to	semblait où	0.528	0.823	0.309	A
must not	mes notes	0.565	0.848	0.250	A
that no	d nos	0.514	0.733	0.449	A
want to	ouest où	0.645	0.889	0.481	GOLD
are to	eurent où	0.718	0.847	0.587	GOLD
and therefore	in serveur	0.492	0.695	0.389	A
if we	et oui	0.623	0.909	0.558	GOLD
looked at	laid êtes	0.541	0.896	0.511	GOLD
up with	appoint	0.519	0.877	0.328	A
was as	oies as	0.548	0.952	0.722	GOLD
in spite	on sparte	0.644	0.793	0.485	GOLD
and which	in kitsch	0.484	0.737	0.431	A
which would	et chouette	0.487	0.838	0.440	A
from their	femmes air	0.644	0.858	0.333	A
which we	et jouit	0.581	0.774	0.425	A
they will	civils	0.499	0.823	0.266	A
it from	est rome	0.479	0.761	0.572	GOLD
the carriage	requérir	0.452	0.748	0.463	GOLD
them but	vain but	0.478	0.857	0.549	GOLD
with this	ils s	0.454	0.834	0.521	GOLD
his sister	s oust	0.560	0.880	0.204	A
thank you	son cou	0.484	0.763	0.325	A
sat down	saint dan	0.665	0.862	0.242	A
from me	frein me	0.587	0.650	0.773	A
resolved to	aux alpes tout	0.527	0.862	0.301	A
returned to	et n tout	0.537	0.802	0.399	A
from this	frappes s	0.611	0.819	0.609	GOLD
into my	on thomas	0.522	0.813	0.471	GOLD
the deep	laid if	0.512	0.925	0.261	A
george allen	lord jalonnent	0.653	0.828	0.758	GOLD
though it	poète	0.497	0.811	0.335	A
the word	secondes	0.464	0.793	0.329	A
you the	yeux au	0.496	0.746	0.520	GOLD
this morning	des morne	0.578	0.741	0.473	GOLD
every day	offrit à	0.490	0.718	0.379	A
nothing to	d un tout	0.539	0.823	0.487	GOLD
had seen	et fine	0.595	0.863	0.470	GOLD
and were	en de	0.452	0.676	0.686	A
when it	ouest	0.687	0.818	0.451	GOLD
this way	déçoit	0.505	0.817	0.593	GOLD
had taken	et déconne	0.515	0.835	0.509	GOLD
is of	élèves	0.507	0.860	0.386	A
you said	yeux s	0.486	0.843	0.296	A
felt that	veulent tête	0.553	0.908	0.486	GOLD
since the	son de	0.589	0.709	0.513	GOLD
is my	aux ma	0.486	0.683	0.688	A
appearance of	éperon savent	0.528	0.748	0.566	GOLD
according to	écart on tout	0.549	0.810	0.466	GOLD
before him	intérim	0.457	0.725	0.497	GOLD
means of	mines as	0.741	0.957	0.346	A
my uncle	marin quel	0.623	0.761	0.480	GOLD
the living	gelées n	0.461	0.842	0.358	A
believe that	plus vite	0.481	0.857	0.360	A
of old	aborde	0.484	0.743	0.506	GOLD
which were	et choix	0.488	0.752	0.530	GOLD
and let	in let	0.528	0.841	0.967	GOLD
have to	pas tout	0.525	0.794	0.406	A
the top	étape	0.496	0.910	0.536	GOLD
he cried	dégrade	0.581	0.710	0.372	A
mast heads	mais test	0.537	0.798	0.204	A
on deck	on mec	0.628	0.839	0.324	A
by george	but georges	0.667	0.829	0.636	GOLD
dare say	nerfs et	0.541	0.811	0.441	A
want of	on savent	0.526	0.768	0.660	GOLD
many of	mon s	0.497	0.721	0.456	GOLD
no other	noise	0.487	0.748	0.255	A
the moment	demain n	0.474	0.796	0.625	GOLD
to and	table	0.463	0.769	0.296	A
much the	matchs a	0.594	0.950	0.350	A
who would	ovide	0.499	0.804	0.362	A
in what	on watts	0.607	0.911	0.215	A
he never	on ève	0.701	0.895	0.236	A
wished to	ouest où	0.673	0.932	0.371	A
all and	hollande	0.758	0.892	0.334	A
was all	vous elle	0.504	0.869	0.502	GOLD
he asked	kiosque	0.463	0.778	0.307	A
not help	d alpes	0.546	0.811	0.258	A
but they	but d	0.505	0.854	0.547	GOLD
do it	suite	0.528	0.899	0.319	A
by an	baronne	0.659	0.720	0.479	GOLD
more to	met où	0.694	0.883	0.581	GOLD
by all	bal	0.694	0.783	0.615	GOLD
known to	non tout	0.740	0.833	0.402	A
was too	vais tout	0.603	0.939	0.508	GOLD
before you	et orient	0.493	0.627	0.355	A
will have	relève	0.490	0.804	0.455	GOLD
her that	aux êtes	0.507	0.837	0.588	GOLD
in london	on land n	0.522	0.841	0.343	A
from all	frein or	0.577	0.740	0.446	A
they would	david	0.474	0.779	0.269	A
her in	lorraine	0.482	0.791	0.368	A
is now	n a	0.530	0.891	0.409	A
said to	sept ou	0.826	0.832	0.391	A
tried to	très tout	0.725	0.724	0.358	A
be done	but n	0.620	0.943	0.537	GOLD
state of	tsf	0.498	0.906	0.425	A
found in	femmes ils	0.551	0.865	0.317	A
capable of	québécoise	0.503	0.784	0.226	A
now in	noël	0.487	0.824	0.558	GOLD
this matter	d maire	0.490	0.807	0.388	A
cause of	cons as	0.518	0.936	0.242	A
one and	on hard	0.486	0.690	0.290	A
before me	permit	0.645	0.785	0.280	A
me from	but rome	0.494	0.827	0.379	A
with that	les date	0.457	0.854	0.437	A
the dead	laid aides	0.725	0.954	0.283	A
to some	des hommes	0.512	0.875	0.558	GOLD
by any	baron et	0.588	0.694	0.478	A
and one	en donne	0.523	0.805	0.466	GOLD
them the	don de	0.490	0.670	0.495	A
knowledge of	nazis savent	0.532	0.857	0.310	A
bennet was	bain est as	0.520	0.852	0.681	GOLD
to such	d h	0.488	0.822	0.564	GOLD
you in	ruines	0.521	0.893	0.210	A
in town	on dan	0.536	0.820	0.486	GOLD
copyright by	cabaret pas	0.518	0.787	0.226	A
them all	symbole	0.595	0.889	0.272	A
was then	as n	0.565	0.894	0.394	A
you should	bouchon	0.484	0.796	0.297	A
very good	terrible	0.508	0.667	0.274	A
elizabeth and	les avait un	0.460	0.820	0.397	A
be able	visible	0.482	0.732	0.403	A
object of	objectif	0.594	0.861	0.532	GOLD
we can	liquide	0.516	0.870	0.286	A
air and	erreur	0.561	0.649	0.309	A
you cannot	bouquin a	0.475	0.764	0.374	A
ready to	dit et où	0.550	0.784	0.439	A
her ladyship	allées échappe	0.534	0.843	0.278	A
to meet	limite	0.667	0.913	0.340	A
but we	but oui	0.786	0.931	0.561	GOLD
the poor	report	0.595	0.784	0.336	A
what had	laid aides	0.514	0.868	0.276	A
he took	québec	0.479	0.834	0.188	A
my hand	marianne	0.553	0.771	0.306	A
door and	moral	0.461	0.701	0.257	A
the cause	repose	0.560	0.846	0.299	A
was on	les hommes	0.522	0.881	0.410	A
the bed	label	0.489	0.873	0.216	A
the ocean	diogène	0.507	0.813	0.235	A
the mate	son êtes	0.478	0.796	0.592	GOLD
ye see	yeux au	0.511	0.769	0.577	GOLD
case of	quais as	0.501	0.867	0.566	GOLD
the course	vacances	0.458	0.796	0.368	A
in and	un in	0.456	0.773	0.647	GOLD
even in	in in	0.516	0.821	0.737	GOLD
so well	cellules	0.627	0.769	0.254	A
not but	d bit	0.484	0.888	0.231	A
the neighbourhood	son épouse	0.482	0.804	0.144	A
had heard	et code	0.492	0.824	0.257	A
air of	élèves	0.509	0.828	0.288	A
bingley and	bain glisse	0.564	0.843	0.581	GOLD
and their	en chair	0.593	0.711	0.253	A
the contrary	décan terrain	0.474	0.780	0.297	A
but still	but style	0.709	0.947	0.367	A
matter of	madame	0.453	0.800	0.389	A
forced to	furent tous	0.548	0.767	0.342	A
here is	crise	0.519	0.739	0.409	A
my mother	madame	0.523	0.694	0.508	A
all but	honnête	0.546	0.831	0.480	GOLD
give me	gars mi	0.651	0.876	0.701	GOLD
myself to	mais est où	0.561	0.801	0.347	A
her she	gâchis	0.611	0.907	0.233	A
what to	et tout	0.621	0.827	0.536	GOLD
that moment	dit mon halte	0.453	0.780	0.609	GOLD
that your	d or	0.488	0.779	0.384	A
and would	en suède	0.492	0.781	0.440	A
sound of	son savent	0.645	0.786	0.476	GOLD
mr gardiner	mais gares n	0.538	0.825	0.465	GOLD
top of	tendance	0.458	0.801	0.512	GOLD
at me	est mis	0.650	0.909	0.641	GOLD
whale in	latine	0.475	0.792	0.120	A
time of	tennis	0.458	0.760	0.249	A
the good	second	0.519	0.818	0.345	A
was one	les veines	0.492	0.862	0.273	A
on their	on chairs	0.646	0.723	0.376	A
nothing of	d gave	0.450	0.809	0.366	A
or three	est ri	0.562	0.716	0.450	A
how can	organes	0.481	0.778	0.248	A
you but	répète	0.467	0.854	0.496	GOLD
us to	et tout	0.666	0.850	0.468	GOLD
them with	témoins	0.489	0.853	0.295	A
you my	coma	0.487	0.835	0.514	GOLD
was quite	les boîte	0.544	0.843	0.422	A
was soon	les unes	0.513	0.880	0.382	A
with great	les gratte	0.531	0.703	0.555	GOLD
he looked	pilote	0.523	0.848	0.298	A
to miss	son s	0.514	0.818	0.444	A
her but	invite	0.507	0.834	0.320	A
her brother	abrite	0.497	0.694	0.123	A
than that	des êtes	0.472	0.848	0.583	GOLD
whom he	soumis	0.634	0.848	0.563	GOLD
man with	main il	0.498	0.825	0.389	A
of every	avais du	0.470	0.760	0.459	GOLD
she might	limite	0.547	0.791	0.302	A
to himself	son self	0.546	0.910	0.664	GOLD
next morning	net mon in	0.548	0.699	0.185	A
hope to	out où	0.575	0.855	0.481	GOLD
could hardly	connard dit	0.596	0.786	0.342	A
is quite	aux boîte	0.535	0.829	0.440	A
by that	bas as	0.594	0.865	0.572	GOLD
she felt	dit elle	0.459	0.853	0.676	GOLD
some other	son s	0.487	0.792	0.543	GOLD
the street	les traitent	0.551	0.747	0.407	A
the sound	d hard	0.464	0.751	0.316	A
me he	midi	0.750	0.841	0.625	GOLD
attached to	et est tout	0.514	0.786	0.336	A
but how	but hais	0.488	0.764	0.570	GOLD
to its	test	0.505	0.828	0.285	A
know not	non as	0.544	0.765	0.712	GOLD
to put	défaite	0.509	0.871	0.361	A
be happy	brebis	0.636	0.792	0.415	A
was there	as air	0.565	0.779	0.361	A
the open	sorbonne	0.467	0.761	0.375	A
did he	dit à	0.505	0.848	0.508	GOLD
my first	met est	0.460	0.803	0.478	GOLD
upon him	otan aimes	0.516	0.807	0.543	GOLD
my soul	mailles hausse	0.549	0.793	0.336	A
the surface	des et s	0.459	0.806	0.473	GOLD
something of	son pain if	0.464	0.803	0.188	A
number of	on brave	0.557	0.736	0.265	A
and thus	n dix	0.563	0.893	0.545	GOLD
young ladies	on les use	0.545	0.746	0.303	A
have given	aviez âne	0.466	0.806	0.401	A
one day	vain d	0.548	0.824	0.480	GOLD
is his	aux aise	0.528	0.818	0.419	A
he spoke	et parcs	0.483	0.743	0.196	A
be at	boîte	0.611	0.825	0.310	A
so soon	saut une	0.695	0.898	0.473	GOLD
had given	et quinzaine	0.476	0.820	0.361	A
it into	n tout	0.507	0.884	0.563	GOLD
those of	des ève	0.514	0.809	0.592	GOLD
your sister	artiste	0.552	0.825	0.218	A
find it	fan in	0.555	0.737	0.282	A
it you	est nous	0.510	0.788	0.590	GOLD
face and	fait hard	0.557	0.817	0.459	GOLD
to ask	risque	0.571	0.757	0.399	A
they could	secondes	0.482	0.811	0.324	A
am afraid	en et réel	0.457	0.790	0.310	A
one who	on coup	0.507	0.728	0.396	A
at longbourn	et son bornes	0.545	0.750	0.336	A
upon this	pannes s	0.484	0.871	0.696	GOLD
then that	chaînes a	0.489	0.880	0.431	A
have it	invite	0.533	0.827	0.376	A
us and	et hard	0.486	0.737	0.440	A
the fish	refuse	0.452	0.814	0.251	A
made me	mes mi	0.796	0.870	0.537	GOLD
it said	s aides	0.727	0.966	0.444	A
about to	about tout	0.709	0.865	0.564	GOLD
there in	terrain	0.543	0.677	0.377	A
was heard	les aides	0.530	0.840	0.352	A
bottom of	baron s	0.492	0.759	0.323	A
one to	en tout	0.649	0.754	0.573	GOLD
so the	ses a	0.503	0.791	0.623	GOLD
to night	son as	0.505	0.835	0.428	A
out his	art s	0.481	0.842	0.311	A
my companion	matin pain in	0.470	0.678	0.308	A
the vessel	devaient il	0.628	0.899	0.394	A
quarter deck	cordes f	0.658	0.802	0.271	A
boat and	but hard	0.554	0.813	0.292	A
all hands	hollandaise	0.630	0.733	0.286	A
aye aye	arabes	0.451	0.677	0.371	A
cried ahab	créait éole	0.500	0.771	0.402	A
every one	ouvriers	0.529	0.734	0.261	A
one or	on or	0.704	0.726	0.555	GOLD
is one	usine	0.498	0.818	0.477	GOLD
on him	un homme	0.519	0.819	0.646	GOLD
her family	est en élie	0.535	0.832	0.325	A
has no	des nos	0.505	0.677	0.371	A
two or	dehors	0.626	0.799	0.457	GOLD
determined to	dit on n tout	0.590	0.836	0.372	A
glad to	glass tout	0.746	0.943	0.283	A
so very	ses édit	0.552	0.797	0.649	GOLD
close to	clos tout	0.829	0.921	0.416	A
she said	chez elle	0.524	0.876	0.581	GOLD
the words	devises	0.479	0.797	0.564	GOLD
the dark	d arc	0.578	0.780	0.293	A
much of	met savent	0.583	0.920	0.573	GOLD
together and	seconds rendent	0.550	0.803	0.182	A
well and	valide	0.465	0.850	0.629	GOLD
her eyes	courage	0.470	0.715	0.190	A
all was	louise	0.573	0.816	0.474	GOLD
and made	in mail	0.507	0.746	0.226	A
from what	fromage	0.550	0.752	0.429	A
all in	hollande	0.609	0.807	0.350	A
an end	on n	0.527	0.860	0.570	GOLD
on your	on or	0.534	0.781	0.767	GOLD
me if	bref	0.488	0.741	0.567	GOLD
and while	un voile	0.568	0.821	0.550	GOLD
next day	textes a	0.617	0.860	0.244	A
to those	taux as	0.494	0.837	0.452	GOLD
sign of	son s	0.491	0.730	0.513	GOLD
reason to	raison tout	0.676	0.833	0.673	GOLD
who could	coucou	0.517	0.845	0.429	A
herself and	et helvètes	0.463	0.801	0.385	A
had gone	est bonne	0.566	0.818	0.381	A
time that	thèmes as	0.487	0.850	0.290	A
man to	pan tout	0.631	0.837	0.751	GOLD
what are	et are	0.515	0.662	0.655	A
you you	coucou	0.476	0.778	0.468	GOLD
from its	fromage	0.541	0.733	0.413	A
up his	oppose	0.519	0.808	0.352	A
the road	cerise	0.482	0.634	0.501	A
that way	tatoué	0.606	0.864	0.314	A
it up	europe	0.526	0.767	0.226	A
his chair	hit chair	0.660	0.824	0.757	GOLD
out from	out rome	0.569	0.907	0.648	GOLD
heart of	art ève	0.528	0.778	0.469	GOLD
the chase	d six	0.474	0.828	0.314	A
the forecastle	d orques elle	0.544	0.792	0.303	A
the entire	viennent a	0.645	0.872	0.470	GOLD
captain peleg	copain collègues	0.612	0.858	0.513	GOLD
like that	lacs as	0.584	0.891	0.609	GOLD
it did	est laide	0.498	0.841	0.496	GOLD
than to	son tout	0.610	0.875	0.458	GOLD
other side	as as	0.479	0.841	0.268	A
that to	dit tout	0.600	0.903	0.612	GOLD
is there	s air	0.593	0.791	0.332	A
now as	noise	0.578	0.767	0.237	A
whether he	ouais et	0.634	0.933	0.581	GOLD
and most	in must	0.463	0.850	0.356	A
had come	et comme	0.512	0.865	0.513	GOLD
doubt that	d date	0.636	0.861	0.168	A
heading to	est un tout	0.598	0.827	0.398	A
love and	les unes	0.471	0.831	0.510	GOLD
or other	honnête	0.477	0.793	0.501	GOLD
made no	pays nos	0.486	0.747	0.426	A
for us	force	0.779	0.796	0.290	A
business of	bis nos if	0.497	0.901	0.269	A
is your	hiver	0.503	0.683	0.259	A
