fr	en	combo	tier
verra	very	0.755	A
preuves	prove	0.755	A
bloc	belong	0.755	A
clubs	club	0.755	A
charte	short	0.755	A
prof	proof	0.755	A
steve	steve	0.755	A
blonde	blood	0.755	A
lourde	lord	0.755	A
profs	proof	0.755	A
colis	kelly	0.755	A
lourdes	lord	0.755	A
verras	very	0.755	A
varie	very	0.755	A
soirs	swear	0.755	A
plages	pleasure	0.755	A
blocs	belong	0.755	A
france	france	0.755	A
grande	grand	0.755	A
grandes	grand	0.755	A
antique	antique	0.755	A
stand	stand	0.755	A
discipline	deeply	0.755	A
prétexte	text	0.755	A
seigneur	senator	0.753	A
proposent	pros	0.753	A
seigneurs	senator	0.753	A
excuse	excuses	0.753	A
excuses	excuses	0.753	A
frédéric	freak	0.752	A
sncf	sf	0.752	A
spectacle	spectacular	0.752	A
spectacles	spectacular	0.752	A
smartphone	smartphone	0.752	A
régiment	regime	0.751	A
trente	trout	0.750	A
va	via	0.750	A
vas	via	0.750	A
cercle	settle	0.750	A
technologique	technique	0.749	A
exprimer	extreme	0.749	A
exprimé	extreme	0.749	A
plainte	plant	0.749	A
plaintes	plant	0.749	A
excellente	except	0.748	A
visant	visa	0.748	A
touristes	priest	0.748	A
votre	voter	0.748	A
toi	twice	0.748	A
passe	pipes	0.748	A
parle	pile	0.748	A
face	fights	0.748	A
cause	codes	0.748	A
mars	mouse	0.748	A
bras	brown	0.748	A
table	tyler	0.748	A
fasse	fights	0.748	A
parles	pile	0.748	A
parlent	pile	0.748	A
basse	bias	0.748	A
crée	craig	0.748	A
pote	point	0.748	A
cache	couch	0.748	A
passent	pipes	0.748	A
frappe	fry	0.748	A
lol	loyal	0.748	A
larmes	lime	0.748	A
causes	codes	0.748	A
toit	twice	0.748	A
passes	pipes	0.748	A
servent	sarah	0.748	A
serge	sarah	0.748	A
marne	mine	0.748	A
câble	kyle	0.748	A
quoique	choir	0.748	A
tables	tyler	0.748	A
blé	blame	0.748	A
clos	close	0.748	A
bad	bound	0.748	A
flammes	fly	0.748	A
basses	bias	0.748	A
flamme	fly	0.748	A
dalle	dial	0.748	A
fassent	fights	0.748	A
destin	destiny	0.747	A
global	global	0.747	A
globale	global	0.747	A
exception	except	0.745	A
dernière	dare	0.744	A
dernières	dare	0.744	A
grave	grave	0.743	A
stade	stayed	0.743	A
abri	ivory	0.743	A
graves	grave	0.743	A
trône	train	0.743	A
bronze	bros	0.743	A
semaine	semester	0.743	A
semaines	semester	0.743	A
prochaine	prone	0.743	A
privé	preview	0.743	A
cuisine	cuisine	0.743	A
privée	preview	0.743	A
profil	parole	0.743	A
diplôme	deeply	0.743	A
privés	preview	0.743	A
privées	preview	0.743	A
prochaines	prone	0.743	A
décennies	jenny	0.743	A
grossesse	gross	0.743	A
investi	est	0.743	A
décennie	jenny	0.743	A
contrôle	control	0.741	A
contrôles	control	0.741	A
syndrome	syndrome	0.741	A
processus	process	0.741	A
critères	creator	0.741	A
parce	pierce	0.740	A
drôle	drill	0.740	A
culte	cult	0.740	A
trompe	trip	0.740	A
brut	brought	0.740	A
poème	pm	0.740	A
hongrie	agree	0.740	A
poèmes	pm	0.740	A
par	par	0.740	A
car	car	0.740	A
part	par	0.740	A
chaque	shock	0.740	A
armes	arm	0.740	A
dame	dom	0.740	A
sac	soccer	0.740	A
acte	oct	0.740	A
actes	oct	0.740	A
van	von	0.740	A
arme	arm	0.740	A
bar	bar	0.740	A
cap	cop	0.740	A
barre	bar	0.740	A
casse	cos	0.740	A
quart	car	0.740	A
arc	arc	0.740	A
pars	par	0.740	A
marre	mar	0.740	A
val	vol	0.740	A
ali	ali	0.740	A
dames	dom	0.740	A
sacs	soccer	0.740	A
cannes	con	0.740	A
parts	par	0.740	A
pattes	pot	0.740	A
can	con	0.740	A
quarts	car	0.740	A
pâte	pot	0.740	A
bars	bar	0.740	A
valent	vol	0.740	A
barres	bar	0.740	A
pâtes	pot	0.740	A
individus	dvd	0.739	A
individu	dvd	0.739	A
privilège	previous	0.738	A
demain	domain	0.738	A
technologie	technology	0.738	A
technologies	technology	0.738	A
fréquence	fraser	0.738	A
fréquente	freight	0.738	A
explique	explore	0.738	A
toilettes	twilight	0.737	A
bible	bb	0.737	A
exemple	exile	0.736	A
exemples	exile	0.736	A
mouvement	movement	0.734	A
reprise	properties	0.734	A
mouvements	movement	0.734	A
reprises	properties	0.734	A
serment	ceremony	0.734	A
propre	prayer	0.734	A
propres	prayer	0.734	A
tandis	td	0.733	A
senti	ct	0.733	A
franck	freak	0.733	A
message	message	0.733	A
excellent	excess	0.733	A
messages	message	0.733	A
alexis	sexy	0.733	A
destiné	destiny	0.733	A
christophe	christopher	0.733	A
destinée	destiny	0.733	A
plastique	plastic	0.733	A
destinés	destiny	0.733	A
gabriel	gabriel	0.733	A
destinées	destiny	0.733	A
simple	simpler	0.731	A
simples	simpler	0.731	A
patrie	poetry	0.731	A
nathalie	nicely	0.731	A
créant	crane	0.731	A
mercredi	melody	0.730	A
lui	louis	0.730	A
leur	letter	0.730	A
dire	dear	0.730	A
leurs	letter	0.730	A
jour	shooter	0.730	A
jours	shooter	0.730	A
mort	more	0.730	A
compte	caught	0.730	A
seul	sell	0.730	A
guerre	care	0.730	A
seule	sell	0.730	A
vite	feet	0.730	A
but	boot	0.730	A
cinq	sec	0.730	A
sud	sued	0.730	A
peur	pair	0.730	A
doute	dude	0.730	A
hier	year	0.730	A
mec	mick	0.730	A
cœur	care	0.730	A
manque	mock	0.730	A
mode	murder	0.730	A
blanc	blah	0.730	A
sauf	suffer	0.730	A
aider	eddie	0.730	A
coeur	care	0.730	A
faute	fought	0.730	A
longue	log	0.730	A
morts	more	0.730	A
seuls	sell	0.730	A
comptes	caught	0.730	A
cru	crew	0.730	A
rire	rear	0.730	A
meme	mum	0.730	A
sainte	set	0.730	A
coin	que	0.730	A
lance	los	0.730	A
buts	boot	0.730	A
vide	feed	0.730	A
mecs	mick	0.730	A
quitte	kit	0.730	A
chute	shoot	0.730	A
comte	caught	0.730	A
blancs	blah	0.730	A
duc	duke	0.730	A
vive	fever	0.730	A
nantes	not	0.730	A
lille	lil	0.730	A
caisse	guess	0.730	A
tire	tear	0.730	A
tom	term	0.730	A
vivent	fever	0.730	A
longues	log	0.730	A
choc	shook	0.730	A
poche	push	0.730	A
luc	luke	0.730	A
seules	sell	0.730	A
big	big	0.730	A
tome	term	0.730	A
gamme	gum	0.730	A
tir	tear	0.730	A
los	loss	0.730	A
rendent	rod	0.730	A
axe	axe	0.730	A
aidé	eddie	0.730	A
fac	fuck	0.730	A
guerres	care	0.730	A
rhône	run	0.730	A
beurre	better	0.730	A
fine	finn	0.730	A
guère	care	0.730	A
chante	shot	0.730	A
flux	flew	0.730	A
fautes	fought	0.730	A
gère	share	0.730	A
sam	some	0.730	A
mince	mess	0.730	A
tube	tube	0.730	A
boule	pool	0.730	A
doc	talk	0.730	A
conte	caught	0.730	A
doutes	dude	0.730	A
manquent	mock	0.730	A
cave	cover	0.730	A
caisses	guess	0.730	A
tirs	tear	0.730	A
blue	blue	0.730	A
comptent	caught	0.730	A
coins	que	0.730	A
rap	wrap	0.730	A
nerfs	near	0.730	A
boules	pool	0.730	A
guise	keys	0.730	A
vides	feed	0.730	A
pente	pot	0.730	A
luis	louis	0.730	A
axes	axe	0.730	A
bague	bag	0.730	A
bec	beg	0.730	A
contes	caught	0.730	A
more	more	0.730	A
saute	sought	0.730	A
aîné	any	0.730	A
cœurs	care	0.730	A
rires	rear	0.730	A
arsenal	arsenal	0.729	A
pharmacie	pharmacy	0.729	A
comprise	countries	0.728	A
supprimer	supreme	0.728	A
exister	exist	0.728	A
existait	exist	0.728	A
critiquer	critique	0.728	A
stephen	stephanie	0.728	A
cigarette	cigarette	0.728	A
supprimé	supreme	0.728	A
existant	exist	0.728	A
suffit	sophie	0.728	A
lundi	lady	0.728	A
patrick	streak	0.728	A
historique	story	0.726	A
restaurant	restore	0.726	A
historiques	story	0.726	A
connerie	quantity	0.726	A
restaurants	restore	0.726	A
regretter	regret	0.726	A
morte	fort	0.726	A
commis	coffee	0.726	A
geste	test	0.726	A
gestes	test	0.726	A
grille	greek	0.726	A
disons	diesel	0.725	A
marco	marco	0.725	A
partie	rt	0.725	A
parti	rt	0.725	A
parmi	army	0.725	A
parties	rt	0.725	A
partis	rt	0.725	A
bizarre	br	0.725	A
mardi	rd	0.725	A
miami	mommy	0.725	A
magazine	magazine	0.724	A
parallèle	parallel	0.724	A
facebook	facebook	0.724	A
express	express	0.724	A
exclusif	exclusive	0.724	A
remise	enemies	0.723	A
design	designed	0.723	A
espace	ss	0.722	A
hollande	altered	0.722	A
espaces	ss	0.722	A
ainsi	nc	0.722	A
bande	bond	0.722	A
bandes	bond	0.722	A
examen	exile	0.722	A
division	dvd	0.722	A
examens	exile	0.722	A
divisions	dvd	0.722	A
batteries	binary	0.721	A
défi	daisy	0.721	A
défis	daisy	0.721	A
exceptionnel	exceptional	0.720	A
