en	fr	sound	meaning	cognate	tier
photograph	photographier	0.588	1.0	1	DUAL-B
timestamp	timestamp	0.716	1.0	1	DUAL-A
yale	yale	0.683	1.0	1	DUAL-A
pen	pen	1.000	1.0	1	DUAL-S
pen	plume	0.462	1.0	0	DUAL-B
procedure	procédure	0.550	1.0	1	DUAL-B
jacob	jacob	0.527	1.0	1	DUAL-B
convicted	condamnée	0.452	1.0	0	DUAL-B
convicted	condamné	0.452	1.0	0	DUAL-B
convicted	condamnés	0.452	1.0	0	DUAL-B
touring	tournées	0.511	1.0	0	DUAL-B
touring	tournée	0.511	1.0	0	DUAL-B
transition	transition	0.561	1.0	1	DUAL-B
anglo	anglo	0.637	1.0	1	DUAL-A
legacy	legacy	0.725	1.0	1	DUAL-A
legacy	legs	0.710	1.0	0	DUAL-A
relationships	relations	0.467	1.0	1	DUAL-B
derby	derby	0.487	1.0	1	DUAL-B
competing	concurrentes	0.451	1.0	0	DUAL-B
grades	grades	0.623	1.0	1	DUAL-A
hudson	hudson	0.725	1.0	1	DUAL-A
administrators	administrateurs	0.565	1.0	1	DUAL-B
sacred	sacrées	0.589	1.0	1	DUAL-B
sacred	sacrée	0.589	1.0	1	DUAL-B
sacred	sacré	0.589	1.0	0	DUAL-B
sacred	sacrés	0.589	1.0	0	DUAL-B
signing	signer	0.485	1.0	0	DUAL-B
signing	signant	0.485	1.0	0	DUAL-B
signing	signature	0.454	1.0	0	DUAL-B
rob	rob	0.681	1.0	1	DUAL-A
citizen	citoyenne	0.540	1.0	0	DUAL-B
citizen	citoyen	0.485	1.0	0	DUAL-B
argue	argumenter	0.473	1.0	0	DUAL-B
cardinal	cardinal	0.642	1.0	1	DUAL-A
nepal	népal	0.621	1.0	1	DUAL-A
intersection	intersection	0.543	1.0	1	DUAL-B
reveals	révèle	0.518	1.0	0	DUAL-B
disputes	différends	0.451	1.0	0	DUAL-B
perry	perry	0.648	1.0	1	DUAL-A
nickname	pseudonyme	0.452	1.0	0	DUAL-B
syria	syrienne	0.521	1.0	0	DUAL-B
syria	syrie	0.669	1.0	1	DUAL-A
wells	wells	0.648	1.0	1	DUAL-A
contributing	contribuant	0.538	1.0	1	DUAL-B
contributing	contribuer	0.539	1.0	0	DUAL-B
ultimate	ultimes	0.489	1.0	1	DUAL-B
ultimate	ultimate	0.553	1.0	1	DUAL-B
ultimate	ultime	0.489	1.0	1	DUAL-B
ranks	rangs	0.524	1.0	1	DUAL-B
danny	danny	0.498	1.0	1	DUAL-B
danny	dany	0.495	1.0	1	DUAL-B
favorite	préféré	0.486	1.0	0	DUAL-B
favorite	préférée	0.486	1.0	0	DUAL-B
favorite	favori	0.487	1.0	1	DUAL-B
favorite	favoris	0.487	1.0	1	DUAL-B
favorite	préférés	0.486	1.0	0	DUAL-B
vermont	vermont	0.543	1.0	1	DUAL-B
ballet	ballet	0.564	1.0	1	DUAL-B
jefferson	jefferson	0.687	1.0	1	DUAL-A
sand	sables	0.474	1.0	0	DUAL-B
sand	sable	0.474	1.0	0	DUAL-B
angle	angle	0.552	1.0	1	DUAL-B
sessions	séances	0.505	1.0	0	DUAL-B
sessions	sessions	0.603	1.0	1	DUAL-A
recreation	récréation	0.552	1.0	1	DUAL-B
kenya	kenya	0.634	1.0	1	DUAL-A
accessible	accessible	0.674	1.0	1	DUAL-A
accessible	accessibles	0.674	1.0	1	DUAL-A
ralph	ralph	0.785	1.0	1	DUAL-S
thread	thread	0.648	1.0	1	DUAL-A
ninth	ninth	0.691	1.0	1	DUAL-A
ninth	neuvième	0.458	1.0	0	DUAL-B
arrest	arrestation	0.613	1.0	0	DUAL-A
arrest	arrestations	0.613	1.0	0	DUAL-A
choir	chœur	0.517	1.0	0	DUAL-B
choir	chœurs	0.517	1.0	0	DUAL-B
choir	chorale	0.490	1.0	0	DUAL-B
choir	choeur	0.517	1.0	0	DUAL-B
mines	mines	0.532	1.0	1	DUAL-B
rounds	rondes	0.535	1.0	1	DUAL-B
rounds	ronds	0.529	1.0	1	DUAL-B
competitive	compétitif	0.481	1.0	1	DUAL-B
competitive	compétition	0.465	1.0	0	DUAL-B
competitive	compétitifs	0.481	1.0	0	DUAL-B
commented	commentées	0.482	1.0	1	DUAL-B
commented	commenté	0.482	1.0	1	DUAL-B
commented	commentés	0.482	1.0	1	DUAL-B
wang	wang	0.498	1.0	1	DUAL-B
woods	woods	0.648	1.0	1	DUAL-A
exercise	exercices	0.486	1.0	1	DUAL-B
exercise	exercice	0.486	1.0	1	DUAL-B
jacques	jacques	0.730	1.0	1	DUAL-A
objective	objectif	0.613	1.0	1	DUAL-A
demolished	démolis	0.484	1.0	0	DUAL-B
demolished	démoli	0.484	1.0	0	DUAL-B
demolished	démolie	0.484	1.0	0	DUAL-B
preferred	préféré	0.559	1.0	0	DUAL-B
preferred	préférée	0.559	1.0	0	DUAL-B
preferred	privilégiées	0.509	1.0	0	DUAL-B
preferred	préférence	0.543	1.0	0	DUAL-B
preferred	préférés	0.559	1.0	0	DUAL-B
pedro	pedro	0.719	1.0	1	DUAL-A
robot	robots	0.622	1.0	1	DUAL-A
robot	robot	0.622	1.0	1	DUAL-A
robot	robotique	0.555	1.0	0	DUAL-B
venezuela	venezuela	0.491	1.0	1	DUAL-B
segment	segment	0.753	1.0	1	DUAL-S
edwards	edwards	0.615	1.0	1	DUAL-A
dancing	danse	0.533	1.0	0	DUAL-B
dancing	danses	0.533	1.0	0	DUAL-B
dancing	danser	0.516	1.0	0	DUAL-B
dancing	dansant	0.514	1.0	0	DUAL-B
eagles	eagles	0.691	1.0	1	DUAL-A
demonstrated	démontré	0.609	1.0	0	DUAL-A
demonstrated	démontrée	0.609	1.0	0	DUAL-A
demonstrated	montré	0.549	1.0	0	DUAL-B
tribute	tribut	0.605	1.0	1	DUAL-A
continuous	continue	0.515	1.0	1	DUAL-B
continuous	continu	0.515	1.0	1	DUAL-B
continuous	continus	0.572	1.0	1	DUAL-B
spider	spider	0.597	1.0	1	DUAL-B
convinced	convaincue	0.488	1.0	1	DUAL-B
convinced	convaincu	0.488	1.0	1	DUAL-B
convinced	convaincus	0.488	1.0	0	DUAL-B
heroes	héros	0.532	1.0	0	DUAL-B
heroes	heroes	0.647	1.0	1	DUAL-A
describing	décrivant	0.516	1.0	0	DUAL-B
rocks	roches	0.492	1.0	0	DUAL-B
rocks	rochers	0.469	1.0	0	DUAL-B
gap	gap	0.730	1.0	1	DUAL-A
reflect	reflètent	0.743	1.0	1	DUAL-A
reflect	refléter	0.567	1.0	0	DUAL-B
mars	mars	0.578	1.0	1	DUAL-B
participating	participer	0.576	1.0	0	DUAL-B
participating	participantes	0.526	1.0	1	DUAL-B
participating	participant	0.531	1.0	1	DUAL-B
cooperation	coopération	0.477	1.0	1	DUAL-B
cooperation	coopérations	0.477	1.0	1	DUAL-B
obtain	obtenir	0.506	1.0	0	DUAL-B
gothic	gothique	0.603	1.0	0	DUAL-A
gothic	gothiques	0.603	1.0	0	DUAL-A
protest	protestation	0.734	1.0	0	DUAL-A
protest	protestations	0.734	1.0	0	DUAL-A
protest	contestation	0.559	1.0	0	DUAL-B
protest	protester	0.811	1.0	1	DUAL-S
protest	manifestation	0.484	1.0	0	DUAL-B
frequent	fréquentes	0.652	1.0	1	DUAL-A
frequent	fréquent	0.588	1.0	1	DUAL-B
frequent	fréquents	0.588	1.0	1	DUAL-B
frequent	fréquente	0.652	1.0	1	DUAL-A
conversion	conversion	0.506	1.0	1	DUAL-B
stress	contrainte	0.481	1.0	0	DUAL-B
stress	stress	0.691	1.0	1	DUAL-A
stress	stressé	0.855	1.0	1	DUAL-S
checkuser	checkuser	0.577	1.0	1	DUAL-B
traditionally	traditionnellement	0.507	1.0	0	DUAL-B
jose	josé	0.451	1.0	1	DUAL-B
tiger	tiger	0.473	1.0	1	DUAL-B
tiger	tigresse	0.494	1.0	0	DUAL-B
tiger	tigres	0.533	1.0	0	DUAL-B
tiger	tigre	0.533	1.0	1	DUAL-B
totally	totalement	0.536	1.0	0	DUAL-B
concentration	concentration	0.527	1.0	1	DUAL-B
rocket	roquettes	0.625	1.0	0	DUAL-A
rocket	rocket	0.613	1.0	1	DUAL-A
rocket	roquette	0.625	1.0	0	DUAL-A
electricity	electricité	0.679	1.0	1	DUAL-A
electricity	électricité	0.679	1.0	1	DUAL-A
boxing	boxe	0.587	1.0	0	DUAL-B
senators	sénateurs	0.498	1.0	0	DUAL-B
doc	doc	0.681	1.0	1	DUAL-A
stanford	stanford	0.578	1.0	1	DUAL-B
machines	machines	0.695	1.0	1	DUAL-A
vegas	vegas	0.522	1.0	1	DUAL-B
saved	sauvés	0.517	1.0	0	DUAL-B
saved	sauvé	0.517	1.0	0	DUAL-B
saved	sauvegardé	0.469	1.0	0	DUAL-B
jury	jury	0.601	1.0	1	DUAL-A
jury	jurys	0.590	1.0	1	DUAL-B
calendar	calendriers	0.485	1.0	0	DUAL-B
calendar	calendrier	0.485	1.0	1	DUAL-B
noble	noble	0.639	1.0	1	DUAL-A
noble	nobles	0.639	1.0	1	DUAL-A
noble	noblesse	0.511	1.0	1	DUAL-B
tommy	tommy	0.499	1.0	1	DUAL-B
leo	léon	0.552	1.0	0	DUAL-B
leo	léo	0.591	1.0	0	DUAL-B
leo	leo	0.552	1.0	1	DUAL-B
extinct	éteinte	0.486	1.0	0	DUAL-B
responded	répondu	0.482	1.0	0	DUAL-B
scotia	scotia	0.608	1.0	1	DUAL-A
manufacturer	constructeur	0.467	1.0	0	DUAL-B
manufacturer	manufacturier	0.514	1.0	1	DUAL-B
implementation	implémentation	0.479	1.0	1	DUAL-B
customers	clients	0.467	1.0	0	DUAL-B
spaces	espaces	0.507	1.0	1	DUAL-B
cap	casquette	0.481	1.0	0	DUAL-B
cap	cap	0.730	1.0	1	DUAL-A
cap	capuchon	0.476	1.0	0	DUAL-B
orphaned	orphelin	0.680	1.0	0	DUAL-A
orphaned	orpheline	0.647	1.0	0	DUAL-A
orphaned	orphelines	0.647	1.0	0	DUAL-A
orphaned	orphelins	0.680	1.0	0	DUAL-A
ferry	ferry	0.648	1.0	1	DUAL-A
ferry	traversier	0.494	1.0	0	DUAL-B
ferry	traversiers	0.494	1.0	0	DUAL-B
prefer	préfère	0.608	1.0	0	DUAL-A
prefer	préférer	0.580	1.0	0	DUAL-B
prefer	préférez	0.580	1.0	0	DUAL-B
prefer	préfèrent	0.608	1.0	0	DUAL-A
push	push	0.591	1.0	1	DUAL-B
push	poussez	0.524	1.0	0	DUAL-B
push	pousser	0.524	1.0	0	DUAL-B
push	pousse	0.569	1.0	0	DUAL-B
berkeley	berkeley	0.609	1.0	1	DUAL-A
lebanon	liban	0.530	1.0	0	DUAL-B
madison	madison	0.534	1.0	1	DUAL-B
throne	trône	0.652	1.0	0	DUAL-A
lion	lion	0.531	1.0	1	DUAL-B
lion	lionne	0.613	1.0	1	DUAL-A
manor	manor	0.526	1.0	1	DUAL-B
promoting	promouvoir	0.509	1.0	0	DUAL-B
saudi	saoudien	0.603	1.0	1	DUAL-A
serial	serial	0.594	1.0	1	DUAL-B
serial	série	0.597	1.0	0	DUAL-B
rogers	rogers	0.505	1.0	1	DUAL-B
lights	lumières	0.465	1.0	0	DUAL-B
lights	lumière	0.465	1.0	0	DUAL-B
lights	luminaires	0.457	1.0	0	DUAL-B
gauge	gabarit	0.465	1.0	0	DUAL-B
gauge	jauge	0.482	1.0	1	DUAL-B
concerts	concerts	0.493	1.0	1	DUAL-B
elder	aîné	0.514	1.0	0	DUAL-B
renaissance	renaissance	0.603	1.0	1	DUAL-A
uniform	uniforme	0.712	1.0	1	DUAL-A
uniform	uniformes	0.712	1.0	1	DUAL-A
aka	aka	0.455	1.0	1	DUAL-B
brisbane	brisbane	0.655	1.0	1	DUAL-A
susan	susan	0.549	1.0	1	DUAL-B
raymond	raymond	0.544	1.0	1	DUAL-B
flower	fleurs	0.621	1.0	0	DUAL-A
flower	fleur	0.621	1.0	0	DUAL-A
col	col	0.681	1.0	1	DUAL-A
thai	thaï	0.725	1.0	1	DUAL-A
thai	thaïlandaise	0.561	1.0	0	DUAL-B
thai	thaïlandais	0.575	1.0	0	DUAL-B
disaster	sinistre	0.494	1.0	0	DUAL-B
disaster	désastre	0.594	1.0	1	DUAL-B
disaster	catastrophe	0.456	1.0	0	DUAL-B
disaster	catastrophes	0.456	1.0	0	DUAL-B
survive	survivent	0.576	1.0	1	DUAL-B
survive	survivre	0.491	1.0	1	DUAL-B
murphy	murphy	0.694	1.0	1	DUAL-A
sharp	sharp	0.793	1.0	1	DUAL-S
explains	explique	0.723	1.0	0	DUAL-A
yugoslavia	yougoslave	0.667	1.0	1	DUAL-A
yugoslavia	yougoslavie	0.728	1.0	1	DUAL-A
buddhist	bouddhisme	0.666	1.0	1	DUAL-A
buddhist	bouddhiste	0.849	1.0	1	DUAL-S
buddhist	bouddhistes	0.849	1.0	1	DUAL-S
publicly	publiquement	0.561	1.0	0	DUAL-B
literally	littéralement	0.514	1.0	0	DUAL-B
spam	spam	0.785	1.0	1	DUAL-S
spam	spams	0.785	1.0	1	DUAL-S
telephone	telephone	0.585	1.0	1	DUAL-B
telephone	téléphone	0.585	1.0	1	DUAL-B
moral	morale	0.634	1.0	1	DUAL-A
moral	moral	0.634	1.0	1	DUAL-A
moral	moraux	0.515	1.0	0	DUAL-B
moral	moralité	0.488	1.0	1	DUAL-B
sung	sung	0.545	1.0	1	DUAL-B
partially	partiellement	0.473	1.0	0	DUAL-B
citing	citant	0.507	1.0	0	DUAL-B
interviews	interviews	0.573	1.0	1	DUAL-B
brunswick	brunswick	0.720	1.0	1	DUAL-A
radar	radar	0.624	1.0	1	DUAL-A
radar	radars	0.624	1.0	1	DUAL-A
grove	grove	0.760	1.0	1	DUAL-S
tea	thés	0.637	1.0	0	DUAL-A
tea	tea	0.512	1.0	1	DUAL-B
tea	thé	0.637	1.0	0	DUAL-A
elite	élite	0.770	1.0	1	DUAL-S
elite	élitiste	0.662	1.0	0	DUAL-A
elite	élites	0.770	1.0	0	DUAL-S
elite	elite	0.770	1.0	1	DUAL-S
bright	brillant	0.594	1.0	0	DUAL-B
bright	bright	0.691	1.0	1	DUAL-A
sierra	sierra	0.624	1.0	1	DUAL-A
heaven	heaven	0.691	1.0	1	DUAL-A
athlete	athlètes	0.526	1.0	1	DUAL-B
athlete	athlète	0.526	1.0	1	DUAL-B
aspect	aspect	0.847	1.0	1	DUAL-S
ted	ted	0.591	1.0	1	DUAL-B
consumer	consommateurs	0.476	1.0	0	DUAL-B
consumer	consommateur	0.476	1.0	0	DUAL-B
funded	financé	0.483	1.0	0	DUAL-B
funded	financées	0.483	1.0	0	DUAL-B
funded	financée	0.483	1.0	0	DUAL-B
funded	financés	0.483	1.0	0	DUAL-B
exclusive	exclusives	0.781	1.0	1	DUAL-S
exclusive	exclusive	0.781	1.0	1	DUAL-S
exclusive	exclusivité	0.665	1.0	1	DUAL-A
exclusive	exclusifs	0.725	1.0	1	DUAL-A
exclusive	exclusif	0.725	1.0	1	DUAL-A
ibn	ibn	0.576	1.0	1	DUAL-B
manuel	manuel	0.675	1.0	1	DUAL-A
reviewer	réviseur	0.475	1.0	0	DUAL-B
missile	missiles	0.621	1.0	1	DUAL-A
missile	missile	0.621	1.0	1	DUAL-A
mechanism	mécanisme	0.565	1.0	1	DUAL-B
helen	hélène	0.557	1.0	0	DUAL-B
helen	helen	0.555	1.0	1	DUAL-B
mini	mini	0.787	1.0	1	DUAL-S
rhythm	rythmique	0.459	1.0	0	DUAL-B
rhythm	rythme	0.491	1.0	1	DUAL-B
pat	pat	0.597	1.0	1	DUAL-B
catch	captures	0.458	1.0	0	DUAL-B
newcastle	newcastle	0.588	1.0	1	DUAL-B
antarctic	antarctique	0.515	1.0	1	DUAL-B
leeds	leeds	0.648	1.0	1	DUAL-A
ordinary	ordinaire	0.762	1.0	1	DUAL-S
ordinary	ordinaires	0.762	1.0	1	DUAL-S
insects	insectes	0.695	1.0	1	DUAL-A
insects	insecte	0.695	1.0	1	DUAL-A
suffering	souffrance	0.558	1.0	0	DUAL-B
suffering	souffrir	0.566	1.0	0	DUAL-B
suffering	souffrant	0.567	1.0	0	DUAL-B
suffering	souffrances	0.558	1.0	0	DUAL-B
flash	flash	0.498	1.0	1	DUAL-B
flash	flashs	0.490	1.0	1	DUAL-B
blind	blind	0.725	1.0	1	DUAL-A
pakistani	pakistanaises	0.557	1.0	1	DUAL-B
pakistani	pakistanaise	0.557	1.0	1	DUAL-B
pakistani	pakistanais	0.569	1.0	1	DUAL-B
interstate	interstate	0.557	1.0	1	DUAL-B
arrangement	arrangement	0.489	1.0	1	DUAL-B
globe	globe	0.760	1.0	1	DUAL-S
gross	gross	0.864	1.0	1	DUAL-S
gilbert	gilbert	0.468	1.0	1	DUAL-B
applies	applique	0.488	1.0	1	DUAL-B
gradually	graduellement	0.523	1.0	0	DUAL-B
experiment	expérimenter	0.631	1.0	1	DUAL-A
experiment	expérience	0.623	1.0	0	DUAL-A
experiment	expérimentation	0.589	1.0	0	DUAL-B
radical	radical	0.593	1.0	1	DUAL-B
radical	radicaux	0.504	1.0	1	DUAL-B
radical	radicale	0.593	1.0	1	DUAL-B
gov	gov	0.681	1.0	1	DUAL-A
opponent	opposant	0.503	1.0	1	DUAL-B
diameter	diamètre	0.572	1.0	0	DUAL-B
diameter	diamètres	0.572	1.0	0	DUAL-B
pitch	pitch	0.787	1.0	1	DUAL-S
opponents	opposants	0.498	1.0	1	DUAL-B
regime	régime	0.885	1.0	1	DUAL-S
revised	révisée	0.486	1.0	0	DUAL-B
revised	révisées	0.486	1.0	0	DUAL-B
revised	révisé	0.486	1.0	0	DUAL-B
diplomatic	diplomates	0.535	1.0	1	DUAL-B
diplomatic	diplomatique	0.595	1.0	1	DUAL-B
diplomatic	diplomate	0.535	1.0	1	DUAL-B
diplomatic	diplomatiques	0.595	1.0	1	DUAL-B
seal	sceau	0.514	1.0	0	DUAL-B
gregory	gregory	0.666	1.0	1	DUAL-A
gregory	grégoire	0.580	1.0	0	DUAL-B
gregory	grégory	0.545	1.0	1	DUAL-B
corresponding	correspondante	0.525	1.0	1	DUAL-B
corresponding	correspondant	0.531	1.0	1	DUAL-B
concepts	concepts	0.714	1.0	1	DUAL-A
sword	sabre	0.517	1.0	0	DUAL-B
purple	pourpre	0.473	1.0	1	DUAL-B
virus	virus	0.564	1.0	1	DUAL-B
populations	populations	0.472	1.0	1	DUAL-B
bull	bull	0.591	1.0	1	DUAL-B
presents	présente	0.591	1.0	1	DUAL-B
holland	hollande	0.514	1.0	1	DUAL-B
bias	biais	0.516	1.0	1	DUAL-B
remote	distante	0.460	1.0	0	DUAL-B
sean	sean	0.591	1.0	1	DUAL-B
messages	messages	0.654	1.0	1	DUAL-A
rebellion	révolte	0.455	1.0	0	DUAL-B
rebellion	rébellion	0.645	1.0	1	DUAL-A
premiere	première	0.814	1.0	1	DUAL-S
premiere	premiere	0.849	1.0	1	DUAL-S
physician	physicien	0.518	1.0	1	DUAL-B
victim	victime	0.698	1.0	1	DUAL-A
con	con	0.573	1.0	1	DUAL-B
cloud	cloud	0.691	1.0	1	DUAL-A
duo	duo	0.591	1.0	1	DUAL-B
beer	bières	0.689	1.0	0	DUAL-A
beer	biere	0.733	1.0	0	DUAL-A
beer	bière	0.689	1.0	0	DUAL-A
palestinian	palestinienne	0.595	1.0	1	DUAL-B
palestinian	palestinien	0.557	1.0	1	DUAL-B
palestinian	palestiniens	0.557	1.0	1	DUAL-B
copper	cuivre	0.461	1.0	0	DUAL-B
ski	ski	1.000	1.0	1	DUAL-S
ski	skier	0.689	1.0	1	DUAL-A
hms	hms	0.784	1.0	1	DUAL-S
renaming	renommer	0.485	1.0	0	DUAL-B
dramatic	dramatique	0.622	1.0	1	DUAL-A
dramatic	dramatiques	0.622	1.0	0	DUAL-A
saskatchewan	saskatchewan	0.647	1.0	1	DUAL-A
rhode	rhode	0.706	1.0	1	DUAL-A
hat	casquette	0.469	1.0	0	DUAL-B
den	den	1.000	1.0	1	DUAL-S
presidents	présidents	0.565	1.0	1	DUAL-B
min	mn	0.533	1.0	1	DUAL-B
min	min	0.623	1.0	1	DUAL-A
defending	défendre	0.483	1.0	0	DUAL-B
alcohol	alcools	0.587	1.0	1	DUAL-B
alcohol	alcool	0.587	1.0	1	DUAL-B
dominated	dominée	0.558	1.0	1	DUAL-B
dominated	dominés	0.558	1.0	0	DUAL-B
dominated	dominé	0.558	1.0	0	DUAL-B
dominated	dominées	0.558	1.0	0	DUAL-B
sang	sang	0.593	1.0	1	DUAL-B
graphics	graphiques	0.607	1.0	1	DUAL-A
graphics	graphique	0.607	1.0	0	DUAL-A
graphics	graphismes	0.559	1.0	1	DUAL-B
graphics	infographie	0.465	1.0	0	DUAL-B
graphics	graphisme	0.559	1.0	1	DUAL-B
asp	asp	0.730	1.0	1	DUAL-A
coffee	café	0.540	1.0	0	DUAL-B
destroy	détruisez	0.534	1.0	0	DUAL-B
destroy	détruire	0.553	1.0	0	DUAL-B
tons	tonnes	0.556	1.0	1	DUAL-B
cruz	cruz	0.785	1.0	1	DUAL-S
warsaw	varsovie	0.465	1.0	0	DUAL-B
exclusively	exclusivement	0.639	1.0	1	DUAL-A
connections	connexions	0.625	1.0	1	DUAL-A
rush	ruée	0.505	1.0	0	DUAL-B
rush	rush	0.591	1.0	1	DUAL-B
playstation	playstation	0.601	1.0	1	DUAL-A
outcome	aboutissement	0.465	1.0	0	DUAL-B
apartment	appartement	0.511	1.0	1	DUAL-B
cardinals	cardinaux	0.555	1.0	1	DUAL-B
recipient	receveur	0.468	1.0	0	DUAL-B
correctly	correctement	0.626	1.0	0	DUAL-A
traditions	traditions	0.557	1.0	1	DUAL-B
fundamental	fondamentale	0.540	1.0	1	DUAL-B
fundamental	fondamental	0.540	1.0	1	DUAL-B
fundamental	fondamentaux	0.477	1.0	1	DUAL-B
chan	chan	0.462	1.0	1	DUAL-B
resolved	résolus	0.453	1.0	0	DUAL-B
resolved	résolues	0.453	1.0	0	DUAL-B
resolved	résolu	0.453	1.0	0	DUAL-B
resolved	résolue	0.453	1.0	0	DUAL-B
mario	mario	0.530	1.0	1	DUAL-B
departments	départements	0.545	1.0	1	DUAL-B
dame	dame	0.683	1.0	1	DUAL-A
shield	shield	0.648	1.0	1	DUAL-A
bosnia	bosnie	0.689	1.0	1	DUAL-A
violent	violentes	0.571	1.0	1	DUAL-B
violent	violent	0.503	1.0	1	DUAL-B
violent	violents	0.503	1.0	1	DUAL-B
violent	violente	0.571	1.0	1	DUAL-B
harbour	harbour	0.525	1.0	1	DUAL-B
margin	marge	0.534	1.0	0	DUAL-B
margin	marges	0.534	1.0	0	DUAL-B
auckland	auckland	0.536	1.0	1	DUAL-B
postal	postaux	0.580	1.0	1	DUAL-B
postal	postal	0.672	1.0	1	DUAL-A
postal	postale	0.672	1.0	1	DUAL-A
pirates	pirates	0.510	1.0	1	DUAL-B
collective	collective	0.764	1.0	1	DUAL-S
collective	collectifs	0.701	1.0	1	DUAL-A
collective	collectif	0.701	1.0	1	DUAL-A
diesel	gazole	0.482	1.0	0	DUAL-B
diesel	diesel	0.612	1.0	1	DUAL-A
liberation	liberation	0.558	1.0	1	DUAL-B
liberation	libération	0.490	1.0	1	DUAL-B
confederate	confédérés	0.504	1.0	0	DUAL-B
confederate	confédéré	0.504	1.0	0	DUAL-B
devil	démon	0.486	1.0	0	DUAL-B
devil	devil	0.619	1.0	1	DUAL-A
devil	diable	0.590	1.0	0	DUAL-B
activists	activistes	0.579	1.0	1	DUAL-B
sultan	sultan	0.589	1.0	1	DUAL-B
rider	rider	0.516	1.0	1	DUAL-B
amazon	amazones	0.524	1.0	1	DUAL-B
amazon	amazon	0.514	1.0	1	DUAL-B
amazon	amazone	0.524	1.0	1	DUAL-B
florence	florence	0.672	1.0	1	DUAL-A
marc	marc	0.793	1.0	1	DUAL-S
arnold	arnold	0.614	1.0	1	DUAL-A
shah	shah	0.652	1.0	1	DUAL-A
blogspot	blogspot	0.681	1.0	1	DUAL-A
reduction	réduction	0.484	1.0	1	DUAL-B
contents	contenus	0.485	1.0	1	DUAL-B
contents	contenu	0.485	1.0	1	DUAL-B
genetic	génétique	0.506	1.0	0	DUAL-B
genetic	génétiques	0.506	1.0	0	DUAL-B
somerset	somerset	0.588	1.0	1	DUAL-B
locally	localement	0.545	1.0	0	DUAL-B
romance	romantisme	0.554	1.0	0	DUAL-B
romance	romance	0.702	1.0	1	DUAL-A
romance	romantique	0.550	1.0	0	DUAL-B
intellectual	intellectuelle	0.644	1.0	1	DUAL-A
intellectual	intellectuel	0.644	1.0	1	DUAL-A
intellectual	intellectuels	0.644	1.0	1	DUAL-A
latino	latino	0.757	1.0	1	DUAL-S
latino	latinos	0.757	1.0	1	DUAL-S
mason	maçon	0.548	1.0	1	DUAL-B
mason	mason	0.536	1.0	1	DUAL-B
pete	pete	0.690	1.0	1	DUAL-A
arbitration	arbitrage	0.548	1.0	0	DUAL-B
arbitration	arbitrages	0.548	1.0	0	DUAL-B
interface	interface	0.502	1.0	1	DUAL-B
hitler	hitler	0.542	1.0	1	DUAL-B
default	défaut	0.505	1.0	1	DUAL-B
accessed	accédé	0.511	1.0	0	DUAL-B
sheffield	sheffield	0.725	1.0	1	DUAL-A
departure	départ	0.506	1.0	0	DUAL-B
departure	depart	0.519	1.0	1	DUAL-B
departure	départs	0.506	1.0	0	DUAL-B
hindi	hindi	0.751	1.0	1	DUAL-S
anglican	anglicane	0.578	1.0	1	DUAL-B
residing	résidant	0.481	1.0	0	DUAL-B
sox	sox	0.748	1.0	1	DUAL-A
suspended	suspendu	0.529	1.0	1	DUAL-B
suspended	suspendues	0.529	1.0	1	DUAL-B
suspended	suspendue	0.529	1.0	1	DUAL-B
suspended	suspendus	0.529	1.0	1	DUAL-B
sum	somme	0.710	1.0	0	DUAL-A
sum	sum	0.710	1.0	1	DUAL-A
mythology	mythologie	0.600	1.0	1	DUAL-B
bengal	bengale	0.577	1.0	1	DUAL-B
confusion	confusion	0.514	1.0	1	DUAL-B
oscar	oscar	0.497	1.0	1	DUAL-B
therapy	thérapie	0.595	1.0	0	DUAL-B
therapy	thérapies	0.595	1.0	0	DUAL-B
exposed	exposées	0.761	1.0	1	DUAL-S
exposed	exposés	0.761	1.0	0	DUAL-S
exposed	exposé	0.761	1.0	1	DUAL-S
assisted	assistée	0.516	1.0	1	DUAL-B
assisted	assisté	0.516	1.0	1	DUAL-B
possession	possession	0.516	1.0	1	DUAL-B
defend	défendons	0.487	1.0	0	DUAL-B
defend	défendre	0.508	1.0	0	DUAL-B
defend	défendez	0.502	1.0	0	DUAL-B
devoted	dévouée	0.502	1.0	0	DUAL-B
devoted	dévoués	0.502	1.0	0	DUAL-B
devoted	dévoué	0.502	1.0	0	DUAL-B
graphic	graphiques	0.696	1.0	0	DUAL-A
graphic	graphique	0.696	1.0	1	DUAL-A
milwaukee	milwaukee	0.752	1.0	1	DUAL-S
informed	informée	0.659	1.0	1	DUAL-A
informed	informé	0.659	1.0	1	DUAL-A
informed	informés	0.659	1.0	1	DUAL-A
reverse	inverse	0.513	1.0	0	DUAL-B
soap	savon	0.486	1.0	0	DUAL-B
soap	soap	0.498	1.0	1	DUAL-B
soap	savons	0.486	1.0	0	DUAL-B
territorial	territoriale	0.757	1.0	1	DUAL-S
territorial	territoriales	0.757	1.0	1	DUAL-S
territorial	territorial	0.757	1.0	1	DUAL-S
lisa	lisa	0.656	1.0	1	DUAL-A
paulo	paulo	0.669	1.0	1	DUAL-A
northwestern	northwestern	0.779	1.0	1	DUAL-S
playoffs	playoffs	0.671	1.0	1	DUAL-A
boss	boss	1.000	1.0	1	DUAL-S
nasa	nasa	0.551	1.0	1	DUAL-B
