a	b	type	w
en:grey	fr:gris	=trans	0.9
fr:gris	en:grey	=trans	0.9
en:grey	fr:grise	=trans	0.9
fr:grise	en:grey	=trans	0.9
en:door	fr:porte	=trans	0.9
fr:porte	en:door	=trans	0.9
en:princess	fr:princesse	=trans	0.9
fr:princesse	en:princess	=trans	0.9
en:princess	fr:princesses	=trans	0.9
fr:princesses	en:princess	=trans	0.9
en:trail	fr:piste	=trans	0.9
fr:piste	en:trail	=trans	0.9
en:parks	fr:parcs	=trans	0.9
fr:parcs	en:parks	=trans	0.9
en:talking	fr:parler	=trans	0.9
fr:parler	en:talking	=trans	0.9
en:metres	fr:mètres	=trans	0.9
fr:mètres	en:metres	=trans	0.9
en:gray	fr:gris	=trans	0.9
fr:gris	en:gray	=trans	0.9
en:gray	fr:grise	=trans	0.9
fr:grise	en:gray	=trans	0.9
en:escape	fr:fuite	=trans	0.9
fr:fuite	en:escape	=trans	0.9
en:escape	fr:escape	=trans	0.9
fr:escape	en:escape	=trans	0.9
en:orders	fr:ordres	=trans	0.9
fr:ordres	en:orders	=trans	0.9
en:corner	fr:corner	=trans	0.9
fr:corner	en:corner	=trans	0.9
en:spot	fr:spot	=trans	0.9
fr:spot	en:spot	=trans	0.9
en:progress	fr:progrès	=trans	0.9
fr:progrès	en:progress	=trans	0.9
en:factory	fr:fabrique	=trans	0.9
fr:fabrique	en:factory	=trans	0.9
en:factory	fr:usine	=trans	0.9
fr:usine	en:factory	=trans	0.9
en:magazines	fr:magazines	=trans	0.9
fr:magazines	en:magazines	=trans	0.9
en:flow	fr:débit	=trans	0.9
fr:débit	en:flow	=trans	0.9
en:flow	fr:flow	=trans	0.9
fr:flow	en:flow	=trans	0.9
en:peer	fr:pair	=trans	0.9
fr:pair	en:peer	=trans	0.9
en:shape	fr:forme	=trans	0.9
fr:forme	en:shape	=trans	0.9
en:creator	fr:créatrice	=trans	0.9
fr:créatrice	en:creator	=trans	0.9
en:causes	fr:cause	=trans	0.9
fr:cause	en:causes	=trans	0.9
en:causes	fr:causes	=trans	0.9
fr:causes	en:causes	=trans	0.9
en:sky	fr:ciel	=trans	0.9
fr:ciel	en:sky	=trans	0.9
en:injury	fr:préjudice	=trans	0.9
fr:préjudice	en:injury	=trans	0.9
en:zero	fr:zéro	=trans	0.9
fr:zéro	en:zero	=trans	0.9
en:banks	fr:banques	=trans	0.9
fr:banques	en:banks	=trans	0.9
en:profit	fr:profit	=trans	0.9
fr:profit	en:profit	=trans	0.9
en:dream	fr:rêves	=trans	0.9
fr:rêves	en:dream	=trans	0.9
en:dream	fr:rêve	=trans	0.9
fr:rêve	en:dream	=trans	0.9
en:twelve	fr:douze	=trans	0.9
fr:douze	en:twelve	=trans	0.9
en:signal	fr:signal	=trans	0.9
fr:signal	en:signal	=trans	0.9
en:reform	fr:réforme	=trans	0.9
fr:réforme	en:reform	=trans	0.9
en:reform	fr:réformes	=trans	0.9
fr:réformes	en:reform	=trans	0.9
en:gay	fr:gay	=trans	0.9
fr:gay	en:gay	=trans	0.9
en:flora	fr:flore	=trans	0.9
fr:flore	en:flora	=trans	0.9
en:gene	fr:gènes	=trans	0.9
fr:gènes	en:gene	=trans	0.9
en:gene	fr:gène	=trans	0.9
fr:gène	en:gene	=trans	0.9
en:soul	fr:âmes	=trans	0.9
fr:âmes	en:soul	=trans	0.9
en:soul	fr:âme	=trans	0.9
fr:âme	en:soul	=trans	0.9
en:nice	fr:joli	=trans	0.9
fr:joli	en:nice	=trans	0.9
en:string	fr:chaîne	=trans	0.9
fr:chaîne	en:string	=trans	0.9
en:string	fr:string	=trans	0.9
fr:string	en:string	=trans	0.9
en:string	fr:cordes	=trans	0.9
fr:cordes	en:string	=trans	0.9
en:pair	fr:pair	=trans	0.9
fr:pair	en:pair	=trans	0.9
en:flat	fr:plats	=trans	0.9
fr:plats	en:flat	=trans	0.9
en:flat	fr:plat	=trans	0.9
fr:plat	en:flat	=trans	0.9
en:banned	fr:bannis	=trans	0.9
fr:bannis	en:banned	=trans	0.9
en:strongly	fr:fortement	=trans	0.9
fr:fortement	en:strongly	=trans	0.9
en:arm	fr:bras	=trans	0.9
fr:bras	en:arm	=trans	0.9
en:brain	fr:cervelle	=trans	0.9
fr:cervelle	en:brain	=trans	0.9
en:bodies	fr:organes	=trans	0.9
fr:organes	en:bodies	=trans	0.9
en:maps	fr:cartes	=trans	0.9
fr:cartes	en:maps	=trans	0.9
en:marie	fr:marie	=trans	0.9
fr:marie	en:marie	=trans	0.9
en:readers	fr:lecteurs	=trans	0.9
fr:lecteurs	en:readers	=trans	0.9
en:orthodox	fr:orthodoxes	=trans	0.9
fr:orthodoxes	en:orthodox	=trans	0.9
en:formal	fr:formel	=trans	0.9
fr:formel	en:formal	=trans	0.9
en:formal	fr:formelle	=trans	0.9
fr:formelle	en:formal	=trans	0.9
en:cycle	fr:cycle	=trans	0.9
fr:cycle	en:cycle	=trans	0.9
en:doubt	fr:doute	=trans	0.9
fr:doute	en:doubt	=trans	0.9
en:doubt	fr:doutes	=trans	0.9
fr:doutes	en:doubt	=trans	0.9
en:doubt	fr:douter	=trans	0.9
fr:douter	en:doubt	=trans	0.9
en:golf	fr:golf	=trans	0.9
fr:golf	en:golf	=trans	0.9
en:mon	fr:mon	=trans	0.9
fr:mon	en:mon	=trans	0.9
en:tank	fr:tank	=trans	0.9
fr:tank	en:tank	=trans	0.9
en:tank	fr:citerne	=trans	0.9
fr:citerne	en:tank	=trans	0.9
en:leads	fr:prospects	=trans	0.9
fr:prospects	en:leads	=trans	0.9
en:index	fr:index	=trans	0.9
fr:index	en:index	=trans	0.9
en:index	fr:indice	=trans	0.9
fr:indice	en:index	=trans	0.9
en:saints	fr:saintes	=trans	0.9
fr:saintes	en:saints	=trans	0.9
en:crisis	fr:crise	=trans	0.9
fr:crise	en:crisis	=trans	0.9
en:cinema	fr:ciné	=trans	0.9
fr:ciné	en:cinema	=trans	0.9
en:restored	fr:restaurée	=trans	0.9
fr:restaurée	en:restored	=trans	0.9
en:pan	fr:pan	=trans	0.9
fr:pan	en:pan	=trans	0.9
en:chair	fr:chaise	=trans	0.9
fr:chaise	en:chair	=trans	0.9
en:chair	fr:président	=trans	0.9
fr:président	en:chair	=trans	0.9
en:scenes	fr:scènes	=trans	0.9
fr:scènes	en:scenes	=trans	0.9
en:broad	fr:large	=trans	0.9
fr:large	en:broad	=trans	0.9
en:stuff	fr:trucs	=trans	0.9
fr:trucs	en:stuff	=trans	0.9
en:shooting	fr:tirs	=trans	0.9
fr:tirs	en:shooting	=trans	0.9
en:shooting	fr:tir	=trans	0.9
fr:tir	en:shooting	=trans	0.9
en:shooting	fr:tirer	=trans	0.9
fr:tirer	en:shooting	=trans	0.9
en:ready	fr:prête	=trans	0.9
fr:prête	en:ready	=trans	0.9
en:ready	fr:prêtes	=trans	0.9
fr:prêtes	en:ready	=trans	0.9
en:ready	fr:prêt	=trans	0.9
fr:prêt	en:ready	=trans	0.9
en:ready	fr:prêts	=trans	0.9
fr:prêts	en:ready	=trans	0.9
en:bangladesh	fr:bangladesh	=trans	0.9
fr:bangladesh	en:bangladesh	=trans	0.9
en:bot	fr:bot	=trans	0.9
fr:bot	en:bot	=trans	0.9
en:teachers	fr:professeurs	=trans	0.9
fr:professeurs	en:teachers	=trans	0.9
en:maine	fr:maine	=trans	0.9
fr:maine	en:maine	=trans	0.9
en:dam	fr:dam	=trans	0.9
fr:dam	en:dam	=trans	0.9
en:dam	fr:digue	=trans	0.9
fr:digue	en:dam	=trans	0.9
en:techniques	fr:techniques	=trans	0.9
fr:techniques	en:techniques	=trans	0.9
en:pierre	fr:pierre	=trans	0.9
fr:pierre	en:pierre	=trans	0.9
en:facts	fr:faits	=trans	0.9
fr:faits	en:facts	=trans	0.9
en:script	fr:script	=trans	0.9
fr:script	en:script	=trans	0.9
en:sale	fr:soldes	=trans	0.9
fr:soldes	en:sale	=trans	0.9
en:sale	fr:vente	=trans	0.9
fr:vente	en:sale	=trans	0.9
en:fifa	fr:fifa	=trans	0.9
fr:fifa	en:fifa	=trans	0.9
en:gender	fr:sexe	=trans	0.9
fr:sexe	en:gender	=trans	0.9
en:gender	fr:sexes	=trans	0.9
fr:sexes	en:gender	=trans	0.9
en:lakes	fr:lacs	=trans	0.9
fr:lacs	en:lakes	=trans	0.9
en:mail	fr:mail	=trans	0.9
fr:mail	en:mail	=trans	0.9
en:mode	fr:mode	=trans	0.9
fr:mode	en:mode	=trans	0.9
en:priest	fr:prêtre	=trans	0.9
fr:prêtre	en:priest	=trans	0.9
en:trophy	fr:trophée	=trans	0.9
fr:trophée	en:trophy	=trans	0.9
en:walk	fr:marche	=trans	0.9
fr:marche	en:walk	=trans	0.9
en:bush	fr:brousse	=trans	0.9
fr:brousse	en:bush	=trans	0.9
en:error	fr:erreurs	=trans	0.9
fr:erreurs	en:error	=trans	0.9
en:cable	fr:câble	=trans	0.9
fr:câble	en:cable	=trans	0.9
en:islam	fr:islam	=trans	0.9
fr:islam	en:islam	=trans	0.9
en:trained	fr:formés	=trans	0.9
fr:formés	en:trained	=trans	0.9
en:routes	fr:routes	=trans	0.9
fr:routes	en:routes	=trans	0.9
en:guess	fr:suppose	=trans	0.9
fr:suppose	en:guess	=trans	0.9
en:drop	fr:goutte	=trans	0.9
fr:goutte	en:drop	=trans	0.9
en:drop	fr:drop	=trans	0.9
fr:drop	en:drop	=trans	0.9
en:fit	fr:fit	=trans	0.9
fr:fit	en:fit	=trans	0.9
en:degrees	fr:degrés	=trans	0.9
fr:degrés	en:degrees	=trans	0.9
en:degrees	fr:diplômes	=trans	0.9
fr:diplômes	en:degrees	=trans	0.9
en:extreme	fr:extrême	=trans	0.9
fr:extrême	en:extreme	=trans	0.9
en:extreme	fr:extrêmes	=trans	0.9
fr:extrêmes	en:extreme	=trans	0.9
en:quick	fr:vite	=trans	0.9
fr:vite	en:quick	=trans	0.9
en:quick	fr:rapides	=trans	0.9
fr:rapides	en:quick	=trans	0.9
en:solar	fr:solaires	=trans	0.9
fr:solaires	en:solar	=trans	0.9
en:solar	fr:solaire	=trans	0.9
fr:solaire	en:solar	=trans	0.9
en:constant	fr:constantes	=trans	0.9
fr:constantes	en:constant	=trans	0.9
en:nova	fr:nova	=trans	0.9
fr:nova	en:nova	=trans	0.9
en:chile	fr:chilien	=trans	0.9
fr:chilien	en:chile	=trans	0.9
en:chile	fr:chili	=trans	0.9
fr:chili	en:chile	=trans	0.9
en:nazi	fr:nazis	=trans	0.9
fr:nazis	en:nazi	=trans	0.9
en:designer	fr:styliste	=trans	0.9
fr:styliste	en:designer	=trans	0.9
en:learned	fr:appris	=trans	0.9
fr:appris	en:learned	=trans	0.9
en:learned	fr:apprise	=trans	0.9
fr:apprise	en:learned	=trans	0.9
en:hair	fr:cheveux	=trans	0.9
fr:cheveux	en:hair	=trans	0.9
en:movies	fr:films	=trans	0.9
fr:films	en:movies	=trans	0.9
en:movies	fr:ciné	=trans	0.9
fr:ciné	en:movies	=trans	0.9
en:pool	fr:piscine	=trans	0.9
fr:piscine	en:pool	=trans	0.9
en:pool	fr:pool	=trans	0.9
fr:pool	en:pool	=trans	0.9
en:fly	fr:voler	=trans	0.9
fr:voler	en:fly	=trans	0.9
en:leg	fr:patte	=trans	0.9
fr:patte	en:leg	=trans	0.9
en:dry	fr:sèches	=trans	0.9
fr:sèches	en:dry	=trans	0.9
en:dry	fr:sec	=trans	0.9
fr:sec	en:dry	=trans	0.9
en:dry	fr:secs	=trans	0.9
fr:secs	en:dry	=trans	0.9
en:portrait	fr:portrait	=trans	0.9
fr:portrait	en:portrait	=trans	0.9
en:vocal	fr:chant	=trans	0.9
fr:chant	en:vocal	=trans	0.9
en:vocal	fr:vocale	=trans	0.9
fr:vocale	en:vocal	=trans	0.9
en:roof	fr:toit	=trans	0.9
fr:toit	en:roof	=trans	0.9
en:leagues	fr:ligues	=trans	0.9
fr:ligues	en:leagues	=trans	0.9
en:colour	fr:coloris	=trans	0.9
fr:coloris	en:colour	=trans	0.9
en:cards	fr:cartes	=trans	0.9
fr:cartes	en:cards	=trans	0.9
en:testing	fr:test	=trans	0.9
fr:test	en:testing	=trans	0.9
en:testing	fr:tests	=trans	0.9
fr:tests	en:testing	=trans	0.9
en:testing	fr:tester	=trans	0.9
fr:tester	en:testing	=trans	0.9
en:vienna	fr:vienne	=trans	0.9
fr:vienne	en:vienna	=trans	0.9
en:distinct	fr:distinctes	=trans	0.9
fr:distinctes	en:distinct	=trans	0.9
en:colony	fr:colonie	=trans	0.9
fr:colonie	en:colony	=trans	0.9
en:taiwan	fr:taïwan	=trans	0.9
fr:taïwan	en:taiwan	=trans	0.9
en:sentences	fr:phrases	=trans	0.9
fr:phrases	en:sentences	=trans	0.9
en:gulf	fr:golfe	=trans	0.9
fr:golfe	en:gulf	=trans	0.9
en:trip	fr:trip	=trans	0.9
fr:trip	en:trip	=trans	0.9
en:rice	fr:riz	=trans	0.9
fr:riz	en:rice	=trans	0.9
en:prove	fr:prouve	=trans	0.9
fr:prouve	en:prove	=trans	0.9
en:reasonable	fr:raisonnables	=trans	0.9
fr:raisonnables	en:reasonable	=trans	0.9
en:skin	fr:peau	=trans	0.9
fr:peau	en:skin	=trans	0.9
en:committed	fr:commis	=trans	0.9
fr:commis	en:committed	=trans	0.9
en:phrase	fr:phrase	=trans	0.9
fr:phrase	en:phrase	=trans	0.9
en:disc	fr:disque	=trans	0.9
fr:disque	en:disc	=trans	0.9
en:threat	fr:menaces	=trans	0.9
fr:menaces	en:threat	=trans	0.9
en:slow	fr:lente	=trans	0.9
fr:lente	en:slow	=trans	0.9
en:excellent	fr:excellent	=trans	0.9
fr:excellent	en:excellent	=trans	0.9
en:artistic	fr:artistiques	=trans	0.9
fr:artistiques	en:artistic	=trans	0.9
en:artistic	fr:artistique	=trans	0.9
fr:artistique	en:artistic	=trans	0.9
en:safe	fr:coffre	=trans	0.9
fr:coffre	en:safe	=trans	0.9
en:festivals	fr:festivals	=trans	0.9
fr:festivals	en:festivals	=trans	0.9
en:festivals	fr:fêtes	=trans	0.9
fr:fêtes	en:festivals	=trans	0.9
en:evil	fr:mal	=trans	0.9
fr:mal	en:evil	=trans	0.9
en:filled	fr:rempli	=trans	0.9
fr:rempli	en:filled	=trans	0.9
en:gate	fr:gate	=trans	0.9
fr:gate	en:gate	=trans	0.9
en:gate	fr:porte	=trans	0.9
fr:porte	en:gate	=trans	0.9
en:springs	fr:ressorts	=trans	0.9
fr:ressorts	en:springs	=trans	0.9
en:photography	fr:photographie	=trans	0.9
fr:photographie	en:photography	=trans	0.9
en:roll	fr:rouler	=trans	0.9
fr:rouler	en:roll	=trans	0.9
en:roll	fr:roll	=trans	0.9
fr:roll	en:roll	=trans	0.9
en:progressive	fr:progressive	=trans	0.9
fr:progressive	en:progressive	=trans	0.9
en:contrast	fr:contrastes	=trans	0.9
fr:contrastes	en:contrast	=trans	0.9
en:ridge	fr:crête	=trans	0.9
fr:crête	en:ridge	=trans	0.9
en:bridges	fr:ponts	=trans	0.9
fr:ponts	en:bridges	=trans	0.9
en:mac	fr:mac	=trans	0.9
fr:mac	en:mac	=trans	0.9
en:parallel	fr:parallèles	=trans	0.9
fr:parallèles	en:parallel	=trans	0.9
en:parallel	fr:parallèle	=trans	0.9
fr:parallèle	en:parallel	=trans	0.9
en:thirty	fr:trente	=trans	0.9
fr:trente	en:thirty	=trans	0.9
en:purchase	fr:acheter	=trans	0.9
fr:acheter	en:purchase	=trans	0.9
en:expression	fr:expression	=trans	0.9
fr:expression	en:expression	=trans	0.9
en:madrid	fr:madrid	=trans	0.9
fr:madrid	en:madrid	=trans	0.9
en:wheel	fr:roue	=trans	0.9
fr:roue	en:wheel	=trans	0.9
en:existed	fr:existait	=trans	0.9
fr:existait	en:existed	=trans	0.9
en:tests	fr:tests	=trans	0.9
fr:tests	en:tests	=trans	0.9
en:paragraph	fr:paragraphe	=trans	0.9
fr:paragraphe	en:paragraph	=trans	0.9
en:bat	fr:bat	=trans	0.9
fr:bat	en:bat	=trans	0.9
en:bat	fr:batte	=trans	0.9
fr:batte	en:bat	=trans	0.9
en:merit	fr:mérites	=trans	0.9
fr:mérites	en:merit	=trans	0.9
en:massive	fr:massif	=trans	0.9
fr:massif	en:massive	=trans	0.9
en:massive	fr:massive	=trans	0.9
fr:massive	en:massive	=trans	0.9
en:massive	fr:massives	=trans	0.9
fr:massives	en:massive	=trans	0.9
en:technique	fr:technique	=trans	0.9
fr:technique	en:technique	=trans	0.9
en:clerk	fr:clerc	=trans	0.9
fr:clerc	en:clerk	=trans	0.9
en:clerk	fr:commis	=trans	0.9
fr:commis	en:clerk	=trans	0.9
en:rapid	fr:rapides	=trans	0.9
fr:rapides	en:rapid	=trans	0.9
en:bomb	fr:bombes	=trans	0.9
fr:bombes	en:bomb	=trans	0.9
en:poem	fr:poème	=trans	0.9
fr:poème	en:poem	=trans	0.9
en:proof	fr:preuve	=trans	0.9
fr:preuve	en:proof	=trans	0.9
en:practices	fr:pratiques	=trans	0.9
fr:pratiques	en:practices	=trans	0.9
en:mouth	fr:bouche	=trans	0.9
fr:bouche	en:mouth	=trans	0.9
en:symbol	fr:symbole	=trans	0.9
fr:symbole	en:symbol	=trans	0.9
en:organ	fr:organe	=trans	0.9
fr:organe	en:organ	=trans	0.9
en:exception	fr:exception	=trans	0.9
fr:exception	en:exception	=trans	0.9
en:beauty	fr:beauté	=trans	0.9
fr:beauté	en:beauty	=trans	0.9
en:credits	fr:crédits	=trans	0.9
fr:crédits	en:credits	=trans	0.9
en:buy	fr:acheter	=trans	0.9
fr:acheter	en:buy	=trans	0.9
en:cavalry	fr:cavalerie	=trans	0.9
fr:cavalerie	en:cavalry	=trans	0.9
en:exact	fr:exacte	=trans	0.9
fr:exacte	en:exact	=trans	0.9
en:exact	fr:exact	=trans	0.9
fr:exact	en:exact	=trans	0.9
en:exact	fr:exactes	=trans	0.9
fr:exactes	en:exact	=trans	0.9
en:requests	fr:demandes	=trans	0.9
fr:demandes	en:requests	=trans	0.9
en:colors	fr:coloris	=trans	0.9
fr:coloris	en:colors	=trans	0.9
en:shore	fr:rive	=trans	0.9
fr:rive	en:shore	=trans	0.9
en:nebraska	fr:nebraska	=trans	0.9
fr:nebraska	en:nebraska	=trans	0.9
en:crash	fr:crash	=trans	0.9
fr:crash	en:crash	=trans	0.9
en:supports	fr:supporte	=trans	0.9
fr:supporte	en:supports	=trans	0.9
en:apple	fr:pommes	=trans	0.9
fr:pommes	en:apple	=trans	0.9
en:apple	fr:pomme	=trans	0.9
fr:pomme	en:apple	=trans	0.9
en:franchise	fr:franchises	=trans	0.9
fr:franchises	en:franchise	=trans	0.9
en:critic	fr:critique	=trans	0.9
fr:critique	en:critic	=trans	0.9
en:rolling	fr:rouler	=trans	0.9
fr:rouler	en:rolling	=trans	0.9
en:movements	fr:mouvements	=trans	0.9
fr:mouvements	en:movements	=trans	0.9
en:rooms	fr:salles	=trans	0.9
fr:salles	en:rooms	=trans	0.9
en:tagged	fr:marqué	=trans	0.9
fr:marqué	en:tagged	=trans	0.9
en:chemistry	fr:chimie	=trans	0.9
fr:chimie	en:chemistry	=trans	0.9
en:forests	fr:forêts	=trans	0.9
fr:forêts	en:forests	=trans	0.9
en:forests	fr:forêt	=trans	0.9
fr:forêt	en:forests	=trans	0.9
en:symphony	fr:symphonie	=trans	0.9
fr:symphonie	en:symphony	=trans	0.9
en:meters	fr:mètres	=trans	0.9
fr:mètres	en:meters	=trans	0.9
en:tend	fr:tendent	=trans	0.9
fr:tendent	en:tend	=trans	0.9
en:quote	fr:devis	=trans	0.9
fr:devis	en:quote	=trans	0.9
en:quote	fr:citer	=trans	0.9
fr:citer	en:quote	=trans	0.9
en:quote	fr:cite	=trans	0.9
fr:cite	en:quote	=trans	0.9
en:battery	fr:batterie	=trans	0.9
fr:batterie	en:battery	=trans	0.9
en:battery	fr:pile	=trans	0.9
fr:pile	en:battery	=trans	0.9
en:delhi	fr:delhi	=trans	0.9
fr:delhi	en:delhi	=trans	0.9
en:mills	fr:fraises	=trans	0.9
fr:fraises	en:mills	=trans	0.9
en:victorian	fr:victorienne	=trans	0.9
fr:victorienne	en:victorian	=trans	0.9
en:plain	fr:plaine	=trans	0.9
fr:plaine	en:plain	=trans	0.9
en:strategic	fr:stratégiques	=trans	0.9
fr:stratégiques	en:strategic	=trans	0.9
en:triple	fr:triplé	=trans	0.9
fr:triplé	en:triple	=trans	0.9
en:triple	fr:triple	=trans	0.9
fr:triple	en:triple	=trans	0.9
en:bristol	fr:bristol	=trans	0.9
fr:bristol	en:bristol	=trans	0.9
en:industries	fr:industries	=trans	0.9
fr:industries	en:industries	=trans	0.9
en:ill	fr:malades	=trans	0.9
fr:malades	en:ill	=trans	0.9
en:carbon	fr:carbone	=trans	0.9
fr:carbone	en:carbon	=trans	0.9
en:plate	fr:plaque	=trans	0.9
fr:plaque	en:plate	=trans	0.9
en:dick	fr:bite	=trans	0.9
fr:bite	en:dick	=trans	0.9
en:greatly	fr:grandement	=trans	0.9
fr:grandement	en:greatly	=trans	0.9
en:guardian	fr:gardienne	=trans	0.9
fr:gardienne	en:guardian	=trans	0.9
en:losses	fr:pertes	=trans	0.9
fr:pertes	en:losses	=trans	0.9
en:prose	fr:prose	=trans	0.9
fr:prose	en:prose	=trans	0.9
en:cargo	fr:fret	=trans	0.9
fr:fret	en:cargo	=trans	0.9
en:daughters	fr:filles	=trans	0.9
fr:filles	en:daughters	=trans	0.9
en:rates	fr:tarifs	=trans	0.9
fr:tarifs	en:rates	=trans	0.9
en:rates	fr:taux	=trans	0.9
fr:taux	en:rates	=trans	0.9
en:grace	fr:grâces	=trans	0.9
fr:grâces	en:grace	=trans	0.9
en:grace	fr:grâce	=trans	0.9
fr:grâce	en:grace	=trans	0.9
en:feed	fr:fil	=trans	0.9
fr:fil	en:feed	=trans	0.9
en:soil	fr:terre	=trans	0.9
fr:terre	en:soil	=trans	0.9
en:soil	fr:sols	=trans	0.9
fr:sols	en:soil	=trans	0.9
en:soil	fr:sol	=trans	0.9
fr:sol	en:soil	=trans	0.9
en:tunnel	fr:tunnel	=trans	0.9
fr:tunnel	en:tunnel	=trans	0.9
en:styles	fr:styles	=trans	0.9
fr:styles	en:styles	=trans	0.9
en:sweet	fr:doux	=trans	0.9
fr:doux	en:sweet	=trans	0.9
en:sweet	fr:douce	=trans	0.9
fr:douce	en:sweet	=trans	0.9
en:acceptable	fr:acceptables	=trans	0.9
fr:acceptables	en:acceptable	=trans	0.9
en:acceptable	fr:acceptable	=trans	0.9
fr:acceptable	en:acceptable	=trans	0.9
en:fruit	fr:fruits	=trans	0.9
fr:fruits	en:fruit	=trans	0.9
en:perspective	fr:perspective	=trans	0.9
fr:perspective	en:perspective	=trans	0.9
en:crystal	fr:cristal	=trans	0.9
fr:cristal	en:crystal	=trans	0.9
en:resident	fr:résident	=trans	0.9
fr:résident	en:resident	=trans	0.9
en:steps	fr:marches	=trans	0.9
fr:marches	en:steps	=trans	0.9
en:pain	fr:peine	=trans	0.9
fr:peine	en:pain	=trans	0.9
en:drugs	fr:drogues	=trans	0.9
fr:drogues	en:drugs	=trans	0.9
en:drugs	fr:drogue	=trans	0.9
fr:drogue	en:drugs	=trans	0.9
en:missed	fr:loupé	=trans	0.9
fr:loupé	en:missed	=trans	0.9
en:missed	fr:raté	=trans	0.9
fr:raté	en:missed	=trans	0.9
en:trinity	fr:trinité	=trans	0.9
fr:trinité	en:trinity	=trans	0.9
en:lots	fr:lots	=trans	0.9
fr:lots	en:lots	=trans	0.9
en:charlotte	fr:charlotte	=trans	0.9
fr:charlotte	en:charlotte	=trans	0.9
en:marks	fr:marques	=trans	0.9
fr:marques	en:marks	=trans	0.9
en:romantic	fr:romantique	=trans	0.9
fr:romantique	en:romantic	=trans	0.9
en:panel	fr:panel	=trans	0.9
fr:panel	en:panel	=trans	0.9
en:jump	fr:sauter	=trans	0.9
fr:sauter	en:jump	=trans	0.9
en:jump	fr:saute	=trans	0.9
fr:saute	en:jump	=trans	0.9
en:jump	fr:saut	=trans	0.9
fr:saut	en:jump	=trans	0.9
en:filed	fr:classé	=trans	0.9
fr:classé	en:filed	=trans	0.9
en:schedule	fr:horaires	=trans	0.9
fr:horaires	en:schedule	=trans	0.9
en:schedule	fr:horaire	=trans	0.9
fr:horaire	en:schedule	=trans	0.9
en:suspect	fr:suspecte	=trans	0.9
fr:suspecte	en:suspect	=trans	0.9
en:suspect	fr:suspects	=trans	0.9
fr:suspects	en:suspect	=trans	0.9
en:texts	fr:textes	=trans	0.9
fr:textes	en:texts	=trans	0.9
en:hole	fr:trou	=trans	0.9
fr:trou	en:hole	=trans	0.9
en:wedding	fr:noces	=trans	0.9
fr:noces	en:wedding	=trans	0.9
en:clan	fr:clan	=trans	0.9
fr:clan	en:clan	=trans	0.9
en:revenue	fr:revenus	=trans	0.9
fr:revenus	en:revenue	=trans	0.9
en:revenue	fr:recettes	=trans	0.9
fr:recettes	en:revenue	=trans	0.9
en:suit	fr:costume	=trans	0.9
fr:costume	en:suit	=trans	0.9
en:soft	fr:douce	=trans	0.9
fr:douce	en:soft	=trans	0.9
en:soft	fr:doux	=trans	0.9
fr:doux	en:soft	=trans	0.9
en:soft	fr:douces	=trans	0.9
fr:douces	en:soft	=trans	0.9
en:soft	fr:soft	=trans	0.9
fr:soft	en:soft	=trans	0.9
en:crimes	fr:crimes	=trans	0.9
fr:crimes	en:crimes	=trans	0.9
en:practical	fr:pratique	=trans	0.9
fr:pratique	en:practical	=trans	0.9
en:pink	fr:rose	=trans	0.9
fr:rose	en:pink	=trans	0.9
en:wolf	fr:loup	=trans	0.9
fr:loup	en:wolf	=trans	0.9
en:wolf	fr:loups	=trans	0.9
fr:loups	en:wolf	=trans	0.9
en:fresh	fr:frais	=trans	0.9
fr:frais	en:fresh	=trans	0.9
en:fresh	fr:fraîche	=trans	0.9
fr:fraîche	en:fresh	=trans	0.9
en:worst	fr:pire	=trans	0.9
fr:pire	en:worst	=trans	0.9
en:worst	fr:pires	=trans	0.9
fr:pires	en:worst	=trans	0.9
en:technologies	fr:technologies	=trans	0.9
fr:technologies	en:technologies	=trans	0.9
en:strip	fr:strip	=trans	0.9
fr:strip	en:strip	=trans	0.9
en:empty	fr:vides	=trans	0.9
fr:vides	en:empty	=trans	0.9
en:empty	fr:vider	=trans	0.9
fr:vider	en:empty	=trans	0.9
en:cite	fr:citer	=trans	0.9
fr:citer	en:cite	=trans	0.9
en:cite	fr:cite	=trans	0.9
fr:cite	en:cite	=trans	0.9
en:branches	fr:branches	=trans	0.9
fr:branches	en:branches	=trans	0.9
en:brick	fr:briques	=trans	0.9
fr:briques	en:brick	=trans	0.9
en:brick	fr:brique	=trans	0.9
fr:brique	en:brick	=trans	0.9
en:experiences	fr:expériences	=trans	0.9
fr:expériences	en:experiences	=trans	0.9
en:baptist	fr:baptiste	=trans	0.9
fr:baptiste	en:baptist	=trans	0.9
en:affect	fr:affectent	=trans	0.9
fr:affectent	en:affect	=trans	0.9
en:decline	fr:baisse	=trans	0.9
fr:baisse	en:decline	=trans	0.9
en:touch	fr:touche	=trans	0.9
fr:touche	en:touch	=trans	0.9
en:platforms	fr:plateformes	=trans	0.9
fr:plateformes	en:platforms	=trans	0.9
en:cave	fr:grotte	=trans	0.9
fr:grotte	en:cave	=trans	0.9
en:cave	fr:cave	=trans	0.9
fr:cave	en:cave	=trans	0.9
en:filmed	fr:filmée	=trans	0.9
fr:filmée	en:filmed	=trans	0.9
en:cool	fr:cool	=trans	0.9
fr:cool	en:cool	=trans	0.9
en:weapon	fr:arme	=trans	0.9
fr:arme	en:weapon	=trans	0.9
en:cousin	fr:cousine	=trans	0.9
fr:cousine	en:cousin	=trans	0.9
