en	en_ipa	fr	fr_ipa	n_chunks	chunk_recipe	min_fragment_count	avg_fragment_count	match_type	edit_distance	en_zipf	fr_zipf
eclipse	ɪklɪps	éclipse	eklips	3	ɪk+lɪ+ps	4	27.0	approx(d=1)	1	3.81	3.58
excellence	ɛksələns	excès os	ɛksɛ ɔs	3	ɛks+əl+əns	4	62.0	approx(d=2)	2	4.07	4.02
mineral	mɪnəɹəl	mènent elle	mɛn ɛl	3	mɪn+əɹ+əl	4	26.0	approx(d=2)	2	4.03	3.87
native	neɪtɪv	négatives	neɡativ	3	ne+ɪt+ɪv	4	18.0	approx(d=2)	2	4.69	3.79
nature	neɪtʃɐ	niché	niʃe	3	ne+ɪt+ʃɐ	4	15.0	approx(d=2)	2	4.98	2.72
pilot	paɪlət	plate	plat	3	pa+ɪl+ət	4	11.0	approx(d=2)	2	4.52	4.31
promise	pɹɒmɪs	prémices	pʁemis	3	pɹ+ɒm+ɪs	4	64.0	approx(d=2)	2	4.71	3.2
psychic	saɪkɪk	cynique	sinik	3	sa+ɪk+ɪk	4	39.3	approx(d=2)	2	3.8	3.48
regain	ɹɪɡeɪn	gué haines	ɡeɛn	3	ɹɪ+ɡe+ɪn	4	45.0	approx(d=2)	2	3.73	2.89
restrict	ɹɪstɹɪkt	district	distʁikt	3	ɹɪ+stɹɪ+kt	4	60.0	approx(d=2)	2	3.8	4.15
rounded	ɹaʊndɪd	round	ɹaʊnd	3	ɹaʊ+nd+ɪd	4	45.7	approx(d=2)	2	3.98	3.68
selected	sɪlɛktɪd	dit excède	di ɛksɛd	3	sɪ+lɛ+ktɪd	4	35.7	approx(d=2)	2	4.68	3.21
spinal	spaɪnəl	spatiales	spasjal	3	sp+aɪ+nəl	4	36.0	approx(d=2)	2	3.85	3.4
spirit	spɪɹɪt	spirit	spiʁi	3	sp+ɪɹ+ɪt	4	37.0	approx(d=2)	2	4.79	3.36
aspects	æspɛkts	spectre	spɛktʁ	3	æs+pɛk+ts	3	10.0	approx(d=2)	2	4.5	4.02
attempt	ɐtɛmpt	tempo	tɛmpo	3	ɐt+ɛm+pt	3	17.0	approx(d=2)	2	4.85	3.44
attract	ɐtɹækt	tracts	tʁakt	3	ɐt+ɹæ+kt	3	44.3	approx(d=2)	2	4.2	3.38
bible	baɪbəl	bat elle	ba ɛl	3	ba+ɪb+əl	3	27.3	approx(d=2)	2	4.54	4.44
challenge	tʃælɪndʒ	challenger	tʃalɛndʒœʁ	3	tʃ+ælɪ+ndʒ	3	15.7	approx(d=2)	2	4.88	3.4
classics	klæsɪks	classiques	klasik	3	kl+æs+ɪks	3	26.0	approx(d=1)	1	3.9	4.39
clinics	klɪnɪks	cliniques	klinik	3	klɪ+nɪ+ks	3	71.0	approx(d=1)	1	3.79	3.89
collecting	kəlɛktɪŋ	collecte	kɔlɛkt	3	kəl+ɛk+tɪŋ	3	79.0	approx(d=2)	2	4.18	4.11
connecting	kənɛktɪŋ	connecte	kɔnɛkt	3	kən+ɛk+tɪŋ	3	83.7	approx(d=2)	2	4.16	3.44
crashing	kɹæʃɪŋ	machine	maʃin	3	kɹ+æʃ+ɪŋ	3	46.7	approx(d=2)	2	3.84	4.72
crushing	kɹʌʃɪŋ	machine	maʃin	3	kɹ+ʌʃ+ɪŋ	3	46.7	approx(d=2)	2	3.83	4.72
declares	dɪkleəz	déplaise	deplɛz	3	dɪk+le+əz	3	25.0	approx(d=2)	2	3.71	3.31
distinct	dɪstɪŋkt	distinctes	distɛ̃kt	3	dɪs+tɪŋ+kt	3	38.3	approx(d=1)	1	4.29	3.74
effective	ɪfɛktɪv	effective	efɛktiv	3	ɪfɛ+kt+ɪv	3	44.7	approx(d=2)	2	4.89	3.77
exhibit	ɛɡzɪbɪt	existe	ɛɡzist	3	ɛɡz+ɪb+ɪt	3	13.3	approx(d=2)	2	4.16	5.17
existing	ɛɡzɪstɪŋ	existait	ɛɡzistɛ	3	ɛɡz+ɪs+tɪŋ	3	23.0	approx(d=1)	1	4.75	4.22
guided	ɡaɪdɪd	gars aide	ɡa ɛd	3	ɡa+ɪd+ɪd	3	54.3	approx(d=2)	2	4.06	4.94
guiding	ɡaɪdɪŋ	badine	badin	3	ɡa+ɪd+ɪŋ	3	48.0	approx(d=2)	2	3.71	2.6
japan	dʒəpæn	domaine	dɔmɛn	3	dʒ+əp+æn	3	19.3	approx(d=2)	2	4.89	5.01
label	leɪbəl	labels	labɛl	3	le+ɪb+əl	3	24.3	approx(d=2)	2	4.43	3.3
mixture	mɪkstʃɐ	mixte	mikst	3	mɪk+st+ʃɐ	3	132.7	approx(d=2)	2	4.18	4.12
policy	pɒlɪsi	polices	pɔlis	3	pɒ+lɪ+si	3	53.3	approx(d=1)	1	5.17	3.51
pottery	pɒtəɹi	poterie	pɔtʁi	3	pɒ+tə+ɹi	3	87.0	approx(d=2)	2	3.7	3.29
poverty	pɒvəti	pâtit	pati	3	pɒ+və+ti	3	38.0	approx(d=2)	2	4.46	2.56
public	pʌblɪk	publiques	pyblik	3	pʌ+bl+ɪk	3	29.0	approx(d=1)	1	5.57	4.67
salary	sæləɹi	selles fis	sɛlfi	3	sæ+lə+ɹi	3	85.3	approx(d=2)	2	4.36	3.05
affecting	ɐfɛktɪŋ	affective	afɛktiv	3	ɐfɛ+kt+ɪŋ	2	54.0	approx(d=1)	1	4.07	3.27
affecting	ɐfɛktɪŋ	affecte	afɛkt	3	ɐf+ɛk+tɪŋ	2	77.3	approx(d=2)	2	4.07	3.9
affects	ɐfɛkts	affecte	afɛkt	3	ɐf+ɛk+ts	2	79.0	approx(d=1)	1	4.16	3.9
applies	ɐplaɪz	plaisent	plɛz	3	ɐp+la+ɪz	2	27.3	approx(d=2)	2	4.23	3.58
aspects	æspɛkts	espèces	ɛspɛs	3	æsp+ɛk+ts	2	79.0	approx(d=2)	2	4.5	4.65
baggage	bæɡɪdʒ	bridge	bʁidʒ	3	bæ+ɡɪ+dʒ	2	16.0	approx(d=2)	2	3.74	3.57
bathing	beɪðɪŋ	médine	medin	3	be+ɪð+ɪŋ	2	22.3	approx(d=2)	2	3.68	3.06
coastal	kəʊstəl	cocktails	kɔktɛl	3	kəʊ+st+əl	2	143.7	approx(d=2)	2	4.19	3.6
connected	kənɛktɪd	connecte	kɔnɛkt	3	kənɛ+kt+ɪd	2	60.3	approx(d=2)	2	4.68	3.44
connecting	kənɛktɪŋ	collectives	kɔlɛktiv	3	kənɛ+kt+ɪŋ	2	54.0	approx(d=2)	2	4.16	3.8
distant	dɪstənt	discount	diskunt	3	dɪ+stə+nt	2	42.7	approx(d=2)	2	4.19	3.36
distinct	dɪstɪŋkt	district	distʁikt	3	dɪst+ɪŋ+kt	2	54.0	approx(d=2)	2	4.29	4.15
districts	dɪstɹɪkts	district	distʁikt	3	dɪst+ɹɪk+ts	2	7.0	approx(d=2)	2	4.31	4.15
exercise	ɛksəsaɪz	excès sève	ɛksɛsɛv	3	ɛksə+sa+ɪz	2	19.3	approx(d=2)	2	4.68	3.18
existence	ɛɡzɪstəns	existence	ɛɡzistɑ̃s	3	ɛɡzɪ+stə+ns	2	17.0	approx(d=2)	2	4.55	4.73
fellows	fɛləʊz	fais aise	fɛ ɛz	3	fɛ+lə+ʊz	2	15.3	approx(d=2)	2	3.82	4.41
follows	fɒləʊz	fol haines	fɔlɛn	3	fɒ+lə+ʊz	2	6.7	approx(d=2)	2	4.81	2.91
impressed	ɪmpɹɛst	haines est	ɛn ɛst	3	ɪmp+ɹɛ+st	2	181.3	approx(d=2)	2	4.34	3.2
morality	mɒɹælɪti	mot alité	mo alite	3	mɒɹ+æl+ɪti	2	7.3	approx(d=2)	2	3.86	2.5
poses	pəʊzɪz	paies pèsent	pɛpɛz	3	pə+ʊz+ɪz	2	23.0	approx(d=2)	2	3.79	3.12
prophecy	pɹɒfəsi	prophétie	pʁɔfesi	3	pɹɒ+fə+si	2	48.0	approx(d=2)	2	3.71	3.53
