en	fr	certifications	example_loop
mostly	but lie	3	en:largely ~ en:mostly ≈ fr:but lie ~ fr:et lie ≈ en:widely ~ en:predominantly
widely	et lie	3	en:largely ~ en:mostly ≈ fr:but lie ~ fr:et lie ≈ en:widely ~ en:predominantly
lords	lord	3	en:lord ≈ fr:lords ~ en:lords ≈ fr:lord
lording	lord	3	en:lord ≈ fr:lords ~ en:lording ≈ fr:lord
pea	pi	3	en:pea ≈ fr:pi ~ fr:pif ≈ en:peeve ~ fr:pise ≈ en:peas = fr:pois
peas	pise	3	en:pea ≈ fr:pi ~ fr:pif ≈ en:peeve ~ fr:pise ≈ en:peas = fr:pois
pieced	pistent	3	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece
plead	plie	3	en:pleaded ~ en:plead ≈ fr:plie ~ fr:plisse ≈ en:pleat
poof	pouf	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
poop	poupe	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
prayed	pré	3	en:pray ~ en:prayed ≈ fr:pré = en:pre ≈ fr:prie
pray	prés	3	en:prep ~ fr:prés ≈ en:pray ~ en:prayed ≈ fr:pré
presses	précise	3	en:presses ≈ fr:précise ~ fr:précis ≈ en:pressie ~ en:pressies ≈ fr:presse
pressies	précise	3	en:pressie ≈ fr:précis ~ fr:précise ≈ en:pressies
pressed	prête	3	en:pressing ~ en:pressed ≈ fr:prête ~ fr:prêt ≈ en:press ~ fr:pressage
press	prêt	3	en:pressing ~ en:pressed ≈ fr:prête ~ fr:prêt ≈ en:press ~ fr:pressage
prove	prouvé	3	en:proved ~ en:proves ≈ fr:prouve ~ fr:prouvé ≈ en:prove
reaches	riches	3	en:reached ~ en:reaches ≈ fr:riches ~ fr:riche ≈ en:reach
reached	riches	3	en:reaches ~ en:reached ≈ fr:riches ~ fr:riche ≈ en:reach
rooted	route	3	en:road = fr:route ≈ en:rooted ~ en:roots ≈ fr:routes = en:roads
roll	rôles	3	en:role ≈ fr:roll ~ en:roll ≈ fr:rôles
roll	rôle	3	en:role ≈ fr:roll ~ en:roll ≈ fr:rôle
fruit	routes	3	en:routers ~ fr:routes ≈ en:fruit ~ en:fruits ≈ fr:route ~ en:routes
fruits	route	3	en:routers ~ fr:routes ≈ en:fruit ~ en:fruits ≈ fr:route ~ en:routes
sports	spots	3	en:rugby ~ en:sports ≈ fr:spots ~ fr:spot ≈ en:sport
sport	spot	3	en:rugby ~ en:sports ≈ fr:spots ~ fr:spot ≈ en:sport
sports	spot	3	en:rugby ~ en:sports ≈ fr:spot ~ fr:spots ≈ en:sport
sport	spots	3	en:rugby ~ en:sports ≈ fr:spot ~ fr:spots ≈ en:sport
scores	score	3	en:score ~ fr:scores ≈ en:scored ~ fr:score ≈ en:scores
score	score	3	en:scored ~ fr:scores ≈ en:scores ~ en:score ≈ fr:score
seemed	cime	3	en:seem ≈ fr:cimes ~ fr:cime ≈ en:seemed
seems	cime	3	en:seem ≈ fr:cimes ~ fr:cime ≈ en:seems
sex	sex	3	en:sex ≈ fr:sex ~ en:sexual ≈ fr:sexuelle ~ fr:sexuellement
sexy	sexe	3	en:sext ~ en:sex ≈ fr:sexy ~ en:sexy ≈ fr:sexe
shoot	shootes	3	en:shoot ≈ fr:shootes ~ en:shoots ≈ fr:shoots
shoots	shoots	3	en:shoot ≈ fr:shootes ~ en:shoots ≈ fr:shoots
skiing	ski	3	en:ski ≈ fr:skis ~ en:skiing ≈ fr:ski
ski	skie	3	en:ski ≈ fr:skie ~ en:skid ≈ fr:ski
skid	ski	3	en:ski ≈ fr:skie ~ en:skid ≈ fr:ski
stalk	stocke	3	en:stalk ≈ fr:stocke ~ fr:stock ≈ en:stalky
stalk	stockes	3	en:stalk ≈ fr:stockes ~ fr:stock ≈ en:stalky
stick	steak	3	en:steak ~ fr:steaks ≈ en:sticker ~ en:stickers ≈ fr:stick ~ en:stick ≈ fr:steak
steak	stick	3	en:stickers ~ en:sticker ≈ fr:steak ~ en:steak ≈ fr:stick
step	stops	3	en:stopped ~ fr:stops ≈ en:step ~ fr:step ≈ en:stop ~ en:stoppers
streaked	strict	3	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaked
streak	strictes	3	en:streaked ≈ fr:strict ~ fr:strictes ≈ en:streak
suggest	sait geste	3	en:suggest ≈ fr:sait geste ~ fr:on geste ≈ en:suggests = fr:suggère
tests	test	3	en:test ≈ fr:tests ~ en:tests ≈ fr:test
testes	tester	3	en:testers ~ fr:testes ≈ en:test ~ en:testes ≈ fr:tester
test	teste	3	en:testes ~ fr:teste ≈ en:test ~ fr:test ≈ en:testers ~ fr:testes
transformed	transforme	3	en:transform = fr:transformer ≈ en:transformation ~ en:transformed ≈ fr:transforme
troupe	troupes	3	en:troops = fr:troupes ≈ en:troupe ~ fr:troupe ≈ en:troop ~ fr:truppe
accepts	excepte	2	en:accept = fr:acceptent ≈ en:except ~ fr:excepte ≈ en:accepts = fr:accepte
accept	acceptes	2	en:accepted ~ fr:acceptes ≈ en:accept ~ en:accepting ≈ fr:accepte
except	acceptes	2	en:accepting ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:acceptes
according	écot in	2	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decrease ≈ fr:décrit ~ en:thuja
decreasing	décris in	2	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decrease ≈ fr:décrit ~ en:thuja
effect	affectent	2	en:affect ~ fr:affect ≈ en:affects = fr:affectent ≈ en:effect = fr:effets
peel	pile	2	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:pile ~ fr:piles ≈ en:appeal
appeal	piles	2	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:pile ~ fr:piles ≈ en:appeal
bathroom	bat rhume	2	en:bathroom ≈ fr:bat rhume ~ fr:paient rhume ≈ en:bedroom ~ en:bed ≈ fr:baie ~ fr:bagno
bedroom	paient rhume	2	en:bathroom ≈ fr:bat rhume ~ fr:paient rhume ≈ en:bedroom ~ en:bed ≈ fr:baie ~ fr:bagno
bed	baie	2	en:bathroom ≈ fr:bat rhume ~ fr:paient rhume ≈ en:bedroom ~ en:bed ≈ fr:baie ~ fr:bagno
beast	bit	2	en:beasts ~ en:beast ≈ fr:bit ~ en:bit ≈ fr:bêtes
bit	bêtes	2	en:beasts ~ en:beast ≈ fr:bit ~ en:bit ≈ fr:bêtes
bell	bel	2	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
belle	bel	2	en:belle ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellied ≈ fr:belle
bellied	belle	2	en:belle ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellied ≈ fr:belle
belonged	bloc	2	en:belongs ~ en:belong ≈ fr:blocs ~ fr:bloc ≈ en:belonged
beat	bittent	2	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bittent
explains	explosent	2	en:blast ~ fr:explosent ≈ en:explains ~ en:explained ≈ fr:explose
explained	explosent	2	en:blast ~ fr:explose ≈ en:explains ~ en:explained ≈ fr:explosent
bloggers	blague	2	en:blogger ~ en:bloggers ≈ fr:blague ~ fr:blagues ≈ en:blog ~ en:blogspot
blog	blagues	2	en:blogger ~ en:bloggers ≈ fr:blague ~ fr:blagues ≈ en:blog ~ en:blogspot
blogger	blagues	2	en:bloggers ~ en:blogger ≈ fr:blagues ~ fr:blague ≈ en:blog ~ en:blogspot
blog	blague	2	en:bloggers ~ en:blogger ≈ fr:blagues ~ fr:blague ≈ en:blog ~ en:blogspot
booty	boutis	2	en:booty ≈ fr:boutis ~ fr:bout ≈ en:boot ~ en:bootie
pose	pauses	2	en:break = fr:pause ≈ en:poses ~ en:pose ≈ fr:pauses = en:breaks
port	pote	2	en:buddy = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:buddies
ports	potes	2	en:buddy = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:buddies
ports	pote	2	en:buddy = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:buddies
port	potes	2	en:buddy = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:buddies
full	foule	2	en:bulk ~ fr:full ≈ en:fool ~ en:fools ≈ fr:foules ~ fr:foule ≈ en:full
cases	cause	2	en:case ~ en:cases ≈ fr:cause ~ en:causes ≈ fr:cons aise ~ en:cons ≈ fr:case
causes	cons aise	2	en:case ~ en:cases ≈ fr:cause ~ en:causes ≈ fr:cons aise ~ en:cons ≈ fr:case
cons	case	2	en:case ~ en:cases ≈ fr:cause ~ en:causes ≈ fr:cons aise ~ en:cons ≈ fr:case
causes	cause	2	en:caused ~ fr:cause ≈ en:causes ~ en:cause ≈ fr:causent
cause	causent	2	en:caused ~ fr:cause ≈ en:causes ~ en:cause ≈ fr:causent
cellular	cellules	2	en:cells ~ fr:cellules ≈ en:cellular ~ en:cell ≈ fr:celle ~ fr:cella
cell	celle	2	en:cells ~ fr:cellules ≈ en:cellular ~ en:cell ≈ fr:celle ~ fr:cella
checked	tchèque	2	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
checks	tchèque	2	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checks
cheque	tchèque	2	en:cheque ≈ fr:tchèque ~ fr:tchèques ≈ en:check = fr:chèque
city	séries	2	en:cherry = fr:cerise ≈ en:series ~ fr:séries ≈ en:city ~ en:cities ≈ fr:cerises
claire	clair	2	en:claire ≈ fr:clair = en:clear ≈ fr:clairs
classroom	clans rhume	2	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:classe
claire	clairement	2	en:clearly = fr:clairement ≈ en:claire ~ fr:clairs ≈ en:clear ~ fr:chiara
clause	close	2	en:close ~ fr:close ≈ en:clause ~ fr:clause ≈ en:closes
closes	clause	2	en:close ~ fr:close ≈ en:clause ~ fr:clause ≈ en:closes
close	closes	2	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
conclusion	on clown	2	en:clown ~ fr:on clown ≈ en:conclusion ~ en:conclude ≈ fr:clowns coudes ~ en:clowns
conclude	clowns coudes	2	en:clown ~ fr:on clown ≈ en:conclusion ~ en:conclude ≈ fr:clowns coudes ~ en:clowns
coaches	catch	2	en:coach ~ en:coaches ≈ fr:catch ~ en:catch ≈ fr:coach
coach	catch	2	en:coaches ~ fr:coach ≈ en:catch ~ fr:catch ≈ en:coach
controls	contrôle	2	en:controlled ~ en:control ≈ fr:contrôles = en:controls ≈ fr:contrôle
controllers	contrôle	2	en:controller ~ en:controllers ≈ fr:contrôle ~ fr:contrôles ≈ en:control
controller	contrôle	2	en:controllers ~ en:controller ≈ fr:contrôle ~ fr:contrôles ≈ en:control
controlled	contrôle	2	en:controlling ~ en:control ≈ fr:contrôles ~ fr:contrôle ≈ en:controlled
controlling	contrôle	2	en:controls = fr:contrôles ≈ en:control ~ en:controlling ≈ fr:contrôle
cooed	coudes	2	en:cooed ≈ fr:coudes ~ fr:coude ≈ en:coot
coot	coude	2	en:cooed ≈ fr:coudes ~ fr:coude ≈ en:coot
policeman	police	2	en:cop ~ en:policeman ≈ fr:police ~ fr:polices ≈ en:police ~ en:polis
police	polices	2	en:cop ~ en:policeman ≈ fr:police ~ fr:polices ≈ en:police ~ en:polis
corn	corne	2	en:corn ≈ fr:corne ~ en:corny ≈ fr:corner ~ en:corner ≈ fr:cornes
corner	cornes	2	en:corn ≈ fr:corne ~ en:corny ≈ fr:corner ~ en:corner ≈ fr:cornes
corner	corne	2	en:corner ≈ fr:corne ~ en:corny ≈ fr:corner
correctly	corrects lies	2	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ fr:exact
countries	khan treize	2	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
country	khan tri	2	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
coup	coupent	2	en:coups ~ en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon = fr:coupons
coupon	coupant	2	en:coups ~ en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon = fr:coupons
crass	crasse	2	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
crying	crâne	2	en:cries ~ en:crying ≈ fr:crâne ~ fr:crânes ≈ en:cried ~ fr:crie
cried	crânes	2	en:cries ~ en:crying ≈ fr:crâne ~ fr:crânes ≈ en:cried ~ fr:crie
decreased	décrite	2	en:decreasing ~ en:decreased ≈ fr:décrite ~ fr:décrit ≈ en:decrease
deed	dit	2	en:deed ≈ fr:dit ~ fr:cet ≈ en:set ~ fr:set ≈ en:asset ~ fr:propriétés
asset	set	2	en:deed ≈ fr:dit ~ fr:cet ≈ en:set ~ fr:set ≈ en:asset ~ fr:propriétés
del	del	2	en:del ≈ fr:del ~ en:de ≈ fr:de
de	de	2	en:del ≈ fr:del ~ en:de ≈ fr:de
destroys	dissent rose	2	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
destroyed	dissent rhodes	2	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
direct	directs	2	en:directed ~ fr:directs ≈ en:direct ~ fr:direct ≈ en:director = fr:réalisateur
distract	districts	2	en:district ~ fr:districts ≈ en:distract ~ en:distracted ≈ fr:district
distracted	district	2	en:district ~ fr:districts ≈ en:distract ~ en:distracted ≈ fr:district
genes	jean	2	en:dj ~ fr:djinn ≈ en:jean ~ fr:jean ≈ en:genes ~ en:gene ≈ fr:djinns
drum	drames	2	en:drama ~ fr:drames ≈ en:drum ~ en:drums ≈ fr:drame
draw	drogues	2	en:drugs ~ fr:drogues ≈ en:draw ~ en:drawing ≈ fr:drogue
drawing	drogue	2	en:drugs ~ fr:drogues ≈ en:draw ~ en:drawing ≈ fr:drogue
drum	drame	2	en:drums ~ en:drummer ≈ fr:drames ~ fr:drame ≈ en:drum = fr:batterie
dried	drap ode	2	en:drying ~ en:dried ≈ fr:drap ode ~ fr:drap ≈ en:dry
dry	drap	2	en:drying ~ en:dried ≈ fr:drap ode ~ fr:drap ≈ en:dry
aid	éd	2	en:ed ≈ fr:aides = en:aid ≈ fr:éd
effect	affecte	2	en:effects ~ en:effect ≈ fr:affecte ~ en:affect ≈ fr:affect
affect	affect	2	en:effects ~ en:effect ≈ fr:affecte ~ en:affect ≈ fr:affect
air	erreurs	2	en:errors = fr:erreurs ≈ en:air ~ fr:air ≈ en:error
error	air	2	en:errors = fr:erreurs ≈ en:air ~ fr:air ≈ en:error
examination	examen échine	2	en:examination ≈ fr:examen échine ~ fr:examen ≈ en:examined
examined	examen	2	en:examination ≈ fr:examen échine ~ fr:examen ≈ en:examined
exclude	exclues	2	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclues ≈ en:exclude
exclusion	exclus haine	2	en:exclusion ≈ fr:exclus haine ~ en:exclude ≈ fr:exclus
sort	sortir	2	en:exit = fr:sortir ≈ en:sort ~ fr:sort ≈ en:sortie ~ fr:sortie
expenses	expertises	2	en:expertise ~ fr:expertises ≈ en:expenses ~ en:expense ≈ fr:experts ~ en:expert
expense	experts	2	en:expertise ~ fr:expertises ≈ en:expenses ~ en:expense ≈ fr:experts ~ en:expert
explanations	exploser	2	en:explanation ~ en:explain ≈ fr:explosent ~ fr:exploser ≈ en:explanations
explore	explose	2	en:explode ~ fr:explose ≈ en:explore ~ en:explored ≈ fr:explosent ~ fr:exploser
explored	explosent	2	en:explode ~ fr:explose ≈ en:explore ~ en:explored ≈ fr:explosent ~ fr:exploser
explore	exploration	2	en:exploration ~ fr:exploration ≈ en:explore ~ fr:explore ≈ en:exploring
exploring	explore	2	en:exploration ~ fr:exploration ≈ en:explore ~ fr:explore ≈ en:exploring
explore	explorent	2	en:explore ≈ fr:explorent ~ en:explorer ≈ fr:explore
exploring	explorer	2	en:explore ≈ fr:explorent ~ fr:explorer ≈ en:exploring
explorer	explorent	2	en:explorer ≈ fr:explorent ~ fr:explorer ≈ en:explore
expert	exporte	2	en:exports ~ fr:exporte ≈ en:expert ~ fr:experte ≈ en:export ~ fr:exportés
export	experte	2	en:exports ~ fr:exporte ≈ en:expert ~ fr:experte ≈ en:export ~ fr:exportés
expressing	exprès in	2	en:expressing ≈ fr:exprès in ~ fr:exprès ≈ en:expressed
extensions	externe	2	en:extension ~ en:extensions ≈ fr:externe ~ fr:externes ≈ en:extend
extension	externe	2	en:extensions ~ en:extension ≈ fr:externe ~ fr:externes ≈ en:extend
falls	folle	2	en:fall ≈ fr:folles ~ fr:folle ≈ en:falls
falling	folles	2	en:falls ~ en:falling ≈ fr:folles ~ fr:folle ≈ en:fall ~ en:fallen
pairs	pères	2	en:fathers = fr:pères ≈ en:pairs ~ en:pair ≈ fr:père ~ en:vader
pair	père	2	en:fathers = fr:pères ≈ en:pairs ~ en:pair ≈ fr:père ~ en:vader
duty	nourris	2	en:fed = fr:nourris ≈ en:duty ~ en:duties ≈ fr:nourri
duties	nourri	2	en:fed = fr:nourris ≈ en:duty ~ en:duties ≈ fr:nourri
fee	fie	2	en:fi ~ fr:fie ≈ en:fee ~ en:fees ≈ fr:fi
fees	fi	2	en:fi ~ fr:fie ≈ en:fee ~ en:fees ≈ fr:fi
floored	flotte	2	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes = en:fleets
floor	flottes	2	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes = en:fleets
order	horde	2	en:flock ~ fr:horde ≈ en:order ~ fr:ordre ≈ en:ordering ~ en:ordered ≈ fr:hordes
ordered	hordes	2	en:flock ~ fr:horde ≈ en:order ~ fr:ordre ≈ en:ordering ~ en:ordered ≈ fr:hordes
flooding	flot in	2	en:flood ~ en:flooding ≈ fr:flot in ~ fr:flot ≈ en:flooded
flooded	flot	2	en:flood ~ en:flooding ≈ fr:flot in ~ fr:flot ≈ en:flooded
flues	flouze	2	en:flues ≈ fr:flouze ~ fr:flou ≈ en:flume
flume	flou	2	en:flues ≈ fr:flouze ~ fr:flou ≈ en:flume
fools	foule	2	en:fool ≈ fr:foules ~ fr:foule ≈ en:fools
footballer	fait bolée	2	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football ~ fr:football
football	fait bol	2	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football ~ fr:football
forces	faux aise	2	en:forces ≈ fr:faux aise ~ fr:fausses ≈ en:force
force	fausse	2	en:forces ≈ fr:faux aise ~ fr:fausse ≈ en:force
friendship	freinent chipe	2	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
friendships	freinent chips	2	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
sexy	sexes	2	en:gender ~ fr:sexes ≈ en:sexy ~ fr:sexy ≈ en:sex ~ fr:sexe
gene	gin	2	en:gene ≈ fr:gin ~ fr:gin dôme ≈ en:genome ~ fr:gènes
genes	gin	2	en:gin ~ fr:gins ≈ en:gene ~ en:genes ≈ fr:gin
green	graines	2	en:grains ~ fr:graines ≈ en:green ~ fr:green ≈ en:grain
grain	green	2	en:grains ~ fr:graines ≈ en:green ~ fr:green ≈ en:grain
group	groupes	2	en:group ≈ fr:groupes ~ en:groups ≈ fr:groupe
installed	haines solde	2	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
install	haines taule	2	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
jinn	gin	2	en:jinn ≈ fr:gin ~ en:gin ≈ fr:jean ~ en:jean ≈ fr:djinns
kindness	cannes noces	2	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
kindly	cannes lis	2	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
renter	reines	2	en:landlord ~ en:renter ≈ fr:reines ~ fr:reine ≈ en:rent
lead	liquide	2	en:leading ~ en:lead ≈ fr:liquide ~ fr:liquides ≈ en:leader ~ fr:leder
leader	liquides	2	en:leading ~ en:lead ≈ fr:liquide ~ fr:liquides ≈ en:leader ~ fr:leder
league	ligues	2	en:league ≈ fr:ligues = en:leagues ≈ fr:ligue
leagues	ligue	2	en:league ≈ fr:ligues = en:leagues ≈ fr:ligue
leg	legs	2	en:leg ≈ fr:legs ~ fr:kaki ≈ en:kaki ~ en:noga
kaki	kaki	2	en:leg ≈ fr:legs ~ fr:kaki ≈ en:kaki ~ en:noga
letters	laid aise	2	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres
let	lettres	2	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres
lift	lift	2	en:lifted ~ en:lift ≈ fr:lift ~ en:lifting ≈ fr:lifting
lifting	lifting	2	en:lifted ~ en:lift ≈ fr:lift ~ en:lifting ≈ fr:lifting
mark	marques	2	en:marks = fr:marques ≈ en:mark = fr:marque ≈ en:marked ~ en:marking
marked	marque	2	en:marks = fr:marques ≈ en:mark = fr:marque ≈ en:marked ~ en:marking
mask	masque	2	en:masks ~ en:mask ≈ fr:masque ~ en:masque ≈ fr:masques
masque	masques	2	en:masks ~ en:mask ≈ fr:masque ~ en:masque ≈ fr:masques
max	max	2	en:maxed ~ fr:max ≈ en:max = fr:maximum ≈ en:maximum
maximum	maximum	2	en:maxed ~ fr:max ≈ en:max = fr:maximum ≈ en:maximum
meme	mimes	2	en:meme ≈ fr:mimes ~ fr:mime ≈ en:memes
memes	mime	2	en:meme ≈ fr:mimes ~ fr:mime ≈ en:memes
knives	naïve	2	en:naive ~ fr:naïve ≈ en:knives ~ en:knife ≈ fr:naïfs
pour	pauvre	2	en:needy ~ fr:pauvre ≈ en:pour ~ fr:pour ≈ en:poor ~ en:pauvres
net	nets	2	en:net ≈ fr:nets ~ en:nets ≈ fr:net
nets	net	2	en:net ≈ fr:nets ~ en:nets ≈ fr:net
norm	norme	2	en:norm ≈ fr:norme ~ fr:règle ≈ en:regular = fr:ordinaire ≈ en:ordinary ~ fr:normaux
regular	règle	2	en:norm ≈ fr:norme ~ fr:règle ≈ en:regular = fr:ordinaire ≈ en:ordinary ~ fr:normaux
ordinary	ordinaire	2	en:norm ≈ fr:norme ~ fr:règle ≈ en:regular = fr:ordinaire ≈ en:ordinary ~ fr:normaux
oldest	elles est	2	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ en:elder
elders	elles aise	2	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ en:elder
pair	perds	2	en:paired ≈ fr:perde ~ fr:perds ≈ en:pair = fr:paires
pair	perd	2	en:paired ≈ fr:perde ~ fr:perd ≈ en:pair = fr:paires
caller	coller	2	en:paste = fr:coller ≈ en:caller ~ en:call ≈ fr:colle
pens	peines	2	en:penalties = fr:peines ≈ en:pens ~ en:pen ≈ fr:peine = en:penalty
pen	peine	2	en:penalties = fr:peines ≈ en:pens ~ en:pen ≈ fr:peine = en:penalty
pens	peine	2	en:penalty = fr:peine ≈ en:pens ~ en:pen ≈ fr:peines
pen	peines	2	en:penalty = fr:peine ≈ en:pens ~ en:pen ≈ fr:peines
pentagon	peinent gaine	2	en:pentagon ≈ fr:peinent gaine ~ fr:gaine ≈ en:again = fr:encore ≈ en:corps ~ fr:corps
again	gaine	2	en:pentagon ≈ fr:peinent gaine ~ fr:gaine ≈ en:again = fr:encore ≈ en:corps ~ fr:corps
corps	encore	2	en:pentagon ≈ fr:peinent gaine ~ fr:gaine ≈ en:again = fr:encore ≈ en:corps ~ fr:corps
picky	piquer	2	en:picked ~ en:pick ≈ fr:pique ~ fr:piquer ≈ en:picky ~ en:pickled
piece	pissent	2	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece
pieces	pis aise	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pile	pâle	2	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:piles
pale	pl	2	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:piles
peek	piquent	2	en:piqued ~ fr:piquent ≈ en:peek ~ en:peeked ≈ fr:pique ~ en:piquet
peeked	pique	2	en:piqued ~ fr:piquent ≈ en:peek ~ en:peeked ≈ fr:pique ~ en:piquet
pease	pisse	2	en:piss ~ fr:pisse ≈ en:pease ~ en:peas ≈ fr:pisses
peas	pisses	2	en:piss ~ fr:pisse ≈ en:pease ~ en:peas ≈ fr:pisses
peas	pisse	2	en:piss ~ fr:pisse ≈ en:peas ~ en:pease ≈ fr:pisses
pease	pisses	2	en:piss ~ fr:pisse ≈ en:peas ~ en:pease ≈ fr:pisses
pissed	piste	2	en:piste ~ fr:piste ≈ en:pissed ~ fr:pisse ≈ en:piece ~ en:pieced ≈ fr:pistent
plea	plis	2	en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleas
pleaded	plie	2	en:plead ~ en:pleaded ≈ fr:plie ~ fr:plisse ≈ en:pleat
pool	poules	2	en:pooch ~ fr:poules ≈ en:pool ~ en:pools ≈ fr:poule
pools	poules	2	en:pooch ~ fr:poules ≈ en:pools ~ en:pool ≈ fr:poule
pool	poule	2	en:pooch ~ fr:poules ≈ en:pools ~ en:pool ≈ fr:poule
pope	pop	2	en:pops = fr:pop ≈ en:pope = fr:pape ≈ en:pop
porters	pot aise	2	en:porters ≈ fr:pot aise ~ fr:potes ≈ en:porter
porter	potes	2	en:porters ≈ fr:pot aise ~ fr:potes ≈ en:porter
possess	paix ace	2	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possesses
possession	paix échine	2	en:possession ≈ fr:paix échine ~ fr:paix est ≈ en:possessed ~ en:possesses
post	postes	2	en:posts = fr:postes ≈ en:post = fr:poste ≈ en:posted
posted	poste	2	en:posts = fr:postes ≈ en:post = fr:poste ≈ en:posted
pour	pauvres	2	en:poverty ~ fr:pauvres ≈ en:pour ~ fr:pour ≈ en:poor
pp	pipi	2	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
pee	pis	2	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
prayers	prêts	2	en:prayer ~ en:prayers ≈ fr:prêts ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:pray
pray	pré	2	en:prayer ~ en:prayers ≈ fr:prêts ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:pray
prey	pré	2	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:prey
prey	prés	2	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:prés ≈ en:prey
premium	primes rimes	2	en:premium ≈ fr:primes rimes ~ en:prime ≈ fr:primes
premium	prime	2	en:premiums ~ en:premium ≈ fr:prime ~ en:prime ≈ fr:primes
pressing	pressing	2	en:pressed ~ fr:pressing ≈ en:pressing ~ en:presses ≈ fr:presse
pressies	presse	2	en:presses ≈ fr:précise ~ fr:précis ≈ en:pressie ~ en:pressies ≈ fr:presse
pressmen	près mène	2	en:pressmen ≈ fr:près mène ~ fr:près ≈ en:press
press	près	2	en:pressmen ≈ fr:près mène ~ fr:près ≈ en:press
professor	professe	2	en:professors ~ en:professor ≈ fr:professe ~ fr:prof ≈ en:prof ~ fr:profs
prof	prof	2	en:professors ~ en:professor ≈ fr:professe ~ fr:prof ≈ en:prof ~ fr:profs
prove	prouver	2	en:proof ~ fr:prouve ≈ en:proves ~ en:prove ≈ fr:prouver
proposals	proposent	2	en:proposal ~ en:proposals ≈ fr:proposent ~ en:propose ≈ fr:proposes
